"Hashtag","Frequency","screen_name"
"Trump",174,"FrankPallone"
"ACA",134,"FrankPallone"
"Trumpcare",72,"FrankPallone"
"NetNeutrality",68,"FrankPallone"
"GOPTaxScam",59,"FrankPallone"
"DACA",35,"FrankPallone"
"GOP",34,"FrankPallone"
"LGBT",29,"FrankPallone"
"ClimateChange",26,"FrankPallone"
"NJ",26,"FrankPallone"
"PollutingPruitt",25,"FrankPallone"
"Sandy",23,"FrankPallone"
"TrumpCare",23,"FrankPallone"
"LongBranch",22,"FrankPallone"
"PuertoRico",21,"FrankPallone"
"SCOTUS",21,"FrankPallone"
"ProtectOurCare",20,"FrankPallone"
"Medicaid",18,"FrankPallone"
"ParisAgreement",15,"FrankPallone"
"LGBTQ",14,"FrankPallone"
"ThanksObama",14,"FrankPallone"
"netneutrality",12,"FrankPallone"
"SOTU",12,"FrankPallone"
"CHIP",11,"FrankPallone"
"climatechange",11,"FrankPallone"
"TrumpShutdown",11,"FrankPallone"
"AsburyPark",10,"FrankPallone"
"Dreamers",10,"FrankPallone"
"PresidentTrump",10,"FrankPallone"
"ACAWorks",9,"FrankPallone"
"Carteret",9,"FrankPallone"
"EPA",9,"FrankPallone"
"Erdogan",9,"FrankPallone"
"GetCovered",9,"FrankPallone"
"GOPrepeal",9,"FrankPallone"
"NewBrunswick",9,"FrankPallone"
"OTD",9,"FrankPallone"
"PerthAmboy",9,"FrankPallone"
"transgender",9,"FrankPallone"
"DreamActNow",8,"FrankPallone"
"SandyHook",8,"FrankPallone"
"TPS",8,"FrankPallone"
"Woodbridge",8,"FrankPallone"
"ACAworks",7,"FrankPallone"
"CrawlAP",7,"FrankPallone"
"ExtendCHIP",7,"FrankPallone"
"Harvey",7,"FrankPallone"
"JointSession",7,"FrankPallone"
"Medicare",7,"FrankPallone"
"PayMoreForLess",7,"FrankPallone"
"StPatricksDay",7,"FrankPallone"
"TrumpCuts",7,"FrankPallone"
"WhiteHouse",7,"FrankPallone"
"21stCenturyCures",6,"FrankPallone"
"ABetterDeal",6,"FrankPallone"
"BroadbandPrivacy",6,"FrankPallone"
"Brownfields",6,"FrankPallone"
"FCC",6,"FrankPallone"
"LasVegas",6,"FrankPallone"
"MLK",6,"FrankPallone"
"Navratri",6,"FrankPallone"
"NFIP",6,"FrankPallone"
"Obamacare",6,"FrankPallone"
"OpioidEpidemic",6,"FrankPallone"
"Superfund",6,"FrankPallone"
"VeteransDay",6,"FrankPallone"
"Artsakh",5,"FrankPallone"
"Atlantic",5,"FrankPallone"
"CancerMoonshot",5,"FrankPallone"
"CleanPowerPlan",5,"FrankPallone"
"ColumbusDay",5,"FrankPallone"
"DreamAct",5,"FrankPallone"
"DREAMers",5,"FrankPallone"
"Edison",5,"FrankPallone"
"FightForNN",5,"FrankPallone"
"FollowTheFacts",5,"FrankPallone"
"GrahamCassidy",5,"FrankPallone"
"HighlandPark",5,"FrankPallone"
"HIV",5,"FrankPallone"
"ICE",5,"FrankPallone"
"immigration",5,"FrankPallone"
"Irma",5,"FrankPallone"
"KilltheDrill",5,"FrankPallone"
"LivingShorelines",5,"FrankPallone"
"MakeAmericaSickAgain",5,"FrankPallone"
"MCRP",5,"FrankPallone"
"MonmouthCounty",5,"FrankPallone"
"refugees",5,"FrankPallone"
"RGGI",5,"FrankPallone"
"SALT",5,"FrankPallone"
"YearInReview",5,"FrankPallone"
"acaworks",4,"FrankPallone"
"Armenia",4,"FrankPallone"
"ArmenianGenocide",4,"FrankPallone"
"BlackHistoryMonth",4,"FrankPallone"
"Congress",4,"FrankPallone"
"CuresAct",4,"FrankPallone"
"EarthDay",4,"FrankPallone"
"Equifax",4,"FrankPallone"
"Maria",4,"FrankPallone"
"MemorialDay",4,"FrankPallone"
"Middletown",4,"FrankPallone"
"MonmouthCountyReliabilityProject",4,"FrankPallone"
"Mueller",4,"FrankPallone"
"OldBridge",4,"FrankPallone"
"ProtectDREAMers",4,"FrankPallone"
"ProtectOurDemocracy",4,"FrankPallone"
"Pruitt",4,"FrankPallone"
"travelban",4,"FrankPallone"
"VirginIslands",4,"FrankPallone"
"ActOnClimate",3,"FrankPallone"
"AHCA",3,"FrankPallone"
"AIDS",3,"FrankPallone"
"Belmar",3,"FrankPallone"
"BigOil",3,"FrankPallone"
"CBO",3,"FrankPallone"
"DREAMAct",3,"FrankPallone"
"environment",3,"FrankPallone"
"equality",3,"FrankPallone"
"EqualPay",3,"FrankPallone"
"EyesonChechnya",3,"FrankPallone"
"FBI",3,"FrankPallone"
"FlashbackFriday",3,"FrankPallone"
"FridaysWithFrank",3,"FrankPallone"
