"Hashtag","Frequency","screen_name"
"NC01",126,"GKButterfield"
"NC",57,"GKButterfield"
"ACA",48,"GKButterfield"
"Trumpcare",39,"GKButterfield"
"BlackHistoryMonth",38,"GKButterfield"
"JobsandJustice",34,"GKButterfield"
"GKBNC",30,"GKButterfield"
"jobsandjustice",26,"GKButterfield"
"Durham",21,"GKButterfield"
"SOTU",21,"GKButterfield"
"GetCovered",18,"GKButterfield"
"DisarmHate",16,"GKButterfield"
"TECHdiversity",16,"GKButterfield"
"Greenville",15,"GKButterfield"
"TrumpCuts",15,"GKButterfield"
"SCOTUS",14,"GKButterfield"
"GOPBudget",13,"GKButterfield"
"DoYourJob",12,"GKButterfield"
"ncpol",12,"GKButterfield"
"CBCTECH2020",11,"GKButterfield"
"ProtectOurCare",11,"GKButterfield"
"RestoreTheVRA",11,"GKButterfield"
"HurricaneMatthew",10,"GKButterfield"
"NoBillNoBreak",9,"GKButterfield"
"OTD",9,"GKButterfield"
"BHM",8,"GKButterfield"
"EqualPayDay",8,"GKButterfield"
"GOPshutdown",8,"GKButterfield"
"HB2",8,"GKButterfield"
"Zika",8,"GKButterfield"
"FlintWaterCrisis",7,"GKButterfield"
"LightingTheWay",7,"GKButterfield"
"TBT",7,"GKButterfield"
"TrumpCare",7,"GKButterfield"
"YearinReview",7,"GKButterfield"
"ACAworks",6,"GKButterfield"
"ConfirmLynch",6,"GKButterfield"
"DYK",6,"GKButterfield"
"ExpandMedicaidNow",6,"GKButterfield"
"RestoreTheVOTE",6,"GKButterfield"
"STEM",6,"GKButterfield"
"tech",6,"GKButterfield"
"ThanksObama",6,"GKButterfield"
"WomensHistoryMonth",6,"GKButterfield"
"confirmlorettalynch",5,"GKButterfield"
"ConfirmLorettaLynch",5,"GKButterfield"
"DACA",5,"GKButterfield"
"diapergap",5,"GKButterfield"
"EaglePride",5,"GKButterfield"
"EarthDay",5,"GKButterfield"
"GoDuke",5,"GKButterfield"
"Medicaid",5,"GKButterfield"
"Medicare",5,"GKButterfield"
"merchantmariners",5,"GKButterfield"
"prostatecancer",5,"GKButterfield"
"RestoretheVRA",5,"GKButterfield"
"TechQuity",5,"GKButterfield"
"TrumpBudget",5,"GKButterfield"
"TwoAmericas",5,"GKButterfield"
"WHM2016",5,"GKButterfield"
"13thAmendment",4,"GKButterfield"
"AskGKB",4,"GKButterfield"
"beprepared",4,"GKButterfield"
"BertieCounty",4,"GKButterfield"
"BHM2015",4,"GKButterfield"
"CBC114",4,"GKButterfield"
"CBCTech2020",4,"GKButterfield"
"CHIP",4,"GKButterfield"
"HBCUWeek",4,"GKButterfield"
"holdthefloor",4,"GKButterfield"
"NCGA",4,"GKButterfield"
"NMHM16",4,"GKButterfield"
"StopTheKilling",4,"GKButterfield"
"techdiversity",4,"GKButterfield"
"ThingsTrumpWontTalkAbout",4,"GKButterfield"
"VeteransDay",4,"GKButterfield"
"WorldAIDSDay",4,"GKButterfield"
"ZikaVirus",4,"GKButterfield"
"ACAWorks",3,"GKButterfield"
"AskDems",3,"GKButterfield"
"budget",3,"GKButterfield"
"CBCBudget",3,"GKButterfield"
"CollegeApplicationWeek",3,"GKButterfield"
"diversity",3,"GKButterfield"
"DREAMers",3,"GKButterfield"
"EndAIDS2030",3,"GKButterfield"
"FindYourPark",3,"GKButterfield"
"Flint",3,"GKButterfield"
"getcovered",3,"GKButterfield"
"GOPTaxScam",3,"GKButterfield"
"gunviolence",3,"GKButterfield"
"HACKATHON",3,"GKButterfield"
"HBCUs",3,"GKButterfield"
"MerchantMariners",3,"GKButterfield"
"MondayMotivation",3,"GKButterfield"
"NCAAChampionship",3,"GKButterfield"
"NCDeservesBetter",3,"GKButterfield"
"NCPol",3,"GKButterfield"
"PayMoreForLess",3,"GKButterfield"
"PCAM16",3,"GKButterfield"
"ReadAcrossAmerica",3,"GKButterfield"
"religiousfreedomday",3,"GKButterfield"
"RestorationTuesday",3,"GKButterfield"
"RootOutRacism",3,"GKButterfield"
"SCOTUSnom",3,"GKButterfield"
"Selma50",3,"GKButterfield"
"STEMMatters",3,"GKButterfield"
"TECH2020",3,"GKButterfield"
"Trump100Days",3,"GKButterfield"
"TuneIn",3,"GKButterfield"
"VoterID",3,"GKButterfield"
"VRA",3,"GKButterfield"
"WeNeedNine",3,"GKButterfield"
