"Hashtag","Frequency","screen_name"
"Trumpcare",181,"NancyPelosi"
"GOPTaxScam",167,"NancyPelosi"
"ABetterDeal",103,"NancyPelosi"
"ProtectOurCare",97,"NancyPelosi"
"ACA",76,"NancyPelosi"
"TrumpCare",61,"NancyPelosi"
"ProtectDREAMers",55,"NancyPelosi"
"FollowTheFacts",54,"NancyPelosi"
"DoYourJob",47,"NancyPelosi"
"Zika",46,"NancyPelosi"
"GetCovered",45,"NancyPelosi"
"BillionairesFirst",40,"NancyPelosi"
"PelosiTownHall",40,"NancyPelosi"
"DREAMers",38,"NancyPelosi"
"Sessions",37,"NancyPelosi"
"MakeAmericaSickAgain",32,"NancyPelosi"
"ProtectOurDemocracy",30,"NancyPelosi"
"Trump100Days",30,"NancyPelosi"
"TrumpCuts",26,"NancyPelosi"
"PayMoreForLess",25,"NancyPelosi"
"TrumpShutdown",25,"NancyPelosi"
"budget",24,"NancyPelosi"
"NotOnePenny",24,"NancyPelosi"
"PuertoRico",23,"NancyPelosi"
"LGBT",22,"NancyPelosi"
"DREAMAct",21,"NancyPelosi"
"MuslimBan",21,"NancyPelosi"
"SOTU",21,"NancyPelosi"
"FightingForAll",20,"NancyPelosi"
"DACA",19,"NancyPelosi"
"GOPBudget",18,"NancyPelosi"
"WomenSucceed",18,"NancyPelosi"
"DisarmHate",17,"NancyPelosi"
"EndGunViolence",17,"NancyPelosi"
"DefendDACA",15,"NancyPelosi"
"GrahamCassidy",15,"NancyPelosi"
"NoBillNoBreak",15,"NancyPelosi"
"StrongerAmerica",14,"NancyPelosi"
"WrongWay",14,"NancyPelosi"
"EqualPayDay",13,"NancyPelosi"
"FlintWaterCrisis",13,"NancyPelosi"
"ParisAgreement",13,"NancyPelosi"
"USVI",13,"NancyPelosi"
"JointSession",12,"NancyPelosi"
"IranDeal",11,"NancyPelosi"
"NetNeutrality",11,"NancyPelosi"
"SF",11,"NancyPelosi"
"disarmhate",10,"NancyPelosi"
"DubNation",10,"NancyPelosi"
"Flint",10,"NancyPelosi"
"WrongChoiceAct",10,"NancyPelosi"
"BrokenPromises",9,"NancyPelosi"
