"Hashtag","Frequency","screen_name"
"GOPshutdown",39,"NitaLowey"
"DontShutDownOurSecurity",37,"NitaLowey"
"ACA",32,"NitaLowey"
"GOPTaxScam",32,"NitaLowey"
"Sandy",32,"NitaLowey"
"GOP",25,"NitaLowey"
"SOTU",23,"NitaLowey"
"TrumpCare",22,"NitaLowey"
"RaiseTheWage",21,"NitaLowey"
"equalpay",16,"NitaLowey"
"Rockland",16,"NitaLowey"
"womensucceed",16,"NitaLowey"
"GOPBudget",15,"NitaLowey"
"MiddleClassFirst",15,"NitaLowey"
"Trumpcare",15,"NitaLowey"
"TrumpShutdown",15,"NitaLowey"
"Westchester",15,"NitaLowey"
"EqualPay",14,"NitaLowey"
"GOPShutdown",14,"NitaLowey"
"LoweyTownHall",13,"NitaLowey"
"NoBillNoBreak",13,"NitaLowey"
"SCOTUS",13,"NitaLowey"
"BankOnStudents",12,"NitaLowey"
"jumpstart",12,"NitaLowey"
"NY",12,"NitaLowey"
"PayMoreForLess",12,"NitaLowey"
"CHIP",11,"NitaLowey"
"DACA",11,"NitaLowey"
"MetroNorth",11,"NitaLowey"
"READAct",11,"NitaLowey"
"Dreamers",10,"NitaLowey"
"ExIm4Jobs",10,"NitaLowey"
"Israel",10,"NitaLowey"
"NetNeutrality",10,"NitaLowey"
"NoFlyNoBuy",10,"NitaLowey"
"RaiseTheCaps",10,"NitaLowey"
"DREAMers",9,"NitaLowey"
"NewYork",9,"NitaLowey"
"PuertoRico",9,"NitaLowey"
"RenewUI",9,"NitaLowey"
"SocialSecurity",9,"NitaLowey"
"STEM",9,"NitaLowey"
"TBT",9,"NitaLowey"
"GunViolence",8,"NitaLowey"
"WEmatter",8,"NitaLowey"
"budget",7,"NitaLowey"
"DoYourJob",7,"NitaLowey"
"GetCovered",7,"NitaLowey"
"GlobalGagRule",7,"NitaLowey"
"HigherEd",7,"NitaLowey"
"IRS",7,"NitaLowey"
"NotMyBossBusiness",7,"NitaLowey"
"NotOneMore",7,"NitaLowey"
"TaxSecurity",7,"NitaLowey"
"CRHurtsNY",6,"NitaLowey"
"DREAMAct",6,"NitaLowey"
"education",6,"NitaLowey"
"EqualPayDay",6,"NitaLowey"
"GOPbudget",6,"NitaLowey"
"LGBT",6,"NitaLowey"
"Medicare",6,"NitaLowey"
"NetanyahuSpeech",6,"NitaLowey"
"RaisetheWage",6,"NitaLowey"
"StopTheSequester",6,"NitaLowey"
"Trump",6,"NitaLowey"
"WhatMothersNeed",6,"NitaLowey"
"WorldAIDSDay",6,"NitaLowey"
"AskDems",5,"NitaLowey"
"DemandAVote",5,"NitaLowey"
"DOMA",5,"NitaLowey"
"DoYourJobHouseGOP",5,"NitaLowey"
"Dreamer",5,"NitaLowey"
"EndGunViolence",5,"NitaLowey"
"FollowTheFacts",5,"NitaLowey"
"IndianPoint",5,"NitaLowey"
"JointSession",5,"NitaLowey"
"LoveCantWait",5,"NitaLowey"
"middleclassfirst",5,"NitaLowey"
"MuslimBan",5,"NitaLowey"
"NYC",5,"NitaLowey"
"PaycheckFairness",5,"NitaLowey"
"raisethewage",5,"NitaLowey"
"Russia",5,"NitaLowey"
"veterans",5,"NitaLowey"
"Veterans",5,"NitaLowey"
"women",5,"NitaLowey"
"Zika",5,"NitaLowey"
"AIDS",4,"NitaLowey"
"AIDS2012",4,"NitaLowey"
"Americans",4,"NitaLowey"
"BringBackOurGirls",4,"NitaLowey"
"CaregiverCreditAct",4,"NitaLowey"
"Congress",4,"NitaLowey"
"Congress4LIUB",4,"NitaLowey"
"DisarmHate",4,"NitaLowey"
"drunkdriving",4,"NitaLowey"
"EndAlz",4,"NitaLowey"
"ENDALZ",4,"NitaLowey"
"EqualPayNow",4,"NitaLowey"
"GOPdefault",4,"NitaLowey"
"GOPLawsuit",4,"NitaLowey"
"GunSafety",4,"NitaLowey"
"gunviolence",4,"NitaLowey"
"HandsOffMyBC",4,"NitaLowey"
"hcr",4,"NitaLowey"
"healthcare",4,"NitaLowey"
"HorseSlaughter",4,"NitaLowey"
"InternationalWomensDay",4,"NitaLowey"
"Jerusalem",4,"NitaLowey"
"jobs",4,"NitaLowey"
"LetGirlsLearn",4,"NitaLowey"
"LoveWins",4,"NitaLowey"
"LowerHudsonValley",4,"NitaLowey"
"MDGmomentum",4,"NitaLowey"
"NY17",4,"NitaLowey"
"PAWSact",4,"NitaLowey"
"RestoreTheVRA",4,"NitaLowey"
"SALT",4,"NitaLowey"
"TalkGunSense",4,"NitaLowey"
"TaxReform",4,"NitaLowey"
"ThursdayThoughts",4,"NitaLowey"
"VAWA",4,"NitaLowey"
"VeteransDay",4,"NitaLowey"
"WhitePlains",4,"NitaLowey"
"WomensEqualityDay",4,"NitaLowey"
"1million600k",3,"NitaLowey"
"ACAWorks",3,"NitaLowey"
"AffordableHigherEd",3,"NitaLowey"
"American",3,"NitaLowey"
"BudgetDeal",3,"NitaLowey"
"climatechange",3,"NitaLowey"
"DADSS",3,"NitaLowey"
"DefendDACA",3,"NitaLowey"
"EarthDay",3,"NitaLowey"
"enough",3,"NitaLowey"
"fairpay",3,"NitaLowey"
"FEMA",3,"NitaLowey"
"GenderPayGap",3,"NitaLowey"
"girlscoutsrock",3,"NitaLowey"
"GrahamCassidy",3,"NitaLowey"
"HealthyHudsonValley",3,"NitaLowey"
"HER",3,"NitaLowey"
"HERAct",3,"NitaLowey"
"HHM",3,"NitaLowey"
"HighwayTrustFund",3,"NitaLowey"
"HobbyLobby",3,"NitaLowey"
"HonorWithAction",3,"NitaLowey"
"HR529",3,"NitaLowey"
"IWD2015",3,"NitaLowey"
"LasVegas",3,"NitaLowey"
"LCAM14",3,"NitaLowey"
"LeadOnLeave",3,"NitaLowey"
"LGBTPrideMonth",3,"NitaLowey"
"LoweyChat",3,"NitaLowey"
"MarriageEquality",3,"NitaLowey"
"Medicaid",3,"NitaLowey"
"MedicareMedicaid50",3,"NitaLowey"
"metronorth",3,"NitaLowey"
"NeverAgain",3,"NitaLowey"
"Newtown",3,"NitaLowey"
"Olympics",3,"NitaLowey"
"paidleave",3,"NitaLowey"
"PeopleOverPolitics",3,"NitaLowey"
"ProtectDREAMers",3,"NitaLowey"
"Pulse",3,"NitaLowey"
"renewUI",3,"NitaLowey"
"RestoreTheVOTE",3,"NitaLowey"
"Russian",3,"NitaLowey"
"sandy",3,"NitaLowey"
"SayNo2MoreAmmo",3,"NitaLowey"
"Selma50",3,"NitaLowey"
"Senate",3,"NitaLowey"
"SenateGOP",3,"NitaLowey"
"seniors",3,"NitaLowey"
"SmallBusinessWeek",3,"NitaLowey"
"sotu",3,"NitaLowey"
"StandWithPeggy",3,"NitaLowey"
"StopGunViolence",3,"NitaLowey"
"StrongerAmericanFuture",3,"NitaLowey"
"tax",3,"NitaLowey"
"TaxEquityAct",3,"NitaLowey"
"ThingsTrumpWontTalkAbout",3,"NitaLowey"
"TrumpCuts",3,"NitaLowey"
"TrumpGlobalGag",3,"NitaLowey"
"TrumpRussia",3,"NitaLowey"
"VetsJobsChat",3,"NitaLowey"
"WhatWomenNeed",3,"NitaLowey"
"WithABuckFiftyAWeek",3,"NitaLowey"
"WomenSucceed",3,"NitaLowey"
"Act4EFA",2,"NitaLowey"
"ALS",2,"NitaLowey"
"Alzheimer",2,"NitaLowey"
"Benghazi",2,"NitaLowey"
"birthcontrol",2,"NitaLowey"
"BlackHistoryMonth",2,"NitaLowey"
"Blunt",2,"NitaLowey"
"BradyBill",2,"NitaLowey"
"cancer",2,"NitaLowey"
"CBO",2,"NitaLowey"
"childcare",2,"NitaLowey"
"CitizensUnited",2,"NitaLowey"
"Comey",2,"NitaLowey"
"DebtFreeWishList",2,"NitaLowey"
"DeVos",2,"NitaLowey"
"DreamSmallBiz",2,"NitaLowey"
"DrunkDriving",2,"NitaLowey"
"EarthDay2017",2,"NitaLowey"
