"Mention","Frequency","screen_name"
"PeterWelch",288,"PeterWelch"
"SenatorLeahy",74,"PeterWelch"
"POTUS",52,"PeterWelch"
"SenSanders",36,"PeterWelch"
"vermontedition",34,"PeterWelch"
"GovPeterShumlin",30,"PeterWelch"
"vprnet",27,"PeterWelch"
"realDonaldTrump",26,"PeterWelch"
"thecyclemsnbc",25,"PeterWelch"
"FCC",15,"PeterWelch"
"OversightDems",14,"PeterWelch"
"EnergyCommerce",13,"PeterWelch"
"RepMcKinley",13,"PeterWelch"
"repcorygardner",12,"PeterWelch"
"EfficiencyVT",11,"PeterWelch"
"MSNBC",10,"PeterWelch"
"SpeakerBoehner",10,"PeterWelch"
"VSAC",10,"PeterWelch"
"WhiteHouse",10,"PeterWelch"
"bfp_news",9,"PeterWelch"
"cspanwj",9,"PeterWelch"
"HouseDemocrats",9,"PeterWelch"
"HuffPostLive",9,"PeterWelch"
"KateNocera",9,"PeterWelch"
"RepAnnieKuster",9,"PeterWelch"
"RepCummings",9,"PeterWelch"
"wcax",9,"PeterWelch"
"BarackObama",8,"PeterWelch"
"GovPhilScott",8,"PeterWelch"
"RepChrisGibson",8,"PeterWelch"
"SpeakerRyan",8,"PeterWelch"
"VTStateParks",8,"PeterWelch"
"CCV_VT",7,"PeterWelch"
"CynthiaLummis",7,"PeterWelch"
"GreggHarper",7,"PeterWelch"
"taylordobbs",7,"PeterWelch"
"US_FDA",7,"PeterWelch"
"BashirLive",6,"PeterWelch"
"cspan",6,"PeterWelch"
"EPA",6,"PeterWelch"
"HouseCommerce",6,"PeterWelch"
"RepDonBeyer",6,"PeterWelch"
"ToSaveEnergy",6,"PeterWelch"
"vtdigger",6,"PeterWelch"
"AmeriCorps",5,"PeterWelch"
"banner_news",5,"PeterWelch"
"boblatta",5,"PeterWelch"
"FAFSA",5,"PeterWelch"
"Middlebury",5,"PeterWelch"
"nealgoswami",5,"PeterWelch"
"NoLabelsOrg",5,"PeterWelch"
"RepDavidEPrice",5,"PeterWelch"
"RepJerryNadler",5,"PeterWelch"
"RepJohnConyers",5,"PeterWelch"
"RonWyden",5,"PeterWelch"
"usedgov",5,"PeterWelch"
"uvmvermont",5,"PeterWelch"
"VermontAirGuard",5,"PeterWelch"
"alchemistbeer",4,"PeterWelch"
"billmckibben",4,"PeterWelch"
"BrattReformer",4,"PeterWelch"
"cvheadstart",4,"PeterWelch"
"efficiencynow",4,"PeterWelch"
"HillFarmstead",4,"PeterWelch"
"jasperhillfarm",4,"PeterWelch"
"KillingtonMtn",4,"PeterWelch"
"MineWorkers",4,"PeterWelch"
"NancyPelosi",4,"PeterWelch"
"nytimes",4,"PeterWelch"
"RepDavidYoung",4,"PeterWelch"
"repjohnlewis",4,"PeterWelch"
"RepRaskin",4,"PeterWelch"
"SenatorDurbin",4,"PeterWelch"
"SenSchumer",4,"PeterWelch"
"thehill",4,"PeterWelch"
"UVMLarnerMed",4,"PeterWelch"
"VermontFoodbank",4,"PeterWelch"
"VTAgencyofAg",4,"PeterWelch"
"WKVT1490AM",4,"PeterWelch"
"AlanChartock",3,"PeterWelch"
"Ask_Congress",3,"PeterWelch"
"benandjerrys",3,"PeterWelch"
"BillOwensNY",3,"PeterWelch"
"bpshow",3,"PeterWelch"
"BrandondelPozo",3,"PeterWelch"
"BrattleboroONE",3,"PeterWelch"
"democracynow",3,"PeterWelch"
"emhew",3,"PeterWelch"
"fstonenyt",3,"PeterWelch"
"GoldmanSachs",3,"PeterWelch"
"GOPLeader",3,"PeterWelch"
"GOPoversight",3,"PeterWelch"
"GreenMtnPower",3,"PeterWelch"
"HHSGov",3,"PeterWelch"
"MarshaBlackburn",3,"PeterWelch"
"netanyahu",3,"PeterWelch"
"NIH",3,"PeterWelch"
"politico",3,"PeterWelch"
"Pontifex",3,"PeterWelch"
"PPFA",3,"PeterWelch"
"RedSox",3,"PeterWelch"
"RepBillFlores",3,"PeterWelch"
"repblumenauer",3,"PeterWelch"
"RepJayapal",3,"PeterWelch"
"RepJoeCourtney",3,"PeterWelch"
"repjustinamash",3,"PeterWelch"
"RepKinzinger",3,"PeterWelch"
"rollcall",3,"PeterWelch"
"rosadelauro",3,"PeterWelch"
"SenatorCardin",3,"PeterWelch"
"SenMarkey",3,"PeterWelch"
"ServiceYear",3,"PeterWelch"
"seungminkim",3,"PeterWelch"
"SOVT",3,"PeterWelch"
"StateDept",3,"PeterWelch"
"sterlingcollege",3,"PeterWelch"
"SteveScalise",3,"PeterWelch"
"StewartMyNBC5",3,"PeterWelch"
"USDA",3,"PeterWelch"
"VBSR",3,"PeterWelch"
"VermontCreamery",3,"PeterWelch"
"vermontfuel",3,"PeterWelch"
"VermontPBS",3,"PeterWelch"
"VermontPublicTV",3,"PeterWelch"
"VermontSOS",3,"PeterWelch"
"VermontTourism",3,"PeterWelch"
"VPRKinzel",3,"PeterWelch"
"WaxmanClimate",3,"PeterWelch"
"Wej12",3,"PeterWelch"
"WhipHoyer",3,"PeterWelch"
"350",2,"PeterWelch"
"40thArmyBand",2,"PeterWelch"
"AARPVT",2,"PeterWelch"
"ABC",2,"PeterWelch"
"ACEEEdc",2,"PeterWelch"
"AjitPaiFCC",2,"PeterWelch"
"AquaVitea",2,"PeterWelch"
"BCSECleanEnergy",2,"PeterWelch"
"BernieSanders",2,"PeterWelch"
"biogen",2,"PeterWelch"
"BobCusack",2,"PeterWelch"
"BTVIgnite",2,"PeterWelch"
"BTVYPG",2,"PeterWelch"
"CabotCoop",2,"PeterWelch"
"CFPB",2,"PeterWelch"
"ChamplainEdu",2,"PeterWelch"
"ChrisCoons",2,"PeterWelch"
"chucktodd",2,"PeterWelch"
"ComcastNewEng",2,"PeterWelch"
"concept2",2,"PeterWelch"
"CSPANCities",2,"PeterWelch"
"CVOEO",2,"PeterWelch"
"dailyrundown",2,"PeterWelch"
"DakinFarm",2,"PeterWelch"
"Emma_Dumain",2,"PeterWelch"
"ENERGY",2,"PeterWelch"
"FatToadFarmVT",2,"PeterWelch"
"fema",2,"PeterWelch"
"GiftofLife",2,"PeterWelch"
"GinaEPA",2,"PeterWelch"
"handyslunch",2,"PeterWelch"
"headachedoc",2,"PeterWelch"
"HelenaMyNBC5",2,"PeterWelch"
"HK_Ski",2,"PeterWelch"
"HuffingtonPost",2,"PeterWelch"
"InternetAssn",2,"PeterWelch"
"JackNBCBoston",2,"PeterWelch"
"JamieAsnow",2,"PeterWelch"
"janschakowsky",2,"PeterWelch"
"jaypeakresort",2,"PeterWelch"
"john_dingell",2,"PeterWelch"
"jonathanweisman",2,"PeterWelch"
"kate_sheppard",2,"PeterWelch"
"KBVstoreVT",2,"PeterWelch"
"KelloggsUS",2,"PeterWelch"
"KingdomTaproom",2,"PeterWelch"
"Lake_Champlain",2,"PeterWelch"
"LCVoters",2,"PeterWelch"
"LesleyRStahl",2,"PeterWelch"
"LongTrailBeer",2,"PeterWelch"
"LUHSLancers",2,"PeterWelch"
"LuisGutierrez",2,"PeterWelch"
"maddow",2,"PeterWelch"
"MAMAVA",2,"PeterWelch"
"MartinBashir",2,"PeterWelch"
"MikaelaShiffrin",2,"PeterWelch"
"MiroBTV",2,"PeterWelch"
"MobiusMentors",2,"PeterWelch"
"NEAarts",2,"PeterWelch"
"NeighborWorksVT",2,"PeterWelch"
"NicholsUprising",2,"PeterWelch"
"NOAA",2,"PeterWelch"
"NOFAVT",2,"PeterWelch"
"NOH8Campaign",2,"PeterWelch"
"NPR",2,"PeterWelch"
"NRFnews",2,"PeterWelch"
"NTCAconnect",2,"PeterWelch"
"NydiaVelazquez",2,"PeterWelch"
"nytopinion",2,"PeterWelch"
"paulheintz",2,"PeterWelch"
"porszag",2,"PeterWelch"
"ProtectWinters",2,"PeterWelch"
"Quaker",2,"PeterWelch"
"rep_stevewomack",2,"PeterWelch"
"RepBarbaraLee",2,"PeterWelch"
"RepDianeBlack",2,"PeterWelch"
"RepErikPaulsen",2,"PeterWelch"
"RepGoodlatte",2,"PeterWelch"
"RepGutierrez",2,"PeterWelch"
"RepJimCosta",2,"PeterWelch"
"RepJohnYarmuth",2,"PeterWelch"
"repmarkpocan",2,"PeterWelch"
"RepMcGovern",2,"PeterWelch"
"RepRibble",2,"PeterWelch"
"RepScottRigell",2,"PeterWelch"
"RepStefanik",2,"PeterWelch"
"RepTedLieu",2,"PeterWelch"
"RepThompson",2,"PeterWelch"
"RepWalterJones",2,"PeterWelch"
"RutlandHerald",2,"PeterWelch"
"SBA_Vermont",2,"PeterWelch"
"senatorsanders",2,"PeterWelch"
"SenatorShaheen",2,"PeterWelch"
"SenCoryGardner",2,"PeterWelch"
"SenJohnMcCain",2,"PeterWelch"
"SierraClub",2,"PeterWelch"
"smashingwalnuts",2,"PeterWelch"
"statnews",2,"PeterWelch"
"studyhallspace",2,"PeterWelch"
"Sugarbush_VT",2,"PeterWelch"
"tamronhall",2,"PeterWelch"
"tedlieu",2,"PeterWelch"
"TheLastWord",2,"PeterWelch"
"TheReidReport",2,"PeterWelch"
"thevycc",2,"PeterWelch"
"TimBishopNY",2,"PeterWelch"
"TimesArgus",2,"PeterWelch"
"TomWheelerFCC",2,"PeterWelch"
"TulsiGabbard",2,"PeterWelch"
"TulsiPress",2,"PeterWelch"
"UNRWA",2,"PeterWelch"
"USCBO",2,"PeterWelch"
"USProgressives",2,"PeterWelch"
"USRepRickNolan",2,"PeterWelch"
"UVMathletics",2,"PeterWelch"
"UVMmbb",2,"PeterWelch"
"UVMmsoccer",2,"PeterWelch"
"VCET",2,"PeterWelch"
"VTchamber",2,"PeterWelch"
"VTEducation",2,"PeterWelch"
"VTLawSchool",2,"PeterWelch"
"vtmontpelier",2,"PeterWelch"
"vtnature_org",2,"PeterWelch"
"VTStateArchives",2,"PeterWelch"
"vttech",2,"PeterWelch"
"WAMCNews",2,"PeterWelch"
"WAMCRadio",2,"PeterWelch"
"washingtonpost",2,"PeterWelch"
"winooskivt",2,"PeterWelch"
"wrjvt",2,"PeterWelch"
"WVNYWFFF",2,"PeterWelch"
"5",1,"PeterWelch"
"60Minutes",1,"PeterWelch"
"7pm",1,"PeterWelch"
"802malone",1,"PeterWelch"
"AANMember",1,"PeterWelch"
"ACEducation",1,"PeterWelch"
"addyindy",1,"PeterWelch"
"adk_council",1,"PeterWelch"
"AHR_Rankings",1,"PeterWelch"
"AIGinsurance",1,"PeterWelch"
"AJEvancie",1,"PeterWelch"
"Alchemist",1,"PeterWelch"
"AlexRoseNews",1,"PeterWelch"
"AlisonBechdel",1,"PeterWelch"
"AllEarthRenew",1,"PeterWelch"
"amanda_levinson",1,"PeterWelch"
"AmericanAir",1,"PeterWelch"
"Americans4Arts",1,"PeterWelch"
"AmForestFndn",1,"PeterWelch"
"AndrewShult",1,"PeterWelch"
"AriMelber",1,"PeterWelch"
"askgeorge",1,"PeterWelch"
"AtBennington",1,"PeterWelch"
"ATGBillSorrell",1,"PeterWelch"
"AustinScottGA08",1,"PeterWelch"
"AyaALNamee",1,"PeterWelch"
"badler",1,"PeterWelch"
"Banner_Sports",1,"PeterWelch"
"BannerEditor",1,"PeterWelch"
"BartonChronicle",1,"PeterWelch"
"BBinVT",1,"PeterWelch"
"BDayspring",1,"PeterWelch"
"BenJerrysVT",1,"PeterWelch"
"BenWessel",1,"PeterWelch"
"BetsyDeVosED",1,"PeterWelch"
"BGAlliance",1,"PeterWelch"
"bigpicturefarm",1,"PeterWelch"
"bittman",1,"PeterWelch"
"BizVermont",1,"PeterWelch"
"boves",1,"PeterWelch"
"BratIndivisible",1,"PeterWelch"
"brianschatz",1,"PeterWelch"
"BrowningLynnley",1,"PeterWelch"
"BT_VT",1,"PeterWelch"
"BTVAirport",1,"PeterWelch"
"Btvfire",1,"PeterWelch"
"BTVMayor",1,"PeterWelch"
"burkemtnacademy",1,"PeterWelch"
"BurlingtonElec",1,"PeterWelch"
"burtonsnowboard",1,"PeterWelch"
"butternutmf",1,"PeterWelch"
"ButtonUpVt",1,"PeterWelch"
"BuzzFeed",1,"PeterWelch"
"BuzzFeedPol",1,"PeterWelch"
"cabotcheese",1,"PeterWelch"
"CADCA",1,"PeterWelch"
"cameronpbarden",1,"PeterWelch"
"CampbellSoupCo",1,"PeterWelch"
"CanCGBoston",1,"PeterWelch"
"CantorPress",1,"PeterWelch"
"Carl_Lewis",1,"PeterWelch"
"carloslcurbelo",1,"PeterWelch"
"CaroMT",1,"PeterWelch"
"cbellantoni",1,"PeterWelch"
"CBPNorthEast",1,"PeterWelch"
"cdr",1,"PeterWelch"
"CEAChair",1,"PeterWelch"
"centralvtplan",1,"PeterWelch"
"ch15stalbans",1,"PeterWelch"
"CharlesDabritz",1,"PeterWelch"
"ChrisCuomo",1,"PeterWelch"
"ChrisMurphyCT",1,"PeterWelch"
"ChrisVanHollen",1,"PeterWelch"
"ChurchStreet",1,"PeterWelch"
"citizencider",1,"PeterWelch"
"ckmarie",1,"PeterWelch"
"climateprogress",1,"PeterWelch"
"Clyburn",1,"PeterWelch"
"CNBCopinion",1,"PeterWelch"
"CNN",1,"PeterWelch"
"CNNOpinion",1,"PeterWelch"
"CochranSkiArea",1,"PeterWelch"
"commonsnews",1,"PeterWelch"
"CongHuelskamp",1,"PeterWelch"
"CongressmanGT",1,"PeterWelch"
"ConnectwCare",1,"PeterWelch"
"CoryGardnerCO",1,"PeterWelch"
"CPBmedia",1,"PeterWelch"
"CraigCaplan",1,"PeterWelch"
"csmonitor",1,"PeterWelch"
"CWAUnion",1,"PeterWelch"
"CyberIntern",1,"PeterWelch"
"DanaBashCNN",1,"PeterWelch"
"DanaRohrabacher",1,"PeterWelch"
"DartMedNews",1,"PeterWelch"
"DartmouthHitch",1,"PeterWelch"
"davereichert",1,"PeterWelch"
"davidortiz",1,"PeterWelch"
"DavidP4AD",1,"PeterWelch"
"deltadiva3",1,"PeterWelch"
"DHSgov",1,"PeterWelch"
"dlogan",1,"PeterWelch"
"DonaldNorcross",1,"PeterWelch"
"dpoli_reformer",1,"PeterWelch"
"dungerdunger",1,"PeterWelch"
"DynapowerEnergy",1,"PeterWelch"
"EatMoreKaleGuy",1,"PeterWelch"
"edworkforcedems",1,"PeterWelch"
"elizabethforma",1,"PeterWelch"
"ENERGYSTAR",1,"PeterWelch"
"EqualityInStyle",1,"PeterWelch"
"erincofiell",1,"PeterWelch"
"EthanHMoore",1,"PeterWelch"
"EvergladesNPS",1,"PeterWelch"
"ewg",1,"PeterWelch"
"FarmVetCo",1,"PeterWelch"
"FedEx",1,"PeterWelch"
"FedNet",1,"PeterWelch"
"FeedChittenden",1,"PeterWelch"
"FieldworkBrewCo",1,"PeterWelch"
"FletcherAllen",1,"PeterWelch"
"FletcherFree",1,"PeterWelch"
"frankthorpNBC",1,"PeterWelch"
"FreeBeacon",1,"PeterWelch"
"FSFP",1,"PeterWelch"
"Gardner_LM",1,"PeterWelch"
"GeneralMills",1,"PeterWelch"
"GKButterfield",1,"PeterWelch"
"goodfoodawards",1,"PeterWelch"
"Google",1,"PeterWelch"
"GraftonCheese",1,"PeterWelch"
"GreenDistiller",1,"PeterWelch"
"greenjam_man",1,"PeterWelch"
"GreenMtnCoffee",1,"PeterWelch"
"greg_ip",1,"PeterWelch"
"Grindstonecafe",1,"PeterWelch"
"grist",1,"PeterWelch"
"GwynethPaltrow",1,"PeterWelch"
"hannahteter",1,"PeterWelch"
"Harvard",1,"PeterWelch"
