"Mention","Frequency","screen_name"
"RepAndreCarson",252,"RepAndreCarson"
"Amoswtlcindy",58,"RepAndreCarson"
"indystar",40,"RepAndreCarson"
"OfficialCBC",39,"RepAndreCarson"
"POTUS",34,"RepAndreCarson"
"WhiteHouse",31,"RepAndreCarson"
"realDonaldTrump",22,"RepAndreCarson"
"Pacers",20,"RepAndreCarson"
"MayorBallard",19,"RepAndreCarson"
"SenDonnelly",19,"RepAndreCarson"
"am1310thelight",18,"RepAndreCarson"
"TransportDems",18,"RepAndreCarson"
"IndyRecorder",16,"RepAndreCarson"
"HouseDemocrats",15,"RepAndreCarson"
"IPSSchools",15,"RepAndreCarson"
"wolfblitzer",15,"RepAndreCarson"
"GovPenceIN",14,"RepAndreCarson"
"IndianaFever",14,"RepAndreCarson"
"NancyPelosi",14,"RepAndreCarson"
"rtv6",14,"RepAndreCarson"
"DeptVetAffairs",13,"RepAndreCarson"
"FOX59",13,"RepAndreCarson"
"WhipHoyer",13,"RepAndreCarson"
"butleru",12,"RepAndreCarson"
"CherrishPryor",12,"RepAndreCarson"
"CNN",12,"RepAndreCarson"
"IU_Health",12,"RepAndreCarson"
"johnnystir",12,"RepAndreCarson"
"keithellison",12,"RepAndreCarson"
"SecondHelpings",11,"RepAndreCarson"
"BarackObama",10,"RepAndreCarson"
"CNNSitRoom",10,"RepAndreCarson"
"HouseGOP",10,"RepAndreCarson"
"HVAFofIndiana",10,"RepAndreCarson"
"MSNBC",10,"RepAndreCarson"
"TCMIndy",10,"RepAndreCarson"
"WISH_TV",10,"RepAndreCarson"
"INDairport",9,"RepAndreCarson"
"IvyTechCC",9,"RepAndreCarson"
"MCCOYouth",9,"RepAndreCarson"
"ButlerMBB",8,"RepAndreCarson"
"Catchin24",8,"RepAndreCarson"
"HouseIntelComm",8,"RepAndreCarson"
"LillyPad",8,"RepAndreCarson"
"NUVO_net",8,"RepAndreCarson"
"RecycleForce",8,"RepAndreCarson"
"RepLarryBucshon",8,"RepAndreCarson"
"USATODAY",8,"RepAndreCarson"
"HouseFloor",7,"RepAndreCarson"
"IMPD_News",7,"RepAndreCarson"
"IndianaTalks",7,"RepAndreCarson"
"IUPUI",7,"RepAndreCarson"
"PraiseIndy",7,"RepAndreCarson"
"SummerServings",7,"RepAndreCarson"
"SusanWBrooks",7,"RepAndreCarson"
"uscapitol",7,"RepAndreCarson"
"usedgov",7,"RepAndreCarson"
"USGSA",7,"RepAndreCarson"
"VisitIndy",7,"RepAndreCarson"
"wfyi",7,"RepAndreCarson"
"Andre4Congress",6,"RepAndreCarson"
"BenDavisHS",6,"RepAndreCarson"
"Bosmaenterprise",6,"RepAndreCarson"
"GKButterfield",6,"RepAndreCarson"
"HuffingtonPost",6,"RepAndreCarson"
"IndyGoBus",6,"RepAndreCarson"
"matthewltully",6,"RepAndreCarson"
"RealBenCarson",6,"RepAndreCarson"
"repjohnlewis",6,"RepAndreCarson"
"SBAgov",6,"RepAndreCarson"
"SpeakerRyan",6,"RepAndreCarson"
"trainingincindy",6,"RepAndreCarson"
"USMC",6,"RepAndreCarson"
"VP",6,"RepAndreCarson"
"a1cyclery",5,"RepAndreCarson"
"Colts",5,"RepAndreCarson"
"DanForestal",5,"RepAndreCarson"
"Forbes",5,"RepAndreCarson"
"HHSGov",5,"RepAndreCarson"
"indy_healthnet",5,"RepAndreCarson"
"IndyParksandRec",5,"RepAndreCarson"
"LGBTEqCaucus",5,"RepAndreCarson"
"MaryRigg",5,"RepAndreCarson"
"MCSO_IN",5,"RepAndreCarson"
"NFLColts",5,"RepAndreCarson"
"repcleaver",5,"RepAndreCarson"
"RickFOP86",5,"RepAndreCarson"
"SenDanCoats",5,"RepAndreCarson"
"shellawish",5,"RepAndreCarson"
"ShortridgeBDN",5,"RepAndreCarson"
"SpeakerBoehner",5,"RepAndreCarson"
"StampOutHunger",5,"RepAndreCarson"
"Starbucks",5,"RepAndreCarson"
"Transport",5,"RepAndreCarson"
"USNavy",5,"RepAndreCarson"
"WTHRcom",5,"RepAndreCarson"
"500Festival",4,"RepAndreCarson"
"AmeriCorps",4,"RepAndreCarson"
"Amtrak",4,"RepAndreCarson"
"ATFHQ",4,"RepAndreCarson"
"CFPB",4,"RepAndreCarson"
"Chris_Worden10",4,"RepAndreCarson"
"cspan",4,"RepAndreCarson"
"Cummins",4,"RepAndreCarson"
"DeptofDefense",4,"RepAndreCarson"
"fema",4,"RepAndreCarson"
"GleanersFBIndy",4,"RepAndreCarson"
"HHSRegion5",4,"RepAndreCarson"
"HorizonHouseIN",4,"RepAndreCarson"
"HUDNews",4,"RepAndreCarson"
"INCulturalTrail",4,"RepAndreCarson"
"JimIrsay",4,"RepAndreCarson"
"KateSweeneyBell",4,"RepAndreCarson"
"mgroppe",4,"RepAndreCarson"
"mozelsandersfnd",4,"RepAndreCarson"
"mpac_national",4,"RepAndreCarson"
"MsdPt",4,"RepAndreCarson"
"NatlParkService",4,"RepAndreCarson"
"NPR",4,"RepAndreCarson"
"RayLaHood",4,"RepAndreCarson"
"RepGwenMoore",4,"RepAndreCarson"
"USDA",4,"RepAndreCarson"
"Wilson46201",4,"RepAndreCarson"
"1067WTLC",3,"RepAndreCarson"
"93wibc",3,"RepAndreCarson"
"AARPIndiana",3,"RepAndreCarson"
"ABC",3,"RepAndreCarson"
"Aly_Raisman",3,"RepAndreCarson"
"angela_rye",3,"RepAndreCarson"
"AroundIndy",3,"RepAndreCarson"
"BallState",3,"RepAndreCarson"
"brightfarms",3,"RepAndreCarson"
"ButlerPrez",3,"RepAndreCarson"
"Clyburn",3,"RepAndreCarson"
"dsindiana",3,"RepAndreCarson"
"dstinc1913",3,"RepAndreCarson"
"EmployIndy",3,"RepAndreCarson"
"Erika_D_Smith",3,"RepAndreCarson"
"ErinBurnett",3,"RepAndreCarson"
"FeedINsHungry",3,"RepAndreCarson"
"girlscouts",3,"RepAndreCarson"
"Gleaners",3,"RepAndreCarson"
"GStephanopoulos",3,"RepAndreCarson"
"HillaryClinton",3,"RepAndreCarson"
"HouseTransInf",3,"RepAndreCarson"
"iamKennieD",3,"RepAndreCarson"
"IFD_NEWS",3,"RepAndreCarson"
"imamuseum",3,"RepAndreCarson"
"IndianaChamber",3,"RepAndreCarson"
"IndianaLatino",3,"RepAndreCarson"
"IndyHunger",3,"RepAndreCarson"
"indyindians",3,"RepAndreCarson"
"IndyRedCross",3,"RepAndreCarson"
"INInstitute",3,"RepAndreCarson"
"JCRCIndy",3,"RepAndreCarson"
"jdisis",3,"RepAndreCarson"
"juliancenter",3,"RepAndreCarson"
"Kyle_Inskeep",3,"RepAndreCarson"
"luisnavarronews",3,"RepAndreCarson"
"MaggieALewis",3,"RepAndreCarson"
"MarshGrocery",3,"RepAndreCarson"
"MENTORnational",3,"RepAndreCarson"
"MrDavidJohns",3,"RepAndreCarson"
"NationalService",3,"RepAndreCarson"
"PikeHighSchool",3,"RepAndreCarson"
"PressClubDC",3,"RepAndreCarson"
"RayCortopassi",3,"RepAndreCarson"
"RepBarbaraLee",3,"RepAndreCarson"
"RepBarragan",3,"RepAndreCarson"
"RepRichmond",3,"RepAndreCarson"
"sycamoreschool",3,"RepAndreCarson"
"teamIMPACT",3,"RepAndreCarson"
"TheDemocrats",3,"RepAndreCarson"
"TheJusticeDept",3,"RepAndreCarson"
"TheRevAl",3,"RepAndreCarson"
"ThisWeekABC",3,"RepAndreCarson"
"TindleySchools",3,"RepAndreCarson"
"usairforce",3,"RepAndreCarson"
"USDOL",3,"RepAndreCarson"
"USPS",3,"RepAndreCarson"
"WestPoint_USMA",3,"RepAndreCarson"
"AbilityOne75",2,"RepAndreCarson"
"ActiveRetirees",2,"RepAndreCarson"
"alsadvocacy",2,"RepAndreCarson"
"AmtrakCareers",2,"RepAndreCarson"
"angelacleaver",2,"RepAndreCarson"
"AnthemInc",2,"RepAndreCarson"
"arneduncan",2,"RepAndreCarson"
"arsenal_tech",2,"RepAndreCarson"
"AskListenLearn",2,"RepAndreCarson"
"ASmithJones",2,"RepAndreCarson"
"atpolley",2,"RepAndreCarson"
"ay0jayj0",2,"RepAndreCarson"
"BilalEksili",2,"RepAndreCarson"
"BillClinton",2,"RepAndreCarson"
"bread4theworld",2,"RepAndreCarson"
"CameronRidle",2,"RepAndreCarson"
"CapitolPolice",2,"RepAndreCarson"
"CarpeDMeridian",2,"RepAndreCarson"
"ChrisVanHollen",2,"RepAndreCarson"
"CICFoundation",2,"RepAndreCarson"
"CivicEducation",2,"RepAndreCarson"
"CNNSotu",2,"RepAndreCarson"
"CoryBooker",2,"RepAndreCarson"
"CrownHillCem",2,"RepAndreCarson"
"DallaraIndyFty",2,"RepAndreCarson"
"DamienCenter",2,"RepAndreCarson"
"DCHS_hawks",2,"RepAndreCarson"
"deanofcomedy",2,"RepAndreCarson"
"Debby_Knox",2,"RepAndreCarson"
"DeniseUSGSA",2,"RepAndreCarson"
"DHSIndianapolis",2,"RepAndreCarson"
"DOE_SC_NSB",2,"RepAndreCarson"
"EliLillyCo",2,"RepAndreCarson"
"ENERGY",2,"RepAndreCarson"
"EPAGov",2,"RepAndreCarson"
"EskenaziHealth",2,"RepAndreCarson"
"FAFSA",2,"RepAndreCarson"
"FedEx",2,"RepAndreCarson"
"FeedingAmerica",2,"RepAndreCarson"
"FTA_DOT",2,"RepAndreCarson"
"GabbyGiffords",2,"RepAndreCarson"
"geoeduktr",2,"RepAndreCarson"
"GoCathedral",2,"RepAndreCarson"
"GoodwillIndy",2,"RepAndreCarson"
"GovHolcomb",2,"RepAndreCarson"
"GrandCanyonNPS",2,"RepAndreCarson"
"HarrisonColl",2,"RepAndreCarson"
"hoosierchild",2,"RepAndreCarson"
"Hope_Now",2,"RepAndreCarson"
"HouseGVP",2,"RepAndreCarson"
"HouseJudDems",2,"RepAndreCarson"
"IBJnews",2,"RepAndreCarson"
"IMS",2,"RepAndreCarson"
"IMSAWest",2,"RepAndreCarson"
"INBlackExpoInc",2,"RepAndreCarson"
"INcollegedems",2,"RepAndreCarson"
"IndianaHistory",2,"RepAndreCarson"
"IndianaMBB",2,"RepAndreCarson"
"IndianaUniv",2,"RepAndreCarson"
"IndyDT",2,"RepAndreCarson"
"IndyEleven",2,"RepAndreCarson"
"IndyMayorJoe",2,"RepAndreCarson"
"indypride",2,"RepAndreCarson"
"IndyPromiseWalk",2,"RepAndreCarson"
"indystar_top",2,"RepAndreCarson"
"instagram",2,"RepAndreCarson"
"IUBloomington",2,"RepAndreCarson"
"IUMedSchool",2,"RepAndreCarson"
"JacksonLeeTX18",2,"RepAndreCarson"
"jaketapper",2,"RepAndreCarson"
"Jeff4Indy",2,"RepAndreCarson"
"JHBComCtr",2,"RepAndreCarson"
"john_dingell",2,"RepAndreCarson"
"JumpINhealth",2,"RepAndreCarson"
"justinmoed",2,"RepAndreCarson"
"karenaboutgary",2,"RepAndreCarson"
"kassigfamily",2,"RepAndreCarson"
"katieheinz6",2,"RepAndreCarson"
"kennethbizallen",2,"RepAndreCarson"
"KHDBoi",2,"RepAndreCarson"
"laurenholiday12",2,"RepAndreCarson"
"librarycongress",2,"RepAndreCarson"
"LoganSibHsky",2,"RepAndreCarson"
"macklemore",2,"RepAndreCarson"
"MartinCenter",2,"RepAndreCarson"
"MESHCoalition",2,"RepAndreCarson"
"MFCDC1",2,"RepAndreCarson"
"mjheeke",2,"RepAndreCarson"
"MOWIndianapolis",2,"RepAndreCarson"
"MSDDecatur",2,"RepAndreCarson"
"msdwarren",2,"RepAndreCarson"
"NAACP",2,"RepAndreCarson"
"NEHgov",2,"RepAndreCarson"
"NewDay",2,"RepAndreCarson"
"nflcommish",2,"RepAndreCarson"
"NicolePence",2,"RepAndreCarson"
"NMAAHC",2,"RepAndreCarson"
"NMenonRao",2,"RepAndreCarson"
"nomorenames",2,"RepAndreCarson"
"NYMag",2,"RepAndreCarson"
"nytimes",2,"RepAndreCarson"
"Pacersbikeshare",2,"RepAndreCarson"
"pamelareilly1",2,"RepAndreCarson"
"PastorMikeJones",2,"RepAndreCarson"
"politico",2,"RepAndreCarson"
"PurdueExtension",2,"RepAndreCarson"
"RachelP13",2,"RepAndreCarson"
"RafaelOnTV",2,"RepAndreCarson"
"RepAdamSchiff",2,"RepAndreCarson"
"RepDannyDavis",2,"RepAndreCarson"
"RepDonBeyer",2,"RepAndreCarson"
"repjoecrowley",2,"RepAndreCarson"
"RepKarenBass",2,"RepAndreCarson"
"RepTimRyan",2,"RepAndreCarson"
"RepVeasey",2,"RepAndreCarson"
"RepVisclosky",2,"RepAndreCarson"
"RepWilson",2,"RepAndreCarson"
