"Mention","Frequency","screen_name"
"RepAnnaEshoo",355,"RepAnnaEshoo"
"FCC",78,"RepAnnaEshoo"
"RepZoeLofgren",44,"RepAnnaEshoo"
"EnergyCommerce",42,"RepAnnaEshoo"
"NancyPelosi",38,"RepAnnaEshoo"
"realDonaldTrump",34,"RepAnnaEshoo"
"AjitPaiFCC",32,"RepAnnaEshoo"
"POTUS",29,"RepAnnaEshoo"
"mercnews",27,"RepAnnaEshoo"
"SVLeadershipGrp",21,"RepAnnaEshoo"
"CoveredCA",17,"RepAnnaEshoo"
"JRosenworcel",14,"RepAnnaEshoo"
"RepGoodlatte",14,"RepAnnaEshoo"
"RepMikeHonda",13,"RepAnnaEshoo"
"SenWhitehouse",13,"RepAnnaEshoo"
"TomWheelerFCC",13,"RepAnnaEshoo"
"Caltrain",12,"RepAnnaEshoo"
"DorisMatsui",12,"RepAnnaEshoo"
"AAUW",11,"RepAnnaEshoo"
"DarrellIssa",11,"RepAnnaEshoo"
"HouseDemocrats",11,"RepAnnaEshoo"
"Josh_Richman",11,"RepAnnaEshoo"
"MARKEYMEMO",11,"RepAnnaEshoo"
"sccounty",11,"RepAnnaEshoo"
"Stanford",11,"RepAnnaEshoo"
"mozilla",10,"RepAnnaEshoo"
"PanCAN",10,"RepAnnaEshoo"
"RepSpeier",10,"RepAnnaEshoo"
"ronnowens",10,"RepAnnaEshoo"
"USRepMikeDoyle",10,"RepAnnaEshoo"
"WhiteHouse",10,"RepAnnaEshoo"
"HouseGOP",9,"RepAnnaEshoo"
"paloaltoweekly",9,"RepAnnaEshoo"
"RepJimmyPanetta",9,"RepAnnaEshoo"
"SenMarkey",9,"RepAnnaEshoo"
"SpeakerRyan",9,"RepAnnaEshoo"
"StanfordWBB",9,"RepAnnaEshoo"
"CarlGuardino",8,"RepAnnaEshoo"
"gigibsohn",8,"RepAnnaEshoo"
"NASAAmes",8,"RepAnnaEshoo"
"NetCaucusAC",8,"RepAnnaEshoo"
"CALFIRECZU",7,"RepAnnaEshoo"
"CongressionalAC",7,"RepAnnaEshoo"
"RepShimkus",7,"RepAnnaEshoo"
"VAPaloAlto",7,"RepAnnaEshoo"
"washingtonpost",7,"RepAnnaEshoo"
"129RQW",6,"RepAnnaEshoo"
"BarackObama",6,"RepAnnaEshoo"
"cspan",6,"RepAnnaEshoo"
"facebook",6,"RepAnnaEshoo"
"LCVoters",6,"RepAnnaEshoo"
"RepMcKinley",6,"RepAnnaEshoo"
"rollcall",6,"RepAnnaEshoo"
"SenFeinstein",6,"RepAnnaEshoo"
"US_FDA",6,"RepAnnaEshoo"
"USATODAY",6,"RepAnnaEshoo"
"USTreasury",6,"RepAnnaEshoo"
"WaxmanClimate",6,"RepAnnaEshoo"
"Advocate4PanCAN",5,"RepAnnaEshoo"
"calhealthcare",5,"RepAnnaEshoo"
"HealthCareGov",5,"RepAnnaEshoo"
"McDowellTweet",5,"RepAnnaEshoo"
"MClyburnFCC",5,"RepAnnaEshoo"
"nbcbayarea",5,"RepAnnaEshoo"
"nwlc",5,"RepAnnaEshoo"
"RepBarbaraLee",5,"RepAnnaEshoo"
