"Hashtag","Frequency","screen_name"
"IL11",114,"RepBillFoster"
"SOTU",61,"RepBillFoster"
"STEM",53,"RepBillFoster"
"immigration",25,"RepBillFoster"
"TimeIsNow",22,"RepBillFoster"
"OpioidEpidemic",20,"RepBillFoster"
"ACA",18,"RepBillFoster"
"science",17,"RepBillFoster"
"DACA",15,"RepBillFoster"
"ClimateChange",14,"RepBillFoster"
"CongressScienceGuy",14,"RepBillFoster"
"IranDeal",14,"RepBillFoster"
"RenewUI",14,"RepBillFoster"
"backtoscience",12,"RepBillFoster"
"climatechange",12,"RepBillFoster"
"CIR",11,"RepBillFoster"
"ImmigrationReform",11,"RepBillFoster"
"LGBT",11,"RepBillFoster"
"PayerState",11,"RepBillFoster"
"GOPTaxScam",10,"RepBillFoster"
"heroin",10,"RepBillFoster"
"immigrationreform",10,"RepBillFoster"
"LGBTQ",10,"RepBillFoster"
"Medicare",10,"RepBillFoster"
"RaiseTheWage",10,"RepBillFoster"
"GetCovered",9,"RepBillFoster"
"PiDay",9,"RepBillFoster"
"CIRMeansJobs",8,"RepBillFoster"
"Illinois",8,"RepBillFoster"
"NoBillNoBreak",8,"RepBillFoster"
"timeisnow",8,"RepBillFoster"
"Valentines4Vets",8,"RepBillFoster"
"BillRidesTheBus",7,"RepBillFoster"
"DisarmHate",7,"RepBillFoster"
"DoddFrank",7,"RepBillFoster"
"EntrepreneursDay",7,"RepBillFoster"
"EqualPay",7,"RepBillFoster"
"FabLab",7,"RepBillFoster"
"IL",7,"RepBillFoster"
"MuslimBan",7,"RepBillFoster"
"NationOfMakers",7,"RepBillFoster"
"ProtectDreamers",7,"RepBillFoster"
"research",7,"RepBillFoster"
"RightToWork",7,"RepBillFoster"
"SCOTUS",7,"RepBillFoster"
"StandWithPP",7,"RepBillFoster"
"StarWars",7,"RepBillFoster"
"TBT",7,"RepBillFoster"
"3DPrinting",6,"RepBillFoster"
"ActOnClimate",6,"RepBillFoster"
"AskAnAstronaut",6,"RepBillFoster"
"CancerMoonshot",6,"RepBillFoster"
"DontDoubleMyRate",6,"RepBillFoster"
"DREAMers",6,"RepBillFoster"
"equality",6,"RepBillFoster"
"EqualityAct",6,"RepBillFoster"
"equalpay",6,"RepBillFoster"
"FF",6,"RepBillFoster"
"healthcare",6,"RepBillFoster"
"MakeItInAmerica",6,"RepBillFoster"
"ProtectOurCare",6,"RepBillFoster"
"SNAP",6,"RepBillFoster"
"VeteransDay",6,"RepBillFoster"
"2015Review",5,"RepBillFoster"
"Aurora",5,"RepBillFoster"
"BackToScience",5,"RepBillFoster"
"CAC2016",5,"RepBillFoster"
"CoalAsh",5,"RepBillFoster"
"DefendDACA",5,"RepBillFoster"
"Dreamers",5,"RepBillFoster"
"EndGunViolence",5,"RepBillFoster"
"GOPBudget",5,"RepBillFoster"
"HourOfCode",5,"RepBillFoster"
"Joliet",5,"RepBillFoster"
"MarriageEquality",5,"RepBillFoster"
"Naperville",5,"RepBillFoster"
"PopeFrancis",5,"RepBillFoster"
"PopeInDC",5,"RepBillFoster"
"RDCaucus",5,"RepBillFoster"
"SandraBland",5,"RepBillFoster"
"Science",5,"RepBillFoster"
"trans",5,"RepBillFoster"
"TrumpShutdown",5,"RepBillFoster"
"workharderforless",5,"RepBillFoster"
"Zika",5,"RepBillFoster"
"BlackHistoryMonth",4,"RepBillFoster"
"CitizensUnited",4,"RepBillFoster"
"CivilRightsAct1964",4,"RepBillFoster"
"Congress",4,"RepBillFoster"
"EarthDay",4,"RepBillFoster"
"Enough",4,"RepBillFoster"
"EnoughAlready",4,"RepBillFoster"
"EqualityForward",4,"RepBillFoster"
"ExIm4Jobs",4,"RepBillFoster"
"FlyTheW",4,"RepBillFoster"
"GOPshutdown",4,"RepBillFoster"
"gunviolence",4,"RepBillFoster"
"GunViolence",4,"RepBillFoster"
"innovation",4,"RepBillFoster"
"jobs",4,"RepBillFoster"
"LaborDay",4,"RepBillFoster"
"manufacturing",4,"RepBillFoster"
"marchforscience",4,"RepBillFoster"
"NationalPoliceWeek",4,"RepBillFoster"
"NeverForget",4,"RepBillFoster"
"NewDems",4,"RepBillFoster"
"opioidepidemic",4,"RepBillFoster"
"p2",4,"RepBillFoster"
"PaycheckFairnessAct",4,"RepBillFoster"
"POTUSbudget",4,"RepBillFoster"
"ProtectDREAMers",4,"RepBillFoster"
"SmallBusinessWeek",4,"RepBillFoster"
"StandwithPP",4,"RepBillFoster"
"STEMed",4,"RepBillFoster"
"TrumpBudget",4,"RepBillFoster"
"TrumpCare",4,"RepBillFoster"
"vaccines",4,"RepBillFoster"
"veterans",4,"RepBillFoster"
"WallStReformWorks",4,"RepBillFoster"
"WeNeedNine",4,"RepBillFoster"
"WHScienceFair",4,"RepBillFoster"
"WomensEqualityDay",4,"RepBillFoster"
"WomenSucceed",4,"RepBillFoster"
"3DPrintingDay",3,"RepBillFoster"
"4thofJuly",3,"RepBillFoster"
"ARPAE16",3,"RepBillFoster"
"Chicago",3,"RepBillFoster"
"ChiSciFest",3,"RepBillFoster"
"congressscienceguy",3,"RepBillFoster"
"CRISPR",3,"RepBillFoster"
"DAPA",3,"RepBillFoster"
"DefendScience",3,"RepBillFoster"
"DontShutDownOurSecurity",3,"RepBillFoster"
"DoYourJob",3,"RepBillFoster"
"DREAMAct",3,"RepBillFoster"
"ENDALZ",3,"RepBillFoster"
"EqualPayDay",3,"RepBillFoster"
"EyesonChechnya",3,"RepBillFoster"
"FabLabs",3,"RepBillFoster"
"farmbill",3,"RepBillFoster"
"FarmBill",3,"RepBillFoster"
"FastTrack",3,"RepBillFoster"
"FathersDay",3,"RepBillFoster"
"flatstanleyfriday",3,"RepBillFoster"
"FundScience",3,"RepBillFoster"
"futureofwork",3,"RepBillFoster"
"Gettysburg150",3,"RepBillFoster"
"GroundhogDay",3,"RepBillFoster"
"Immigration",3,"RepBillFoster"
"ImmigrationAction",3,"RepBillFoster"
"InnovationDeficit",3,"RepBillFoster"
"Internships",3,"RepBillFoster"
"Manufacturing",3,"RepBillFoster"
"Medicaid",3,"RepBillFoster"
"MemorialDay",3,"RepBillFoster"
"MIIAWhatsNext",3,"RepBillFoster"
"MLKDay",3,"RepBillFoster"
"MLKDream50",3,"RepBillFoster"
"MyBrothersKeeper",3,"RepBillFoster"
"NetNeutrality",3,"RepBillFoster"
"NLRB",3,"RepBillFoster"
"NN17",3,"RepBillFoster"
"opioid",3,"RepBillFoster"
"ParisAgreement",3,"RepBillFoster"
"physics",3,"RepBillFoster"
"ProtectTransTroops",3,"RepBillFoster"
"secretscience",3,"RepBillFoster"
"September11",3,"RepBillFoster"
"Service",3,"RepBillFoster"
"shutdown",3,"RepBillFoster"
"SmallBizSat",3,"RepBillFoster"
"SocialSecurity",3,"RepBillFoster"
"StudentLoans",3,"RepBillFoster"
"TeamUSA",3,"RepBillFoster"
"Thanksgiving",3,"RepBillFoster"
