"Hashtag","Frequency","screen_name"
"VoteReady",26,"RepBobbyRush"
"BlackHistoryMonth",23,"RepBobbyRush"
"SOTU",19,"RepBobbyRush"
"GOPTaxScam",15,"RepBobbyRush"
"TrumpShutdown",13,"RepBobbyRush"
"ACA",12,"RepBobbyRush"
"hcr",10,"RepBobbyRush"
"IL",7,"RepBobbyRush"
"EnoughIsEnough",6,"RepBobbyRush"
"NetNeutrality",6,"RepBobbyRush"
"Trumpcare",6,"RepBobbyRush"
"ABetterDeal",5,"RepBobbyRush"
"CHIP",5,"RepBobbyRush"
"ActOnClimate",4,"RepBobbyRush"
"DACA",4,"RepBobbyRush"
"MiddleClassFirst",4,"RepBobbyRush"
"ProtectOurCare",4,"RepBobbyRush"
"TrumpCare",4,"RepBobbyRush"
"BHM",3,"RepBobbyRush"
"BringBackOurGirls",3,"RepBobbyRush"
"climatechange",3,"RepBobbyRush"
"DakotaAccessPipeline",3,"RepBobbyRush"
"debt",3,"RepBobbyRush"
"DoYourJob",3,"RepBobbyRush"
"Equifax",3,"RepBobbyRush"
"GOPShutdown",3,"RepBobbyRush"
"HumanTrafficking",3,"RepBobbyRush"
"MakeAmericaSickAgain",3,"RepBobbyRush"
"Medicare",3,"RepBobbyRush"
"MLKDay",3,"RepBobbyRush"
"NeverForget",3,"RepBobbyRush"
"ParklandStudentsSpeak",3,"RepBobbyRush"
"SCOTUS",3,"RepBobbyRush"
"SocialSecurity",3,"RepBobbyRush"
"WorldAIDSDay",3,"RepBobbyRush"
"Chatham",2,"RepBobbyRush"
"Chicago",2,"RepBobbyRush"
"ChisholminUSCapitol",2,"RepBobbyRush"
"ConfirmLynch",2,"RepBobbyRush"
"consumers",2,"RepBobbyRush"
"DADT",2,"RepBobbyRush"
"DontShutDownOurSecurity",2,"RepBobbyRush"
"DREAMers",2,"RepBobbyRush"
"EarthDay",2,"RepBobbyRush"
"EndGunViolence",2,"RepBobbyRush"
"energyjobs",2,"RepBobbyRush"
"equalpay",2,"RepBobbyRush"
"EqualPayDay",2,"RepBobbyRush"
"FlashbackFriday",2,"RepBobbyRush"
"FlintWaterCrisis",2,"RepBobbyRush"
"FMLA25",2,"RepBobbyRush"
"FollowTheFacts",2,"RepBobbyRush"
"FosterYouthVoices",2,"RepBobbyRush"
"GetCovered",2,"RepBobbyRush"
