"Mention","Frequency","screen_name"
"POTUS",15,"RepBonamici"
"SenJeffMerkley",14,"RepBonamici"
"CFPB",11,"RepBonamici"
"Portland_State",9,"RepBonamici"
"PortlandCC",9,"RepBonamici"
"repblumenauer",9,"RepBonamici"
"TimbersFC",9,"RepBonamici"
"BarackObama",8,"RepBonamici"
"FCC",8,"RepBonamici"
"RonWyden",7,"RepBonamici"
"DHSgov",6,"RepBonamici"
"EPA",6,"RepBonamici"
"repbobbyscott",6,"RepBonamici"
"repjohnlewis",6,"RepBonamici"
"usedgov",6,"RepBonamici"
"WhiteHouse",6,"RepBonamici"
"EdWorkforce",5,"RepBonamici"
"HouseDemocrats",5,"RepBonamici"
"HouseGOP",5,"RepBonamici"
"KGWStraightTalk",5,"RepBonamici"
"NEAJaneChu",5,"RepBonamici"
"NOAA",5,"RepBonamici"
"OHSUNews",5,"RepBonamici"
"RepStefanik",5,"RepBonamici"
"Univ_Of_Oregon",5,"RepBonamici"
"USPS",5,"RepBonamici"
"BetsyDeVosED",4,"RepBonamici"
"familyforward",4,"RepBonamici"
"NEAarts",4,"RepBonamici"
"NEHgov",4,"RepBonamici"
"OurOcean",4,"RepBonamici"
"realDonaldTrump",4,"RepBonamici"
"RepSchrader",4,"RepBonamici"
"ThornsFC",4,"RepBonamici"
"WashcoOregon",4,"RepBonamici"
"WestviewCats",4,"RepBonamici"
"Americans4Arts",3,"RepBonamici"
"ChrisMurphyCT",3,"RepBonamici"
"ColumbiaEstuary",3,"RepBonamici"
"CoryBooker",3,"RepBonamici"
"DailyAstorian",3,"RepBonamici"
"edworkforcedems",3,"RepBonamici"
"HillsboroArgus",3,"RepBonamici"
"HouseScience",3,"RepBonamici"
"iaff43",3,"RepBonamici"
"johnmaeda",3,"RepBonamici"
"LauralPorter",3,"RepBonamici"
"MealsWheelsPpl",3,"RepBonamici"
"NancyPelosi",3,"RepBonamici"
"NASA",3,"RepBonamici"
"NIH",3,"RepBonamici"
"Nike",3,"RepBonamici"
"oregoneducation",3,"RepBonamici"
"OregonTech",3,"RepBonamici"
"pacificu",3,"RepBonamici"
"PattyMurray",3,"RepBonamici"
"PDXFire",3,"RepBonamici"
"PPAdvocatesOR",3,"RepBonamici"
"repaaronschock",3,"RepBonamici"
"RepPeterDeFazio",3,"RepBonamici"
"RepSusanDavis",3,"RepBonamici"
"SciCmteDems",3,"RepBonamici"
"SenatorBaldwin",3,"RepBonamici"
"SenWarren",3,"RepBonamici"
"stemtosteam",3,"RepBonamici"
"AmericanCancer",2,"RepBonamici"
"basicrights",2,"RepBonamici"
"BeavertonHigh",2,"RepBonamici"
"BeavertonSD",2,"RepBonamici"
"BobbyScott",2,"RepBonamici"
"callruby",2,"RepBonamici"
"CapitolPolice",2,"RepBonamici"
"CarlWolfson",2,"RepBonamici"
"CDCgov",2,"RepBonamici"
"chostetler15",2,"RepBonamici"
"ClatsopCC",2,"RepBonamici"
"Columbia1938",2,"RepBonamici"
"CongressionalAC",2,"RepBonamici"
"DeptVetAffairs",2,"RepBonamici"
"DOE_SC_NSB",2,"RepBonamici"
"ElijahECummings",2,"RepBonamici"
"EPAScottPruitt",2,"RepBonamici"
"ESA_org",2,"RepBonamici"
"FIRSTweets",2,"RepBonamici"
"girls_inc",2,"RepBonamici"
"girlscouts",2,"RepBonamici"
"HerreraBeutler",2,"RepBonamici"
"HigherEdNotDebt",2,"RepBonamici"
"HillsboroTrib",2,"RepBonamici"
"HotWiredFTC7013",2,"RepBonamici"
"HouseFloor",2,"RepBonamici"
"HRC",2,"RepBonamici"
"intel",2,"RepBonamici"
"JimLangevin",2,"RepBonamici"
"KEEN",2,"RepBonamici"
"Lines_for_Life",2,"RepBonamici"
"McMSchools",2,"RepBonamici"
"MomsDemand",2,"RepBonamici"
"nature_oregon",2,"RepBonamici"
"NLRB",2,"RepBonamici"
"NOH8Campaign",2,"RepBonamici"
"OHSUKnight",2,"RepBonamici"
"OPB",2,"RepBonamici"
"Oracle",2,"RepBonamici"
"oregonfoodbank",2,"RepBonamici"
"OregonGovBrown",2,"RepBonamici"
"oregonpta",2,"RepBonamici"
"oregonstateuniv",2,"RepBonamici"
"PPSConnect",2,"RepBonamici"
"prochoiceoregon",2,"RepBonamici"
"qcenter",2,"RepBonamici"
"RepBonamici",2,"RepBonamici"
"RepDrewFerguson",2,"RepBonamici"
"RepEsty",2,"RepBonamici"
"repgregwalden",2,"RepBonamici"
"risd",2,"RepBonamici"
"rosadelauro",2,"RepBonamici"
"SBAgov",2,"RepBonamici"
"SpeakerBoehner",2,"RepBonamici"
"SpeakerRyan",2,"RepBonamici"
"StateDept",2,"RepBonamici"
"StollerPOWER1",2,"RepBonamici"
"TechGirls",2,"RepBonamici"
"transitionpro",2,"RepBonamici"
"TuTogether",2,"RepBonamici"
"urbanairship",2,"RepBonamici"
"USATODAY",2,"RepBonamici"
"USCG",2,"RepBonamici"
"uscoastguard",2,"RepBonamici"
"USDA",2,"RepBonamici"
"USDOL",2,"RepBonamici"
"VernierST",2,"RepBonamici"
"WhipHoyer",2,"RepBonamici"
"YoungAudiences_",2,"RepBonamici"
"_MealsOnWheels",1,"RepBonamici"
"10Best",1,"RepBonamici"
"2WeeksReady",1,"RepBonamici"
"4488Shockwave",1,"RepBonamici"
"4Nathalie",1,"RepBonamici"
"AAASforum",1,"RepBonamici"
"AACTE",1,"RepBonamici"
"AARP",1,"RepBonamici"
"AARPOR",1,"RepBonamici"
"abominablelabs",1,"RepBonamici"
"ACLgov",1,"RepBonamici"
"ACLU_OR",1,"RepBonamici"
"adidasUS",1,"RepBonamici"
"aids2012",1,"RepBonamici"
"aitruthfilm",1,"RepBonamici"
"AlaskaAir",1,"RepBonamici"
"algore",1,"RepBonamici"
"almachocolate",1,"RepBonamici"
"AlohaHighSchool",1,"RepBonamici"
"alzoregon",1,"RepBonamici"
"American_Heart",1,"RepBonamici"
"AmericanWinter",1,"RepBonamici"
"AmHeartAdvocacy",1,"RepBonamici"
"amyklobuchar",1,"RepBonamici"
"AndrewWheating",1,"RepBonamici"
"annaelsafeldman",1,"RepBonamici"
"apano",1,"RepBonamici"
"arneduncan",1,"RepBonamici"
"ASHAnews",1,"RepBonamici"
"AshtonJEaton",1,"RepBonamici"
"Astoria_OR",1,"RepBonamici"
"AstoriaColumn",1,"RepBonamici"
"AstoriaOregon",1,"RepBonamici"
"astro_kjell",1,"RepBonamici"
"Bag_n_Baggage",1,"RepBonamici"
"BanksFire",1,"RepBonamici"
"BCTGM",1,"RepBonamici"
"BeavertonBakery",1,"RepBonamici"
"beavertonED",1,"RepBonamici"
"BeavertonLib",1,"RepBonamici"
"BGCPortland",1,"RepBonamici"
"BienestarOR",1,"RepBonamici"
"BIKETOWNpdx",1,"RepBonamici"
"blueraevenfarms",1,"RepBonamici"
"bonsai_mirai",1,"RepBonamici"
"bradpomerance",1,"RepBonamici"
"bread4theworld",1,"RepBonamici"
"btaoregon",1,"RepBonamici"
"busproject",1,"RepBonamici"
"Cannon",1,"RepBonamici"
"carleson",1,"RepBonamici"
"CausaOregon",1,"RepBonamici"
"CecileRichards",1,"RepBonamici"
"CharlieInDC",1,"RepBonamici"
"ChrisCoons",1,"RepBonamici"
"Chrome_Ind",1,"RepBonamici"
"CityofHillsboro",1,"RepBonamici"
"CitySherwood",1,"RepBonamici"
"CivicEducation",1,"RepBonamici"
"clairecmc",1,"RepBonamici"
"ClatsopEM",1,"RepBonamici"
"CloseUp_DC",1,"RepBonamici"
"cloudability",1,"RepBonamici"
"Clyburn",1,"RepBonamici"
"coastradio",1,"RepBonamici"
"CodeforPortland",1,"RepBonamici"
"coffeecottage",1,"RepBonamici"
"columbiacoem",1,"RepBonamici"
"ColumbusBrewing",1,"RepBonamici"
"CommerceGov",1,"RepBonamici"
"CommishFish",1,"RepBonamici"
"CoquinePDX",1,"RepBonamici"
"CORLibrary",1,"RepBonamici"
"Craft3Org",1,"RepBonamici"
"cspan",1,"RepBonamici"
"cspanwj",1,"RepBonamici"
"CutMyTimber",1,"RepBonamici"
"cwinter3",1,"RepBonamici"
"cwpp",1,"RepBonamici"
"CWSoftballGame",1,"RepBonamici"
"davidcicilline",1,"RepBonamici"
"DCBullyBusters",1,"RepBonamici"
"dcunited",1,"RepBonamici"
"DeptofDefense",1,"RepBonamici"
"DevinNunes",1,"RepBonamici"
"DevonAllen13",1,"RepBonamici"
"DHarp100mH",1,"RepBonamici"
"e2org",1,"RepBonamici"
"EarthEcho",1,"RepBonamici"
"EcoBinary",1,"RepBonamici"
"ecybermission",1,"RepBonamici"
"editorswindler",1,"RepBonamici"
"elementaltech",1,"RepBonamici"
"endrapeoncampus",1,"RepBonamici"
"EnergyTrustOR",1,"RepBonamici"
"evanmcsan",1,"RepBonamici"
"EximBankUS",1,"RepBonamici"
"fema",1,"RepBonamici"
"FGNewsTimes",1,"RepBonamici"
"FGRotary",1,"RepBonamici"
"FirstTechFed",1,"RepBonamici"
"FlairWalk",1,"RepBonamici"
