"Mention","Frequency","screen_name"
"RepBrady",71,"RepBrady"
"HouseAdm_Dems",47,"RepBrady"
"HouseDemocrats",10,"RepBrady"
"WhipHoyer",9,"RepBrady"
"BarackObama",8,"RepBrady"
"GPCAHunger",8,"RepBrady"
"LeaderHoyer",7,"RepBrady"
"chakafattah",6,"RepBrady"
"HouseGOP",5,"RepBrady"
"HRC",5,"RepBrady"
"jfagone",5,"RepBrady"
"SFnicko",5,"RepBrady"
"SpeakerBoehner",5,"RepBrady"
"jaketapper",4,"RepBrady"
"Jordanfabian",4,"RepBrady"
"PhillyMayor",4,"RepBrady"
"RepZoeLofgren",4,"RepBrady"
"TX20CharlieG",4,"RepBrady"
"WhiteHouse",4,"RepBrady"
"Eagles",3,"RepBrady"
"Michael_Nutter",3,"RepBrady"
"NancyPelosi",3,"RepBrady"
"PhillyDailyNews",3,"RepBrady"
"PhillyPolice",3,"RepBrady"
"repjohnlewis",3,"RepBrady"
"SpeakerPelosi",3,"RepBrady"
"tweetcongress",3,"RepBrady"
"USArmy",3,"RepBrady"
"USNavy",3,"RepBrady"
"aircraftcarrier",2,"RepBrady"
"Clyburn",2,"RepBrady"
"HealthCareGov",2,"RepBrady"
"KimmelCenter",2,"RepBrady"
"LibertyUSO",2,"RepBrady"
"mobettabee",2,"RepBrady"
"NBCPhiladelphia",2,"RepBrady"
"Philabundance",2,"RepBrady"
"PhiladelphiaGov",2,"RepBrady"
"PhillyFIGHT",2,"RepBrady"
"PHLPublicHealth",2,"RepBrady"
"questlove",2,"RepBrady"
"RepJerryNadler",2,"RepBrady"
"RepJuanVargas",2,"RepBrady"
"RepMeehan",2,"RepBrady"
"RepMikeCapuano",2,"RepBrady"
"RepSpeier",2,"RepBrady"
"RepTierney",2,"RepBrady"
"SEPTA",2,"RepBrady"
"thekidet",2,"RepBrady"
"UDPolice",2,"RepBrady"
"WakeupwithBill",2,"RepBrady"
"25ID",1,"RepBrady"
"6abc",1,"RepBrady"
"900amwurd",1,"RepBrady"
"AARPPA",1,"RepBrady"
"AAUW",1,"RepBrady"
"AFTunion",1,"RepBrady"
"allinwithchris",1,"RepBrady"
"amaditalks",1,"RepBrady"
"Amtrak",1,"RepBrady"
"ASPCA",1,"RepBrady"
"Axalta",1,"RepBrady"
"BillPascrell",1,"RepBrady"
"brookebrower",1,"RepBrady"
"bwaxman",1,"RepBrady"
"bxknits",1,"RepBrady"
"CapehartJ",1,"RepBrady"
"CapitolPolice",1,"RepBrady"
"CarolCNN",1,"RepBrady"
"carolynmccarthy",1,"RepBrady"
"CeaseFirePA",1,"RepBrady"
"ChesterPolice",1,"RepBrady"
"ChrisVanHollen",1,"RepBrady"
"CityChesterPA",1,"RepBrady"
"CleverReMark",1,"RepBrady"
"CNNnewsroom",1,"RepBrady"
"ConnorBarwin98",1,"RepBrady"
"CouncilwomanBRB",1,"RepBrady"
"Dahlkemper",1,"RepBrady"
"davelevinthal",1,"RepBrady"
"DavidCornDC",1,"RepBrady"
"DeeleyforPhilly",1,"RepBrady"
"DEFYFoundation",1,"RepBrady"
"DelRivCoalition",1,"RepBrady"
"DeptVetAffairs",1,"RepBrady"
"DianaInCT",1,"RepBrady"
"Don_HB",1,"RepBrady"
"donnabrazile",1,"RepBrady"
"DRPA_PAandNJ",1,"RepBrady"
"EACgov",1,"RepBrady"
"edworkforcedems",1,"RepBrady"
"FairElections",1,"RepBrady"
"FamiliesUSA",1,"RepBrady"
"FCC",1,"RepBrady"
"FPAction",1,"RepBrady"
"fractweets",1,"RepBrady"
"GabbyGiffords",1,"RepBrady"
"GovBrewer",1,"RepBrady"
"GreggHarper",1,"RepBrady"
"HelpUSA",1,"RepBrady"
"HouseFloor",1,"RepBrady"
"HungerFreeCtr",1,"RepBrady"
"iava",1,"RepBrady"
"INDEPENDENCENHP",1,"RepBrady"
"janschakowsky",1,"RepBrady"
"JFedinPhilly",1,"RepBrady"
"Jim_Gardner",1,"RepBrady"
"JimFKenney",1,"RepBrady"
"jjaeger3",1,"RepBrady"
"JohnCarneyDE",1,"RepBrady"
"JonathanTamari",1,"RepBrady"
"joshrlewis",1,"RepBrady"
"JoshWilliams65",1,"RepBrady"
"JuliaBrownley26",1,"RepBrady"
"karinanewton",1,"RepBrady"
"katierosenberg",1,"RepBrady"
"keithellison",1,"RepBrady"
"Kevincarrolljr",1,"RepBrady"
"kwelkernbc",1,"RepBrady"
"LCVoters",1,"RepBrady"
"louiseslaughter",1,"RepBrady"
"MatthewGiacobb2",1,"RepBrady"
"mccombsc72",1,"RepBrady"
"MCW1",1,"RepBrady"
"MEPFuller",1,"RepBrady"
"mike_pence",1,"RepBrady"
"mitchellreports",1,"RepBrady"
"MMAFA",1,"RepBrady"
"MomsDemand",1,"RepBrady"
"Mr4thDistrict",1,"RepBrady"
"MSNBC",1,"RepBrady"
"muralarts",1,"RepBrady"
"NakedAxiom",1,"RepBrady"
"NationalZoo",1,"RepBrady"
