"Mention","Frequency","screen_name"
"RepCardenas",622,"RepCardenas"
"HouseGOP",71,"RepCardenas"
"POTUS",57,"RepCardenas"
"HispanicCaucus",48,"RepCardenas"
"realDonaldTrump",43,"RepCardenas"
"FCC",39,"RepCardenas"
"RosLehtinen",38,"RepCardenas"
"HouseDemocrats",35,"RepCardenas"
"SpeakerBoehner",29,"RepCardenas"
"Pontifex",28,"RepCardenas"
"EnergyCommerce",27,"RepCardenas"
"WhipHoyer",25,"RepCardenas"
"GOP",24,"RepCardenas"
"CoveredCA",22,"RepCardenas"
"arneduncan",20,"RepCardenas"
"HHFoundation",20,"RepCardenas"
"NEVHC",19,"RepCardenas"
"HouseNewDems",17,"RepCardenas"
"NALEO",15,"RepCardenas"
"SpeakerRyan",15,"RepCardenas"
"farenthold",14,"RepCardenas"
"WhiteHouse",14,"RepCardenas"
"LAFD",13,"RepCardenas"
"SSWorks",13,"RepCardenas"
"JRosenworcel",12,"RepCardenas"
"RepGuthrie",12,"RepCardenas"
"USCIS",12,"RepCardenas"
"FightCrime",11,"RepCardenas"
"greathousetweet",11,"RepCardenas"
"theCFSY",11,"RepCardenas"
"Dodgers",10,"RepCardenas"
"hertzieLA",10,"RepCardenas"
"LASchools",10,"RepCardenas"
"NancyPelosi",10,"RepCardenas"
"NatImmForum",10,"RepCardenas"
"RepKinzinger",10,"RepCardenas"
"ChrisMurphyCT",9,"RepCardenas"
"CMSGov",9,"RepCardenas"
"CongYouthCaucus",9,"RepCardenas"
"NoHoKev",9,"RepCardenas"
"NormaJTorres",9,"RepCardenas"
"repbobbyscott",9,"RepCardenas"
"RepRubenGallego",9,"RepCardenas"
"CHCI",8,"RepCardenas"
"CongressionalAC",8,"RepCardenas"
"LSRorg",8,"RepCardenas"
"PPFA",8,"RepCardenas"
"RepBecerra",8,"RepCardenas"
"RepDelBene",8,"RepCardenas"
"RepLindaSanchez",8,"RepCardenas"
"suziiqq",8,"RepCardenas"
"TomWheelerFCC",8,"RepCardenas"
"ussoccer",8,"RepCardenas"
"CALifeSciences",7,"RepCardenas"
"csunorthridge",7,"RepCardenas"
"davereichert",7,"RepCardenas"
"ericgarcetti",7,"RepCardenas"
"JerryBrownGov",7,"RepCardenas"
"KarenthePeach",7,"RepCardenas"
"LACoFDPIO",7,"RepCardenas"
"LorettaSanchez",7,"RepCardenas"
"MayorOfLA",7,"RepCardenas"
"NBCLA",7,"RepCardenas"
"sarahdwire",7,"RepCardenas"
"seemaiyeresq",7,"RepCardenas"
"TheJusticeDept",7,"RepCardenas"
"15TOLIFEthefilm",6,"RepCardenas"
"Career_RltyChk",6,"RepCardenas"
"cesarmillan",6,"RepCardenas"
"CoryBooker",6,"RepCardenas"
"CoveredCA_es",6,"RepCardenas"
"goldenstatemade",6,"RepCardenas"
"GOPLeader",6,"RepCardenas"
"HRClinton",6,"RepCardenas"
"LAPDHQ",6,"RepCardenas"
"LAValleyCollege",6,"RepCardenas"
"MainSt4Growth",6,"RepCardenas"
"monaroxxs",6,"RepCardenas"
"NHTSAgov",6,"RepCardenas"
"Ollinlaw",6,"RepCardenas"
"ReadyLA",6,"RepCardenas"
"RepAdamSchiff",6,"RepCardenas"
"RepBillFoster",6,"RepCardenas"
"RepCheri",6,"RepCardenas"
"RepDonBeyer",6,"RepCardenas"
"repjoecrowley",6,"RepCardenas"
"RepJudyChu",6,"RepCardenas"
"RepLujanGrisham",6,"RepCardenas"
"RepMGriffith",6,"RepCardenas"
"TomAdler",6,"RepCardenas"
"VanNuysAirport",6,"RepCardenas"
"ABC",5,"RepCardenas"
"annachofenley",5,"RepCardenas"
"CDCgov",5,"RepCardenas"
"ChadPergram",5,"RepCardenas"
"Cmhetland",5,"RepCardenas"
"edsbs",5,"RepCardenas"
"EximBankUS",5,"RepCardenas"
"GoodwillSoCal",5,"RepCardenas"
"Heritage_Action",5,"RepCardenas"
"HillaryClinton",5,"RepCardenas"
"HumaneSociety",5,"RepCardenas"
"ICEgov",5,"RepCardenas"
