"Mention","Frequency","screen_name"
"fema",21,"RepCharlieCrist"
"StateDept",11,"RepCharlieCrist"
"VABayPines",10,"RepCharlieCrist"
"FSCDems",8,"RepCharlieCrist"
"RepMikeJohnson",8,"RepCharlieCrist"
"HealthCareGov",7,"RepCharlieCrist"
"PinellasCoNews",7,"RepCharlieCrist"
"SBAgov",7,"RepCharlieCrist"
"PinellasEM",6,"RepCharlieCrist"
"EPA",5,"RepCharlieCrist"
"JECDems",5,"RepCharlieCrist"
"NASA",5,"RepCharlieCrist"
"StPeteFL",5,"RepCharlieCrist"
"USCG",5,"RepCharlieCrist"
"CongressionalAC",4,"RepCharlieCrist"
"FLSERT",4,"RepCharlieCrist"
"Kriseman",4,"RepCharlieCrist"
"RedCross",4,"RepCharlieCrist"
"TB_Times",4,"RepCharlieCrist"
"USACEHQ",4,"RepCharlieCrist"
"BayCare",3,"RepCharlieCrist"
"DaVita",3,"RepCharlieCrist"
"IRSnews",3,"RepCharlieCrist"
"LGBTEqCaucus",3,"RepCharlieCrist"
"LockheedMartin",3,"RepCharlieCrist"
"LutheranServFla",3,"RepCharlieCrist"
"MSNBC",3,"RepCharlieCrist"
"NOAA",3,"RepCharlieCrist"
"RepBarragan",3,"RepCharlieCrist"
"SheriffPinellas",3,"RepCharlieCrist"
"TBBuccaneers",3,"RepCharlieCrist"
"USFSPevents",3,"RepCharlieCrist"
"AARPFL",2,"RepCharlieCrist"
"Airbnb",2,"RepCharlieCrist"
"Allstate",2,"RepCharlieCrist"
"CFPB",2,"RepCharlieCrist"
"cheddar",2,"RepCharlieCrist"
"CNNSotu",2,"RepCharlieCrist"
"CoveringFL",2,"RepCharlieCrist"
"eckerdcollege",2,"RepCharlieCrist"
"facebook",2,"RepCharlieCrist"
"FeedingTampaBay",2,"RepCharlieCrist"
"HouseDemocrats",2,"RepCharlieCrist"
"HRC",2,"RepCharlieCrist"
"HUDgov",2,"RepCharlieCrist"
"JaxStrong",2,"RepCharlieCrist"
"JDRF",2,"RepCharlieCrist"
"LungAssociation",2,"RepCharlieCrist"
"MacDill_AFB",2,"RepCharlieCrist"
"MorningBriefing",2,"RepCharlieCrist"
"my_pcs",2,"RepCharlieCrist"
"MyClearwater",2,"RepCharlieCrist"
"NatlHeadStart",2,"RepCharlieCrist"
"NatUrbanLeague",2,"RepCharlieCrist"
"NEAarts",2,"RepCharlieCrist"
"NFL",2,"RepCharlieCrist"
"NoLabelsOrg",2,"RepCharlieCrist"
"NWS",2,"RepCharlieCrist"
"PCUrbanLeague",2,"RepCharlieCrist"
"POTUS",2,"RepCharlieCrist"
"RepKihuen",2,"RepCharlieCrist"
"RidePSTA",2,"RepCharlieCrist"
"SenJohnMcCain",2,"RepCharlieCrist"
"SpaceX",2,"RepCharlieCrist"
"spcnews",2,"RepCharlieCrist"
"St_PHS",2,"RepCharlieCrist"
"stpetepride",2,"RepCharlieCrist"
"TheJusticeDept",2,"RepCharlieCrist"
"TomRooney",2,"RepCharlieCrist"
"USArmy",2,"RepCharlieCrist"
"USCBO",2,"RepCharlieCrist"
"WhipHoyer",2,"RepCharlieCrist"
"WklyChllnger",2,"RepCharlieCrist"
"10NewsWTSP",1,"RepCharlieCrist"
"AARCORP",1,"RepCharlieCrist"
"AARP",1,"RepCharlieCrist"
"AbigailAdvocate",1,"RepCharlieCrist"
"ActiveRetirees",1,"RepCharlieCrist"
"Aetna",1,"RepCharlieCrist"
"AjitPaiFCC",1,"RepCharlieCrist"
"AlakaiDefSys",1,"RepCharlieCrist"
"AliVelshi",1,"RepCharlieCrist"
"AmericanAir",1,"RepCharlieCrist"
"AmericanLegion",1,"RepCharlieCrist"
"Americans4Arts",1,"RepCharlieCrist"
"AnaCabrera",1,"RepCharlieCrist"
"APhAASP",1,"RepCharlieCrist"
"ArtsXchange",1,"RepCharlieCrist"
"Astro_Jeff",1,"RepCharlieCrist"
"AutismSociety",1,"RepCharlieCrist"
"BALSTampa",1,"RepCharlieCrist"
"BN9",1,"RepCharlieCrist"
"Boeing",1,"RepCharlieCrist"
"Campus_Leaders",1,"RepCharlieCrist"
"CDFIFund",1,"RepCharlieCrist"
"ChenMed",1,"RepCharlieCrist"
"CMAquarium",1,"RepCharlieCrist"
"CMSGov",1,"RepCharlieCrist"
"CNN",1,"RepCharlieCrist"
"cnntoday",1,"RepCharlieCrist"
"CokeFlorida",1,"RepCharlieCrist"
"CPBmedia",1,"RepCharlieCrist"
"cspan",1,"RepCharlieCrist"
"cvspharmacy",1,"RepCharlieCrist"
"CWSoftballGame",1,"RepCharlieCrist"
"DardenRice",1,"RepCharlieCrist"
"dedicatedsenior",1,"RepCharlieCrist"
"DefendOurFuture",1,"RepCharlieCrist"
"Delta",1,"RepCharlieCrist"
"DeptVetAffairs",1,"RepCharlieCrist"
"DowntownAbbey",1,"RepCharlieCrist"
"DSAofCentralFL",1,"RepCharlieCrist"
"DukeEnergy",1,"RepCharlieCrist"
"EEIMFG",1,"RepCharlieCrist"
"EnergyCommerce",1,"RepCharlieCrist"
"EPAScottPruitt",1,"RepCharlieCrist"
"equalityfl",1,"RepCharlieCrist"
"EtCultura",1,"RepCharlieCrist"
"Evan3Longoria",1,"RepCharlieCrist"
"evergfoundation",1,"RepCharlieCrist"
"FaithNPolitics",1,"RepCharlieCrist"
"FamilyResInc",1,"RepCharlieCrist"
"FDysplasia",1,"RepCharlieCrist"
"FirstData",1,"RepCharlieCrist"
"FL_Dream_Center",1,"RepCharlieCrist"
"FLBlue",1,"RepCharlieCrist"
"FLCities",1,"RepCharlieCrist"
"FLCreditUnions",1,"RepCharlieCrist"
"FLdefcon",1,"RepCharlieCrist"
"FLHolocaustMus",1,"RepCharlieCrist"
"FLHSMV",1,"RepCharlieCrist"
"floridabankers",1,"RepCharlieCrist"
"FloridaHouseDC",1,"RepCharlieCrist"
"floridarealtors",1,"RepCharlieCrist"
"FloridaVR",1,"RepCharlieCrist"
"FlyTPA",1,"RepCharlieCrist"
"ForensicTechno",1,"RepCharlieCrist"
"freeFallTheatre",1,"RepCharlieCrist"
"FrontierCorp",1,"RepCharlieCrist"
"FrontlineTrucks",1,"RepCharlieCrist"
"ftlchamber",1,"RepCharlieCrist"
"GabbyGiffords",1,"RepCharlieCrist"
"girlscouts",1,"RepCharlieCrist"
"GulfCoastJFCS",1,"RepCharlieCrist"
"Habitat_org",1,"RepCharlieCrist"
"HispanicCaucus",1,"RepCharlieCrist"
"hollygregory33",1,"RepCharlieCrist"
"hospitals4kids",1,"RepCharlieCrist"
"HouseBlueDogs",1,"RepCharlieCrist"
"HouseDems",1,"RepCharlieCrist"
"HouseNewDems",1,"RepCharlieCrist"
"HouseScience",1,"RepCharlieCrist"
"hsdems",1,"RepCharlieCrist"
"HSN",1,"RepCharlieCrist"
"hud",1,"RepCharlieCrist"
"indigenouschef",1,"RepCharlieCrist"
"instagram",1,"RepCharlieCrist"
"JetBlue",1,"RepCharlieCrist"
"jiveDurkey",1,"RepCharlieCrist"
"JoeBiden",1,"RepCharlieCrist"
"KeepStPeteLocal",1,"RepCharlieCrist"
