"Hashtag","Frequency","screen_name"
"CA11",76,"RepDeSaulnier"
"ICYMI",27,"RepDeSaulnier"
"ACA",17,"RepDeSaulnier"
"Trumpcare",17,"RepDeSaulnier"
"MeetMark",16,"RepDeSaulnier"
"CA11EdTour",15,"RepDeSaulnier"
"DubNation",15,"RepDeSaulnier"
"DeSaulnierTownHall",13,"RepDeSaulnier"
"MemorialDay",13,"RepDeSaulnier"
"SOTU",12,"RepDeSaulnier"
"DisarmHate",11,"RepDeSaulnier"
"VeteransDay",11,"RepDeSaulnier"
"TrumpCare",10,"RepDeSaulnier"
"CA11Pride",9,"RepDeSaulnier"
"CanServe",9,"RepDeSaulnier"
"PayMoreForLess",9,"RepDeSaulnier"
"PortChicago50",9,"RepDeSaulnier"
"ProtectOurCare",9,"RepDeSaulnier"
"ThrowbackThursday",9,"RepDeSaulnier"
"AskMark",8,"RepDeSaulnier"
"GOPTaxScam",8,"RepDeSaulnier"
"DayWithoutAWoman",7,"RepDeSaulnier"
"FindYourPark",7,"RepDeSaulnier"
"NBAFinals",7,"RepDeSaulnier"
"NeverForget",7,"RepDeSaulnier"
"equalpay",6,"RepDeSaulnier"
"MobileDistrictOffice",6,"RepDeSaulnier"
"OTD",6,"RepDeSaulnier"
"TownHall",6,"RepDeSaulnier"
"Trump",6,"RepDeSaulnier"
"TrumpShutdown",6,"RepDeSaulnier"
"CancerMoonshot",5,"RepDeSaulnier"
"EqualPay",5,"RepDeSaulnier"
"MiddleClassFirst",5,"RepDeSaulnier"
"ParisAgreement",5,"RepDeSaulnier"
"StudentsFirst",5,"RepDeSaulnier"
"TrumpRussia",5,"RepDeSaulnier"
"ACAWorks",4,"RepDeSaulnier"
"BlackHistoryMonth2018",4,"RepDeSaulnier"
"GetCovered",4,"RepDeSaulnier"
"InternationalWomensDay",4,"RepDeSaulnier"
"SocialSecurity",4,"RepDeSaulnier"
"StopGunViolence",4,"RepDeSaulnier"
"TrumpInauguration",4,"RepDeSaulnier"
"WearOrange",4,"RepDeSaulnier"
"WorkWagesandLabor",4,"RepDeSaulnier"
"ArmedForcesDay",3,"RepDeSaulnier"
"ArtComp2016",3,"RepDeSaulnier"
"BeliEVEN",3,"RepDeSaulnier"
"BlackHistoryMonth",3,"RepDeSaulnier"
"CA11pride",3,"RepDeSaulnier"
"CAC16",3,"RepDeSaulnier"
"CBOSCORE",3,"RepDeSaulnier"
"CEOpay",3,"RepDeSaulnier"
"CHIP",3,"RepDeSaulnier"
"Comey",3,"RepDeSaulnier"
"ComeyTestimony",3,"RepDeSaulnier"
"concussion",3,"RepDeSaulnier"
"CongressionalArtCompetition",3,"RepDeSaulnier"
"DreamSmallBiz",3,"RepDeSaulnier"
"EarthDay",3,"RepDeSaulnier"
"ElectionDay",3,"RepDeSaulnier"
"EndGunViolence",3,"RepDeSaulnier"
"EqualPayDay",3,"RepDeSaulnier"
"FacebookLive",3,"RepDeSaulnier"
"Fightfor15",3,"RepDeSaulnier"
"FlashbackFriday",3,"RepDeSaulnier"
"gunviolence",3,"RepDeSaulnier"
"GunVote",3,"RepDeSaulnier"
"HonorWithAction",3,"RepDeSaulnier"
"LGBT",3,"RepDeSaulnier"
"LGBTPrideMonth",3,"RepDeSaulnier"
"Medicare",3,"RepDeSaulnier"
"MobileDistrictOfficeHours",3,"RepDeSaulnier"
"NPS100",3,"RepDeSaulnier"
"Pittsburg",3,"RepDeSaulnier"
"PrescriptionDrugAbuse",3,"RepDeSaulnier"
"RaiseTheWage",3,"RepDeSaulnier"
"taxplan",3,"RepDeSaulnier"
"WagesWorkandLabor",3,"RepDeSaulnier"
"ActOnClimate",2,"RepDeSaulnier"
