"Mention","Frequency","screen_name"
"POTUS",60,"RepDeSaulnier"
"CA_Richmond",15,"RepDeSaulnier"
"CBSSF",14,"RepDeSaulnier"
"HouseGOP",14,"RepDeSaulnier"
"warriors",14,"RepDeSaulnier"
"cityofelcerrito",13,"RepDeSaulnier"
"GOP",11,"RepDeSaulnier"
"NatlParkService",11,"RepDeSaulnier"
"philmatier",11,"RepDeSaulnier"
"RepBarbaraLee",11,"RepDeSaulnier"
"WalnutCreekGov",11,"RepDeSaulnier"
"WhiteHouse",10,"RepDeSaulnier"
"EastBayTimes",9,"RepDeSaulnier"
"SpeakerRyan",8,"RepDeSaulnier"
"DanvilleINFO",7,"RepDeSaulnier"
"DVC_updates",7,"RepDeSaulnier"
"JohnMuirNPS",7,"RepDeSaulnier"
"RepMcNerney",7,"RepDeSaulnier"
"RepThompson",7,"RepDeSaulnier"
"stmarysca",7,"RepDeSaulnier"
"UCBerkeley",7,"RepDeSaulnier"
"johnmuirhealth",6,"RepDeSaulnier"
"nytimes",6,"RepDeSaulnier"
"RepPeterDeFazio",6,"RepDeSaulnier"
"abc7newsbayarea",5,"RepDeSaulnier"
"cctimes",5,"RepDeSaulnier"
"cityofmartinez",5,"RepDeSaulnier"
"CityofOrinda",5,"RepDeSaulnier"
"CityofSanPablo",5,"RepDeSaulnier"
"MtDiabloUSD",5,"RepDeSaulnier"
"repmarkpocan",5,"RepDeSaulnier"
"RosieRiveterNPS",5,"RepDeSaulnier"
"StephenCurry30",5,"RepDeSaulnier"
"BerkeleyLab",4,"RepDeSaulnier"
"CA_Concord",4,"RepDeSaulnier"
"CCCStudentLife",4,"RepDeSaulnier"
"CoveredCA",4,"RepDeSaulnier"
"edworkforcedems",4,"RepDeSaulnier"
"KTVU",4,"RepDeSaulnier"
"nbcbayarea",4,"RepDeSaulnier"
"OversightDems",4,"RepDeSaulnier"
"realDonaldTrump",4,"RepDeSaulnier"
"RepBuddyCarter",4,"RepDeSaulnier"
"supejohngioia",4,"RepDeSaulnier"
"USDOL",4,"RepDeSaulnier"
"AirResources",3,"RepDeSaulnier"
"AntiochCAgov",3,"RepDeSaulnier"
"Bradybuzz",3,"RepDeSaulnier"
"CoCoSchools",3,"RepDeSaulnier"
"EBLConline",3,"RepDeSaulnier"
"FPAction",3,"RepDeSaulnier"
"LCVoters",3,"RepDeSaulnier"
"lifeatccc",3,"RepDeSaulnier"
"MSNBC",3,"RepDeSaulnier"
"NancyPelosi",3,"RepDeSaulnier"
"RepDebDingell",3,"RepDeSaulnier"
"repjohnlewis",3,"RepDeSaulnier"
"RepTedLieu",3,"RepDeSaulnier"
"SenFeinstein",3,"RepDeSaulnier"
"sfchronicle",3,"RepDeSaulnier"
"theaward",3,"RepDeSaulnier"
"TownofMoraga",3,"RepDeSaulnier"
"usedgov",3,"RepDeSaulnier"
"Volkswagen",3,"RepDeSaulnier"
"alzassociation",2,"RepDeSaulnier"
"AmaABC7",2,"RepDeSaulnier"
"Antioch_High",2,"RepDeSaulnier"
"askgeorge",2,"RepDeSaulnier"
"CaltransD4",2,"RepDeSaulnier"
"CAREALTORS",2,"RepDeSaulnier"
"carolynlochhead",2,"RepDeSaulnier"
"Carondelet_HS",2,"RepDeSaulnier"
"cavs",2,"RepDeSaulnier"
"CCTA",2,"RepDeSaulnier"
"chemsafetyboard",2,"RepDeSaulnier"
"citizensclimate",2,"RepDeSaulnier"
"CityofRichmond",2,"RepDeSaulnier"
"CommonSense",2,"RepDeSaulnier"
"concord_high",2,"RepDeSaulnier"
"CSLB",2,"RepDeSaulnier"
"cspan",2,"RepDeSaulnier"
"ctuan",2,"RepDeSaulnier"
"debrajsaunders",2,"RepDeSaulnier"
"EPA",2,"RepDeSaulnier"
"exxonmobil",2,"RepDeSaulnier"
"FAANews",2,"RepDeSaulnier"
"GOPoversight",2,"RepDeSaulnier"
"HeadStartgov",2,"RepDeSaulnier"
"HouseDemocrats",2,"RepDeSaulnier"
"HRC",2,"RepDeSaulnier"
"HumaneSociety",2,"RepDeSaulnier"
"Interior",2,"RepDeSaulnier"
"jvanderbeken",2,"RepDeSaulnier"
"latimes",2,"RepDeSaulnier"
"LauraAnthony7",2,"RepDeSaulnier"
"librarycongress",2,"RepDeSaulnier"
"LorettaLynch",2,"RepDeSaulnier"
"losmedanos",2,"RepDeSaulnier"
"mariaCBS5",2,"RepDeSaulnier"
"NBCTheVoice",2,"RepDeSaulnier"
"NFL",2,"RepDeSaulnier"
"NIH",2,"RepDeSaulnier"
"OppJunction",2,"RepDeSaulnier"
"Pontifex",2,"RepDeSaulnier"
"RepBonnie",2,"RepDeSaulnier"
"RepHuffman",2,"RepDeSaulnier"
"RepSarbanes",2,"RepDeSaulnier"
