"Hashtag","Frequency","screen_name"
"MI",43,"RepDebDingell"
"GoBlue",37,"RepDebDingell"
"ACA",36,"RepDebDingell"
"GreatLakes",33,"RepDebDingell"
"TPP",28,"RepDebDingell"
"ProtectOurCare",22,"RepDebDingell"
"LWCF",21,"RepDebDingell"
"Safety4Survivors",21,"RepDebDingell"
"SOTU",20,"RepDebDingell"
"GetCovered",14,"RepDebDingell"
"GOPBudget",14,"RepDebDingell"
"Trumpcare",14,"RepDebDingell"
"DontShutDownOurSecurity",13,"RepDebDingell"
"CuresNow",12,"RepDebDingell"
"GOPTaxScam",12,"RepDebDingell"
"StopFastTrack",12,"RepDebDingell"
"Medicare",11,"RepDebDingell"
"TPA",11,"RepDebDingell"
"EqualPay",10,"RepDebDingell"
"WomenSucceed",10,"RepDebDingell"
"EqualPayDay",9,"RepDebDingell"
"NAFTA",9,"RepDebDingell"
"paidleave",9,"RepDebDingell"
"AskDebbie",8,"RepDebDingell"
"BankOnStudents",8,"RepDebDingell"
"CongressInYourCommunity",8,"RepDebDingell"
"ExIm4Jobs",8,"RepDebDingell"
"FlintWaterCrisis",8,"RepDebDingell"
"paidsickdays",8,"RepDebDingell"
"LaborDay",7,"RepDebDingell"
"Medicaid",7,"RepDebDingell"
"Medicare50UM",7,"RepDebDingell"
"equalpay",6,"RepDebDingell"
"Flint",6,"RepDebDingell"
"LeadOnLeave",6,"RepDebDingell"
"MothersDay",6,"RepDebDingell"
"NoFastTrack",6,"RepDebDingell"
"PaczkiDay",6,"RepDebDingell"
"SocialSecurity",6,"RepDebDingell"
"StartupDay",6,"RepDebDingell"
"TBT",6,"RepDebDingell"
"ABetterDeal",5,"RepDebDingell"
"budget",5,"RepDebDingell"
"DACA",5,"RepDebDingell"
"Funding4Wildlife",5,"RepDebDingell"
"MiddleClassFirst",5,"RepDebDingell"
"MLKDay",5,"RepDebDingell"
"NAIAS2018",5,"RepDebDingell"
"TitleIX",5,"RepDebDingell"
"TrumpCare",5,"RepDebDingell"
"ACAisWorking",4,"RepDebDingell"
"AskDems",4,"RepDebDingell"
"ChadTough",4,"RepDebDingell"
"Cures2015",4,"RepDebDingell"
"ENDALZ",4,"RepDebDingell"
"FMLA25",4,"RepDebDingell"
"FosterYouthVoices",4,"RepDebDingell"
"GrahamCassidy",4,"RepDebDingell"
"GreatLakesDay",4,"RepDebDingell"
"manufacturing",4,"RepDebDingell"
"MemorialDay",4,"RepDebDingell"
"Michigan",4,"RepDebDingell"
"NotOnePenny",4,"RepDebDingell"
"Outdoors4All",4,"RepDebDingell"
"ParisAgreement",4,"RepDebDingell"
"SCOTUS",4,"RepDebDingell"
"SenecaFalls",4,"RepDebDingell"
"September11",4,"RepDebDingell"
"STEM",4,"RepDebDingell"
"WHCOA",4,"RepDebDingell"
"Zika",4,"RepDebDingell"
"ACAWorks",3,"RepDebDingell"
"BudgetDeal",3,"RepDebDingell"
"caregiving",3,"RepDebDingell"
"CHIP",3,"RepDebDingell"
"Detroit",3,"RepDebDingell"
"EidMubarak",3,"RepDebDingell"
"EndangeredSpecies",3,"RepDebDingell"
"ExIm4jobs",3,"RepDebDingell"
"FinalFour",3,"RepDebDingell"
"FMLA22",3,"RepDebDingell"
"GreenAndWhite",3,"RepDebDingell"
"HBDJDD",3,"RepDebDingell"
"IndependenceDay",3,"RepDebDingell"
"longtermcare",3,"RepDebDingell"
"MedalofHonor",3,"RepDebDingell"
"MedalOfHonor",3,"RepDebDingell"
"MHM2016",3,"RepDebDingell"
"MISaferCampus",3,"RepDebDingell"
"NetNeutrality",3,"RepDebDingell"
"NoBillNoBreak",3,"RepDebDingell"
"paidleavemeans",3,"RepDebDingell"
"paidsickleave",3,"RepDebDingell"
"paygap",3,"RepDebDingell"
"PublicLands",3,"RepDebDingell"
"PuertoRico",3,"RepDebDingell"
"RaiseTheWage",3,"RepDebDingell"
"RosietheRiveter",3,"RepDebDingell"
"Secure2100",3,"RepDebDingell"
"startups",3,"RepDebDingell"
"StopSuicide",3,"RepDebDingell"
"TeamDingell",3,"RepDebDingell"
"TimesUp",3,"RepDebDingell"
"ValentinesForVets",3,"RepDebDingell"
"VeteransDay",3,"RepDebDingell"
"VRA50",3,"RepDebDingell"
"WomensHistoryMonth",3,"RepDebDingell"
"Yemen",3,"RepDebDingell"
"YWPL2015",3,"RepDebDingell"
"1u",2,"RepDebDingell"
"2016Budget",2,"RepDebDingell"
"50MedicareWishes",2,"RepDebDingell"
"A2",2,"RepDebDingell"
"ACArepeal",2,"RepDebDingell"
"ADA25",2,"RepDebDingell"
"Alzheimers",2,"RepDebDingell"
"AnnArbor",2,"RepDebDingell"
"BlackWomensEqualPay",2,"RepDebDingell"
"BringBackOurGirls",2,"RepDebDingell"
"Charlottesville",2,"RepDebDingell"
"climatechange",2,"RepDebDingell"
"CNNSOTU",2,"RepDebDingell"
"coal",2,"RepDebDingell"
"conservation",2,"RepDebDingell"
"currencymanipulation",2,"RepDebDingell"
"DCShadowDay",2,"RepDebDingell"
"DCwomen",2,"RepDebDingell"
"DDay",2,"RepDebDingell"
"DebtFreeWishList",2,"RepDebDingell"
"DefendEPA",2,"RepDebDingell"
"DetroitToday",2,"RepDebDingell"
"DHS",2,"RepDebDingell"
"DREAMAct",2,"RepDebDingell"
"DVAM2017",2,"RepDebDingell"
"EarthDay",2,"RepDebDingell"
"econclub",2,"RepDebDingell"
"EndALZ",2,"RepDebDingell"
"ENDAlz",2,"RepDebDingell"
"endDV",2,"RepDebDingell"
"EqualPayNow",2,"RepDebDingell"
"ExImBank",2,"RepDebDingell"
"ExtendCHIP",2,"RepDebDingell"
"FAMILYAct",2,"RepDebDingell"
"FastTrack",2,"RepDebDingell"
"FathersDay",2,"RepDebDingell"
"FF",2,"RepDebDingell"
"FMLA",2,"RepDebDingell"
"FMLA24",2,"RepDebDingell"
"FollowTheFacts",2,"RepDebDingell"
"GLRI",2,"RepDebDingell"
"GoSpreadTheWord",2,"RepDebDingell"
