"Hashtag","Frequency","screen_name"
"ACA",149,"RepDianaDeGette"
"Cures2015",107,"RepDianaDeGette"
"Denver",96,"RepDianaDeGette"
"CO",90,"RepDianaDeGette"
"GOP",75,"RepDianaDeGette"
"Colorado",66,"RepDianaDeGette"
"copolitics",66,"RepDianaDeGette"
"Trumpcare",54,"RepDianaDeGette"
"SCOTUS",46,"RepDianaDeGette"
"ProtectOurCare",43,"RepDianaDeGette"
"CuresNow",38,"RepDianaDeGette"
"GOPTaxScam",32,"RepDianaDeGette"
"DACA",30,"RepDianaDeGette"
"bipartisan",28,"RepDianaDeGette"
"CHIP",28,"RepDianaDeGette"
"LGBT",28,"RepDianaDeGette"
"TrumpCare",26,"RepDianaDeGette"
"Zika",26,"RepDianaDeGette"
"21stCenturyCures",24,"RepDianaDeGette"
"LGBTQ",24,"RepDianaDeGette"
"GetCovered",22,"RepDianaDeGette"
"NotMyBossBusiness",22,"RepDianaDeGette"
"Path2Cures",22,"RepDianaDeGette"
"Dreamers",20,"RepDianaDeGette"
"DoYourJob",18,"RepDianaDeGette"
"GVP",18,"RepDianaDeGette"
"PuertoRico",18,"RepDianaDeGette"
"NetNeutrality",17,"RepDianaDeGette"
"birthcontrol",16,"RepDianaDeGette"
"ProtectDreamers",16,"RepDianaDeGette"
"reprohealth",16,"RepDianaDeGette"
"SOTU",16,"RepDianaDeGette"
"Broncos",15,"RepDianaDeGette"
"diabetes",15,"RepDianaDeGette"
"healthcare",15,"RepDianaDeGette"
"ICYMI",15,"RepDianaDeGette"
"OpenEnrollment",15,"RepDianaDeGette"
"opioid",15,"RepDianaDeGette"
"reprorights",15,"RepDianaDeGette"
"climatechange",14,"RepDianaDeGette"
"Medicaid",14,"RepDianaDeGette"
"USVI",14,"RepDianaDeGette"
"coleg",13,"RepDianaDeGette"
"DontShutDownOurSecurity",13,"RepDianaDeGette"
"DREAMers",13,"RepDianaDeGette"
"GOPshutdown",13,"RepDianaDeGette"
"HobbyLobby",13,"RepDianaDeGette"
"cures",12,"RepDianaDeGette"
"gunsafety",12,"RepDianaDeGette"
"marijuana",12,"RepDianaDeGette"
"MuslimBan",12,"RepDianaDeGette"
"transgender",12,"RepDianaDeGette"
"women",12,"RepDianaDeGette"
"ActOnClimate",11,"RepDianaDeGette"
"POTUS",11,"RepDianaDeGette"
"Congress",10,"RepDianaDeGette"
"cures2015",10,"RepDianaDeGette"
"CuresInTheMitten",10,"RepDianaDeGette"
"HandsOffMyBC",10,"RepDianaDeGette"
"Medicare",10,"RepDianaDeGette"
"Obamacare",10,"RepDianaDeGette"
"TBT",10,"RepDianaDeGette"
"UnitedInOrange",10,"RepDianaDeGette"
"BrownsCanyon",9,"RepDianaDeGette"
"DisarmHate",9,"RepDianaDeGette"
"equalpay",9,"RepDianaDeGette"
"Flint",9,"RepDianaDeGette"
"GrahamCassidy",9,"RepDianaDeGette"
"mentalhealth",9,"RepDianaDeGette"
"RaiseTheWage",9,"RepDianaDeGette"
"TeamUSA",9,"RepDianaDeGette"
"AskDems",8,"RepDianaDeGette"
"BankOnStudents",8,"RepDianaDeGette"
"DemandAVote",8,"RepDianaDeGette"
"FF",8,"RepDianaDeGette"
"TrumpCuts",8,"RepDianaDeGette"
"ABetterDeal",7,"RepDianaDeGette"
"BeBoldEndHyde",7,"RepDianaDeGette"
"CleanPowerPlan",7,"RepDianaDeGette"
"COpolitics",7,"RepDianaDeGette"
"Curesin4Words",7,"RepDianaDeGette"
"equality",7,"RepDianaDeGette"
"EqualPay",7,"RepDianaDeGette"
"FacebookLive",7,"RepDianaDeGette"
"fracking",7,"RepDianaDeGette"
"GOPrepeal",7,"RepDianaDeGette"
"gunviolence",7,"RepDianaDeGette"
"ProtectDREAMers",7,"RepDianaDeGette"
"reprocare",7,"RepDianaDeGette"
"shutdown",7,"RepDianaDeGette"
"StandWithPP",7,"RepDianaDeGette"
"WomenAreWatching",7,"RepDianaDeGette"
"9NEWS",6,"RepDianaDeGette"
"abortion",6,"RepDianaDeGette"
"ActonClimate",6,"RepDianaDeGette"
"antichoice",6,"RepDianaDeGette"
"ColoradoDay",6,"RepDianaDeGette"
"ComeyHearing",6,"RepDianaDeGette"
"DiabetesAwarenessMonth",6,"RepDianaDeGette"
"DREAMAct",6,"RepDianaDeGette"
"Ebola",6,"RepDianaDeGette"
"energy",6,"RepDianaDeGette"
"ExIm4Jobs",6,"RepDianaDeGette"
"HR1797",6,"RepDianaDeGette"
"ImmigrationReform",6,"RepDianaDeGette"
"jobs",6,"RepDianaDeGette"
"MHM2016",6,"RepDianaDeGette"
"NoBillNoBreak",6,"RepDianaDeGette"
"NWHW",6,"RepDianaDeGette"
"opioids",6,"RepDianaDeGette"
"ParisAgreement",6,"RepDianaDeGette"
"path2cures",6,"RepDianaDeGette"
"PlutoFlyby",6,"RepDianaDeGette"
"prochoice",6,"RepDianaDeGette"
"Russia",6,"RepDianaDeGette"
"Sochi",6,"RepDianaDeGette"
"TitleX",6,"RepDianaDeGette"
"trans",6,"RepDianaDeGette"
"UnitedinOrange",6,"RepDianaDeGette"
"VAWA",6,"RepDianaDeGette"
"ACAisWorking",5,"RepDianaDeGette"
"BHM",5,"RepDianaDeGette"
"budget",5,"RepDianaDeGette"
"cleanenergy",5,"RepDianaDeGette"
"coaabfast",5,"RepDianaDeGette"
"CuresIn4Words",5,"RepDianaDeGette"
"DAPA",5,"RepDianaDeGette"
"DOMA",5,"RepDianaDeGette"
"EqualityAct",5,"RepDianaDeGette"
"ExtendCHIP",5,"RepDianaDeGette"
"GOPShutdown",5,"RepDianaDeGette"
"health",5,"RepDianaDeGette"
"HR38",5,"RepDianaDeGette"
"hydro",5,"RepDianaDeGette"
"hydropower",5,"RepDianaDeGette"
"ICYWW",5,"RepDianaDeGette"
"PrecisionMedicine",5,"RepDianaDeGette"
"proud",5,"RepDianaDeGette"
"reproductiverights",5,"RepDianaDeGette"
"RoevWade",5,"RepDianaDeGette"
"SB50",5,"RepDianaDeGette"
"STEM",5,"RepDianaDeGette"
"StopFastTrack",5,"RepDianaDeGette"
"StopTheBans",5,"RepDianaDeGette"
"TitleIX",5,"RepDianaDeGette"
"Tobaccoto21",5,"RepDianaDeGette"
"TrainToThePlane",5,"RepDianaDeGette"
"TrumpShutdown",5,"RepDianaDeGette"
"TSCA",5,"RepDianaDeGette"
"USWNT",5,"RepDianaDeGette"
"veterans",5,"RepDianaDeGette"
"VeteransDay",5,"RepDianaDeGette"
"VRA50",5,"RepDianaDeGette"
"WorldAIDSDay",5,"RepDianaDeGette"
"affordablehousing",4,"RepDianaDeGette"
"AttorneyGeneral",4,"RepDianaDeGette"
"AWB2013",4,"RepDianaDeGette"
"Breaking",4,"RepDianaDeGette"
"CBOScore",4,"RepDianaDeGette"
"choice",4,"RepDianaDeGette"
"college",4,"RepDianaDeGette"
"ConstitutionDay",4,"RepDianaDeGette"
"COP21",4,"RepDianaDeGette"
"COWilderness",4,"RepDianaDeGette"
"denver",4,"RepDianaDeGette"
"Diabetes",4,"RepDianaDeGette"
"DontDoubleMyRate",4,"RepDianaDeGette"
"DreamAct",4,"RepDianaDeGette"
"Dreamer",4,"RepDianaDeGette"
"EarthDay",4,"RepDianaDeGette"
"EnoughAlready",4,"RepDianaDeGette"
"FRACCOUNTABILITY",4,"RepDianaDeGette"
"FrackPack",4,"RepDianaDeGette"
"FutureForum",4,"RepDianaDeGette"
"HB2",4,"RepDianaDeGette"
"healthinsurance",4,"RepDianaDeGette"
"HispanicHeritageMonth",4,"RepDianaDeGette"
"HIV",4,"RepDianaDeGette"
"infrastructure",4,"RepDianaDeGette"
"innovation",4,"RepDianaDeGette"
"InternationalWomensDay",4,"RepDianaDeGette"
"LGBTEquality",4,"RepDianaDeGette"
"Maria",4,"RepDianaDeGette"
"marriage",4,"RepDianaDeGette"
"marriageequality",4,"RepDianaDeGette"
"MemorialDay",4,"RepDianaDeGette"
"MLK",4,"RepDianaDeGette"
"PPFA",4,"RepDianaDeGette"
"privacy",4,"RepDianaDeGette"
"Prop8",4,"RepDianaDeGette"
"publichealth",4,"RepDianaDeGette"
"RecklessRecess",4,"RepDianaDeGette"
"renewableenergy",4,"RepDianaDeGette"
"RenewUI",4,"RepDianaDeGette"
"SitIn",4,"RepDianaDeGette"
"SocialSecurity",4,"RepDianaDeGette"
"studentdebt",4,"RepDianaDeGette"
"studentloans",4,"RepDianaDeGette"
"VRA",4,"RepDianaDeGette"
"womenshealth",4,"RepDianaDeGette"
"21stcenturycures",3,"RepDianaDeGette"
"ACAWorks",3,"RepDianaDeGette"
"Aurora",3,"RepDianaDeGette"
"BankonStudents",3,"RepDianaDeGette"
"Bipartisan",3,"RepDianaDeGette"
"BirthControl",3,"RepDianaDeGette"
"BREAKING",3,"RepDianaDeGette"
"BringBackOurGirls",3,"RepDianaDeGette"
"C4HCO",3,"RepDianaDeGette"
"cancer",3,"RepDianaDeGette"
"CancerMoonshot",3,"RepDianaDeGette"
"CityBuildDenver",3,"RepDianaDeGette"
"CleanAir",3,"RepDianaDeGette"
"climate",3,"RepDianaDeGette"
"COleg",3,"RepDianaDeGette"
"COLeg",3,"RepDianaDeGette"
"ComeyFiring",3,"RepDianaDeGette"
"contraception",3,"RepDianaDeGette"
"copolitcs",3,"RepDianaDeGette"
"Cures",3,"RepDianaDeGette"
"DisbandIt",3,"RepDianaDeGette"
"DreamActNow",3,"RepDianaDeGette"
"DreamSmallBiz",3,"RepDianaDeGette"
"ecigarettes",3,"RepDianaDeGette"
"ECPA",3,"RepDianaDeGette"
"education",3,"RepDianaDeGette"
"ENDALZ",3,"RepDianaDeGette"
"EqualPayNow",3,"RepDianaDeGette"
"ExImBank",3,"RepDianaDeGette"
"FDARA",3,"RepDianaDeGette"
"FixHobbyLobby",3,"RepDianaDeGette"
"FollowTheFacts",3,"RepDianaDeGette"
"GMRecall",3,"RepDianaDeGette"
"GOPBudget",3,"RepDianaDeGette"
"Gorsuch",3,"RepDianaDeGette"
"GroundhogDay",3,"RepDianaDeGette"
"harassment",3,"RepDianaDeGette"
"HealthCareBill",3,"RepDianaDeGette"
"highwaytrustfund",3,"RepDianaDeGette"
"housing",3,"RepDianaDeGette"
"HR36",3,"RepDianaDeGette"
"HydeAmendment",3,"RepDianaDeGette"
"immigrationreform",3,"RepDianaDeGette"
"insulin",3,"RepDianaDeGette"
"JointAddress",3,"RepDianaDeGette"
"JusticeForJane",3,"RepDianaDeGette"
"LaborDay",3,"RepDianaDeGette"
"lgbt",3,"RepDianaDeGette"
"LoveCantWait",3,"RepDianaDeGette"
"Marade",3,"RepDianaDeGette"
"MarriageEquality",3,"RepDianaDeGette"
"MyBodyMyClinic",3,"RepDianaDeGette"
"Newtown",3,"RepDianaDeGette"
"NoFlyNoBuy",3,"RepDianaDeGette"
"Parkland",3,"RepDianaDeGette"
"PaycheckFairness",3,"RepDianaDeGette"
"persisted",3,"RepDianaDeGette"
"PrideMonth",3,"RepDianaDeGette"
"ProtectOurDemocracy",3,"RepDianaDeGette"
"Proud",3,"RepDianaDeGette"
"PyeongChang2018",3,"RepDianaDeGette"
"Ranger",3,"RepDianaDeGette"
"reclaimRoe",3,"RepDianaDeGette"
"RefugeesWelcome",3,"RepDianaDeGette"
"RickPerry",3,"RepDianaDeGette"
"Rio2016",3,"RepDianaDeGette"
"RosaParks",3,"RepDianaDeGette"
"SDP",3,"RepDianaDeGette"
"sexualharassment",3,"RepDianaDeGette"
"smallbiz",3,"RepDianaDeGette"
"smallbusinesses",3,"RepDianaDeGette"
"SmallBusinessSaturday",3,"RepDianaDeGette"
"standwithPP",3,"RepDianaDeGette"
"StandWithWomen",3,"RepDianaDeGette"
"StopSessions",3,"RepDianaDeGette"
"Studentdebt",3,"RepDianaDeGette"
"Takata",3,"RepDianaDeGette"
"TakeBackDay",3,"RepDianaDeGette"
"ThanksObama",3,"RepDianaDeGette"
"transban",3,"RepDianaDeGette"
"USSenate",3,"RepDianaDeGette"
"vaccines",3,"RepDianaDeGette"
"vaccineswork",3,"RepDianaDeGette"
"VW",3,"RepDianaDeGette"
"WeAreWithYou",3,"RepDianaDeGette"
"WhatsNextRx",3,"RepDianaDeGette"
"windenergy",3,"RepDianaDeGette"
"WomensEqualityDay",3,"RepDianaDeGette"
"4EachOfUs",2,"RepDianaDeGette"
"4EACHofus",2,"RepDianaDeGette"
"7in10forRoe",2,"RepDianaDeGette"
"9News",2,"RepDianaDeGette"
"ACAworks",2,"RepDianaDeGette"
"ACCyber",2,"RepDianaDeGette"
"AlexandriaShooting",2,"RepDianaDeGette"
"ALS",2,"RepDianaDeGette"
"alternativefact",2,"RepDianaDeGette"
"alternativefacts",2,"RepDianaDeGette"
"Alzheimers",2,"RepDianaDeGette"
"BackToTheFuture",2,"RepDianaDeGette"
"BC",2,"RepDianaDeGette"
"beer",2,"RepDianaDeGette"
"Benghazi",2,"RepDianaDeGette"
"BetterWithObamacare",2,"RepDianaDeGette"
"bioterror",2,"RepDianaDeGette"
"birthday",2,"RepDianaDeGette"
"BOP",2,"RepDianaDeGette"
"BostonMarathon",2,"RepDianaDeGette"
"BRIDGEAct",2,"RepDianaDeGette"
"BroncosWin",2,"RepDianaDeGette"
"cannabizsummit",2,"RepDianaDeGette"
"carbonemissions",2,"RepDianaDeGette"
"CharlestonShooting",2,"RepDianaDeGette"
"Charlottesville",2,"RepDianaDeGette"
"CHC",2,"RepDianaDeGette"
"CHCs",2,"RepDianaDeGette"
"CHIPworks",2,"RepDianaDeGette"
"CHIPWorks",2,"RepDianaDeGette"
"Choice",2,"RepDianaDeGette"
"civilunions",2,"RepDianaDeGette"
"ClimateChange",2,"RepDianaDeGette"
"climatefuture",2,"RepDianaDeGette"
"clinicaltrials",2,"RepDianaDeGette"
"coal",2,"RepDianaDeGette"
"ColoradoRiver",2,"RepDianaDeGette"
"ColorfulColorado",2,"RepDianaDeGette"
"Columbine",2,"RepDianaDeGette"
"concussions",2,"RepDianaDeGette"
"CongressionalArtCompetition",2,"RepDianaDeGette"
"Constitution",2,"RepDianaDeGette"
"ConsumersFirst",2,"RepDianaDeGette"
"contraceptive",2,"RepDianaDeGette"
"COPolitics",2,"RepDianaDeGette"
