"Mention","Frequency","screen_name"
"RepDianaDeGette",238,"RepDianaDeGette"
"POTUS",210,"RepDianaDeGette"
"HouseGOP",111,"RepDianaDeGette"
"RepFredUpton",104,"RepDianaDeGette"
"EnergyCommerce",78,"RepDianaDeGette"
"Broncos",37,"RepDianaDeGette"
"EPA",32,"RepDianaDeGette"
"HouseCommerce",31,"RepDianaDeGette"
"denverpost",30,"RepDianaDeGette"
"NancyPelosi",28,"RepDianaDeGette"
"SpeakerRyan",28,"RepDianaDeGette"
"PPFA",22,"RepDianaDeGette"
"HouseDemocrats",21,"RepDianaDeGette"
"BarackObama",20,"RepDianaDeGette"
"ECcures",20,"RepDianaDeGette"
"ProChoiceCaucus",20,"RepDianaDeGette"
"realDonaldTrump",19,"RepDianaDeGette"
"FrankPallone",18,"RepDianaDeGette"
"janschakowsky",18,"RepDianaDeGette"
"HHSGov",17,"RepDianaDeGette"
"louiseslaughter",17,"RepDianaDeGette"
"SpeakerBoehner",17,"RepDianaDeGette"
"WhiteHouse",17,"RepDianaDeGette"
"john_dingell",16,"RepDianaDeGette"
"Rockies",16,"RepDianaDeGette"
"repjohnlewis",15,"RepDianaDeGette"
"RepPerlmutter",15,"RepDianaDeGette"
"SenateGOP",15,"RepDianaDeGette"
"USCBO",15,"RepDianaDeGette"
"NIH",14,"RepDianaDeGette"
"FCC",13,"RepDianaDeGette"
"hickforco",13,"RepDianaDeGette"
"CDCgov",12,"RepDianaDeGette"
"JohnDingell",12,"RepDianaDeGette"
"US_FDA",12,"RepDianaDeGette"
"C4HCO",11,"RepDianaDeGette"
"DHSgov",11,"RepDianaDeGette"
"CecileRichards",10,"RepDianaDeGette"
"GOP",10,"RepDianaDeGette"
"MayorHancock",10,"RepDianaDeGette"
"NARAL",10,"RepDianaDeGette"
"RepJaredPolis",10,"RepDianaDeGette"
"Interior",9,"RepDianaDeGette"
"MSNBC",9,"RepDianaDeGette"
"NJHealth",9,"RepDianaDeGette"
"nytimes",9,"RepDianaDeGette"
"WhipHoyer",9,"RepDianaDeGette"
"BrandonRittiman",8,"RepDianaDeGette"
"cathymcmorris",8,"RepDianaDeGette"
"ENERGY",8,"RepDianaDeGette"
"LGBTEqCaucus",8,"RepDianaDeGette"
"PPact",8,"RepDianaDeGette"
"RepGeneGreen",8,"RepDianaDeGette"
"SecPriceMD",8,"RepDianaDeGette"
"SenBennetCO",8,"RepDianaDeGette"
"BetsyDeVosED",7,"RepDianaDeGette"
"colorlatina",7,"RepDianaDeGette"
"CraigHospital",7,"RepDianaDeGette"
"cspanwj",7,"RepDianaDeGette"
"HRC",7,"RepDianaDeGette"
"msudenver",7,"RepDianaDeGette"
"RepSwalwell",7,"RepDianaDeGette"
"thehill",7,"RepDianaDeGette"
"washingtonpost",7,"RepDianaDeGette"
"CUBoulder",6,"RepDianaDeGette"
"denbizjournal",6,"RepDianaDeGette"
"denverlibrary",6,"RepDianaDeGette"
"EPAScottPruitt",6,"RepDianaDeGette"
"MarkUdall",6,"RepDianaDeGette"
"RepJerryNadler",6,"RepDianaDeGette"
"RepMarkTakai",6,"RepDianaDeGette"
"AjitPaiFCC",5,"RepDianaDeGette"
"ColoradoCollege",5,"RepDianaDeGette"
"Dbacks",5,"RepDianaDeGette"
"DENAirport",5,"RepDianaDeGette"
"DorisMatsui",5,"RepDianaDeGette"
"JoeBiden",5,"RepDianaDeGette"
"lynn_bartels",5,"RepDianaDeGette"
"NASA",5,"RepDianaDeGette"
"NatlParkService",5,"RepDianaDeGette"
"PattyMurray",5,"RepDianaDeGette"
"SenAlexander",5,"RepDianaDeGette"
"uscapitol",5,"RepDianaDeGette"
"9NEWS",4,"RepDianaDeGette"
"BRGrizzlies",4,"RepDianaDeGette"
"CBSDenver",4,"RepDianaDeGette"
"CFPB",4,"RepDianaDeGette"
"ColoStatesman",4,"RepDianaDeGette"
"DenverChannel",4,"RepDianaDeGette"
"DenverHealthMed",4,"RepDianaDeGette"
"DenverWestword",4,"RepDianaDeGette"
"EPAGov",4,"RepDianaDeGette"
"fredupton",4,"RepDianaDeGette"
"GabbyGiffords",4,"RepDianaDeGette"
"jaredpolis",4,"RepDianaDeGette"
"KatyTurNBC",4,"RepDianaDeGette"
"keithellison",4,"RepDianaDeGette"
"NFL",4,"RepDianaDeGette"
"Pontifex",4,"RepDianaDeGette"
"RepAdamSchiff",4,"RepDianaDeGette"
"RepBarbaraLee",4,"RepDianaDeGette"
"RepJeffDenham",4,"RepDianaDeGette"
"RepLindaSanchez",4,"RepDianaDeGette"
"RepMcKinley",4,"RepDianaDeGette"
"RepReneeEllmers",4,"RepDianaDeGette"
"RepSpeier",4,"RepDianaDeGette"
"RideRTD",4,"RepDianaDeGette"
"RockyNPS",4,"RepDianaDeGette"
"rollcall",4,"RepDianaDeGette"
"rosadelauro",4,"RepDianaDeGette"
"SecAzar",4,"RepDianaDeGette"
"SecretaryCastro",4,"RepDianaDeGette"
"SecretaryZinke",4,"RepDianaDeGette"
"SenateMajLdr",4,"RepDianaDeGette"
"SenCoryGardner",4,"RepDianaDeGette"
"TheJusticeDept",4,"RepDianaDeGette"
"tombrokaw",4,"RepDianaDeGette"
"UofDenver",4,"RepDianaDeGette"
"usedgov",4,"RepDianaDeGette"
"USRepMikeDoyle",4,"RepDianaDeGette"
"visitdenver",4,"RepDianaDeGette"
"AllAboveAll",3,"RepDianaDeGette"
"ASNAdvocacy",3,"RepDianaDeGette"
"AtlanticCouncil",3,"RepDianaDeGette"
"BillClinton",3,"RepDianaDeGette"
"BLMNational",3,"RepDianaDeGette"
"BuzzFeed",3,"RepDianaDeGette"
"CapitolPolice",3,"RepDianaDeGette"
"CBS4Shaun",3,"RepDianaDeGette"
"chgrimaldi",3,"RepDianaDeGette"
"Clyburn",3,"RepDianaDeGette"
"Colorado",3,"RepDianaDeGette"
"ColoradoStateU",3,"RepDianaDeGette"
"CRDenver",3,"RepDianaDeGette"
"cspan",3,"RepDianaDeGette"
"CUDenver",3,"RepDianaDeGette"
"CUFederal",3,"RepDianaDeGette"
"DEAHQ",3,"RepDianaDeGette"
"DenverMuseumNS",3,"RepDianaDeGette"
"DPSNewsNow",3,"RepDianaDeGette"
"DrPhil",3,"RepDianaDeGette"
"fema",3,"RepDianaDeGette"
"gracenapolitano",3,"RepDianaDeGette"
"HuffPostPol",3,"RepDianaDeGette"
"ICEgov",3,"RepDianaDeGette"
"JewishWomenIntl",3,"RepDianaDeGette"
"LuisGutierrez",3,"RepDianaDeGette"
"Medium",3,"RepDianaDeGette"
"MikaelaShiffrin",3,"RepDianaDeGette"
"NASANewHorizons",3,"RepDianaDeGette"
"NLIRH",3,"RepDianaDeGette"
"NRA",3,"RepDianaDeGette"
"nwlc",3,"RepDianaDeGette"
"PatSteadman",3,"RepDianaDeGette"
"POTUS44",3,"RepDianaDeGette"
"PPRockyMountain",3,"RepDianaDeGette"
"RepCheri",3,"RepDianaDeGette"
"RepCummings",3,"RepDianaDeGette"
"RepDanKildee",3,"RepDianaDeGette"
"RepEdWhitfield",3,"RepDianaDeGette"
"RepJoeKennedy",3,"RepDianaDeGette"
"RepJohnYarmuth",3,"RepDianaDeGette"
"RepJudyChu",3,"RepDianaDeGette"
"RepLujanGrisham",3,"RepDianaDeGette"
"RepMcCarthyNY",3,"RepDianaDeGette"
"RepRoybalAllard",3,"RepDianaDeGette"
"RepSarbanes",3,"RepDianaDeGette"
"RepTomReed",3,"RepDianaDeGette"
"SecBurwell",3,"RepDianaDeGette"
"SelectPanelDems",3,"RepDianaDeGette"
"SenBrianSchatz",3,"RepDianaDeGette"
"SenFeinstein",3,"RepDianaDeGette"
"StateDept",3,"RepDianaDeGette"
"SteveScalise",3,"RepDianaDeGette"
"thehillbaseball",3,"RepDianaDeGette"
"TheHillEvents",3,"RepDianaDeGette"
"TheWho",3,"RepDianaDeGette"
"UMR4NIH",3,"RepDianaDeGette"
"UNFPA",3,"RepDianaDeGette"
"USArmy",3,"RepDianaDeGette"
"USDOL",3,"RepDianaDeGette"
"USGAO",3,"RepDianaDeGette"
"USWNT_soccer",3,"RepDianaDeGette"
"VP",3,"RepDianaDeGette"
"wendydavistexas",3,"RepDianaDeGette"
"YvetteClarke",3,"RepDianaDeGette"
"101010net",2,"RepDianaDeGette"
"87ed",2,"RepDianaDeGette"
"AACR",2,"RepDianaDeGette"
"AAUWPolicy",2,"RepDianaDeGette"
"ADLDenver",2,"RepDianaDeGette"
"allinwithchris",2,"RepDianaDeGette"
"AmandaDTV",2,"RepDianaDeGette"
"AmDiabetesAssn",2,"RepDianaDeGette"
"annetrujillo7",2,"RepDianaDeGette"
"antbuilder",2,"RepDianaDeGette"
"AriMelber",2,"RepDianaDeGette"
"aspenideas",2,"RepDianaDeGette"
"Atlantic_LIVE",2,"RepDianaDeGette"
"AusAWG",2,"RepDianaDeGette"
"bfrist",2,"RepDianaDeGette"
"BioFrontiers",2,"RepDianaDeGette"
"BLMDirector",2,"RepDianaDeGette"
"BreckBrew",2,"RepDianaDeGette"
"cancersupportcm",2,"RepDianaDeGette"
"catheri40272007",2,"RepDianaDeGette"
"cchipolicy",2,"RepDianaDeGette"
"COHealth",2,"RepDianaDeGette"
"COHealthOP",2,"RepDianaDeGette"
"colo_politics",2,"RepDianaDeGette"
