"Mention","Frequency","screen_name"
"POTUS",94,"RepDwightEvans"
"GOP",92,"RepDwightEvans"
"SenateGOP",41,"RepDwightEvans"
"HouseGOP",18,"RepDwightEvans"
"OfficialCBC",17,"RepDwightEvans"
"SpeakerRyan",14,"RepDwightEvans"
"onwurd",10,"RepDwightEvans"
"BroccoliCity",8,"RepDwightEvans"
"SenBobCasey",8,"RepDwightEvans"
"BarackObama",7,"RepDwightEvans"
"CheyneyUniv",7,"RepDwightEvans"
"cspan",7,"RepDwightEvans"
"PhillyMayor",7,"RepDwightEvans"
"RepBrianFitz",7,"RepDwightEvans"
"RepEspaillat",7,"RepDwightEvans"
"SenateDems",7,"RepDwightEvans"
"TempleUniv",7,"RepDwightEvans"
"CongressionalAC",6,"RepDwightEvans"
"TheRabenGroup",5,"RepDwightEvans"
"USCBO",5,"RepDwightEvans"
"BetsyDeVosED",4,"RepDwightEvans"
"CCPedu",4,"RepDwightEvans"
"Eagles",4,"RepDwightEvans"
"statesystem",4,"RepDwightEvans"
"cheddar",3,"RepDwightEvans"
"DrexelUniv",3,"RepDwightEvans"
"EPAScottPruitt",3,"RepDwightEvans"
"markkellytyler",3,"RepDwightEvans"
"ProjectHOME",3,"RepDwightEvans"
"sethmoulton",3,"RepDwightEvans"
"thehill",3,"RepDwightEvans"
"CapitolPolice",2,"RepDwightEvans"
"ConcordiaSummit",2,"RepDwightEvans"
"DevinNunes",2,"RepDwightEvans"
"ellisonreport",2,"RepDwightEvans"
"FeedingAmerica",2,"RepDwightEvans"
"FrankieDarcell",2,"RepDwightEvans"
"jimmykimmel",2,"RepDwightEvans"
"JoeBiden",2,"RepDwightEvans"
"mainlinehealth",2,"RepDwightEvans"
"NewBoltonCenter",2,"RepDwightEvans"
"nytimes",2,"RepDwightEvans"
"Penn",2,"RepDwightEvans"
"PennEnvironment",2,"RepDwightEvans"
"pennvet",2,"RepDwightEvans"
"Philabundance",2,"RepDwightEvans"
"PhiladelphiaGov",2,"RepDwightEvans"
"RepBonnie",2,"RepDwightEvans"
"RepBrady",2,"RepDwightEvans"
"RTPhiladelphia",2,"RepDwightEvans"
"SenateMajLdr",2,"RepDwightEvans"
"SenJohnMcCain",2,"RepDwightEvans"
"SenKamalaHarris",2,"RepDwightEvans"
"SteveScalise",2,"RepDwightEvans"
"thefoodtrust",2,"RepDwightEvans"
"TIME",2,"RepDwightEvans"
"VP",2,"RepDwightEvans"
"wdasfm",2,"RepDwightEvans"
"6abc",1,"RepDwightEvans"
"AARPCares",1,"RepDwightEvans"
"AIPAC",1,"RepDwightEvans"
"AjitPaiFCC",1,"RepDwightEvans"
"amazon",1,"RepDwightEvans"
"amprog",1,"RepDwightEvans"
"AprilDRyan",1,"RepDwightEvans"
"ASlavitt",1,"RepDwightEvans"
"BillCassidy",1,"RepDwightEvans"
"billy_penn",1,"RepDwightEvans"
"blackvoices",1,"RepDwightEvans"
"BoyzIIMen",1,"RepDwightEvans"
"bread4theworld",1,"RepDwightEvans"
"BYcreamery",1,"RepDwightEvans"
"CAFarmBureau",1,"RepDwightEvans"
"CAPAC",1,"RepDwightEvans"
"CAREActionNow",1,"RepDwightEvans"
"cbo",1,"RepDwightEvans"
"CBSPhilly",1,"RepDwightEvans"
"CBSThisMorning",1,"RepDwightEvans"
"CBWGCAUCUS",1,"RepDwightEvans"
"ChildrensPhila",1,"RepDwightEvans"
"ClimateReality",1,"RepDwightEvans"
"CNBC",1,"RepDwightEvans"
"CNN",1,"RepDwightEvans"
"CongBoyle",1,"RepDwightEvans"
"CongressmanGT",1,"RepDwightEvans"
"CoryBooker",1,"RepDwightEvans"
"CouncilwomanJLB",1,"RepDwightEvans"
"Darrell_Clarke",1,"RepDwightEvans"
"DaVita",1,"RepDwightEvans"
"drkrj",1,"RepDwightEvans"
"EdProgress",1,"RepDwightEvans"
"EinsteinHealth",1,"RepDwightEvans"
"EntreprenWorks",1,"RepDwightEvans"
"FCC",1,"RepDwightEvans"
"FeedingPA",1,"RepDwightEvans"
"fina118",1,"RepDwightEvans"
"foodtank",1,"RepDwightEvans"
"FoxNews",1,"RepDwightEvans"
"FPAction",1,"RepDwightEvans"
"FPCGermantown",1,"RepDwightEvans"
"Gaudenzia",1,"RepDwightEvans"
"GKButterfield",1,"RepDwightEvans"
"GlblCtzn",1,"RepDwightEvans"
"gopuff",1,"RepDwightEvans"
"GovernorTomWolf",1,"RepDwightEvans"
"GPCAHunger",1,"RepDwightEvans"
"GregoryMeeks",1,"RepDwightEvans"
"Haason7Reddick",1,"RepDwightEvans"
"HarvardFLPC",1,"RepDwightEvans"
"HelenGymAtLarge",1,"RepDwightEvans"
"HelpUSA",1,"RepDwightEvans"
"HispanicCaucus",1,"RepDwightEvans"
"HouseAgNews",1,"RepDwightEvans"
"HouseDemocrats",1,"RepDwightEvans"
"HouseSBCDems",1,"RepDwightEvans"
"HouseSmallBiz",1,"RepDwightEvans"
"HuffPost",1,"RepDwightEvans"
"iJesseWilliams",1,"RepDwightEvans"
"JenniferRStorm",1,"RepDwightEvans"
"JEVSHumanServs",1,"RepDwightEvans"
"JLL",1,"RepDwightEvans"
"JLLPHL",1,"RepDwightEvans"
"JOEL9ONE",1,"RepDwightEvans"
"JoshShapiroPA",1,"RepDwightEvans"
"July4thPhilly",1,"RepDwightEvans"
"KaiserFamFound",1,"RepDwightEvans"
"Laurenjmayk",1,"RepDwightEvans"
"leslieodomjr",1,"RepDwightEvans"
"LincolnUofPA",1,"RepDwightEvans"
"lisamurkowski",1,"RepDwightEvans"
"LivingBeyondBC",1,"RepDwightEvans"
"LowerMerionSD",1,"RepDwightEvans"
"lsilverbush",1,"RepDwightEvans"
"MageeRehab",1,"RepDwightEvans"
"MalcolmJenkins",1,"RepDwightEvans"
"MANNANourishes",1,"RepDwightEvans"
"MariaQSanchez",1,"RepDwightEvans"
"MarketStEl",1,"RepDwightEvans"
"MarkWarner",1,"RepDwightEvans"
"MaxineWaters",1,"RepDwightEvans"
"mcphersonroz",1,"RepDwightEvans"
"Meals_on_Wheels",1,"RepDwightEvans"
"mic",1,"RepDwightEvans"
"MichelleObama",1,"RepDwightEvans"
"MLB",1,"RepDwightEvans"
"MontcoPA",1,"RepDwightEvans"
"NAAF_org",1,"RepDwightEvans"
"NABJ",1,"RepDwightEvans"
"nabjregion1",1,"RepDwightEvans"
"NancyPelosi",1,"RepDwightEvans"
"NatGeo",1,"RepDwightEvans"
"NBADraft",1,"RepDwightEvans"
"NBCPhiladelphia",1,"RepDwightEvans"
"NewYorker",1,"RepDwightEvans"
"NextCityOrg",1,"RepDwightEvans"
"NPR",1,"RepDwightEvans"
"OpenSociety",1,"RepDwightEvans"
"PAFarmBureau",1,"RepDwightEvans"
"PASmallBusiness",1,"RepDwightEvans"
"PCCYteam",1,"RepDwightEvans"
"pennrelays",1,"RepDwightEvans"
"Phil_Mattingly",1,"RepDwightEvans"
"philahistory",1,"RepDwightEvans"
"PhilaRMH",1,"RepDwightEvans"
"Philasunnews",1,"RepDwightEvans"
"Phillies",1,"RepDwightEvans"
"Philly",1,"RepDwightEvans"
"PhillyDailyNews",1,"RepDwightEvans"
"phillydotcom",1,"RepDwightEvans"
"PhillyInquirer",1,"RepDwightEvans"
"phillymag",1,"RepDwightEvans"
"PHLAirport",1,"RepDwightEvans"
"PHLBizJournal",1,"RepDwightEvans"
"PHOfficeRetail",1,"RepDwightEvans"
"Pirates",1,"RepDwightEvans"
"PittTweet",1,"RepDwightEvans"
"PPDCommish",1,"RepDwightEvans"
"PPFA",1,"RepDwightEvans"
"RdgTerminalMkt",1,"RepDwightEvans"
"RepAdams",1,"RepDwightEvans"
"RepAnthonyBrown",1,"RepDwightEvans"
"RepBeatty",1,"RepDwightEvans"
"RepCharlieDent",1,"RepDwightEvans"
"RepDanKildee",1,"RepDwightEvans"
"RepDeSaulnier",1,"RepDwightEvans"
"RepDougCollins",1,"RepDwightEvans"
"RepDwightEvans",1,"RepDwightEvans"
"RepHarris",1,"RepDwightEvans"
"RepJoeKennedy",1,"RepDwightEvans"
"repjohnlewis",1,"RepDwightEvans"
"RepKinsey",1,"RepDwightEvans"
"RepMcEachin",1,"RepDwightEvans"
"RepMcGovern",1,"RepDwightEvans"
"RepMeehan",1,"RepDwightEvans"
"RepRyanCostello",1,"RepDwightEvans"
"RepTimRyan",1,"RepDwightEvans"
"Scotus",1,"RepDwightEvans"
"SecretarySonny",1,"RepDwightEvans"
"SenatorCollins",1,"RepDwightEvans"
"SenFranken",1,"RepDwightEvans"
"SenToomey",1,"RepDwightEvans"
"SEPTA",1,"RepDwightEvans"
"sharefoodphilly",1,"RepDwightEvans"
"SharmainUAC",1,"RepDwightEvans"
"sixers",1,"RepDwightEvans"
"Spotify",1,"RepDwightEvans"
"Surgeon_General",1,"RepDwightEvans"
"SusanGKomen",1,"RepDwightEvans"
"TempleHealthMed",1,"RepDwightEvans"
"TheDemocrats",1,"RepDwightEvans"
"TheRoot",1,"RepDwightEvans"
"TheSMLC",1,"RepDwightEvans"
"timkaine",1,"RepDwightEvans"
"TJUHospital",1,"RepDwightEvans"
"tomcolicchio",1,"RepDwightEvans"
"TorreySmithWR",1,"RepDwightEvans"
"UCScienceCenter",1,"RepDwightEvans"
"USJusticeAction",1,"RepDwightEvans"
"vivek_murthy",1,"RepDwightEvans"
"voxdotcom",1,"RepDwightEvans"
"WFPUSA",1,"RepDwightEvans"
"wolcsphila",1,"RepDwightEvans"
"WorldBank",1,"RepDwightEvans"
