"Mention","Frequency","screen_name"
"RepDwightEvans",412,"RepDwightEvans"
"POTUS",165,"RepDwightEvans"
"GOP",111,"RepDwightEvans"
"OfficialCBC",75,"RepDwightEvans"
"SenateGOP",57,"RepDwightEvans"
"HouseGOP",38,"RepDwightEvans"
"NancyPelosi",37,"RepDwightEvans"
"realDonaldTrump",37,"RepDwightEvans"
"SenBobCasey",37,"RepDwightEvans"
"GovernorTomWolf",31,"RepDwightEvans"
"SpeakerRyan",30,"RepDwightEvans"
"thehill",30,"RepDwightEvans"
"PhillyMayor",26,"RepDwightEvans"
"BarackObama",24,"RepDwightEvans"
"HouseSBCDems",21,"RepDwightEvans"
"Eagles",20,"RepDwightEvans"
"RepBrianFitz",20,"RepDwightEvans"
"thebeatdc",20,"RepDwightEvans"
"kylegriffin1",19,"RepDwightEvans"
"thefoodtrust",18,"RepDwightEvans"
"onwurd",17,"RepDwightEvans"
"PhillyTrib",17,"RepDwightEvans"
"RepEspaillat",17,"RepDwightEvans"
"HouseDemocrats",16,"RepDwightEvans"
"TheRabenGroup",16,"RepDwightEvans"
"Philabundance",15,"RepDwightEvans"
"PhiladelphiaGov",15,"RepDwightEvans"
"ACLU",13,"RepDwightEvans"
"nytimes",13,"RepDwightEvans"
"phillydotcom",13,"RepDwightEvans"
"SenateDems",13,"RepDwightEvans"
"EPAScottPruitt",12,"RepDwightEvans"
"KamalaHarris",12,"RepDwightEvans"
"nowthisnews",12,"RepDwightEvans"
"PennEnvironment",12,"RepDwightEvans"
"RepBarbaraLee",12,"RepDwightEvans"
"RepBrady",12,"RepDwightEvans"
"repjohnlewis",12,"RepDwightEvans"
"RepRichmond",12,"RepDwightEvans"
"BroccoliCity",11,"RepDwightEvans"
"cheddar",11,"RepDwightEvans"
"CheyneyUniv",11,"RepDwightEvans"
"cspan",11,"RepDwightEvans"
"FPAction",11,"RepDwightEvans"
"PhillyInquirer",11,"RepDwightEvans"
"ProjectHOME",11,"RepDwightEvans"
"SenatorHaywood",11,"RepDwightEvans"
"TempleUniv",11,"RepDwightEvans"
"USCBO",11,"RepDwightEvans"
"ASlavitt",10,"RepDwightEvans"
"DrexelUniv",10,"RepDwightEvans"
"RepTedDeutch",10,"RepDwightEvans"
"SenKamalaHarris",10,"RepDwightEvans"
"foodtank",9,"RepDwightEvans"
"GKButterfield",9,"RepDwightEvans"
"HRC",9,"RepDwightEvans"
"JonathanTamari",9,"RepDwightEvans"
"PAAgriculture",9,"RepDwightEvans"
"PCCYteam",9,"RepDwightEvans"
"RepDanKildee",9,"RepDwightEvans"
"RepMeehan",9,"RepDwightEvans"
"sethmoulton",9,"RepDwightEvans"
"CBSPhilly",8,"RepDwightEvans"
"CherelleParker9",8,"RepDwightEvans"
"CongressionalAC",8,"RepDwightEvans"
"HispanicCaucus",8,"RepDwightEvans"
"MomsDemand",8,"RepDwightEvans"
"NBCPhiladelphia",8,"RepDwightEvans"
"PhillyDailyNews",8,"RepDwightEvans"
"phillymag",8,"RepDwightEvans"
"RepAdams",8,"RepDwightEvans"
"RepBrendanBoyle",8,"RepDwightEvans"
"RepYvetteClarke",8,"RepDwightEvans"
"TheRoot",8,"RepDwightEvans"
"wdasfm",8,"RepDwightEvans"
"ABCPolitics",7,"RepDwightEvans"
"AP",7,"RepDwightEvans"
"BetsyDeVosED",7,"RepDwightEvans"
"CNN",7,"RepDwightEvans"
"CongressmanGT",7,"RepDwightEvans"
"DonnaRCooper",7,"RepDwightEvans"
"ellisonreport",7,"RepDwightEvans"
"FeedingPA",7,"RepDwightEvans"
"GregoryMeeks",7,"RepDwightEvans"
"HillaryClinton",7,"RepDwightEvans"
"JenniferRStorm",7,"RepDwightEvans"
"JoeBiden",7,"RepDwightEvans"
"pccyhealth",7,"RepDwightEvans"
"RepBonnie",7,"RepDwightEvans"
"repjoecrowley",7,"RepDwightEvans"
"RepRyanCostello",7,"RepDwightEvans"
"thephillyvoice",7,"RepDwightEvans"
"WhipHoyer",7,"RepDwightEvans"
"6abc",6,"RepDwightEvans"
"BobbyScott",6,"RepDwightEvans"
"bread4theworld",6,"RepDwightEvans"
"BuzzFeedNews",6,"RepDwightEvans"
"CAREActionNow",6,"RepDwightEvans"
"davidaxelrod",6,"RepDwightEvans"
"fractweets",6,"RepDwightEvans"
"RepAdamSchiff",6,"RepDwightEvans"
"RepAnthonyBrown",6,"RepDwightEvans"
"RepBeatty",6,"RepDwightEvans"
"repcleaver",6,"RepDwightEvans"
"RepCummings",6,"RepDwightEvans"
"RepJayapal",6,"RepDwightEvans"
"RepJeffries",6,"RepDwightEvans"
"RepMcEachin",6,"RepDwightEvans"
"RepTerriSewell",6,"RepDwightEvans"
"SecretarySonny",6,"RepDwightEvans"
"SenJohnMcCain",6,"RepDwightEvans"
"TheDemocrats",6,"RepDwightEvans"
"washingtonpost",6,"RepDwightEvans"
"WolfForPA",6,"RepDwightEvans"
"AARPPA",5,"RepDwightEvans"
"ConcordiaSummit",5,"RepDwightEvans"
"DevinNunes",5,"RepDwightEvans"
"DonaldNorcross",5,"RepDwightEvans"
"emv52",5,"RepDwightEvans"
"funder",5,"RepDwightEvans"
"GPCAHunger",5,"RepDwightEvans"
"NBCBLK",5,"RepDwightEvans"
"NBCNews",5,"RepDwightEvans"
"NPR",5,"RepDwightEvans"
"RepDonBeyer",5,"RepDwightEvans"
"RepIzzy",5,"RepDwightEvans"
"RepKinsey",5,"RepDwightEvans"
"RepRaskin",5,"RepDwightEvans"
"RepTimRyan",5,"RepDwightEvans"
"SenToomey",5,"RepDwightEvans"
"StartupPHL",5,"RepDwightEvans"
"TomSteyer",5,"RepDwightEvans"
"USProgressives",5,"RepDwightEvans"
"WaysMeansCmte",5,"RepDwightEvans"
"Wills_Eye",5,"RepDwightEvans"
"AARPCares",4,"RepDwightEvans"
"ABC",4,"RepDwightEvans"
"amprog",4,"RepDwightEvans"
"ava",4,"RepDwightEvans"
"blackvoices",4,"RepDwightEvans"
"Blavity",4,"RepDwightEvans"
"CAPAC",4,"RepDwightEvans"
"CapitolPolice",4,"RepDwightEvans"
"CCPedu",4,"RepDwightEvans"
"ChildrensPhila",4,"RepDwightEvans"
"ChrisMurphyCT",4,"RepDwightEvans"
"civilrightsorg",4,"RepDwightEvans"
"CongBoyle",4,"RepDwightEvans"
"CoryBooker",4,"RepDwightEvans"
"CouncilmanDerek",4,"RepDwightEvans"
"Darrell_Clarke",4,"RepDwightEvans"
"DrsMeena",4,"RepDwightEvans"
"EPA",4,"RepDwightEvans"
"FeedingAmerica",4,"RepDwightEvans"
"FrankieDarcell",4,"RepDwightEvans"
"GovernorsOffice",4,"RepDwightEvans"
