"Mention","Frequency","screen_name"
"POTUS",72,"RepEliotEngel"
"HouseGOP",71,"RepEliotEngel"
"HouseDemocrats",41,"RepEliotEngel"
"SpeakerBoehner",27,"RepEliotEngel"
"DHSgov",18,"RepEliotEngel"
"EnergyCommerce",18,"RepEliotEngel"
"GOP",17,"RepEliotEngel"
"JeffreyDinowitz",17,"RepEliotEngel"
"AndrewCohenNYC",15,"RepEliotEngel"
"MSNBC",15,"RepEliotEngel"
"BarackObama",13,"RepEliotEngel"
"MayorMikeSpano",13,"RepEliotEngel"
"CNN",12,"RepEliotEngel"
"NYGovCuomo",12,"RepEliotEngel"
"SenateGOP",12,"RepEliotEngel"
"AndyKingNYC",11,"RepEliotEngel"
"JeffKleinNY",11,"RepEliotEngel"
"NitaLowey",10,"RepEliotEngel"
"PPact",10,"RepEliotEngel"
"PPFA",10,"RepEliotEngel"
"PPHP",10,"RepEliotEngel"
"WhiteHouse",10,"RepEliotEngel"
"FoxNews",8,"RepEliotEngel"
"jamaaltbailey",8,"RepEliotEngel"
"RepEdRoyce",8,"RepEliotEngel"
"ShelleyBMayer",8,"RepEliotEngel"
"AmyPaulin",7,"RepEliotEngel"
"AndreaSCousins",7,"RepEliotEngel"
"lohud",7,"RepEliotEngel"
"NancyPelosi",6,"RepEliotEngel"
"CDCgov",5,"RepEliotEngel"
"ErinBurnett",5,"RepEliotEngel"
"NYStateofHealth",5,"RepEliotEngel"
"RiverSpringHlth",5,"RepEliotEngel"
"wolfblitzer",5,"RepEliotEngel"
"ABC7NY",4,"RepEliotEngel"
"BilldeBlasio",4,"RepEliotEngel"
"EPA",4,"RepEliotEngel"
"FCC",4,"RepEliotEngel"
"GeorgeLatimer37",4,"RepEliotEngel"
"GregoryMeeks",4,"RepEliotEngel"
"janschakowsky",4,"RepEliotEngel"
"JimMaisano",4,"RepEliotEngel"
"LCVoters",4,"RepEliotEngel"
"LGBTEqCaucus",4,"RepEliotEngel"
"Mets",4,"RepEliotEngel"
"mikebenedetto82",4,"RepEliotEngel"
"NRA",4,"RepEliotEngel"
"NYDailyNews",4,"RepEliotEngel"
"RepMaloney",4,"RepEliotEngel"
"RepSteveIsrael",4,"RepEliotEngel"
"richwthomas",4,"RepEliotEngel"
"RosLehtinen",4,"RepEliotEngel"
"rubendiazjr",4,"RepEliotEngel"
"SenateDems",4,"RepEliotEngel"
"VP",4,"RepEliotEngel"
"ACSCAN",3,"RepEliotEngel"
"billritter7",3,"RepEliotEngel"
"CarlHeastie",3,"RepEliotEngel"
"ChoiceMatters",3,"RepEliotEngel"
"CNNPolitics",3,"RepEliotEngel"
"errollouis",3,"RepEliotEngel"
"FrankPallone",3,"RepEliotEngel"
"HFACDemocrats",3,"RepEliotEngel"
"HRC",3,"RepEliotEngel"
"InsideCityHall",3,"RepEliotEngel"
"JansingCo",3,"RepEliotEngel"
"JerryNadler",3,"RepEliotEngel"
"MountStVincent",3,"RepEliotEngel"
"NYRangers",3,"RepEliotEngel"
"nyschoolboards",3,"RepEliotEngel"
"OutFrontCNN",3,"RepEliotEngel"
"politico",3,"RepEliotEngel"
"ProChoiceCaucus",3,"RepEliotEngel"
"RepBerkley",3,"RepEliotEngel"
"RepEliotEngel",3,"RepEliotEngel"
"repjohnlewis",3,"RepEliotEngel"
"RepSeanMaloney",3,"RepEliotEngel"
"RepTomReed",3,"RepEliotEngel"
"RiverdaleY",3,"RepEliotEngel"
"RNHtweet",3,"RepEliotEngel"
"SenSchumer",3,"RepEliotEngel"
"StephenAtHome",3,"RepEliotEngel"
"TheNepp",3,"RepEliotEngel"
"ThisWeekABC",3,"RepEliotEngel"
"USCBO",3,"RepEliotEngel"
"Yankees",3,"RepEliotEngel"
"1199SEIU",2,"RepEliotEngel"
"77WABCradio",2,"RepEliotEngel"
"AARP",2,"RepEliotEngel"
"AGSchneiderman",2,"RepEliotEngel"
"BxArtsEnsemble",2,"RepEliotEngel"
"cbrangel",2,"RepEliotEngel"
"CityofYonkers",2,"RepEliotEngel"
"CNNnewsroom",2,"RepEliotEngel"
"cspan",2,"RepEliotEngel"
