"Hashtag","Frequency","screen_name"
"NY13",167,"RepEspaillat"
"Trump",139,"RepEspaillat"
"DACA",132,"RepEspaillat"
"PuertoRico",114,"RepEspaillat"
"DREAMers",77,"RepEspaillat"
"GOPTaxScam",70,"RepEspaillat"
"Trumpcare",63,"RepEspaillat"
"Dreamers",55,"RepEspaillat"
"DreamAct",53,"RepEspaillat"
"DefendDACA",49,"RepEspaillat"
"ProtectDreamers",42,"RepEspaillat"
"NYC",33,"RepEspaillat"
"ProtectDREAMers",33,"RepEspaillat"
"SOTU",33,"RepEspaillat"
"DREAMAct",32,"RepEspaillat"
"Trump100Days",28,"RepEspaillat"
"DreamActNow",27,"RepEspaillat"
"TrumpShutdown",26,"RepEspaillat"
"ABetterDeal",23,"RepEspaillat"
"SaveTPS",23,"RepEspaillat"
"Harlem",22,"RepEspaillat"
"TrumpCare",22,"RepEspaillat"
"TrumpCuts",22,"RepEspaillat"
"FollowTheFacts",20,"RepEspaillat"
"AYearOfTrump",18,"RepEspaillat"
"ImmigrantRights",18,"RepEspaillat"
"StopTheAbuse",18,"RepEspaillat"
"MomentOfTruth",16,"RepEspaillat"
"TrumpBudget",15,"RepEspaillat"
"UpwardBound",15,"RepEspaillat"
"GetCovered",14,"RepEspaillat"
"TPS",14,"RepEspaillat"
"AimHigher",13,"RepEspaillat"
"FixDACA",13,"RepEspaillat"
"MayDay2017",13,"RepEspaillat"
"NetNeutrality",13,"RepEspaillat"
"NoWall",13,"RepEspaillat"
"NYPD",13,"RepEspaillat"
"BlackHistoryMonth",12,"RepEspaillat"
"HereToStay",12,"RepEspaillat"
"LGBT",12,"RepEspaillat"
"PuertoRicoRelief",12,"RepEspaillat"
"TrumpRussia",12,"RepEspaillat"
"DomesticViolenceAwarenessMonth",11,"RepEspaillat"
"ParisAgreement",11,"RepEspaillat"
"PublicHousing",11,"RepEspaillat"
"Russia",11,"RepEspaillat"
"summerjobs",11,"RepEspaillat"
"SummerOfHell",11,"RepEspaillat"
"affordablehousing",10,"RepEspaillat"
"Bronx",10,"RepEspaillat"
"DominicanHeritageMonth",10,"RepEspaillat"
"DominicanRepublic",10,"RepEspaillat"
"ICE",10,"RepEspaillat"
"SaveCoogans",10,"RepEspaillat"
"Summerjobs",10,"RepEspaillat"
"BecauseOfMom",9,"RepEspaillat"
"BridesMarch",9,"RepEspaillat"
"CensureTrump",9,"RepEspaillat"
"Charlottesville",9,"RepEspaillat"
"defendDACA",9,"RepEspaillat"
"HurricaneMaria",9,"RepEspaillat"
"ProtectOurCare",9,"RepEspaillat"
"ProtectOurDemocracy",9,"RepEspaillat"
"WeRHarlem",9,"RepEspaillat"
"WithABuckFiftyAWeek",9,"RepEspaillat"
"AfroLatino",8,"RepEspaillat"
"BrokenPromises",8,"RepEspaillat"
"Comey",8,"RepEspaillat"
"domesticviolence",8,"RepEspaillat"
"DomesticViolence",8,"RepEspaillat"
"DREAMERS",8,"RepEspaillat"
"HR4508",8,"RepEspaillat"
"Immigration",8,"RepEspaillat"
"ImpeachTrump",8,"RepEspaillat"
"MLKDay",8,"RepEspaillat"
"MonumentsForAll",8,"RepEspaillat"
"ProjectPlayHarlem",8,"RepEspaillat"
"EyesonChechnya",7,"RepEspaillat"
"IAmAnImmigrant",7,"RepEspaillat"
"Juneteenth",7,"RepEspaillat"
"MLKDay2018",7,"RepEspaillat"
"NY",7,"RepEspaillat"
"Pride2017",7,"RepEspaillat"
"climatechange",6,"RepEspaillat"
"CongressionalBaseballGame",6,"RepEspaillat"
"DHSVoice",6,"RepEspaillat"
"GrahamCassidy",6,"RepEspaillat"
"ImmigrantHeritageMonth",6,"RepEspaillat"
"immigrants",6,"RepEspaillat"
"immigration",6,"RepEspaillat"
"LGBTQ",6,"RepEspaillat"
"NationalTeachersDay",6,"RepEspaillat"
"NeverForget",6,"RepEspaillat"
"PuertoRicanDay",6,"RepEspaillat"
"Resist",6,"RepEspaillat"
"RiseUp",6,"RepEspaillat"
"SaveSmallBusiness",6,"RepEspaillat"
"SmallBiz",6,"RepEspaillat"
"WrongChoiceAct",6,"RepEspaillat"
"ACA",5,"RepEspaillat"
"Caribbean",5,"RepEspaillat"
"CleanDreamAct",5,"RepEspaillat"
"ConfederateSymbols",5,"RepEspaillat"
"EqualityAct",5,"RepEspaillat"
"FairFix4NY",5,"RepEspaillat"
"FrederickDouglass200",5,"RepEspaillat"
"GOPbudget",5,"RepEspaillat"
"HispanicHeritageMonth",5,"RepEspaillat"
"Housing4All",5,"RepEspaillat"
"immigrant",5,"RepEspaillat"
"IranDeal",5,"RepEspaillat"
"JamesComey",5,"RepEspaillat"
"May1",5,"RepEspaillat"
"NationalPoliceWeek",5,"RepEspaillat"
"NYCSubway",5,"RepEspaillat"
"RemoveNunes",5,"RepEspaillat"
"RootOutRacism",5,"RepEspaillat"
"Sessions",5,"RepEspaillat"
"SmallBusiness",5,"RepEspaillat"
"SocSec82",5,"RepEspaillat"
"SummerJobs",5,"RepEspaillat"
"SummerofHell",5,"RepEspaillat"
"TrumpLies",5,"RepEspaillat"
"VRA",5,"RepEspaillat"
"WashingtonHeights",5,"RepEspaillat"
"AffordableHousingNow",4,"RepEspaillat"
"AmericanHopeAct",4,"RepEspaillat"
"Bannon",4,"RepEspaillat"
"BillionairesFirst",4,"RepEspaillat"
"BizSummit",4,"RepEspaillat"
"BlackHistoryYouDidntLearnInSchool",4,"RepEspaillat"
"CBP",4,"RepEspaillat"
"ClimateMarch",4,"RepEspaillat"
"ComeyFiring",4,"RepEspaillat"
"DC",4,"RepEspaillat"
"Dominican",4,"RepEspaillat"
"EqualityForAll",4,"RepEspaillat"
"FosterYouthVoices",4,"RepEspaillat"
"governmentshutdown",4,"RepEspaillat"
"HarlemWeek",4,"RepEspaillat"
"highered",4,"RepEspaillat"
"housing",4,"RepEspaillat"
"JonesAct",4,"RepEspaillat"
"Kushner",4,"RepEspaillat"
"LovingDay",4,"RepEspaillat"
"MuslimBan",4,"RepEspaillat"
"NoCuts",4,"RepEspaillat"
"NYCHA",4,"RepEspaillat"
"OTD",4,"RepEspaillat"
"PrideMonth",4,"RepEspaillat"
"protectDreamers",4,"RepEspaillat"
"SensitiveLocations",4,"RepEspaillat"
"SOS",4,"RepEspaillat"
"StandWithImmigrants",4,"RepEspaillat"
"StillIn",4,"RepEspaillat"
"StopAct",4,"RepEspaillat"
"TenantMarch",4,"RepEspaillat"
"townhall",4,"RepEspaillat"
"TransBan",4,"RepEspaillat"
"TrumpTaxes",4,"RepEspaillat"
"WomensEqualityDay",4,"RepEspaillat"
"WomensMarch2018",4,"RepEspaillat"
"WomensMarchNYC",4,"RepEspaillat"
"ActOnClimate",3,"RepEspaillat"
"AffordableHousing",3,"RepEspaillat"
"AfroLatinX",3,"RepEspaillat"
"ALSen",3,"RepEspaillat"
"AM2DM",3,"RepEspaillat"
"AMJoy",3,"RepEspaillat"
"asegúrate",3,"RepEspaillat"
"BoldTV",3,"RepEspaillat"
"BREAKING",3,"RepEspaillat"
"ChildCare4all",3,"RepEspaillat"
"CHIP",3,"RepEspaillat"
"ChisholminUSCapitol",3,"RepEspaillat"
"ComeyMemo",3,"RepEspaillat"
"ComeyTestimony",3,"RepEspaillat"
"ConfederateMonuments",3,"RepEspaillat"
"DACADreamers",3,"RepEspaillat"
"DACAworks",3,"RepEspaillat"
"DACAWorks",3,"RepEspaillat"
"DefendDREAMers",3,"RepEspaillat"
"DisasterRelief",3,"RepEspaillat"
"DrainTheSwamp",3,"RepEspaillat"
"DREAMActNow",3,"RepEspaillat"
"EarthDay",3,"RepEspaillat"
"EndAIDS2030",3,"RepEspaillat"
"EndDV",3,"RepEspaillat"
"FindYourPark",3,"RepEspaillat"
"FixIt",3,"RepEspaillat"
"Flynn",3,"RepEspaillat"
"GladysRicart",3,"RepEspaillat"
"GoogleDoodle",3,"RepEspaillat"
"GOP",3,"RepEspaillat"
"GOPdecoded",3,"RepEspaillat"
"GOPtaxscam",3,"RepEspaillat"
"HappeningNow",3,"RepEspaillat"
"HigherEd",3,"RepEspaillat"
"HonorWithAction",3,"RepEspaillat"
"Housing",3,"RepEspaillat"
"HR1180",3,"RepEspaillat"
"ImmigrationReform",3,"RepEspaillat"
"impeachment",3,"RepEspaillat"
"KnowYourRights",3,"RepEspaillat"
"LicenseToDiscriminate",3,"RepEspaillat"
"LivingNightmare",3,"RepEspaillat"
"NoBanNoWallNoRaids",3,"RepEspaillat"
"NorthKorea",3,"RepEspaillat"
"NYSubway",3,"RepEspaillat"
"OpioidEpidemic",3,"RepEspaillat"
"OurHomesOurVoices",3,"RepEspaillat"
"PassDreamAct",3,"RepEspaillat"
"PedestrianSafety",3,"RepEspaillat"
"PeoplesBudget",3,"RepEspaillat"
"PROSPER",3,"RepEspaillat"
"PuertoRicoReliefNOW",3,"RepEspaillat"
"RabenTalk",3,"RepEspaillat"
"RaiseAct",3,"RepEspaillat"
"ReliefNow",3,"RepEspaillat"
