"Hashtag","Frequency","screen_name"
"TX29",379,"RepGeneGreen"
"ACA",78,"RepGeneGreen"
"Trumpcare",66,"RepGeneGreen"
"TrumpCare",46,"RepGeneGreen"
"Harvey",36,"RepGeneGreen"
"GOPTaxScam",30,"RepGeneGreen"
"ProtectOurCare",30,"RepGeneGreen"
"GetCovered",28,"RepGeneGreen"
"Houston",26,"RepGeneGreen"
"DACA",21,"RepGeneGreen"
"HTX",17,"RepGeneGreen"
"Medicaid",17,"RepGeneGreen"
"TSCA",17,"RepGeneGreen"
"CHIP",16,"RepGeneGreen"
"ExtendCHIP",15,"RepGeneGreen"
"energy",14,"RepGeneGreen"
"PayMoreForLess",13,"RepGeneGreen"
"Zika",13,"RepGeneGreen"
"TrumpCuts",12,"RepGeneGreen"
"ProtectDREAMers",11,"RepGeneGreen"
"tx29",11,"RepGeneGreen"
"ACAworks",10,"RepGeneGreen"
"healthcare",10,"RepGeneGreen"
"Cures2015",9,"RepGeneGreen"
"HoustonStrong",8,"RepGeneGreen"
"MakeAmericaSickAgain",8,"RepGeneGreen"
"Medicare",8,"RepGeneGreen"
"DAPA",7,"RepGeneGreen"
"DREAMAct",7,"RepGeneGreen"
"FF",7,"RepGeneGreen"
"getcovered",7,"RepGeneGreen"
"GrahamCassidy",7,"RepGeneGreen"
"Texas",7,"RepGeneGreen"
"HarveyRelief",6,"RepGeneGreen"
"NetNeutrality",6,"RepGeneGreen"
"US",6,"RepGeneGreen"
"ADAPT",5,"RepGeneGreen"
"DoYourJob",5,"RepGeneGreen"
"Dreamers",5,"RepGeneGreen"
"DREAMers",5,"RepGeneGreen"
"health",5,"RepGeneGreen"
"HigherEd",5,"RepGeneGreen"
"jobs",5,"RepGeneGreen"
"KingvBurwell",5,"RepGeneGreen"
"SCOTUS",5,"RepGeneGreen"
"WorldSeries",5,"RepGeneGreen"
"DreamActNow",4,"RepGeneGreen"
"EarnHistory",4,"RepGeneGreen"
"FEMA",4,"RepGeneGreen"
"HurricaneHarvey",4,"RepGeneGreen"
"Irma",4,"RepGeneGreen"
"MLK",4,"RepGeneGreen"
"NPHWChat",4,"RepGeneGreen"
"ProtectDreamers",4,"RepGeneGreen"
"RenewUI",4,"RepGeneGreen"
"RxForDisaster",4,"RepGeneGreen"
"TexasStrong",4,"RepGeneGreen"
"TX",4,"RepGeneGreen"
"USA",4,"RepGeneGreen"
"ACA7",3,"RepGeneGreen"
"ACAWorks",3,"RepGeneGreen"
"AskDems",3,"RepGeneGreen"
"CIR",3,"RepGeneGreen"
"Congress",3,"RepGeneGreen"
"cspanchat",3,"RepGeneGreen"
"CuresAct",3,"RepGeneGreen"
"CuresNow",3,"RepGeneGreen"
"Dallas",3,"RepGeneGreen"
"economy",3,"RepGeneGreen"
"EqualPayDay",3,"RepGeneGreen"
"ExIm4Jobs",3,"RepGeneGreen"
"ExImBank",3,"RepGeneGreen"
"GOPBudget",3,"RepGeneGreen"
"Health",3,"RepGeneGreen"
"Healthcare",3,"RepGeneGreen"
"HispanicHeritageMonth",3,"RepGeneGreen"
"immigration",3,"RepGeneGreen"
"IndependenceDay",3,"RepGeneGreen"
"JobFair",3,"RepGeneGreen"
"JointAddress",3,"RepGeneGreen"
"KXL",3,"RepGeneGreen"
"maritime",3,"RepGeneGreen"
"MemorialDay",3,"RepGeneGreen"
"OET2015",3,"RepGeneGreen"
"OpenSkies",3,"RepGeneGreen"
"opioidepidemic",3,"RepGeneGreen"
"SGR",3,"RepGeneGreen"
"SOTU",3,"RepGeneGreen"
"STEM",3,"RepGeneGreen"
"TaxDayFlood",3,"RepGeneGreen"
"tbt",3,"RepGeneGreen"
"TrumpBudget",3,"RepGeneGreen"
"WomensEqualityDay",3,"RepGeneGreen"
"WomensHistoryMonth",3,"RepGeneGreen"
"WrongChoiceAct",3,"RepGeneGreen"
"ZikaVirus",3,"RepGeneGreen"
"13thAmendment",2,"RepGeneGreen"
"20millionstrong",2,"RepGeneGreen"
"4thofJuly",2,"RepGeneGreen"
"ACAsabotage",2,"RepGeneGreen"
"ALDS",2,"RepGeneGreen"
"AmericanHopeAct",2,"RepGeneGreen"
"antibiotics",2,"RepGeneGreen"
"ArmedForcesDay",2,"RepGeneGreen"
"Astros",2,"RepGeneGreen"
"ATTAspire",2,"RepGeneGreen"
"backtoschool",2,"RepGeneGreen"
"BackToTheFuture",2,"RepGeneGreen"
"Charlottesville",2,"RepGeneGreen"
"CincodeMayo",2,"RepGeneGreen"
"ComeyHearing",2,"RepGeneGreen"
"Cures",2,"RepGeneGreen"
"DeLorean",2,"RepGeneGreen"
"ebola",2,"RepGeneGreen"
"Ebola",2,"RepGeneGreen"
"ENDALZ",2,"RepGeneGreen"
"EndStigma",2,"RepGeneGreen"
"EPA",2,"RepGeneGreen"
"equalpay",2,"RepGeneGreen"
"ESEA",2,"RepGeneGreen"
"ExpandMedicaidNow",2,"RepGeneGreen"
"FairPayAct",2,"RepGeneGreen"
"Flint",2,"RepGeneGreen"
"fluseason",2,"RepGeneGreen"
"FundCHIP",2,"RepGeneGreen"
