"Mention","Frequency","screen_name"
"MSNBC",79,"RepGregoryMeeks"
"realDonaldTrump",35,"RepGregoryMeeks"
"CNN",33,"RepGregoryMeeks"
"BarackObama",30,"RepGregoryMeeks"
"POTUS",27,"RepGregoryMeeks"
"HouseGOP",24,"RepGregoryMeeks"
"OfficialCBC",18,"RepGregoryMeeks"
"tamronhall",17,"RepGregoryMeeks"
"SpeakerBoehner",15,"RepGregoryMeeks"
"HouseDemocrats",12,"RepGregoryMeeks"
"HillaryClinton",11,"RepGregoryMeeks"
"jdbalart",9,"RepGregoryMeeks"
"repjohnlewis",9,"RepGregoryMeeks"
"WhiteHouse",9,"RepGregoryMeeks"
"SpeakerRyan",8,"RepGregoryMeeks"
"TheRevAl",8,"RepGregoryMeeks"
"AlexWitt",7,"RepGregoryMeeks"
"cbrangel",7,"RepGregoryMeeks"
"GOP",7,"RepGregoryMeeks"
"YouTube",7,"RepGregoryMeeks"
"HouseForeign",6,"RepGregoryMeeks"
"RepJeffries",6,"RepGregoryMeeks"
"wolfblitzer",6,"RepGregoryMeeks"
"BBCWorld",5,"RepGregoryMeeks"
"CFPB",5,"RepGregoryMeeks"
"cspanwj",5,"RepGregoryMeeks"
"HFACDemocrats",5,"RepGregoryMeeks"
"NYGovCuomo",5,"RepGregoryMeeks"
"VP",5,"RepGregoryMeeks"
"WhipHoyer",5,"RepGregoryMeeks"
"Billbrowder",4,"RepGregoryMeeks"
"BillClinton",4,"RepGregoryMeeks"
"federalreserve",4,"RepGregoryMeeks"
"HUDgov",4,"RepGregoryMeeks"
"NMAAHC",4,"RepGregoryMeeks"
"PoliticsNation",4,"RepGregoryMeeks"
"TamronMSNBC",4,"RepGregoryMeeks"
"YPGoldfeder",4,"RepGregoryMeeks"
"BashirLive",3,"RepGregoryMeeks"
"BelmontStakes",3,"RepGregoryMeeks"
"ChrisJansing",3,"RepGregoryMeeks"
"CNNnewsroom",3,"RepGregoryMeeks"
"edshow",3,"RepGregoryMeeks"
"EximBankUS",3,"RepGregoryMeeks"
"FCC",3,"RepGregoryMeeks"
"FinancialCmte",3,"RepGregoryMeeks"
"FSCDems",3,"RepGregoryMeeks"
"GOPLeader",3,"RepGregoryMeeks"
"hardball",3,"RepGregoryMeeks"
"hardball_chris",3,"RepGregoryMeeks"
"JoeBiden",3,"RepGregoryMeeks"
"MikeFroman",3,"RepGregoryMeeks"
"NancyPelosi",3,"RepGregoryMeeks"
"NewDay",3,"RepGregoryMeeks"
"NewsNation",3,"RepGregoryMeeks"
"NRA",3,"RepGregoryMeeks"
"Pontifex",3,"RepGregoryMeeks"
"PPFA",3,"RepGregoryMeeks"
"RepCummings",3,"RepGregoryMeeks"
"RepGraceMeng",3,"RepGregoryMeeks"
"Scotus",3,"RepGregoryMeeks"
"SenJohnMcCain",3,"RepGregoryMeeks"
"StateIVLP",3,"RepGregoryMeeks"
"YorkCollegeCUNY",3,"RepGregoryMeeks"
"BrookeBCNN",2,"RepGregoryMeeks"
"ChrisMurphyCT",2,"RepGregoryMeeks"
"chuckschumer",2,"RepGregoryMeeks"
"CNBC",2,"RepGregoryMeeks"
"CNNSitRoom",2,"RepGregoryMeeks"
"CommissBratton",2,"RepGregoryMeeks"
"cspan",2,"RepGregoryMeeks"
"CWAUnion",2,"RepGregoryMeeks"
"DevinNunes",2,"RepGregoryMeeks"
"FLOTUS",2,"RepGregoryMeeks"
"FrankPallone",2,"RepGregoryMeeks"
"HouseNewDems",2,"RepGregoryMeeks"
"HumaneSociety",2,"RepGregoryMeeks"
"JacksonLeeTX18",2,"RepGregoryMeeks"
"jasonenright",2,"RepGregoryMeeks"
"JDBmsnbc",2,"RepGregoryMeeks"
"JECDems",2,"RepGregoryMeeks"
"MelWattNC12",2,"RepGregoryMeeks"
"mitchellreports",2,"RepGregoryMeeks"
"NotifyNYC",2,"RepGregoryMeeks"
"nyc311",2,"RepGregoryMeeks"
"NYPD100Pct",2,"RepGregoryMeeks"
"PIX11News",2,"RepGregoryMeeks"
"PPact",2,"RepGregoryMeeks"
"RepBeatty",2,"RepGregoryMeeks"
"RepEdRoyce",2,"RepGregoryMeeks"
"RepEliotEngel",2,"RepGregoryMeeks"
"RepGregoryMeeks",2,"RepGregoryMeeks"
"RepGwenMoore",2,"RepGregoryMeeks"
"RepMaloney",2,"RepGregoryMeeks"
"RepPeteKing",2,"RepGregoryMeeks"
"RepRobinKelly",2,"RepGregoryMeeks"
"RepTedBudd",2,"RepGregoryMeeks"
"RepYvetteClarke",2,"RepGregoryMeeks"
"RonanFarrow",2,"RepGregoryMeeks"
"SecretaryFoxx",2,"RepGregoryMeeks"
"SenateGOP",2,"RepGregoryMeeks"
"SenatorReid",2,"RepGregoryMeeks"
"SenGillibrand",2,"RepGregoryMeeks"
"SquawkCNBC",2,"RepGregoryMeeks"
"StateDept",2,"RepGregoryMeeks"
"SteveScalise",2,"RepGregoryMeeks"
