"Hashtag","Frequency","screen_name"
"Sandy",72,"RepGregoryMeeks"
"SOTU",52,"RepGregoryMeeks"
"NYSANDY",36,"RepGregoryMeeks"
"BlackHistoryMonth",34,"RepGregoryMeeks"
"ACA",29,"RepGregoryMeeks"
"TodayWeHonor",27,"RepGregoryMeeks"
"Trumpcare",19,"RepGregoryMeeks"
"TuneIn",19,"RepGregoryMeeks"
"TrumpRussia",18,"RepGregoryMeeks"
"GOPTaxScam",16,"RepGregoryMeeks"
"SCOTUS",15,"RepGregoryMeeks"
"WrongCHOICEAct",15,"RepGregoryMeeks"
"ISIS",14,"RepGregoryMeeks"
"EricGarner",13,"RepGregoryMeeks"
"MLK",13,"RepGregoryMeeks"
"TBT",13,"RepGregoryMeeks"
"GetCovered",12,"RepGregoryMeeks"
"ISIL",12,"RepGregoryMeeks"
"Cuba",11,"RepGregoryMeeks"
"EnoughAlready",11,"RepGregoryMeeks"
"BlackLivesMatter",10,"RepGregoryMeeks"
"Ferguson",10,"RepGregoryMeeks"
"IranDeal",10,"RepGregoryMeeks"
"AHCA",9,"RepGregoryMeeks"
"BringBackOurGirls",9,"RepGregoryMeeks"
"DACA",9,"RepGregoryMeeks"
"GOPShutdown",9,"RepGregoryMeeks"
"NoBillNoBreak",9,"RepGregoryMeeks"
"NYPD",9,"RepGregoryMeeks"
"NYSandy",9,"RepGregoryMeeks"
"StayWoke",9,"RepGregoryMeeks"
"DemandAVote",8,"RepGregoryMeeks"
"DisarmHate",8,"RepGregoryMeeks"
"gunviolence",8,"RepGregoryMeeks"
"Iran",8,"RepGregoryMeeks"
"NYC",8,"RepGregoryMeeks"
"RestoreTheVRA",8,"RepGregoryMeeks"
"Russia",8,"RepGregoryMeeks"
"ShareBlackHistory",8,"RepGregoryMeeks"
"Syria",8,"RepGregoryMeeks"
"WallStreetPowersAfrica",8,"RepGregoryMeeks"
"MLKDay",7,"RepGregoryMeeks"
"Obamacare",7,"RepGregoryMeeks"
"PayMoreForLess",7,"RepGregoryMeeks"
"ThanksObama",7,"RepGregoryMeeks"
"EricHolder",6,"RepGregoryMeeks"
"FergusonDecision",6,"RepGregoryMeeks"
"NeverForget",6,"RepGregoryMeeks"
"SkinnyRepeal",6,"RepGregoryMeeks"
"SpecialProsecutor",6,"RepGregoryMeeks"
"ACAWorks",5,"RepGregoryMeeks"
"BenghaziCommittee",5,"RepGregoryMeeks"
"DoddFrank",5,"RepGregoryMeeks"
"Ebola",5,"RepGregoryMeeks"
"FarRockaway",5,"RepGregoryMeeks"
"FiscalCliff",5,"RepGregoryMeeks"
"FollowTheFacts",5,"RepGregoryMeeks"
"GOP",5,"RepGregoryMeeks"
"immigrationreform",5,"RepGregoryMeeks"
"Kenya",5,"RepGregoryMeeks"
"NewYorkersinBlackHistory",5,"RepGregoryMeeks"
"NoBanNoWall",5,"RepGregoryMeeks"
"Queens",5,"RepGregoryMeeks"
"RaiseTheWage",5,"RepGregoryMeeks"
"RenewUI",5,"RepGregoryMeeks"
"tbt",5,"RepGregoryMeeks"
"Trump",5,"RepGregoryMeeks"
"TrumpShutdown",5,"RepGregoryMeeks"
"13thAmendment",4,"RepGregoryMeeks"
"ActOnClimate",4,"RepGregoryMeeks"
"Brexit",4,"RepGregoryMeeks"
"budget",4,"RepGregoryMeeks"
"Charlottesville",4,"RepGregoryMeeks"
"CheddarLIVE",4,"RepGregoryMeeks"
"DefendCFPB",4,"RepGregoryMeeks"
"DefendDACA",4,"RepGregoryMeeks"
"EndAIDS2030",4,"RepGregoryMeeks"
"Ethiopia",4,"RepGregoryMeeks"
"fiscalcliff",4,"RepGregoryMeeks"
"GrahamCassidy",4,"RepGregoryMeeks"
"HappyVeteransDay",4,"RepGregoryMeeks"
"ImmigrationReform",4,"RepGregoryMeeks"
"IStandWithPP",4,"RepGregoryMeeks"
"Joaquin",4,"RepGregoryMeeks"
"JoinRepWilson",4,"RepGregoryMeeks"
"LorettaLynch",4,"RepGregoryMeeks"
"MH17",4,"RepGregoryMeeks"
"NoBreakNoBill",4,"RepGregoryMeeks"
