"Hashtag","Frequency","screen_name"
"ACA",33,"RepHankJohnson"
"TrumpCare",21,"RepHankJohnson"
"GetCovered",19,"RepHankJohnson"
"ProtectDREAMers",19,"RepHankJohnson"
"DACA",17,"RepHankJohnson"
"ProtectOurCare",17,"RepHankJohnson"
"GOPshutdown",16,"RepHankJohnson"
"Trumpcare",16,"RepHankJohnson"
"FollowTheFacts",15,"RepHankJohnson"
"ABetterDeal",13,"RepHankJohnson"
"RaiseTheWage",13,"RepHankJohnson"
"MiddleClassFirst",11,"RepHankJohnson"
"RestoreTheVRA",11,"RepHankJohnson"
"SOTU",11,"RepHankJohnson"
"askdems",10,"RepHankJohnson"
"GOPTaxScam",10,"RepHankJohnson"
"NWHW",10,"RepHankJohnson"
"DREAMers",9,"RepHankJohnson"
"NoFlyNoBuy",9,"RepHankJohnson"
"VRA",9,"RepHankJohnson"
"DREAMAct",8,"RepHankJohnson"
"Dreamers",8,"RepHankJohnson"
"FY17NDAA",8,"RepHankJohnson"
"NN15",8,"RepHankJohnson"
"Oscars",8,"RepHankJohnson"
"policemilitarization",8,"RepHankJohnson"
"RestoreTheVOTE",8,"RepHankJohnson"
"ATL",7,"RepHankJohnson"
"BlackLivesMatter",7,"RepHankJohnson"
"NoBanNoWall",7,"RepHankJohnson"
"SCOTUS",7,"RepHankJohnson"
"Zika",7,"RepHankJohnson"
"DreamActNow",6,"RepHankJohnson"
"FoodStampChallenge",6,"RepHankJohnson"
"ForcedArbitration",6,"RepHankJohnson"
"March2Justice",6,"RepHankJohnson"
"Medicaid",6,"RepHankJohnson"
"NetNeutrality",6,"RepHankJohnson"
"PayMoreForLess",6,"RepHankJohnson"
"POTUS",6,"RepHankJohnson"
"RenewUI",6,"RepHankJohnson"
"TrumpCuts",6,"RepHankJohnson"
"WomenSucceed",6,"RepHankJohnson"
"arbitration",5,"RepHankJohnson"
"BESTPracticesAct",5,"RepHankJohnson"
"BringBackOurGirls",5,"RepHankJohnson"
"DontShutDownOurSecurity",5,"RepHankJohnson"
"EarthDay",5,"RepHankJohnson"
"FlintWaterCrisis",5,"RepHankJohnson"
"FreeAJStaff",5,"RepHankJohnson"
"IranDeal",5,"RepHankJohnson"
"MakeAmericaSickAgain",5,"RepHankJohnson"
"MLK",5,"RepHankJohnson"
"NoBillNoBreak",5,"RepHankJohnson"
"privacy",5,"RepHankJohnson"
"WomensMarch",5,"RepHankJohnson"
"WorldHepatitisDay",5,"RepHankJohnson"
"50thMOW",4,"RepHankJohnson"
"ACAworks",4,"RepHankJohnson"
"ACAWorks",4,"RepHankJohnson"
"ActOnClimate",4,"RepHankJohnson"
"AskDems",4,"RepHankJohnson"
"BetterDeal",4,"RepHankJohnson"
"BlackHistoryMonth",4,"RepHankJohnson"
"digitalprivacy2013",4,"RepHankJohnson"
"dreamday",4,"RepHankJohnson"
"Flint",4,"RepHankJohnson"
"HispanicHeritageMonth",4,"RepHankJohnson"
"LGBT",4,"RepHankJohnson"
"Medicare",4,"RepHankJohnson"
"militarizationofpolice",4,"RepHankJohnson"
"mlkdream50",4,"RepHankJohnson"
"protectDreamers",4,"RepHankJohnson"
"ProtectDreamers",4,"RepHankJohnson"
"raisethewage",4,"RepHankJohnson"
"RestorationTuesday",4,"RepHankJohnson"
"RT",4,"RepHankJohnson"
"SocSec82",4,"RepHankJohnson"
"STEM",4,"RepHankJohnson"
"TBT",4,"RepHankJohnson"
"ThrowbackThursday",4,"RepHankJohnson"
"VotingRightsAct",4,"RepHankJohnson"
"VRA4Today",4,"RepHankJohnson"
"WakeUpGOP",4,"RepHankJohnson"
"WhyWeMarch",4,"RepHankJohnson"
"womensucceed",4,"RepHankJohnson"
"BankOnStudents",3,"RepHankJohnson"
"BlackWomenMatter",3,"RepHankJohnson"
"BudgetDeal",3,"RepHankJohnson"
"CAST",3,"RepHankJohnson"
"CBCTech2020",3,"RepHankJohnson"
"CivilRights",3,"RepHankJohnson"
"ConfirmLynch",3,"RepHankJohnson"
"DefendDACA",3,"RepHankJohnson"
"DefendScience",3,"RepHankJohnson"
"DemandAVote",3,"RepHankJohnson"
"DoYourJob",3,"RepHankJohnson"
"EqualPay",3,"RepHankJohnson"
"ExpandMedicaidNow",3,"RepHankJohnson"
"FlagStillFlies",3,"RepHankJohnson"
"freeAJstaff",3,"RepHankJohnson"
"getcovered",3,"RepHankJohnson"
"GetCoveredGA",3,"RepHankJohnson"
"GetCoveredNow",3,"RepHankJohnson"
"GOPbudget",3,"RepHankJohnson"
"GOPBudget",3,"RepHankJohnson"
"GOPdefault",3,"RepHankJohnson"
"GrahamCassidy",3,"RepHankJohnson"
"HBCU",3,"RepHankJohnson"
"HBCUWeek",3,"RepHankJohnson"
"ICYMI",3,"RepHankJohnson"
"MemorialDay",3,"RepHankJohnson"
"NotOnePenny",3,"RepHankJohnson"
"Periscope",3,"RepHankJohnson"
"regulation",3,"RepHankJohnson"
"renewUI",3,"RepHankJohnson"
"Republicans",3,"RepHankJohnson"
"SandraBland",3,"RepHankJohnson"
"SaveTPS",3,"RepHankJohnson"
"smh",3,"RepHankJohnson"
"SNAP",3,"RepHankJohnson"
"ThingsTrumpWontTalkAbout",3,"RepHankJohnson"
"TransBan",3,"RepHankJohnson"
"VAWA",3,"RepHankJohnson"
"veterans",3,"RepHankJohnson"
"WednesdayWisdom",3,"RepHankJohnson"
"ACAisWorking",2,"RepHankJohnson"
"ActonClimate",2,"RepHankJohnson"
"AltonSterling",2,"RepHankJohnson"
"AmericanHopeAct",2,"RepHankJohnson"
"ATC",2,"RepHankJohnson"
"BeAHero",2,"RepHankJohnson"
"BeBoldEndHyde",2,"RepHankJohnson"
"Benghazi",2,"RepHankJohnson"
"BertaCaceres",2,"RepHankJohnson"
"BeSafe",2,"RepHankJohnson"
"BlackMenEnroll",2,"RepHankJohnson"
"BlackPanthersPBS",2,"RepHankJohnson"
"bordercrisis",2,"RepHankJohnson"
"budget",2,"RepHankJohnson"
"CAC15",2,"RepHankJohnson"
"CBContheYard",2,"RepHankJohnson"
"ChibokGirls",2,"RepHankJohnson"
"CHIP",2,"RepHankJohnson"
"CleanPowerPlan",2,"RepHankJohnson"
"climate",2,"RepHankJohnson"
"coalash",2,"RepHankJohnson"
"Congress",2,"RepHankJohnson"
"Cuba",2,"RepHankJohnson"
"DayWithoutAWoman",2,"RepHankJohnson"
"DebtFreeCollege",2,"RepHankJohnson"
"demandavote",2,"RepHankJohnson"
"DisarmHate",2,"RepHankJohnson"
"DoctorSexAbuse",2,"RepHankJohnson"
"DontHackMyVote",2,"RepHankJohnson"
"DoYourJobHouseGOP",2,"RepHankJohnson"
"DreamAct",2,"RepHankJohnson"
"DreamSmallBiz",2,"RepHankJohnson"
"Egypt",2,"RepHankJohnson"
"EndAIDS2030",2,"RepHankJohnson"
"EndGunViolence",2,"RepHankJohnson"
"EqualityForward",2,"RepHankJohnson"
"equalpay",2,"RepHankJohnson"
"EqualPayDay",2,"RepHankJohnson"
"Ferguson",2,"RepHankJohnson"
"FHFA",2,"RepHankJohnson"
"FightFamine",2,"RepHankJohnson"
"FlashbackFriday",2,"RepHankJohnson"
"FosterYouthVoices",2,"RepHankJohnson"
"FY16NDAA",2,"RepHankJohnson"
"GA",2,"RepHankJohnson"
"GOPShutdown",2,"RepHankJohnson"
"Haiti",2,"RepHankJohnson"
"HASC",2,"RepHankJohnson"
"HelpBabyAJ",2,"RepHankJohnson"
"HIV",2,"RepHankJohnson"
"Holtzclaw",2,"RepHankJohnson"
"Honduras",2,"RepHankJohnson"
"HonorWithAction",2,"RepHankJohnson"
"HR3697",2,"RepHankJohnson"
"HR38",2,"RepHankJohnson"
"humanrights",2,"RepHankJohnson"
"ICantBreathe",2,"RepHankJohnson"
"InternationalWomensDay",2,"RepHankJohnson"
"Irma",2,"RepHankJohnson"
"KeepItPublic",2,"RepHankJohnson"
"KnowYourRights",2,"RepHankJohnson"
"LaborDay",2,"RepHankJohnson"
"Latinos",2,"RepHankJohnson"
"LCVScorecard",2,"RepHankJohnson"
"LGBTdata",2,"RepHankJohnson"
"LorettaLynch",2,"RepHankJohnson"
"middleclassfirst",2,"RepHankJohnson"
