"Hashtag","Frequency","screen_name"
"ACA",50,"RepHankJohnson"
"Zika",45,"RepHankJohnson"
"DoYourJob",36,"RepHankJohnson"
"TrumpCare",35,"RepHankJohnson"
"GOPTaxScam",30,"RepHankJohnson"
"Trumpcare",29,"RepHankJohnson"
"DACA",27,"RepHankJohnson"
"GOPshutdown",27,"RepHankJohnson"
"BloggerWeek",25,"RepHankJohnson"
"ProtectDREAMers",22,"RepHankJohnson"
"ProtectOurCare",22,"RepHankJohnson"
"GetCovered",21,"RepHankJohnson"
"MiddleClassFirst",21,"RepHankJohnson"
"Ferguson",19,"RepHankJohnson"
"FollowTheFacts",19,"RepHankJohnson"
"RestoreTheVRA",19,"RepHankJohnson"
"NN15",18,"RepHankJohnson"
"RaiseTheWage",18,"RepHankJohnson"
"SOTU",18,"RepHankJohnson"
"ABetterDeal",17,"RepHankJohnson"
"BlackLivesMatter",17,"RepHankJohnson"
"gapol",15,"RepHankJohnson"
"NoBillNoBreak",14,"RepHankJohnson"
"budget",13,"RepHankJohnson"
"DREAMers",13,"RepHankJohnson"
"PayMoreForLess",13,"RepHankJohnson"
"BESTPracticesAct",12,"RepHankJohnson"
"Flint",12,"RepHankJohnson"
"FlintWaterCrisis",12,"RepHankJohnson"
"HBCU",12,"RepHankJohnson"
"DisarmHate",11,"RepHankJohnson"
"NoFlyNoBuy",11,"RepHankJohnson"
"policemilitarization",11,"RepHankJohnson"
"SCOTUS",11,"RepHankJohnson"
"askdems",10,"RepHankJohnson"
"ATL",10,"RepHankJohnson"
"BREAKING",10,"RepHankJohnson"
"DontShutDownOurSecurity",10,"RepHankJohnson"
"DREAMAct",10,"RepHankJohnson"
"ForcedArbitration",10,"RepHankJohnson"
"FY17NDAA",10,"RepHankJohnson"
"NWHW",10,"RepHankJohnson"
"Oscars",10,"RepHankJohnson"
"VRA",10,"RepHankJohnson"
"ACAworks",9,"RepHankJohnson"
"ActOnClimate",9,"RepHankJohnson"
"BankOnStudents",9,"RepHankJohnson"
"Dreamers",9,"RepHankJohnson"
"March2Justice",9,"RepHankJohnson"
"NetNeutrality",9,"RepHankJohnson"
"RenewUI",9,"RepHankJohnson"
"RestoreTheVOTE",9,"RepHankJohnson"
"womensucceed",9,"RepHankJohnson"
"YALI2015",9,"RepHankJohnson"
"gunviolence",8,"RepHankJohnson"
"ICantBreathe",8,"RepHankJohnson"
"MakeAmericaSickAgain",8,"RepHankJohnson"
"NoBanNoWall",8,"RepHankJohnson"
"POTUS",8,"RepHankJohnson"
"TrumpCuts",8,"RepHankJohnson"
"WomenSucceed",8,"RepHankJohnson"
"BlackHistoryMonth",7,"RepHankJohnson"
"DefendDACA",7,"RepHankJohnson"
"DreamActNow",7,"RepHankJohnson"
"HispanicHeritageMonth",7,"RepHankJohnson"
"IranDeal",7,"RepHankJohnson"
"LGBT",7,"RepHankJohnson"
"nn15",7,"RepHankJohnson"
"RecklessRecess",7,"RepHankJohnson"
"TBT",7,"RepHankJohnson"
"WeAreCAU",7,"RepHankJohnson"
