"Mention","Frequency","screen_name"
"HouseGOP",94,"RepHastingsFL"
"SpeakerRyan",43,"RepHastingsFL"
"POTUS",41,"RepHastingsFL"
"HouseDemocrats",26,"RepHastingsFL"
"realDonaldTrump",18,"RepHastingsFL"
"SpeakerBoehner",18,"RepHastingsFL"
"GOPLeader",16,"RepHastingsFL"
"RepTedDeutch",13,"RepHastingsFL"
"RepLoisFrankel",11,"RepHastingsFL"
"WhipHoyer",10,"RepHastingsFL"
"HSIGlobal",9,"RepHastingsFL"
"RepDWStweets",9,"RepHastingsFL"
"LisaVanderpump",7,"RepHastingsFL"
"NancyPelosi",7,"RepHastingsFL"
"WhiteHouse",7,"RepHastingsFL"
"DDAWP",6,"RepHastingsFL"
"DHSgov",6,"RepHastingsFL"
"repjoecrowley",6,"RepHastingsFL"
"repjohnlewis",6,"RepHastingsFL"
"Clyburn",5,"RepHastingsFL"
"peta",5,"RepHastingsFL"
"RepDanKildee",5,"RepHastingsFL"
"RepJohnLarson",5,"RepHastingsFL"
"rosadelauro",5,"RepHastingsFL"
"VernBuchanan",5,"RepHastingsFL"
"DorisMatsui",4,"RepHastingsFL"
"GOPHouse",4,"RepHastingsFL"
"keithellison",4,"RepHastingsFL"
"louiseslaughter",4,"RepHastingsFL"
"RepCummings",4,"RepHastingsFL"
"repmarkpocan",4,"RepHastingsFL"
"RepTerriSewell",4,"RepHastingsFL"
"StateDept",4,"RepHastingsFL"
"WPTV",4,"RepHastingsFL"
"AHWFoundation",3,"RepHastingsFL"
"GOP",3,"RepHastingsFL"
"JaxStrong",3,"RepHastingsFL"
"PBCDEM",3,"RepHastingsFL"
"pbpost",3,"RepHastingsFL"
"RepAdamSchiff",3,"RepHastingsFL"
"RepAndreCarson",3,"RepHastingsFL"
"repbenraylujan",3,"RepHastingsFL"
"RepBrianMast",3,"RepHastingsFL"
"RepGwenMoore",3,"RepHastingsFL"
"RepKarenBass",3,"RepHastingsFL"
"RepMarciaFudge",3,"RepHastingsFL"
"RepMcGovern",3,"RepHastingsFL"
"repsandylevin",3,"RepHastingsFL"
"RulesReps",3,"RepHastingsFL"
"SunSentinel",3,"RepHastingsFL"
"amprog",2,"RepHastingsFL"
"Avaaz",2,"RepHastingsFL"
"AWIOnline",2,"RepHastingsFL"
"BJLaflin",2,"RepHastingsFL"
"CapitolPolice",2,"RepHastingsFL"
"Care2",2,"RepHastingsFL"
"chelliepingree",2,"RepHastingsFL"
"DeptVetAffairs",2,"RepHastingsFL"
"Everytown",2,"RepHastingsFL"
"EximBankUS",2,"RepHastingsFL"
"FAMU_1887",2,"RepHastingsFL"
"girlscouts",2,"RepHastingsFL"
"HeadStartgov",2,"RepHastingsFL"
"HRC",2,"RepHastingsFL"
"janschakowsky",2,"RepHastingsFL"
"JoaquinCastrotx",2,"RepHastingsFL"
"kward1116",2,"RepHastingsFL"
"LantosFndn",2,"RepHastingsFL"
"LHSJournalism",2,"RepHastingsFL"
"MarioDB",2,"RepHastingsFL"
"NatlParkService",2,"RepHastingsFL"
"NIH",2,"RepHastingsFL"
"NitaLowey",2,"RepHastingsFL"
"noblenatl",2,"RepHastingsFL"
"Ntl_Homeless",2,"RepHastingsFL"
"NydiaVelazquez",2,"RepHastingsFL"
"nytimes",2,"RepHastingsFL"
"OfficialCBC",2,"RepHastingsFL"
"Pontifex",2,"RepHastingsFL"
"PrevGunViolence",2,"RepHastingsFL"
"RaiseUrPaw",2,"RepHastingsFL"
"RepAdams",2,"RepHastingsFL"
"RepBecerra",2,"RepHastingsFL"
"repbobbyscott",2,"RepHastingsFL"
"RepBrendanBoyle",2,"RepHastingsFL"
"RepDebDingell",2,"RepHastingsFL"
"RepDianaDeGette",2,"RepHastingsFL"
"RepEBJ",2,"RepHastingsFL"
"RepJeffries",2,"RepHastingsFL"
"RepJerryNadler",2,"RepHastingsFL"
"RepJimCosta",2,"RepHastingsFL"
"RepJoeKennedy",2,"RepHastingsFL"
"RepJohnConyers",2,"RepHastingsFL"
"RepJohnYarmuth",2,"RepHastingsFL"
"RepMaloney",2,"RepHastingsFL"
"RepMarkTakano",2,"RepHastingsFL"
"RepRichmond",2,"RepHastingsFL"
"RepRobinKelly",2,"RepHastingsFL"
"RepRoybalAllard",2,"RepHastingsFL"
"RepTedLieu",2,"RepHastingsFL"
"RepWilson",2,"RepHastingsFL"
"rickygervais",2,"RepHastingsFL"
"RosLehtinen",2,"RepHastingsFL"
"washingtonpost",2,"RepHastingsFL"
"WPLGLocal10",2,"RepHastingsFL"
"YvetteClarke",2,"RepHastingsFL"
"AAUW",1,"RepHastingsFL"
"afspnational",1,"RepHastingsFL"
"AIPAC",1,"RepHastingsFL"
"AlanColmes",1,"RepHastingsFL"
"AmeriCorps",1,"RepHastingsFL"
"AndrewRuizWPTV",1,"RepHastingsFL"
"BenghaziDems",1,"RepHastingsFL"
"bethunecookman",1,"RepHastingsFL"
"BetsyDeVos",1,"RepHastingsFL"
"BobbyScott",1,"RepHastingsFL"
"BradSchneider",1,"RepHastingsFL"
"browardsheriff",1,"RepHastingsFL"
"carloslcurbelo",1,"RepHastingsFL"
"carrieffisher",1,"RepHastingsFL"
"CatholicMiami",1,"RepHastingsFL"
"CDCgov",1,"RepHastingsFL"
"CecileRichards",1,"RepHastingsFL"
"CFPB",1,"RepHastingsFL"
"ChrisVanHollen",1,"RepHastingsFL"
"CNN",1,"RepHastingsFL"
"davidcicilline",1,"RepHastingsFL"
"DevinNunes",1,"RepHastingsFL"
"DHS",1,"RepHastingsFL"
"dillardpanthers",1,"RepHastingsFL"
