"Mention","Frequency","screen_name"
"RepJayapal",786,"RepJayapal"
"realDonaldTrump",106,"RepJayapal"
"RepAdamSmith",75,"RepJayapal"
"HouseJudDems",43,"RepJayapal"
"RepRoybalAllard",43,"RepJayapal"
"USProgressives",42,"RepJayapal"
"PattyMurray",41,"RepJayapal"
"weareoneamerica",34,"RepJayapal"
"HouseJudiciary",31,"RepJayapal"
"CAPAC",27,"RepJayapal"
"RepBarbaraLee",26,"RepJayapal"
"zachcarstensen",24,"RepJayapal"
"NancyPelosi",23,"RepJayapal"
"RepRaskin",21,"RepJayapal"
"RepJerryNadler",20,"RepJayapal"
"CFESummit",19,"RepJayapal"
"GOP",19,"RepJayapal"
"SpeakerRyan",19,"RepJayapal"
"ymathome",19,"RepJayapal"
"HouseGOP",18,"RepJayapal"
"RepJohnConyers",18,"RepJayapal"
"WhipHoyer",18,"RepJayapal"
"iandraffairs",17,"RepJayapal"
"RepJudyChu",17,"RepJayapal"
"RepMcEachin",17,"RepJayapal"
"SenatorCantwell",17,"RepJayapal"
"JacksonLeeTX18",16,"RepJayapal"
"RepZoeLofgren",16,"RepJayapal"
"BGAlliance",15,"RepJayapal"
"climatesolution",15,"RepJayapal"
"RepTedLieu",15,"RepJayapal"
"UNITEDWEDREAM",15,"RepJayapal"
"HouseDemocrats",14,"RepJayapal"
"lyliannasea",14,"RepJayapal"
"NWIRP",14,"RepJayapal"
"RepCicilline",14,"RepJayapal"
"RepGutierrez",14,"RepJayapal"
"RepJoeKennedy",14,"RepJayapal"
"RepMarshall",14,"RepJayapal"
"SecretaryZinke",14,"RepJayapal"
"AAAJ_AAJC",13,"RepJayapal"
"ProgCongressAct",13,"RepJayapal"
"TUSK81",13,"RepJayapal"
"POTUS",12,"RepJayapal"
"RepJohnYarmuth",12,"RepJayapal"
"RepLujanGrisham",12,"RepJayapal"
"RepRaulGrijalva",12,"RepJayapal"
"SenSanders",12,"RepJayapal"
"bpshow",11,"RepJayapal"
"CNN",11,"RepJayapal"
"HispanicCaucus",11,"RepJayapal"
"RepCheri",11,"RepJayapal"
"RepRoKhanna",11,"RepJayapal"
"SenateGOP",11,"RepJayapal"
"FWD_us",10,"RepJayapal"
"NatalieBrandK5",10,"RepJayapal"
"SolidarityCntr",10,"RepJayapal"
"sr_simone",10,"RepJayapal"
"WCVoters",10,"RepJayapal"
"WomenBelong",10,"RepJayapal"
"AllInForWA",9,"RepJayapal"
"amprog",9,"RepJayapal"
"cspanwj",9,"RepJayapal"
"GHuangWA",9,"RepJayapal"
"HouseBudgetDems",9,"RepJayapal"
"MendozaLenka",9,"RepJayapal"
"NDDUnited",9,"RepJayapal"
"SAALTweets",9,"RepJayapal"
"Seahawks",9,"RepJayapal"
"WAplanfinder",9,"RepJayapal"
"11EdgarMartinez",8,"RepJayapal"
"Anderson_IPS",8,"RepJayapal"
"democracynow",8,"RepJayapal"
"ingridvaca7",8,"RepJayapal"
"keithellison",8,"RepJayapal"
"mikeselinker",8,"RepJayapal"
"politico",8,"RepJayapal"
"RepBarragan",8,"RepJayapal"
"RepTedDeutch",8,"RepJayapal"
"RepYvetteClarke",8,"RepJayapal"
"SenGillibrand",8,"RepJayapal"
"SoundTransit",8,"RepJayapal"
"TheToddSchulte",8,"RepJayapal"
"GovInslee",7,"RepJayapal"
"GUPolitics",7,"RepJayapal"
"NARAL",7,"RepJayapal"
