"Mention","Frequency","screen_name"
"POTUS",31,"RepJimmyPanetta"
"RepAnnaEshoo",7,"RepJimmyPanetta"
"USDA",7,"RepJimmyPanetta"
"CSUMB",6,"RepJimmyPanetta"
"HartnellCollege",6,"RepJimmyPanetta"
"PinnaclesNPS",6,"RepJimmyPanetta"
"MontereyHerald",5,"RepJimmyPanetta"
"NPS_Monterey",5,"RepJimmyPanetta"
"SBAgov",5,"RepJimmyPanetta"
"HouseAgNews",4,"RepJimmyPanetta"
"NRDems",4,"RepJimmyPanetta"
"scsentinel",4,"RepJimmyPanetta"
"YouTube",4,"RepJimmyPanetta"
"cspan",3,"RepJimmyPanetta"
"HASCDemocrats",3,"RepJimmyPanetta"
"LULAC",3,"RepJimmyPanetta"
"MBNMS",3,"RepJimmyPanetta"
"ProChoiceCaucus",3,"RepJimmyPanetta"
"RodneyDavis",3,"RepJimmyPanetta"
"USDA_ARS",3,"RepJimmyPanetta"
"ArlingtonNatl",2,"RepJimmyPanetta"
"BookTV",2,"RepJimmyPanetta"
"britasig",2,"RepJimmyPanetta"
"CAFarmBureau",2,"RepJimmyPanetta"
"CAL_FIRE",2,"RepJimmyPanetta"
"CommerceGov",2,"RepJimmyPanetta"
"DLIFLC",2,"RepJimmyPanetta"
"DrNealDunnFL2",2,"RepJimmyPanetta"
"FCC",2,"RepJimmyPanetta"
"HouseDemocrats",2,"RepJimmyPanetta"
"JoeBiden",2,"RepJimmyPanetta"
"ksbw",2,"RepJimmyPanetta"
"NOAA",2,"RepJimmyPanetta"
"PPMarMonte",2,"RepJimmyPanetta"
"RepBecerra",2,"RepJimmyPanetta"
"RepNewhouse",2,"RepJimmyPanetta"
"SecretarySonny",2,"RepJimmyPanetta"
"SenatorCollins",2,"RepJimmyPanetta"
"ucsc",2,"RepJimmyPanetta"
"USCBO",2,"RepJimmyPanetta"
"_MealsOnWheels",1,"RepJimmyPanetta"
"1DreamAcademy",1,"RepJimmyPanetta"
"4H",1,"RepJimmyPanetta"
"ABCPolitics",1,"RepJimmyPanetta"
"AjitPaiFCC",1,"RepJimmyPanetta"
"alzassociation",1,"RepJimmyPanetta"
"AmericanCancer",1,"RepJimmyPanetta"
"AmericanLegion",1,"RepJimmyPanetta"
"ASEAN",1,"RepJimmyPanetta"
"ashlancousteau",1,"RepJimmyPanetta"
"b_bowoleksono",1,"RepJimmyPanetta"
"BLMca",1,"RepJimmyPanetta"
"BOBSLEDR",1,"RepJimmyPanetta"
"boyscouts",1,"RepJimmyPanetta"
"BSOE_Dean",1,"RepJimmyPanetta"
"CDFAnews",1,"RepJimmyPanetta"
"chefjoseandres",1,"RepJimmyPanetta"
"chelliepingree",1,"RepJimmyPanetta"
"CoveredCA",1,"RepJimmyPanetta"
"FelixKSBW",1,"RepJimmyPanetta"
"fema",1,"RepJimmyPanetta"
"foodtank",1,"RepJimmyPanetta"
"forestservice",1,"RepJimmyPanetta"
"FoundationFAR",1,"RepJimmyPanetta"
"FulbrightPrgrm",1,"RepJimmyPanetta"
"GoodwillIntl",1,"RepJimmyPanetta"
"GovEdRendell",1,"RepJimmyPanetta"
"HeadStartgov",1,"RepJimmyPanetta"
"HispanicCaucus",1,"RepJimmyPanetta"
"HouseGOP",1,"RepJimmyPanetta"
"instagram",1,"RepJimmyPanetta"
"JDRF",1,"RepJimmyPanetta"
"JoeManchinWV",1,"RepJimmyPanetta"
"JoriArvonen",1,"RepJimmyPanetta"
"KCRustler",1,"RepJimmyPanetta"
"keithellison",1,"RepJimmyPanetta"
"KION546",1,"RepJimmyPanetta"
"kpnorcal",1,"RepJimmyPanetta"
"KQED",1,"RepJimmyPanetta"
"KSCOSantaCruz",1,"RepJimmyPanetta"
"kzsc",1,"RepJimmyPanetta"
"LGBTEqCaucus",1,"RepJimmyPanetta"
"librarycongress",1,"RepJimmyPanetta"
"LWVMryCo",1,"RepJimmyPanetta"
"madeleine",1,"RepJimmyPanetta"
"MIIS",1,"RepJimmyPanetta"
"NancyPelosi",1,"RepJimmyPanetta"
"NationalMallNPS",1,"RepJimmyPanetta"
"NatlHeadStart",1,"RepJimmyPanetta"
"NatlParkService",1,"RepJimmyPanetta"
"nih_nhlbi",1,"RepJimmyPanetta"
"NWS",1,"RepJimmyPanetta"
"Oceana",1,"RepJimmyPanetta"
"pcousteau",1,"RepJimmyPanetta"
"PPFA",1,"RepJimmyPanetta"
"Principal_SF",1,"RepJimmyPanetta"
"QuietSkiesNCal",1,"RepJimmyPanetta"
"RayLaHood",1,"RepJimmyPanetta"
"RepAdamSchiff",1,"RepJimmyPanetta"
"RepCurbelo",1,"RepJimmyPanetta"
"RepDavidValadao",1,"RepJimmyPanetta"
"RepHuffman",1,"RepJimmyPanetta"
"RepLaMalfa",1,"RepJimmyPanetta"
"RepRubenGallego",1,"RepJimmyPanetta"
"RepStephMurphy",1,"RepJimmyPanetta"
"rollcall",1,"RepJimmyPanetta"
"Rotary",1,"RepJimmyPanetta"
"SanfordBishop",1,"RepJimmyPanetta"
"SantaCruzPolice",1,"RepJimmyPanetta"
"SaveOurSkiesSC",1,"RepJimmyPanetta"
"ScrippsBee",1,"RepJimmyPanetta"
"SEIU",1,"RepJimmyPanetta"
"SenateDems",1,"RepJimmyPanetta"
"SenBobCasey",1,"RepJimmyPanetta"
"SenDuckworth",1,"RepJimmyPanetta"
"sethmoulton",1,"RepJimmyPanetta"
"sfchronicle",1,"RepJimmyPanetta"
"stevemcshane",1,"RepJimmyPanetta"
"SteveScalise",1,"RepJimmyPanetta"
"SyriaCivilDef",1,"RepJimmyPanetta"
"TAMC_News",1,"RepJimmyPanetta"
"TeamUSA",1,"RepJimmyPanetta"
"TomPerez",1,"RepJimmyPanetta"
"UFW",1,"RepJimmyPanetta"
"UFWupdates",1,"RepJimmyPanetta"
"UNAUSA",1,"RepJimmyPanetta"
"UnitedFresh",1,"RepJimmyPanetta"
"USArmyReserve",1,"RepJimmyPanetta"
"USCG",1,"RepJimmyPanetta"
"USGAO",1,"RepJimmyPanetta"
"USNavy",1,"RepJimmyPanetta"
"USRepMikeDoyle",1,"RepJimmyPanetta"
"VAPaloAlto",1,"RepJimmyPanetta"
"VFWHQ",1,"RepJimmyPanetta"
"westmarine",1,"RepJimmyPanetta"
"WHSWildcatz",1,"RepJimmyPanetta"
"zachfriend55",1,"RepJimmyPanetta"
