"Mention","Frequency","screen_name"
"HeraldMailNews",27,"RepJohnDelaney"
"YouTube",14,"RepJohnDelaney"
"RepRichardHanna",9,"RepJohnDelaney"
"SenatorCardin",9,"RepJohnDelaney"
"instagram",8,"RepJohnDelaney"
"frednewspost",7,"RepJohnDelaney"
"RepTedYoho",7,"RepJohnDelaney"
"SenatorBarb",7,"RepJohnDelaney"
"CumberlandTN",6,"RepJohnDelaney"
"HouseNewDems",6,"RepJohnDelaney"
"RepHultgren",6,"RepJohnDelaney"
"JohnCarneyDE",5,"RepJohnDelaney"
"HuffPostPol",4,"RepJohnDelaney"
"jahimes",4,"RepJohnDelaney"
"NIH",4,"RepJohnDelaney"
"POTUS",4,"RepJohnDelaney"
"RepChrisGibson",4,"RepJohnDelaney"
"RepDebDingell",4,"RepJohnDelaney"
"RepKinzinger",4,"RepJohnDelaney"
"RodneyDavis",4,"RepJohnDelaney"
"usnistgov",4,"RepJohnDelaney"
"Your4State",4,"RepJohnDelaney"
"ARCgov",3,"RepJohnDelaney"
"BudgetHawks",3,"RepJohnDelaney"
"HouseDemocrats",3,"RepJohnDelaney"
"MCS4Biz",3,"RepJohnDelaney"
"RepJaredPolis",3,"RepJohnDelaney"
"repjohnlewis",3,"RepJohnDelaney"
"RepPeteOlson",3,"RepJohnDelaney"
"RepSarbanes",3,"RepJohnDelaney"
"SenWarren",3,"RepJohnDelaney"
"thehill",3,"RepJohnDelaney"
"WhipHoyer",3,"RepJohnDelaney"
"wmata",3,"RepJohnDelaney"
"WTOP",3,"RepJohnDelaney"
"AARPMD",2,"RepJohnDelaney"
"ARTBA",2,"RepJohnDelaney"
"COcanalNPS",2,"RepJohnDelaney"
"GCAARNow",2,"RepJohnDelaney"
"Georgetown",2,"RepJohnDelaney"
"GeorgetownCCT",2,"RepJohnDelaney"
"HuffPostBlog",2,"RepJohnDelaney"
"iava",2,"RepJohnDelaney"
"JECDems",2,"RepJohnDelaney"
"MdWilliamsport",2,"RepJohnDelaney"
"MilitaryOfficer",2,"RepJohnDelaney"
"NASA",2,"RepJohnDelaney"
"NewsChannel8",2,"RepJohnDelaney"
"NTSB",2,"RepJohnDelaney"
"NWHSfootball",2,"RepJohnDelaney"
"Rep_Hunter",2,"RepJohnDelaney"
"RepFitzpatrick",2,"RepJohnDelaney"
"RepHuffman",2,"RepJohnDelaney"
"RepJoeKennedy",2,"RepJohnDelaney"
"RepMarkTakai",2,"RepJohnDelaney"
"RepScottPeters",2,"RepJohnDelaney"
"RepSinema",2,"RepJohnDelaney"
"RepSwalwell",2,"RepJohnDelaney"
"RepWalorski",2,"RepJohnDelaney"
"RepWalterJones",2,"RepJohnDelaney"
"TuckerCarlson",2,"RepJohnDelaney"
"USACEBaltimore",2,"RepJohnDelaney"
"USDOL",2,"RepJohnDelaney"
"VFWHQ",2,"RepJohnDelaney"
"WashingtonCoMD",2,"RepJohnDelaney"
"1776",1,"RepJohnDelaney"
"930WFMD",1,"RepJohnDelaney"
"alansmurray",1,"RepJohnDelaney"
"AmericanLegion",1,"RepJohnDelaney"
"AP",1,"RepJohnDelaney"
"ASCETweets",1,"RepJohnDelaney"
"baltimoresun",1,"RepJohnDelaney"
"bestercommunity",1,"RepJohnDelaney"
"BesterWCPS",1,"RepJohnDelaney"
"BGOV",1,"RepJohnDelaney"
"BillGates",1,"RepJohnDelaney"
"BobCusack",1,"RepJohnDelaney"
"BPC_Bipartisan",1,"RepJohnDelaney"
"bpolitics",1,"RepJohnDelaney"
"BruceDePuyt",1,"RepJohnDelaney"
"Call_Me_Dutch",1,"RepJohnDelaney"
"cbrangel",1,"RepJohnDelaney"
"CFPB",1,"RepJohnDelaney"
"climateprogress",1,"RepJohnDelaney"
"CNN",1,"RepJohnDelaney"
"CoryBooker",1,"RepJohnDelaney"
"daveloebsack",1,"RepJohnDelaney"
"EducationDive",1,"RepJohnDelaney"
"EJDionne",1,"RepJohnDelaney"
"EleanorNorton",1,"RepJohnDelaney"
"facebook",1,"RepJohnDelaney"
"FH_Football",1,"RepJohnDelaney"
"FisherHouseFdtn",1,"RepJohnDelaney"
"fox5dc",1,"RepJohnDelaney"
"Fox5DCAllison",1,"RepJohnDelaney"
"fox5newsdc",1,"RepJohnDelaney"
"FrederickCC",1,"RepJohnDelaney"
"GaithersburgHS",1,"RepJohnDelaney"
"garrettchamber",1,"RepJohnDelaney"
"gazette_net",1,"RepJohnDelaney"
"granoah",1,"RepJohnDelaney"
"hagerstowncc",1,"RepJohnDelaney"
"HagerstownPD",1,"RepJohnDelaney"
"HamiltonMusical",1,"RepJohnDelaney"
"HeardontheHill",1,"RepJohnDelaney"
"JacksonLeeTX18",1,"RepJohnDelaney"
"JimLangevin",1,"RepJohnDelaney"
"JuliaBrownley26",1,"RepJohnDelaney"
"keithellison",1,"RepJohnDelaney"
"kojoshow",1,"RepJohnDelaney"
"LarryHogan",1,"RepJohnDelaney"
"LGBTEqCaucus",1,"RepJohnDelaney"
"manerdm",1,"RepJohnDelaney"
