"Hashtag","Frequency","screen_name"
"MD6",125,"RepJohnDelaney"
"infrastructure",59,"RepJohnDelaney"
"wmata",31,"RepJohnDelaney"
"Hagerstown",30,"RepJohnDelaney"
"BlackHistoryMonth",26,"RepJohnDelaney"
"MD06",24,"RepJohnDelaney"
"Gaithersburg",18,"RepJohnDelaney"
"Infrastructure",18,"RepJohnDelaney"
"50x30",15,"RepJohnDelaney"
"Frederick",13,"RepJohnDelaney"
"WMATA",13,"RepJohnDelaney"
"FisherHouse",11,"RepJohnDelaney"
"ActOnClimate",10,"RepJohnDelaney"
"AICaucus",9,"RepJohnDelaney"
"climatechange",9,"RepJohnDelaney"
"mdpolitics",9,"RepJohnDelaney"
"AHCA",8,"RepJohnDelaney"
"collab2015",8,"RepJohnDelaney"
"EarthDay",8,"RepJohnDelaney"
"infrastructureweek",8,"RepJohnDelaney"
"USCanadaBuild",8,"RepJohnDelaney"
"veterans",8,"RepJohnDelaney"
"WomensHistoryMonth",8,"RepJohnDelaney"
"AI",7,"RepJohnDelaney"
"payforsuccess",7,"RepJohnDelaney"
"MDPolitics",6,"RepJohnDelaney"
"NATO",6,"RepJohnDelaney"
"OTD",6,"RepJohnDelaney"
"ParisAgreement",6,"RepJohnDelaney"
"taxreform",6,"RepJohnDelaney"
"Clarksburg",5,"RepJohnDelaney"
"Cumberland",5,"RepJohnDelaney"
"EqualPayDay",5,"RepJohnDelaney"
"HighwayTrustFund",5,"RepJohnDelaney"
"NCCoE",5,"RepJohnDelaney"
"VeteransDay",5,"RepJohnDelaney"
"BHM",4,"RepJohnDelaney"
"ClayHuntSAVAct",4,"RepJohnDelaney"
"daywithoutawoman",4,"RepJohnDelaney"
"dynamicscoring",4,"RepJohnDelaney"
"fiduciaryrule",4,"RepJohnDelaney"
"FixI81",4,"RepJohnDelaney"
"MACoCon",4,"RepJohnDelaney"
"MD",4,"RepJohnDelaney"
"MemorialDay",4,"RepJohnDelaney"
"Metro",4,"RepJohnDelaney"
"NewDem",4,"RepJohnDelaney"
"NoBillNoBreak",4,"RepJohnDelaney"
"OnThisDay",4,"RepJohnDelaney"
"Poolesville",4,"RepJohnDelaney"
"PresidentsDay",4,"RepJohnDelaney"
"PurpleHeartDay",4,"RepJohnDelaney"
"savethefiduciaryrule",4,"RepJohnDelaney"
"SaveYourSavings",4,"RepJohnDelaney"
"StartupDay",4,"RepJohnDelaney"
"TrumpBudget",4,"RepJohnDelaney"
"60minutes",3,"RepJohnDelaney"
"ArtificialIntelligence",3,"RepJohnDelaney"
"bipartisanship",3,"RepJohnDelaney"
"Brunswick",3,"RepJohnDelaney"
"CleanPowerPlan",3,"RepJohnDelaney"
"climate",3,"RepJohnDelaney"
"DBCFT",3,"RepJohnDelaney"
"ExIm4Jobs",3,"RepJohnDelaney"
"FlintWaterCrisis",3,"RepJohnDelaney"
"Germantown",3,"RepJohnDelaney"
"HR449",3,"RepJohnDelaney"
"impactinvesting",3,"RepJohnDelaney"
"impinv",3,"RepJohnDelaney"
"JointAddress",3,"RepJohnDelaney"
"LunarNewYear",3,"RepJohnDelaney"
"Maryland",3,"RepJohnDelaney"
"md6",3,"RepJohnDelaney"
"MoCo",3,"RepJohnDelaney"
"NewDems",3,"RepJohnDelaney"
"Orlando",3,"RepJohnDelaney"
"PearlHarbor",3,"RepJohnDelaney"
