"Hashtag","Frequency","screen_name"
"Bronx",129,"RepJoseSerrano"
"PuertoRico",44,"RepJoseSerrano"
"latism",33,"RepJoseSerrano"
"FF",30,"RepJoseSerrano"
"NYC",18,"RepJoseSerrano"
"TheBronx",14,"RepJoseSerrano"
"community",13,"RepJoseSerrano"
"NationalNightOut",12,"RepJoseSerrano"
"DACA",11,"RepJoseSerrano"
"CIR",10,"RepJoseSerrano"
"HurricaneMaria",9,"RepJoseSerrano"
"NetNeutrality",9,"RepJoseSerrano"
"SOTU",9,"RepJoseSerrano"
"ProtectOurCare",8,"RepJoseSerrano"
"TBT",8,"RepJoseSerrano"
"ACA",7,"RepJoseSerrano"
"BHM",7,"RepJoseSerrano"
"Borinqueneers",7,"RepJoseSerrano"
"CJS",7,"RepJoseSerrano"
"HHM",7,"RepJoseSerrano"
"TrumpCare",7,"RepJoseSerrano"
"Washington",7,"RepJoseSerrano"
"bronx",6,"RepJoseSerrano"
"GetCovered",6,"RepJoseSerrano"
"GOPshutdown",6,"RepJoseSerrano"
"GOPShutdown",6,"RepJoseSerrano"
"GOPTaxScam",6,"RepJoseSerrano"
"Medicaid",6,"RepJoseSerrano"
"NewYork",6,"RepJoseSerrano"
"USVirginIslands",6,"RepJoseSerrano"
"DontShutDownOurSecurity",5,"RepJoseSerrano"
"LegionnairesDisease",5,"RepJoseSerrano"
"Medicare",5,"RepJoseSerrano"
"MemorialDay",5,"RepJoseSerrano"
"MLKDay",5,"RepJoseSerrano"
"MuslimBan",5,"RepJoseSerrano"
"P2C",5,"RepJoseSerrano"
"RaiseTheWage",5,"RepJoseSerrano"
"RenewUI",5,"RepJoseSerrano"
"Appropriations",4,"RepJoseSerrano"
"BlackHistoryMonth",4,"RepJoseSerrano"
"BronxRiver",4,"RepJoseSerrano"
"Community",4,"RepJoseSerrano"
"Congress",4,"RepJoseSerrano"
"DerekJeterDay",4,"RepJoseSerrano"
"DHS",4,"RepJoseSerrano"
"DOJ",4,"RepJoseSerrano"
"DonaldTrumpAct",4,"RepJoseSerrano"
"FSGG",4,"RepJoseSerrano"
"immigrants",4,"RepJoseSerrano"
"LGBTQ",4,"RepJoseSerrano"
"NNO2017",4,"RepJoseSerrano"
"NoFlyNoBuy",4,"RepJoseSerrano"
"NYPD",4,"RepJoseSerrano"
"PR",4,"RepJoseSerrano"
"ProtectDREAMers",4,"RepJoseSerrano"
"PublicService",4,"RepJoseSerrano"
"RxForDisaster",4,"RepJoseSerrano"
"TrumpShutdown",4,"RepJoseSerrano"
"WomensMarch",4,"RepJoseSerrano"
"WorkingFamilies",4,"RepJoseSerrano"
"AHCA",3,"RepJoseSerrano"
"BronxBall2017",3,"RepJoseSerrano"
"BronxWeek2015",3,"RepJoseSerrano"
"bronxweek2017",3,"RepJoseSerrano"
"budget",3,"RepJoseSerrano"
"BudgetDeal",3,"RepJoseSerrano"
"CarmenJovet",3,"RepJoseSerrano"
"CHCI",3,"RepJoseSerrano"
"cjs",3,"RepJoseSerrano"
"cleanbudget",3,"RepJoseSerrano"
"ContinuingResolution",3,"RepJoseSerrano"
"Cuba",3,"RepJoseSerrano"
"DAPA",3,"RepJoseSerrano"
"DOMA",3,"RepJoseSerrano"
"DoYourJob",3,"RepJoseSerrano"
"DREAMers",3,"RepJoseSerrano"
"Ebola",3,"RepJoseSerrano"
"EqualPay",3,"RepJoseSerrano"
"ExecutiveAction",3,"RepJoseSerrano"
"fsgg",3,"RepJoseSerrano"
"FSOPS",3,"RepJoseSerrano"
"GetCoveredNYC",3,"RepJoseSerrano"
"GOP",3,"RepJoseSerrano"
"GrandConcourse",3,"RepJoseSerrano"
"GunViolence",3,"RepJoseSerrano"
"ImmigrationReform",3,"RepJoseSerrano"
"Justice",3,"RepJoseSerrano"
"Latinos",3,"RepJoseSerrano"
"Latism",3,"RepJoseSerrano"
"Legacy",3,"RepJoseSerrano"
"LincolnHospital",3,"RepJoseSerrano"
"muslimban",3,"RepJoseSerrano"
"NoALaColonia",3,"RepJoseSerrano"
"noriders",3,"RepJoseSerrano"
"OrgulloBoricua",3,"RepJoseSerrano"
"OurFellowAmericans",3,"RepJoseSerrano"
"ouryouth",3,"RepJoseSerrano"
"PaidFamilyLeave",3,"RepJoseSerrano"
"PayMoreForLess",3,"RepJoseSerrano"
"PuraPolitica",3,"RepJoseSerrano"
"SCOTUS",3,"RepJoseSerrano"
"SensitiveLocationsAct",3,"RepJoseSerrano"
"SouthBronx",3,"RepJoseSerrano"
"STEM",3,"RepJoseSerrano"
"TeacherAppreciationDay",3,"RepJoseSerrano"
"TimeIsNow",3,"RepJoseSerrano"
"TPS",3,"RepJoseSerrano"
"USA",3,"RepJoseSerrano"
"USVI",3,"RepJoseSerrano"
"WorldAIDSDay",3,"RepJoseSerrano"
"YankeeStadium",3,"RepJoseSerrano"
"Zika",3,"RepJoseSerrano"
"1nation4all",2,"RepJoseSerrano"
"2020Census",2,"RepJoseSerrano"
"51Retired",2,"RepJoseSerrano"
"AbrazoDominicano",2,"RepJoseSerrano"
"AcciónEjecutiva",2,"RepJoseSerrano"
"ActOnClimate",2,"RepJoseSerrano"
"AffordableCareAct",2,"RepJoseSerrano"
"APeoplesJourney",2,"RepJoseSerrano"
"approps",2,"RepJoseSerrano"
"Arts",2,"RepJoseSerrano"
"Asegúrate",2,"RepJoseSerrano"
"Beisbol",2,"RepJoseSerrano"
"BoogieBlvd",2,"RepJoseSerrano"
"BoogieBlvd2016",2,"RepJoseSerrano"
"boogieontheblvd",2,"RepJoseSerrano"
"BoogieOnTheBlvd",2,"RepJoseSerrano"
"BoogieOnTheBoulevard",2,"RepJoseSerrano"
"Boricua",2,"RepJoseSerrano"
"BRONX",2,"RepJoseSerrano"
"CambioDeGobierno",2,"RepJoseSerrano"
"CaminoAmericano",2,"RepJoseSerrano"
"CapitolHill",2,"RepJoseSerrano"
"CDFI",2,"RepJoseSerrano"
"CheoFeliciano",2,"RepJoseSerrano"
"CivilRightsMovement",2,"RepJoseSerrano"
"CleanPowerPlan",2,"RepJoseSerrano"
"concourse",2,"RepJoseSerrano"
"ConcourseVillage",2,"RepJoseSerrano"
"CualEsElMiedo",2,"RepJoseSerrano"
"DC",2,"RepJoseSerrano"
"DemandAVote",2,"RepJoseSerrano"
"DisarmHate",2,"RepJoseSerrano"
"DREAMAct",2,"RepJoseSerrano"
"Dreamers",2,"RepJoseSerrano"
"EarthDay",2,"RepJoseSerrano"
"ElChapulinColorado",2,"RepJoseSerrano"
"ElChavodel8",2,"RepJoseSerrano"
"ElectionDay",2,"RepJoseSerrano"
"EnrollNowNY",2,"RepJoseSerrano"
"EqualPayDay",2,"RepJoseSerrano"
"FastTrack",2,"RepJoseSerrano"
"Ferragosto",2,"RepJoseSerrano"
"FightFor15",2,"RepJoseSerrano"
"Flint",2,"RepJoseSerrano"
"GreenEconomy",2,"RepJoseSerrano"
"Hanukkah",2,"RepJoseSerrano"
"healthcare",2,"RepJoseSerrano"
"HHM2015",2,"RepJoseSerrano"
