"Mention","Frequency","screen_name"
"HispanicCaucus",60,"RepJuanVargas"
"RepJuanVargas",57,"RepJuanVargas"
"POTUS",54,"RepJuanVargas"
"HouseDemocrats",34,"RepJuanVargas"
"NancyPelosi",21,"RepJuanVargas"
"RepScottPeters",16,"RepJuanVargas"
"HouseGOP",13,"RepJuanVargas"
"realDonaldTrump",13,"RepJuanVargas"
"RepSusanDavis",9,"RepJuanVargas"
"WhipHoyer",9,"RepJuanVargas"
"BarackObama",8,"RepJuanVargas"
"CoveredCA",8,"RepJuanVargas"
"Pontifex",8,"RepJuanVargas"
"SDChamber",8,"RepJuanVargas"
"AlPunto",7,"RepJuanVargas"
"SpeakerBoehner",7,"RepJuanVargas"
"RepGutierrez",6,"RepJuanVargas"
"SpeakerRyan",6,"RepJuanVargas"
"CAPAC",5,"RepJuanVargas"
"DemsEspanol",5,"RepJuanVargas"
"DHSgov",5,"RepJuanVargas"
"RepCardenas",5,"RepJuanVargas"
"RepJoeKennedy",5,"RepJuanVargas"
"SupervisorCox",5,"RepJuanVargas"
"CoveredCA_es",4,"RepJuanVargas"
"DarrellIssa",4,"RepJuanVargas"
"ICEgov",4,"RepJuanVargas"
"JerryBrownGov",4,"RepJuanVargas"
"LaMaestraCHC",4,"RepJuanVargas"
"NASA",4,"RepJuanVargas"
"RepDougCollins",4,"RepJuanVargas"
"repjoecrowley",4,"RepJuanVargas"
"RepJohnConyers",4,"RepJuanVargas"
"repjohnlewis",4,"RepJuanVargas"
"RepLindaSanchez",4,"RepJuanVargas"
"rosadelauro",4,"RepJuanVargas"
"ScrippsHealth",4,"RepJuanVargas"
"sdut",4,"RepJuanVargas"
"SecretaryCastro",4,"RepJuanVargas"
"uscapitol",4,"RepJuanVargas"
"USMC",4,"RepJuanVargas"
"USNavy",4,"RepJuanVargas"
"WaysMeansCmte",4,"RepJuanVargas"
"WhiteHouse",4,"RepJuanVargas"
"CasaFamiliar",3,"RepJuanVargas"
"cspan",3,"RepJuanVargas"
"GKButterfield",3,"RepJuanVargas"
"HallieJackson",3,"RepJuanVargas"
"HHSGov",3,"RepJuanVargas"
"KPBSMidday",3,"RepJuanVargas"
"LGBTEqCaucus",3,"RepJuanVargas"
"MexicoInstitute",3,"RepJuanVargas"
"NydiaVelazquez",3,"RepJuanVargas"
"RepAdamSchiff",3,"RepJuanVargas"
"RepBecerra",3,"RepJuanVargas"
"RepCuellar",3,"RepJuanVargas"
"RepDanKildee",3,"RepJuanVargas"
"RepDianaDeGette",3,"RepJuanVargas"
"RepJoeGarcia",3,"RepJuanVargas"
"RepJohnYarmuth",3,"RepJuanVargas"
"RepSteveIsrael",3,"RepJuanVargas"
"RepSwalwell",3,"RepJuanVargas"
"SanDiegoCounty",3,"RepJuanVargas"
"Scotus",3,"RepJuanVargas"
"seiuusww",3,"RepJuanVargas"
"SouthCountyEDC",3,"RepJuanVargas"
"StudentCam",3,"RepJuanVargas"
"swc_news",3,"RepJuanVargas"
"ToddGloria",3,"RepJuanVargas"
"toniatkins",3,"RepJuanVargas"
"uofsandiego",3,"RepJuanVargas"
"VetAffairsDems",3,"RepJuanVargas"
"BillPascrell",2,"RepJuanVargas"
"CalArtsCouncil",2,"RepJuanVargas"
"CapitolPolice",2,"RepJuanVargas"
"CAPublicHealth",2,"RepJuanVargas"
"CarlosTVRadio",2,"RepJuanVargas"
"CFPB",2,"RepJuanVargas"
"CHCI",2,"RepJuanVargas"
"CHIRLA",2,"RepJuanVargas"
"CHWorks",2,"RepJuanVargas"
"CNNDirectoUSA",2,"RepJuanVargas"
"CongressionalAC",2,"RepJuanVargas"
"CongressmanRaja",2,"RepJuanVargas"
"deported_vets",2,"RepJuanVargas"
"DeptVetAffairs",2,"RepJuanVargas"
"DorisMatsui",2,"RepJuanVargas"
"Familiaefamilia",2,"RepJuanVargas"
"HeadStartgov",2,"RepJuanVargas"
"HFACDemocrats",2,"RepJuanVargas"
"HRC",2,"RepJuanVargas"
"HUDgov",2,"RepJuanVargas"
"JoeBiden",2,"RepJuanVargas"
"JuliaBrownley26",2,"RepJuanVargas"
"Kevin_Faulconer",2,"RepJuanVargas"
"KPBSnews",2,"RepJuanVargas"
"LisaRemillard",2,"RepJuanVargas"
"LorenaSGonzalez",2,"RepJuanVargas"
"MealsonWheelsSD",2,"RepJuanVargas"
"MSNBC",2,"RepJuanVargas"
"nbcsandiego",2,"RepJuanVargas"
"NEAarts",2,"RepJuanVargas"
"NMAAHC",2,"RepJuanVargas"
"OfficialCBC",2,"RepJuanVargas"
"OpSamahan",2,"RepJuanVargas"
"radychildrens",2,"RepJuanVargas"
"RepAdams",2,"RepJuanVargas"
"RepAndreCarson",2,"RepJuanVargas"
"RepErikPaulsen",2,"RepJuanVargas"
"RepGeneGreen",2,"RepJuanVargas"
"RepJaredPolis",2,"RepJuanVargas"
"RepJayapal",2,"RepJuanVargas"
"RepJeffDenham",2,"RepJuanVargas"
"RepJudyChu",2,"RepJuanVargas"
"RepKarenBass",2,"RepJuanVargas"
"RepLloydDoggett",2,"RepJuanVargas"
"RepLoisFrankel",2,"RepJuanVargas"
"RepLujanGrisham",2,"RepJuanVargas"
"RepMaloney",2,"RepJuanVargas"
"RepRoybalAllard",2,"RepJuanVargas"
"RepSarbanes",2,"RepJuanVargas"
"RepTerriSewell",2,"RepJuanVargas"
"RepTimWalz",2,"RepJuanVargas"
"RepWilson",2,"RepJuanVargas"
"rights4girls",2,"RepJuanVargas"
"SanDiegoPD",2,"RepJuanVargas"
"SDCaltrans",2,"RepJuanVargas"
"SEIU",2,"RepJuanVargas"
"SEIU221",2,"RepJuanVargas"
"SharedHope",2,"RepJuanVargas"
"SYHealthCenter",2,"RepJuanVargas"
"the_USO",2,"RepJuanVargas"
"tim_cook",2,"RepJuanVargas"
"UCSDHealth",2,"RepJuanVargas"
"Univision",2,"RepJuanVargas"
"USArmy",2,"RepJuanVargas"
"USCBO",2,"RepJuanVargas"
"USCIS",2,"RepJuanVargas"
"USDOL",2,"RepJuanVargas"
"ussoccer",2,"RepJuanVargas"
"Voices4Childrn",2,"RepJuanVargas"
"VP",2,"RepJuanVargas"
"washingtonpost",2,"RepJuanVargas"
"WellsFargo",2,"RepJuanVargas"
"YouTube",2,"RepJuanVargas"
"_MealsOnWheels",1,"RepJuanVargas"
"AAUWActionFund",1,"RepJuanVargas"
"ABAesq",1,"RepJuanVargas"
"ADL_National",1,"RepJuanVargas"
"AGBecerra",1,"RepJuanVargas"
"AIPAC",1,"RepJuanVargas"
"AlejandroRent",1,"RepJuanVargas"
"alfordbevs",1,"RepJuanVargas"
"AlisonStJohn",1,"RepJuanVargas"
"alzassociation",1,"RepJuanVargas"
"AMC_TV",1,"RepJuanVargas"
"AndrewPaulJoyce",1,"RepJuanVargas"
"AppropsDems",1,"RepJuanVargas"
"arneduncan",1,"RepJuanVargas"
"ASA_Sand",1,"RepJuanVargas"
"askgeorge",1,"RepJuanVargas"
"AZCardinals",1,"RepJuanVargas"
"BetsyDeVosED",1,"RepJuanVargas"
"BLCI",1,"RepJuanVargas"
