"Mention","Frequency","screen_name"
"RepKihuen",653,"RepKihuen"
"realDonaldTrump",100,"RepKihuen"
"HouseGOP",76,"RepKihuen"
"RubenKihuen",75,"RepKihuen"
"HispanicCaucus",67,"RepKihuen"
"RepJackyRosen",53,"RepKihuen"
"HouseDemocrats",41,"RepKihuen"
"POTUS",41,"RepKihuen"
"repdinatitus",30,"RepKihuen"
"SecretaryZinke",27,"RepKihuen"
"SenCortezMasto",26,"RepKihuen"
"NevadaForward",25,"RepKihuen"
"RepEspaillat",23,"RepKihuen"
"SenateGOP",23,"RepKihuen"
"reviewjournal",22,"RepKihuen"
"BattleBornProg",20,"RepKihuen"
"Donna_West",20,"RepKihuen"
"FSCDems",19,"RepKihuen"
"Culinary226",18,"RepKihuen"
"Astrid_NV",17,"RepKihuen"
"GovSandoval",17,"RepKihuen"
"NellisAFB",17,"RepKihuen"
"rollcall",17,"RepKihuen"
"SpeakerRyan",17,"RepKihuen"
"unlv",17,"RepKihuen"
"billclarkphotos",15,"RepKihuen"
"CNLV",15,"RepKihuen"
"lvchamber",15,"RepKihuen"
"NVconservation",15,"RepKihuen"
"WhipHoyer",15,"RepKihuen"
"GoldButteNV",14,"RepKihuen"
"LVMPD",14,"RepKihuen"
"SenDeanHeller",14,"RepKihuen"
"DHSgov",12,"RepKihuen"
"LCVoters",12,"RepKihuen"
"meganmesserly",11,"RepKihuen"
"USDA",11,"RepKihuen"
"BasinRangers",10,"RepKihuen"
"ClarkCountyNV",10,"RepKihuen"
"NelsonAraujoNV",10,"RepKihuen"
"News3LV",10,"RepKihuen"
"RepGutierrez",9,"RepKihuen"
"thehill",9,"RepKihuen"
"CSNCoyote",8,"RepKihuen"
"goldbutte",8,"RepKihuen"
"IndivisibleLV",8,"RepKihuen"
"LasVegasSun",8,"RepKihuen"
"LGBTEqCaucus",8,"RepKihuen"
"Narfnampil",8,"RepKihuen"
"OppVillageLV",8,"RepKihuen"
"PLANevada",8,"RepKihuen"
"tholmessutton",8,"RepKihuen"
"UPS",8,"RepKihuen"
"WhiteHouse",8,"RepKihuen"
"ACDCNV",7,"RepKihuen"
"AmandaKhan310",7,"RepKihuen"
"ClarkCountySch",7,"RepKihuen"
"garymartindc",7,"RepKihuen"
"LULAC",7,"RepKihuen"
"NancyPelosi",7,"RepKihuen"
"PatrickWalker",7,"RepKihuen"
"UMCSN",7,"RepKihuen"
"WeAreUnidosUS",7,"RepKihuen"
"WstrnPriorities",7,"RepKihuen"
"ATeamNV1",6,"RepKihuen"
"CHCI",6,"RepKihuen"
"CityOfLasVegas",6,"RepKihuen"
"DREAMBigVegas",6,"RepKihuen"
"HRC",6,"RepKihuen"
"KOLO8",6,"RepKihuen"
"oppstn",6,"RepKihuen"
"RepJoeKennedy",6,"RepKihuen"
"RepSwalwell",6,"RepKihuen"
"RileySnyder",6,"RepKihuen"
"Teamsters986",6,"RepKihuen"
"TheBlueNevadan",6,"RepKihuen"
"YoungDemsofUNLV",6,"RepKihuen"
"YvannaCancela",6,"RepKihuen"
"AaronDFordNV",5,"RepKihuen"
"AFANLV",5,"RepKihuen"
"CathCharitiesLV",5,"RepKihuen"
"ConservationLF",5,"RepKihuen"
"DemsEspanol",5,"RepKihuen"
"dinatitus",5,"RepKihuen"
"EnergyCommerce",5,"RepKihuen"
"hardball",5,"RepKihuen"
"ICEgov",5,"RepKihuen"
"LucasThomas14",5,"RepKihuen"
"MissLynnetteH",5,"RepKihuen"
"RepJayapal",5,"RepKihuen"
"repjoecrowley",5,"RepKihuen"
"repjohnlewis",5,"RepKihuen"
"SenatorReid",5,"RepKihuen"
"sendavidperdue",5,"RepKihuen"
"SenTomCotton",5,"RepKihuen"
"SpringsPreserve",5,"RepKihuen"
"UNLVLaw",5,"RepKihuen"
"VALasVegas",5,"RepKihuen"
"WillMcCurdyII",5,"RepKihuen"
"ymgonzal",5,"RepKihuen"
"8NewsNow",4,"RepKihuen"
"AARPNV",4,"RepKihuen"
"AndyMaggi",4,"RepKihuen"
"CFPB",4,"RepKihuen"
"Chispa_NV",4,"RepKihuen"
"cspanwj",4,"RepKihuen"
"DianaCCastaneda",4,"RepKihuen"
"friendsofnvwild",4,"RepKihuen"
"FWD_us",4,"RepKihuen"
"GoMesquiteNV",4,"RepKihuen"
"Jlboone",4,"RepKihuen"
"LawrenceWeekly",4,"RepKihuen"
"LuzGrayNV",4,"RepKihuen"
"NSEAOnline",4,"RepKihuen"
"NVBroadcasters",4,"RepKihuen"
"NVVetsAssociat1",4,"RepKihuen"
"NVYouthNetwork",4,"RepKihuen"
"perspectiva_nac",4,"RepKihuen"
"PeterZampa",4,"RepKihuen"
"RanchoRamsLV",4,"RepKihuen"
"RepDarrenSoto",4,"RepKihuen"
"RTCSNV",4,"RepKihuen"
"SecretaryPerry",4,"RepKihuen"
"SpectrumNews",4,"RepKihuen"
"SteveScalise",4,"RepKihuen"
"Thompson4AD17",4,"RepKihuen"
"TsitsikiFelix",4,"RepKihuen"
"unevadareno",4,"RepKihuen"
"Univision",4,"RepKihuen"
"ussoccerfndn",4,"RepKihuen"
"WestPrepLV",4,"RepKihuen"
"WGUNevada",4,"RepKihuen"
"WomensDemoCC",4,"RepKihuen"
"22VeteransDaily",3,"RepKihuen"
"allinwithchris",3,"RepKihuen"
"AlPunto",3,"RepKihuen"
"AmandaWorking",3,"RepKihuen"
"Arturo_Sarukhan",3,"RepKihuen"
"BarackObama",3,"RepKihuen"
"CAANevada",3,"RepKihuen"
"CQnow",3,"RepKihuen"
"cspringsnlv",3,"RepKihuen"
"DSWAdvocacy",3,"RepKihuen"
"dustinrains",3,"RepKihuen"
"DVTonline1",3,"RepKihuen"
"EdMBernstein",3,"RepKihuen"
"Enfoque",3,"RepKihuen"
"EPA",3,"RepKihuen"
"Foro_TV",3,"RepKihuen"
"Giunchigliani",3,"RepKihuen"
"gwcisneros",3,"RepKihuen"
"HopeHealthVegas",3,"RepKihuen"
"Interior",3,"RepKihuen"
"isaacbarron",3,"RepKihuen"
"JECDems",3,"RepKihuen"
"jgillanNews3LV",3,"RepKihuen"
"JMurguia_Unidos",3,"RepKihuen"
"jorgeramosnews",3,"RepKihuen"
"k_dockweiler",3,"RepKihuen"
"katkinson702",3,"RepKihuen"
"kay_shelba",3,"RepKihuen"
"KNPRnews",3,"RepKihuen"
"LVCVA",3,"RepKihuen"
"MichelleRindels",3,"RepKihuen"
"MiFamiliaVota",3,"RepKihuen"
"NaralNv",3,"RepKihuen"
"NCEDSV",3,"RepKihuen"
"NevadaState",3,"RepKihuen"
"NFB_voice",3,"RepKihuen"
"NVAFLCIO",3,"RepKihuen"
"NVHealthLink",3,"RepKihuen"
"PLANDulce",3,"RepKihuen"
"RepCharlieCrist",3,"RepKihuen"
"RepEsty",3,"RepKihuen"
"RepJoshG",3,"RepKihuen"
"RepRaulGrijalva",3,"RepKihuen"
"RepRubenGallego",3,"RepKihuen"
"RepTedDeutch",3,"RepKihuen"
"RJpolitics",3,"RepKihuen"
"RogerMarshallMD",3,"RepKihuen"
"SEIU1107",3,"RepKihuen"
"SenateDems",3,"RepKihuen"
"SenJohnMcCain",3,"RepKihuen"
"sethmoulton",3,"RepKihuen"
"Snapchat",3,"RepKihuen"
"sparky725C",3,"RepKihuen"
"stew_boss",3,"RepKihuen"
"TheJusticeDept",3,"RepKihuen"
"threesquareLV",3,"RepKihuen"
"Twitter",3,"RepKihuen"
"UNLVAlumni",3,"RepKihuen"
"unlvcoeaa",3,"RepKihuen"
"usairforce",3,"RepKihuen"
"USCBO",3,"RepKihuen"
"USNavy",3,"RepKihuen"
"USVETSLV",3,"RepKihuen"
"Valley_Electric",3,"RepKihuen"
"ValleyHealthLV",3,"RepKihuen"
"VegasPBS",3,"RepKihuen"
"VetsVillageLV",3,"RepKihuen"
"Wilderness",3,"RepKihuen"
"702TMBrown",2,"RepKihuen"
"a_moriarty",2,"RepKihuen"
"adyortiz78",2,"RepKihuen"
"AFThunderbirds",2,"RepKihuen"
"AJayne0137",2,"RepKihuen"
"AleOrtizChagin",2,"RepKihuen"
"AsianJournalCom",2,"RepKihuen"
"BarbaraAupperl4",2,"RepKihuen"
"BetsyDeVosED",2,"RepKihuen"
"BrentWilkes",2,"RepKihuen"
"brianarerick",2,"RepKihuen"
"bridgetbhc",2,"RepKihuen"
"CapitolPolice",2,"RepKihuen"
"CareMoreHealth",2,"RepKihuen"
"carterjwm",2,"RepKihuen"
"ccsandstedt",2,"RepKihuen"
"CedricCrear",2,"RepKihuen"
"CHC_Nevada",2,"RepKihuen"
"CNN",2,"RepKihuen"
"ConsulMexLvn",2,"RepKihuen"
"Creech_AFB",2,"RepKihuen"
"CreechAFB",2,"RepKihuen"
"DeanHeller",2,"RepKihuen"
"Debbieamatthews",2,"RepKihuen"
"deviantdex",2,"RepKihuen"
"DrAelaf",2,"RepKihuen"
"edworkforcedems",2,"RepKihuen"
"ElyTimes",2,"RepKihuen"
"EmergeNevada",2,"RepKihuen"
"EyeOnWashMJ",2,"RepKihuen"
"FlyGCSA",2,"RepKihuen"
"ForOurFutureNV",2,"RepKihuen"
