"Hashtag","Frequency","screen_name"
"TrumpShutdown",19,"RepMarkTakano"
"SCOTUS",14,"RepMarkTakano"
"SOTU",14,"RepMarkTakano"
"LGBT",11,"RepMarkTakano"
"GOPShutdown",10,"RepMarkTakano"
"RaiseTheWage",10,"RepMarkTakano"
"TimeIsNow",8,"RepMarkTakano"
"BoehnerNeedsDems",7,"RepMarkTakano"
"GrahamCassidy",7,"RepMarkTakano"
"NOH8",7,"RepMarkTakano"
"Obamacare",7,"RepMarkTakano"
"Equality",6,"RepMarkTakano"
"GOPTaxScam",6,"RepMarkTakano"
"NetNeutrality",6,"RepMarkTakano"
"DOMA",5,"RepMarkTakano"
"ENDA",5,"RepMarkTakano"
"equality",5,"RepMarkTakano"
"EqualPayDay",5,"RepMarkTakano"
"MemorialDay",5,"RepMarkTakano"
"p2",5,"RepMarkTakano"
"Prop8",5,"RepMarkTakano"
"TrumpCare",5,"RepMarkTakano"
"VeteransDay",5,"RepMarkTakano"
"ACA",4,"RepMarkTakano"
"AHCA",4,"RepMarkTakano"
"CIR",4,"RepMarkTakano"
"DACA",4,"RepMarkTakano"
"DemandAVote",4,"RepMarkTakano"
"DisarmHate",4,"RepMarkTakano"
"Fast4Families",4,"RepMarkTakano"
"GetCovered",4,"RepMarkTakano"
"HobbyLobby",4,"RepMarkTakano"
"InsideSOTU",4,"RepMarkTakano"
"Jointsession",4,"RepMarkTakano"
"MakeItInAmerica",4,"RepMarkTakano"
"raisethewage",4,"RepMarkTakano"
"WorldAIDSDay",4,"RepMarkTakano"
"ActOnClimate",3,"RepMarkTakano"
"AskCAPAC",3,"RepMarkTakano"
"DontShutDownOurSecurity",3,"RepMarkTakano"
"EqualityAct",3,"RepMarkTakano"
"GOP",3,"RepMarkTakano"
"GOPshutdown",3,"RepMarkTakano"
"Immigration",3,"RepMarkTakano"
"LiveTheWage",3,"RepMarkTakano"
"LoveCantWait",3,"RepMarkTakano"
"NCLB",3,"RepMarkTakano"
"NeverForget",3,"RepMarkTakano"
"NoBillNoBreak",3,"RepMarkTakano"
"NotMyBossBusiness",3,"RepMarkTakano"
"PrideMonth",3,"RepMarkTakano"
"SandyHook",3,"RepMarkTakano"
"SpiritDay",3,"RepMarkTakano"
"TakanoTownHall",3,"RepMarkTakano"
"TBT",3,"RepMarkTakano"
"timeisnow",3,"RepMarkTakano"
"TPA",3,"RepMarkTakano"
"Trumpcare",3,"RepMarkTakano"
"VA",3,"RepMarkTakano"
"1N1T",2,"RepMarkTakano"
"ALSen",2,"RepMarkTakano"
"BankOnStudents",2,"RepMarkTakano"
"BlackHistoryMonth",2,"RepMarkTakano"
"BringBackOurGirls",2,"RepMarkTakano"
"CharlieHebdo",2,"RepMarkTakano"
"COP21",2,"RepMarkTakano"
"DegreesNotDebt",2,"RepMarkTakano"
"DreamAct",2,"RepMarkTakano"
"EarthDay",2,"RepMarkTakano"
"EidMubarak",2,"RepMarkTakano"
"equalityforward",2,"RepMarkTakano"
"EqualPayNow",2,"RepMarkTakano"
"ESEA",2,"RepMarkTakano"
"Ferguson",2,"RepMarkTakano"
"FF",2,"RepMarkTakano"
"FightFor15",2,"RepMarkTakano"
"filibuster",2,"RepMarkTakano"
"FlashbackFriday",2,"RepMarkTakano"
"ForeverGIBill",2,"RepMarkTakano"
"getcovered",2,"RepMarkTakano"
"GetCoveredNow",2,"RepMarkTakano"
"gunviolence",2,"RepMarkTakano"
"HarveyMilkDay",2,"RepMarkTakano"
"HolocaustRemembranceDay",2,"RepMarkTakano"
"HonorWithAction",2,"RepMarkTakano"
"HouseDemsInPhilly",2,"RepMarkTakano"
"IDAHOT",2,"RepMarkTakano"
"ImmigrationReform",2,"RepMarkTakano"
"IranDeal",2,"RepMarkTakano"
"LaborDay",2,"RepMarkTakano"
"lgbt",2,"RepMarkTakano"
"MLKDay",2,"RepMarkTakano"
"NationalComingOutDay",2,"RepMarkTakano"
"NotOneMore",2,"RepMarkTakano"
"OvertimeRule",2,"RepMarkTakano"
"PassENDA",2,"RepMarkTakano"
"PayMoreForLess",2,"RepMarkTakano"
"paythemback",2,"RepMarkTakano"
"Powerball",2,"RepMarkTakano"
"Pride2017",2,"RepMarkTakano"
"ProtectDACA",2,"RepMarkTakano"
"ProtectDreamers",2,"RepMarkTakano"
"renewUI",2,"RepMarkTakano"
"RenewUI",2,"RepMarkTakano"
"ShePersisted",2,"RepMarkTakano"
"sotu",2,"RepMarkTakano"
"SOTU2015",2,"RepMarkTakano"
"StandWithNancy",2,"RepMarkTakano"
"StandWithPP",2,"RepMarkTakano"
"StandwithStudents",2,"RepMarkTakano"
"STEM",2,"RepMarkTakano"
"StopTheSequester",2,"RepMarkTakano"
"TAA",2,"RepMarkTakano"
"TaxDay",2,"RepMarkTakano"
"TeacherAppreciationWeek",2,"RepMarkTakano"
"TeamUSA",2,"RepMarkTakano"
"Thanksgiving",2,"RepMarkTakano"
"transgender",2,"RepMarkTakano"
"VAWA",2,"RepMarkTakano"
"WrongWay",2,"RepMarkTakano"
"YomKippur",2,"RepMarkTakano"
"1010Means",1,"RepMarkTakano"
"18millionhearts",1,"RepMarkTakano"
"1million600k",1,"RepMarkTakano"
"1u",1,"RepMarkTakano"
"1U",1,"RepMarkTakano"
"22PushupChallenge",1,"RepMarkTakano"
"2YearsOnMars",1,"RepMarkTakano"
"3Dprinting",1,"RepMarkTakano"
"56thAttempt",1,"RepMarkTakano"
"5pts4jobs",1,"RepMarkTakano"
"AAPI",1,"RepMarkTakano"
"ActionAfterSilence",1,"RepMarkTakano"
"ActionforOrlando",1,"RepMarkTakano"
