"Hashtag","Frequency","screen_name"
"ACA",38,"RepMcEachin"
"EnvironmentalJustice",35,"RepMcEachin"
"TransBan",33,"RepMcEachin"
"VA04",32,"RepMcEachin"
"TrumpCare",22,"RepMcEachin"
"PeopleOverPolitics",20,"RepMcEachin"
"TrumpShutdown",20,"RepMcEachin"
"environmentaljustice",19,"RepMcEachin"
"HappeningNow",17,"RepMcEachin"
"ParisAgreement",16,"RepMcEachin"
"TransTroops",16,"RepMcEachin"
"WrongChoiceAct",16,"RepMcEachin"
"DACA",13,"RepMcEachin"
"EssexVillage",13,"RepMcEachin"
"PollutingPruitt",13,"RepMcEachin"
"DREAMers",12,"RepMcEachin"
"GetCovered",12,"RepMcEachin"
"peopleoverpolitics",9,"RepMcEachin"
"RootOutRacism",9,"RepMcEachin"
"SmoggySkiesAct",9,"RepMcEachin"
"StayWoke",9,"RepMcEachin"
"TrumpGlobalGag",9,"RepMcEachin"
"ASKact",8,"RepMcEachin"
"BlackHistoryMonth",8,"RepMcEachin"
"DefendScience",8,"RepMcEachin"
"EqualPayDay",8,"RepMcEachin"
"GOPTaxBill",8,"RepMcEachin"
"LGBT",8,"RepMcEachin"
"MonumentsForAll",8,"RepMcEachin"
"RVA",8,"RepMcEachin"
"actonclimate",7,"RepMcEachin"
"ActonClimate",7,"RepMcEachin"
"CoverageMatters",7,"RepMcEachin"
"FollowTheFacts",7,"RepMcEachin"
"HappeningSoon",7,"RepMcEachin"
"ICYMI",7,"RepMcEachin"
"Mattis",7,"RepMcEachin"
"MuslimBan",7,"RepMcEachin"
"ProtectOurCare",7,"RepMcEachin"
"ActOnClimate",6,"RepMcEachin"
"climatechange",6,"RepMcEachin"
"ProtectOurCoast",6,"RepMcEachin"
"RestoreTheVote",6,"RepMcEachin"
"SOTU",6,"RepMcEachin"
"TrumpRussia",6,"RepMcEachin"
"UnitedforClimate",6,"RepMcEachin"
"AHCA",5,"RepMcEachin"
"DefendClimate",5,"RepMcEachin"
"DefendEPA",5,"RepMcEachin"
"DoYourJob",5,"RepMcEachin"
"EJ",5,"RepMcEachin"
"LIVE",5,"RepMcEachin"
"publiclands",5,"RepMcEachin"
"RoevWade",5,"RepMcEachin"
"staywoke",5,"RepMcEachin"
"TrumpBudget",5,"RepMcEachin"
"Trumpcare",5,"RepMcEachin"
"TrumpCuts",5,"RepMcEachin"
"VABlackHistory",5,"RepMcEachin"
"WorldAIDSDay",5,"RepMcEachin"
"Charlottesville",4,"RepMcEachin"
"CleanPowerPlan",4,"RepMcEachin"
"climate",4,"RepMcEachin"
"environmental",4,"RepMcEachin"
"KarisLaw",4,"RepMcEachin"
"LGBTQ",4,"RepMcEachin"
"MakeAmericaSickAgain",4,"RepMcEachin"
"monuments",4,"RepMcEachin"
"NationalDayofCivility",4,"RepMcEachin"
"NDAA",4,"RepMcEachin"
"OurHomesOurVoices",4,"RepMcEachin"
