"Hashtag","Frequency","screen_name"
"Trumpcare",158,"RepMcGovern"
"TrumpRussia",147,"RepMcGovern"
"Worcester",96,"RepMcGovern"
"CentralMA",75,"RepMcGovern"
"hunger",74,"RepMcGovern"
"ACA",71,"RepMcGovern"
"WesternMA",71,"RepMcGovern"
"BREAKING",68,"RepMcGovern"
"MuslimBan",50,"RepMcGovern"
"GOPTaxScam",46,"RepMcGovern"
"Russia",46,"RepMcGovern"
"MA",45,"RepMcGovern"
"ProtectOurCare",40,"RepMcGovern"
"FarmTour",39,"RepMcGovern"
"MontesMarch",37,"RepMcGovern"
"PuertoRico",32,"RepMcGovern"
"DoYourJob",29,"RepMcGovern"
"seniors",29,"RepMcGovern"
"SNAP",29,"RepMcGovern"
"Syria",29,"RepMcGovern"
"NoBanNoWall",26,"RepMcGovern"
"PayMoreForLess",26,"RepMcGovern"
"veterans",26,"RepMcGovern"
"MakeAmericaSickAgain",25,"RepMcGovern"
"ProtectOurDemocracy",24,"RepMcGovern"
"Medicaid",23,"RepMcGovern"
"RussianHacking",23,"RepMcGovern"
"ClimateChange",21,"RepMcGovern"
"Flynn",21,"RepMcGovern"
"GetCovered",21,"RepMcGovern"
"LGBT",20,"RepMcGovern"
"NetNeutrality",20,"RepMcGovern"
"Comey",19,"RepMcGovern"
"Massachusetts",19,"RepMcGovern"
"SmallBiz",19,"RepMcGovern"
"FreePress",18,"RepMcGovern"
"Leominster",18,"RepMcGovern"
"Northampton",18,"RepMcGovern"
"healthcare",17,"RepMcGovern"
"Sessions",17,"RepMcGovern"
"SNAPsince77",17,"RepMcGovern"
"Tibet",17,"RepMcGovern"
"TrumpCuts",17,"RepMcGovern"
"Cuba",16,"RepMcGovern"
"JointSession",16,"RepMcGovern"
"BillionairesFirst",15,"RepMcGovern"
"SCOTUS",15,"RepMcGovern"
"TrumpCare",15,"RepMcGovern"
"Colombia",14,"RepMcGovern"
"mapoli",14,"RepMcGovern"
"Nunes",14,"RepMcGovern"
"SOTU",14,"RepMcGovern"
"China",13,"RepMcGovern"
"HumanRights",13,"RepMcGovern"
"Magnitsky",13,"RepMcGovern"
"Trump",13,"RepMcGovern"
"TrumpBudget",13,"RepMcGovern"
"Zika",13,"RepMcGovern"
"Amherst",12,"RepMcGovern"
"CraftBreweries",12,"RepMcGovern"
"Greenfield",12,"RepMcGovern"
"EndHungerNow",11,"RepMcGovern"
"InvestigateNow",11,"RepMcGovern"
"Shrewsbury",11,"RepMcGovern"
"VeteransDay",11,"RepMcGovern"
"FlynnResignation",10,"RepMcGovern"
"Obamacare",10,"RepMcGovern"
"Sudan",10,"RepMcGovern"
"ABetterDeal",9,"RepMcGovern"
"ActOnClimate",9,"RepMcGovern"
"CitizensUnited",9,"RepMcGovern"
"ColombiaPeace",9,"RepMcGovern"
"DreamActNow",9,"RepMcGovern"
"DREAMers",9,"RepMcGovern"
"ElSalvador",9,"RepMcGovern"
"Gorsuch",9,"RepMcGovern"
"GunViolence",9,"RepMcGovern"
"HurricaneMaria",9,"RepMcGovern"
"NoKidHungry",9,"RepMcGovern"
"NorthKorea",9,"RepMcGovern"
"poverty",9,"RepMcGovern"
"repeal",9,"RepMcGovern"
"SaveTPS",9,"RepMcGovern"
"Thanksgiving",9,"RepMcGovern"
"Bahrain",8,"RepMcGovern"
"Boston",8,"RepMcGovern"
"DayWithoutAWoman",8,"RepMcGovern"
"DeVos",8,"RepMcGovern"
"GOPshutdown",8,"RepMcGovern"
"MApoli",8,"RepMcGovern"
"NotTheEnemy",8,"RepMcGovern"
"ProtectDREAMers",8,"RepMcGovern"
"ProtectTransKids",8,"RepMcGovern"
"smallbiz",8,"RepMcGovern"
"TPS",8,"RepMcGovern"
"WorldFoodDay",8,"RepMcGovern"
"ComeyHearing",7,"RepMcGovern"
"DACA",7,"RepMcGovern"
"DefendDACA",7,"RepMcGovern"
"DefendDREAMers",7,"RepMcGovern"
"DrainTheSwamp",7,"RepMcGovern"
"endhungernow",7,"RepMcGovern"
"Hunger",7,"RepMcGovern"
"HungerActionMonth",7,"RepMcGovern"
"innovation",7,"RepMcGovern"
"Manafort",7,"RepMcGovern"
"MealsOnWheels",7,"RepMcGovern"
"Mueller",7,"RepMcGovern"
"OnThisDay",7,"RepMcGovern"
"Orange",7,"RepMcGovern"
"Oscars",7,"RepMcGovern"
"SummerMeals",7,"RepMcGovern"
"WomensHealth",7,"RepMcGovern"
