"Mention","Frequency","screen_name"
"YouTube",23,"RepMcNerney"
"CoveredCA",20,"RepMcNerney"
"Recordnet",20,"RepMcNerney"
"EnergyCommerce",17,"RepMcNerney"
"POTUS",15,"RepMcNerney"
"FCC",14,"RepMcNerney"
"HouseGOP",13,"RepMcNerney"
"JerryBrownGov",13,"RepMcNerney"
"DeptVetAffairs",12,"RepMcNerney"
"FTC",10,"RepMcNerney"
"lodinews",9,"RepMcNerney"
"Pontifex",8,"RepMcNerney"
"RepDeSaulnier",8,"RepMcNerney"
"UOPacific",8,"RepMcNerney"
"WhiteHouse",8,"RepMcNerney"
"AsmSusanEggman",6,"RepMcNerney"
"SJGov",6,"RepMcNerney"
"Cloudflare",5,"RepMcNerney"
"eastcountytoday",5,"RepMcNerney"
"HouseDemocrats",5,"RepMcNerney"
"HouseFloor",5,"RepMcNerney"
"NSF",5,"RepMcNerney"
"SanJoaquinRTD",5,"RepMcNerney"
"EPA",4,"RepMcNerney"
"lessig",4,"RepMcNerney"
"LinkedIn",4,"RepMcNerney"
"RepReneeEllmers",4,"RepMcNerney"
"ShareThis",4,"RepMcNerney"
"StanfordBrain",4,"RepMcNerney"
"ACWAWater",3,"RepMcNerney"
"alexbreitler",3,"RepMcNerney"
"askgeorge",3,"RepMcNerney"
"boblatta",3,"RepMcNerney"
"CCCounty",3,"RepMcNerney"
"cccpublicworks",3,"RepMcNerney"
"CityofLodi",3,"RepMcNerney"
"cspan",3,"RepMcNerney"
"DeptofDefense",3,"RepMcNerney"
"fema",3,"RepMcNerney"
"Google",3,"RepMcNerney"
"HouseCommerce",3,"RepMcNerney"
"KQEDNewsroom",3,"RepMcNerney"
"OakleyChamber",3,"RepMcNerney"
"PGE4Me",3,"RepMcNerney"
"realDonaldTrump",3,"RepMcNerney"
"RepThompson",3,"RepMcNerney"
"SenFeinstein",3,"RepMcNerney"
"SpeakerRyan",3,"RepMcNerney"
"StocktonPolice",3,"RepMcNerney"
"theCaGuard",3,"RepMcNerney"
"warriors",3,"RepMcNerney"
"AjitPaiFCC",2,"RepMcNerney"
"AmericanLegion",2,"RepMcNerney"
"BerkeleyLab",2,"RepMcNerney"
"bradpomerance",2,"RepMcNerney"
"CSR_Stockton",2,"RepMcNerney"
"DoloresHuerta",2,"RepMcNerney"
"eesionline",2,"RepMcNerney"
"EFBFS",2,"RepMcNerney"
"ENERGY",2,"RepMcNerney"
"Equifax",2,"RepMcNerney"
"facebook",2,"RepMcNerney"
"girlscouts",2,"RepMcNerney"
"gridwisedc",2,"RepMcNerney"
"HouseGVP",2,"RepMcNerney"
"HouseVetAffairs",2,"RepMcNerney"
"HuddleCowork",2,"RepMcNerney"
"LCVoters",2,"RepMcNerney"
"MartinHellman2",2,"RepMcNerney"
"MedicareGov",2,"RepMcNerney"
"mercnews",2,"RepMcNerney"
"NASA",2,"RepMcNerney"
"NPR",2,"RepMcNerney"
"npratc",2,"RepMcNerney"
"nytimes",2,"RepMcNerney"
"oakdaleleader",2,"RepMcNerney"
