"Hashtag","Frequency","screen_name"
"MD",38,"RepSarbanes"
"bythepeople",33,"RepSarbanes"
"ByThePeople",24,"RepSarbanes"
"FightBigMoney",23,"RepSarbanes"
"Baltimore",16,"RepSarbanes"
"AskMDDems",13,"RepSarbanes"
"GOPTaxScam",13,"RepSarbanes"
"SCOTUS",11,"RepSarbanes"
"ACA",10,"RepSarbanes"
"ACAWorks",10,"RepSarbanes"
"CitizensUnited",10,"RepSarbanes"
"AskDems",9,"RepSarbanes"
"BythePeople",9,"RepSarbanes"
"DrainTheSwamp",8,"RepSarbanes"
"FloodTheSwamp",7,"RepSarbanes"
"McCutcheon",7,"RepSarbanes"
"climatechange",6,"RepSarbanes"
"ActOnClimate",5,"RepSarbanes"
"Annapolis",5,"RepSarbanes"
"RaiseTheWage",5,"RepSarbanes"
"BlackHistoryMonth",4,"RepSarbanes"
"EarthDay",4,"RepSarbanes"
"environment",4,"RepSarbanes"
"GrassrootsDemocracyAct",4,"RepSarbanes"
"HarrietTubman",4,"RepSarbanes"
"NoBillNoBreak",4,"RepSarbanes"
"Ravens",4,"RepSarbanes"
"sequester",4,"RepSarbanes"
"SOTU",4,"RepSarbanes"
"studentloan",4,"RepSarbanes"
"environmental",3,"RepSarbanes"
"firefighters",3,"RepSarbanes"
"GOPshutdown",3,"RepSarbanes"
"healthcare",3,"RepSarbanes"
"Medicare",3,"RepSarbanes"
"NCLI",3,"RepSarbanes"
"RavensNation",3,"RepSarbanes"
"SocialSecurity",3,"RepSarbanes"
"SoundTheAlarm4Climate",3,"RepSarbanes"
"StrongerAmerica",3,"RepSarbanes"
"veterans",3,"RepSarbanes"
"1010Means",2,"RepSarbanes"
"3Dprinting",2,"RepSarbanes"
"ACAworks",2,"RepSarbanes"
"bay",2,"RepSarbanes"
"Bay",2,"RepSarbanes"
"BHM",2,"RepSarbanes"
"Chesapeake",2,"RepSarbanes"
"clean",2,"RepSarbanes"
"CU5",2,"RepSarbanes"
"DefendDemocracy",2,"RepSarbanes"
"DemocracySpring",2,"RepSarbanes"
"Denver",2,"RepSarbanes"
"DivestDonald",2,"RepSarbanes"
"draintheswamp",2,"RepSarbanes"
"DTS",2,"RepSarbanes"
"education",2,"RepSarbanes"
"elections",2,"RepSarbanes"
"energy",2,"RepSarbanes"
"EqualPay",2,"RepSarbanes"
"ExtendUI",2,"RepSarbanes"
"FMLA",2,"RepSarbanes"
"fracking",2,"RepSarbanes"
"FutureForum",2,"RepSarbanes"
"GetCovered",2,"RepSarbanes"
"GrassrootsDemocracy",2,"RepSarbanes"
"HealthyFamiliesAct",2,"RepSarbanes"
"HigherEd",2,"RepSarbanes"
"IAFFLeg13",2,"RepSarbanes"
"MDSandy",2,"RepSarbanes"
"NetNeutrality",2,"RepSarbanes"
"NoKidHungry",2,"RepSarbanes"
"ParisAgreement",2,"RepSarbanes"
"PaycheckFairness",2,"RepSarbanes"
"PayMoreForLess",2,"RepSarbanes"
"physicalfitness",2,"RepSarbanes"
"PollutingPruitt",2,"RepSarbanes"
"protectcleanwater",2,"RepSarbanes"
"RosaParks",2,"RepSarbanes"
"sequestration",2,"RepSarbanes"
"ssb2012",2,"RepSarbanes"
"talkpay",2,"RepSarbanes"
"TrumpsBrokenPromises",2,"RepSarbanes"
"UnleashAge",2,"RepSarbanes"
"VRA4Today",2,"RepSarbanes"
"WallStreet",2,"RepSarbanes"
"WhatMothersNeed",2,"RepSarbanes"
"2million",1,"RepSarbanes"
"ActToAmend",1,"RepSarbanes"
"AdultEd",1,"RepSarbanes"
"AffordableCareAct",1,"RepSarbanes"
"AfricanAmerican",1,"RepSarbanes"
"air",1,"RepSarbanes"
"AmeriCorps20",1,"RepSarbanes"
"BetterDemocracy",1,"RepSarbanes"
"bmoretech",1,"RepSarbanes"
"BP",1,"RepSarbanes"
"Broncos",1,"RepSarbanes"
"Cambridge",1,"RepSarbanes"
"CB30",1,"RepSarbanes"
"CBOSCORE",1,"RepSarbanes"
"chesapeakebay",1,"RepSarbanes"
"Chesapeakebay",1,"RepSarbanes"
"ChesapeakeBay",1,"RepSarbanes"
"CivilRightsAct1964",1,"RepSarbanes"
"CleanAir",1,"RepSarbanes"
"Cleanwatersuccess",1,"RepSarbanes"
"Congress",1,"RepSarbanes"
"CultureofCorruption",1,"RepSarbanes"
"DC",1,"RepSarbanes"
"DefendOurDemocracy",1,"RepSarbanes"
"DemandAVote",1,"RepSarbanes"
"DemDebate",1,"RepSarbanes"
"democracy",1,"RepSarbanes"
"DemocracyAwakening",1,"RepSarbanes"
"DemocracyForAll",1,"RepSarbanes"
"DirtyPruitt",1,"RepSarbanes"
"DoTheRightThing",1,"RepSarbanes"
"Drilling",1,"RepSarbanes"
"EmolumentsClause",1,"RepSarbanes"
"EnoughIsEnough",1,"RepSarbanes"
"Environmental",1,"RepSarbanes"
"equalpay",1,"RepSarbanes"
"EqualPayChat",1,"RepSarbanes"
"EqualPayDay",1,"RepSarbanes"
"EqualPayforEqualWork",1,"RepSarbanes"
"ewaste",1,"RepSarbanes"
"federalemployees",1,"RepSarbanes"
"FightDarkMoney",1,"RepSarbanes"
"fightforequality",1,"RepSarbanes"
"FiscalCliff",1,"RepSarbanes"
"FollowFriday",1,"RepSarbanes"
"forthepeople",1,"RepSarbanes"
"forwardonclimate",1,"RepSarbanes"
"gasoline",1,"RepSarbanes"
"GetMoneyOut",1,"RepSarbanes"
"GOAmericaWeek",1,"RepSarbanes"
"GOP",1,"RepSarbanes"
"greenjobs",1,"RepSarbanes"
"guncontrol",1,"RepSarbanes"
"happyMLKday",1,"RepSarbanes"
"healthdisparities",1,"RepSarbanes"
"HearTheCrunch",1,"RepSarbanes"
"HEZs",1,"RepSarbanes"
"HoCo",1,"RepSarbanes"
"HoCoMD",1,"RepSarbanes"
"HouseGOP",1,"RepSarbanes"
"HR2401",1,"RepSarbanes"
"infrastructure",1,"RepSarbanes"
"ISS",1,"RepSarbanes"
"JFK50",1,"RepSarbanes"
"jobs",1,"RepSarbanes"
"LEED",1,"RepSarbanes"
"love4students",1,"RepSarbanes"
"MakeItInAmerica",1,"RepSarbanes"
"maryland",1,"RepSarbanes"
"Maryland",1,"RepSarbanes"
"mbsbw12",1,"RepSarbanes"
"MD03",1,"RepSarbanes"
"MDBreakfast",1,"RepSarbanes"
"MDSBW2013",1,"RepSarbanes"
"MemorialDay",1,"RepSarbanes"
"mentalhealth",1,"RepSarbanes"
"MiddleClass",1,"RepSarbanes"
"MLKDay2014",1,"RepSarbanes"
"MoCo",1,"RepSarbanes"
