"Hashtag","Frequency","screen_name"
"DrainTheSwamp",109,"RepSarbanes"
"Trump100Days",101,"RepSarbanes"
"MD",38,"RepSarbanes"
"bythepeople",36,"RepSarbanes"
"FightBigMoney",31,"RepSarbanes"
"ByThePeople",30,"RepSarbanes"
"Baltimore",17,"RepSarbanes"
"GOPTaxScam",16,"RepSarbanes"
"AskMDDems",13,"RepSarbanes"
"CitizensUnited",12,"RepSarbanes"
"SCOTUS",12,"RepSarbanes"
"ACA",11,"RepSarbanes"
"McCutcheon",11,"RepSarbanes"
"ACAWorks",10,"RepSarbanes"
"BythePeople",10,"RepSarbanes"
"AskDems",9,"RepSarbanes"
"climatechange",8,"RepSarbanes"
"FloodTheSwamp",7,"RepSarbanes"
"ActOnClimate",5,"RepSarbanes"
"Annapolis",5,"RepSarbanes"
"EarthDay",5,"RepSarbanes"
"environment",5,"RepSarbanes"
"GetMoneyOut",5,"RepSarbanes"
"NoBillNoBreak",5,"RepSarbanes"
"RaiseTheWage",5,"RepSarbanes"
"SOTU",5,"RepSarbanes"
"BlackHistoryMonth",4,"RepSarbanes"
"FutureForum",4,"RepSarbanes"
"GrassrootsDemocracyAct",4,"RepSarbanes"
"HarrietTubman",4,"RepSarbanes"
"PayMoreForLess",4,"RepSarbanes"
"Ravens",4,"RepSarbanes"
"sequester",4,"RepSarbanes"
"studentloan",4,"RepSarbanes"
"askHouseDems",3,"RepSarbanes"
"campaignfinance",3,"RepSarbanes"
"Denver",3,"RepSarbanes"
"education",3,"RepSarbanes"
"environmental",3,"RepSarbanes"
"firefighters",3,"RepSarbanes"
"GOPshutdown",3,"RepSarbanes"
"healthcare",3,"RepSarbanes"
"Medicare",3,"RepSarbanes"
"moneyinpolitics",3,"RepSarbanes"
"NCLI",3,"RepSarbanes"
"RavensNation",3,"RepSarbanes"
"SocialSecurity",3,"RepSarbanes"
"SoundTheAlarm4Climate",3,"RepSarbanes"
"StrongerAmerica",3,"RepSarbanes"
"veterans",3,"RepSarbanes"
"1010Means",2,"RepSarbanes"
"1u",2,"RepSarbanes"
"3Dprinting",2,"RepSarbanes"
"ACAworks",2,"RepSarbanes"
"bay",2,"RepSarbanes"
"Bay",2,"RepSarbanes"
"BHM",2,"RepSarbanes"
"Chesapeake",2,"RepSarbanes"
"clean",2,"RepSarbanes"
"Congress",2,"RepSarbanes"
"CU5",2,"RepSarbanes"
"DefendDemocracy",2,"RepSarbanes"
