"Hashtag","Frequency","screen_name"
"TeamPeters",186,"RepScottPeters"
"OTD",50,"RepScottPeters"
"ICYMI",31,"RepScottPeters"
"PetersTownHall",27,"RepScottPeters"
"DACA",21,"RepScottPeters"
"ParisAgreement",18,"RepScottPeters"
"AHCA",17,"RepScottPeters"
"ForeverGIBill",13,"RepScottPeters"
"BorderWall",11,"RepScottPeters"
"TrumpRussia",10,"RepScottPeters"
"DREAMers",8,"RepScottPeters"
"HepatitisA",8,"RepScottPeters"
"SDinDC",7,"RepScottPeters"
"CAC17",6,"RepScottPeters"
"GOPrepeal",6,"RepScottPeters"
"SDinUK",6,"RepScottPeters"
"StartupDay",6,"RepScottPeters"
"TBT",6,"RepScottPeters"
"CA52",5,"RepScottPeters"
"DCinSD",5,"RepScottPeters"
"DefendDACA",5,"RepScottPeters"
"GetCovered",5,"RepScottPeters"
"GOPTaxBill",5,"RepScottPeters"
"GrahamCassidy",5,"RepScottPeters"
"MadeinSD",5,"RepScottPeters"
"NWHW",5,"RepScottPeters"
"ProtectDREAMers",5,"RepScottPeters"
"TrumpBudget",5,"RepScottPeters"
"TrumpCuts",5,"RepScottPeters"
"ComeyFiring",4,"RepScottPeters"
"Dreamers",4,"RepScottPeters"
"EqualityForward",4,"RepScottPeters"
"ExtendCHIP",4,"RepScottPeters"
"FindYourPark",4,"RepScottPeters"
"GoSanDiego",4,"RepScottPeters"
"HonorWithAction",4,"RepScottPeters"
"HurricaneHarvey",4,"RepScottPeters"
"LasVegas",4,"RepScottPeters"
"MFGday16",4,"RepScottPeters"
"NetNeutrality",4,"RepScottPeters"
"ProtectOurCare",4,"RepScottPeters"
"SmallBusinessWeek",4,"RepScottPeters"
"StandWithPP",4,"RepScottPeters"
"USAact",4,"RepScottPeters"
"100DaysOfTrump",3,"RepScottPeters"
"ActOnClimate",3,"RepScottPeters"
"CleanerCars",3,"RepScottPeters"
"FollowtheFacts",3,"RepScottPeters"
"GlobalGagRule",3,"RepScottPeters"
"GOPTaxPlan",3,"RepScottPeters"
"MFGDay2017",3,"RepScottPeters"
"NPS100",3,"RepScottPeters"
"ProtectDreamers",3,"RepScottPeters"
"SDCC17",3,"RepScottPeters"
"SOTU",3,"RepScottPeters"
"STEM",3,"RepScottPeters"
"WorldAIDSDay",3,"RepScottPeters"
"21stCenturyCures",2,"RepScottPeters"
"ACA",2,"RepScottPeters"
"ACARepeal",2,"RepScottPeters"
"APAHM17",2,"RepScottPeters"
"BlueTechWeek",2,"RepScottPeters"
"Charlottesville",2,"RepScottPeters"
"ContraceptionIsCare",2,"RepScottPeters"
"DefendScience",2,"RepScottPeters"
"DoSomething",2,"RepScottPeters"
"DreamAct",2,"RepScottPeters"
