"Mention","Frequency","screen_name"
"RepSeanMaloney",520,"RepSeanMaloney"
"HouseGOP",45,"RepSeanMaloney"
"WAMCNews",37,"RepSeanMaloney"
"LGBTEqCaucus",33,"RepSeanMaloney"
"ChrisMcKenna845",32,"RepSeanMaloney"
"AlanChartock",30,"RepSeanMaloney"
"NYGovCuomo",25,"RepSeanMaloney"
"ADunneWAMC",24,"RepSeanMaloney"
"WestPoint_USMA",21,"RepSeanMaloney"
"WhipHoyer",21,"RepSeanMaloney"
"PokJournal",20,"RepSeanMaloney"
"recordonline",18,"RepSeanMaloney"
"OCNYnews",17,"RepSeanMaloney"
"USCG",17,"RepSeanMaloney"
"scenichudson",15,"RepSeanMaloney"
"riverkeeper",14,"RepSeanMaloney"
"BrewsterHub",13,"RepSeanMaloney"
"lohud",13,"RepSeanMaloney"
"SenGillibrand",13,"RepSeanMaloney"
"NitaLowey",12,"RepSeanMaloney"
"PCNY_VSA",12,"RepSeanMaloney"
"SenSchumer",12,"RepSeanMaloney"
"TWCNewsHV",12,"RepSeanMaloney"
"HVInsider",11,"RepSeanMaloney"
"MSNBC",11,"RepSeanMaloney"
"RepEliotEngel",11,"RepSeanMaloney"
"HRC",10,"RepSeanMaloney"
"SNeuhausOC",10,"RepSeanMaloney"
"DwyerPeer2Peer",9,"RepSeanMaloney"
"marcmolinaro",9,"RepSeanMaloney"
"RepChrisGibson",9,"RepSeanMaloney"
"RepJoeKennedy",9,"RepSeanMaloney"
"WAMCRoundtable",9,"RepSeanMaloney"
"PPMHVAction",8,"RepSeanMaloney"
"RepJohnFaso",8,"RepSeanMaloney"
"repjohnlewis",8,"RepSeanMaloney"
"SteeleAndUngar",8,"RepSeanMaloney"
"WAMCRadio",8,"RepSeanMaloney"
"chrisjohnson82",7,"RepSeanMaloney"
"DailyFreeman",7,"RepSeanMaloney"
"davidcicilline",7,"RepSeanMaloney"
"EPA",7,"RepSeanMaloney"
"HVPress",7,"RepSeanMaloney"
"NYinDC",7,"RepSeanMaloney"
"SPECNewsHV",7,"RepSeanMaloney"
"CaitlinLanders",6,"RepSeanMaloney"
"FCC",6,"RepSeanMaloney"
"PoJoNSchutzman",6,"RepSeanMaloney"
"putnamsheriff",6,"RepSeanMaloney"
"SRuhle",6,"RepSeanMaloney"
"AGSchneiderman",5,"RepSeanMaloney"
"BlaiseGomez12",5,"RepSeanMaloney"
"DVDutchess",5,"RepSeanMaloney"
"GarySternNY",5,"RepSeanMaloney"
"HVPattern",5,"RepSeanMaloney"
"johnpenneynews",5,"RepSeanMaloney"
"Lavernecox",5,"RepSeanMaloney"
"Marist",5,"RepSeanMaloney"
"NancyPelosi",5,"RepSeanMaloney"
"NTSB",5,"RepSeanMaloney"
"PPact",5,"RepSeanMaloney"
"realDonaldTrump",5,"RepSeanMaloney"
"RepEsty",5,"RepSeanMaloney"
"SenBlumenthal",5,"RepSeanMaloney"
"SpeakerRyan",5,"RepSeanMaloney"
"suefulton",5,"RepSeanMaloney"
"USNavy",5,"RepSeanMaloney"
"walden_savings",5,"RepSeanMaloney"
"BrianLehrer",4,"RepSeanMaloney"
"CDCgov",4,"RepSeanMaloney"
"DaveHoovler",4,"RepSeanMaloney"
"DavidBuchwald",4,"RepSeanMaloney"
"fema",4,"RepSeanMaloney"
"FrankPallone",4,"RepSeanMaloney"
"GregCan",4,"RepSeanMaloney"
"HealthNYGov",4,"RepSeanMaloney"
"Local589",4,"RepSeanMaloney"
"MayorMikeSpano",4,"RepSeanMaloney"
"MetroNorth",4,"RepSeanMaloney"
"nwlc",4,"RepSeanMaloney"
"PPHP",4,"RepSeanMaloney"
"PutnamDV",4,"RepSeanMaloney"
"PutnamHealthNY",4,"RepSeanMaloney"
"PutnamValleyCSD",4,"RepSeanMaloney"
"RepDianaDeGette",4,"RepSeanMaloney"
"RepMarkTakano",4,"RepSeanMaloney"
"rickungar",4,"RepSeanMaloney"
"SenatorLarkin",4,"RepSeanMaloney"
"SloopClearwater",4,"RepSeanMaloney"
"Sueserino4ny",4,"RepSeanMaloney"
"ThisWeekABC",4,"RepSeanMaloney"
"TuckerCarlson",4,"RepSeanMaloney"
"AAUW",3,"RepSeanMaloney"
"ArmyWP_Football",3,"RepSeanMaloney"
"BennieGThompson",3,"RepSeanMaloney"
"CapitalTonight",3,"RepSeanMaloney"
"ChrisGibsonNY",3,"RepSeanMaloney"
"COPSOffice",3,"RepSeanMaloney"
"cornerstonefh",3,"RepSeanMaloney"
"coynereports",3,"RepSeanMaloney"
"CQnow",3,"RepSeanMaloney"
"CraigCaplan",3,"RepSeanMaloney"
"DAVHQ",3,"RepSeanMaloney"
"FoxNews",3,"RepSeanMaloney"
"GoshenChamberNY",3,"RepSeanMaloney"
"GreenChimneys",3,"RepSeanMaloney"
"GStephanopoulos",3,"RepSeanMaloney"
"HoyerPress",3,"RepSeanMaloney"
"HRHousingYouth",3,"RepSeanMaloney"
"HVnewsnetwork",3,"RepSeanMaloney"
"jahimes",3,"RepSeanMaloney"
"JamesSkoufis",3,"RepSeanMaloney"
"JBMinier",3,"RepSeanMaloney"
"MichaelSteele",3,"RepSeanMaloney"
"mseideman",3,"RepSeanMaloney"
"NASA",3,"RepSeanMaloney"
"nyspolice",3,"RepSeanMaloney"
"ODFMC",3,"RepSeanMaloney"
"OrangeNY",3,"RepSeanMaloney"
