"Hashtag","Frequency","screen_name"
"FutureForum",132,"RepSwalwell"
"RussianHacking",124,"RepSwalwell"
"TrumpRussia",124,"RepSwalwell"
"ProtectOurDemocracy",107,"RepSwalwell"
"CA15",46,"RepSwalwell"
"WeAreAlreadyGreat",37,"RepSwalwell"
"GOPTaxScam",33,"RepSwalwell"
"studentdebt",30,"RepSwalwell"
"gunviolence",28,"RepSwalwell"
"millennials",25,"RepSwalwell"
"NoBillNoBreak",24,"RepSwalwell"
"ProtectOurCare",23,"RepSwalwell"
"ACA",20,"RepSwalwell"
"TrumpCare",20,"RepSwalwell"
"ComeyHearing",19,"RepSwalwell"
"DisarmHate",18,"RepSwalwell"
"DubNation",18,"RepSwalwell"
"Periscope",18,"RepSwalwell"
"RussiaHacking",15,"RepSwalwell"
"MuslimBan",14,"RepSwalwell"
"HR6447",13,"RepSwalwell"
"Hayward",12,"RepSwalwell"
"Trumpcare",12,"RepSwalwell"
"MyHealthMyFuture",11,"RepSwalwell"
"ParklandTownHall",11,"RepSwalwell"
"StudentsDemandAction",11,"RepSwalwell"
"DebtFreeWishList",9,"RepSwalwell"
"FutureForUs",9,"RepSwalwell"
"resist",9,"RepSwalwell"
"CongressOnYourCorner",8,"RepSwalwell"
"DACA",8,"RepSwalwell"
"DREAMers",8,"RepSwalwell"
"TalkAboutItNow",8,"RepSwalwell"
"BREAKING",7,"RepSwalwell"
"CA15proud",7,"RepSwalwell"
"EnoughIsEnough",7,"RepSwalwell"
"NBAFinals",7,"RepSwalwell"
"Sessions",7,"RepSwalwell"
"ACARepeal",6,"RepSwalwell"
"ComeyFiring",6,"RepSwalwell"
"Dreamers",6,"RepSwalwell"
"FreedomToDream",6,"RepSwalwell"
"inaug2017",6,"RepSwalwell"
"InYourShoes",6,"RepSwalwell"
"Millennials",6,"RepSwalwell"
"PayMoreForLess",6,"RepSwalwell"
"RussiaInvestigation",6,"RepSwalwell"
"russianhacking",6,"RepSwalwell"
"Zika",6,"RepSwalwell"
"DREAMact",5,"RepSwalwell"
"FlynnResigns",5,"RepSwalwell"
"LasVegas",5,"RepSwalwell"
"NiceAttack",5,"RepSwalwell"
"SessionsHearing",5,"RepSwalwell"
"Studentdebt",5,"RepSwalwell"
"StudentDebt",5,"RepSwalwell"
"CES2017",4,"RepSwalwell"
"climatechange",4,"RepSwalwell"
"DREAMAct",4,"RepSwalwell"
"MakeAmericaSickAgain",4,"RepSwalwell"
"NoFlyNoBuy",4,"RepSwalwell"
"NorthKorea",4,"RepSwalwell"
"RaiderNation",4,"RepSwalwell"
"TrumpThreat",4,"RepSwalwell"
"AskDems",3,"RepSwalwell"
"BanBannon",3,"RepSwalwell"
"BeliEVEN",3,"RepSwalwell"
"BlackLivesMatter",3,"RepSwalwell"
"BrokenPromises",3,"RepSwalwell"
"CHIP",3,"RepSwalwell"
"debtfreewishlist",3,"RepSwalwell"
"DownWithDebt",3,"RepSwalwell"
"DoYourJob",3,"RepSwalwell"
"Election2016",3,"RepSwalwell"
"HikeWithYourRep",3,"RepSwalwell"
"HoldTheFloor",3,"RepSwalwell"
"immigration",3,"RepSwalwell"
"Irma",3,"RepSwalwell"
"Livermore",3,"RepSwalwell"
"Medicare",3,"RepSwalwell"
"millennial",3,"RepSwalwell"
"NationalNightOut",3,"RepSwalwell"
"NBAFinals2017",3,"RepSwalwell"
"NoRussiaRewards",3,"RepSwalwell"
"NunesRecusal",3,"RepSwalwell"
"NYCExplosion",3,"RepSwalwell"
"PuertoRico",3,"RepSwalwell"
"RefugeesWelcome",3,"RepSwalwell"
"SanRamon",3,"RepSwalwell"
"SCOTUS",3,"RepSwalwell"
"SFO",3,"RepSwalwell"
"SFPride",3,"RepSwalwell"
"ShopSmall",3,"RepSwalwell"
"sitin",3,"RepSwalwell"
"sotu",3,"RepSwalwell"
"StandWithNancy",3,"RepSwalwell"
"StrongerAmerica",3,"RepSwalwell"
"studentloan",3,"RepSwalwell"
"TBT",3,"RepSwalwell"
"Trump",3,"RepSwalwell"
"TrumpBudget",3,"RepSwalwell"
"VeteransDay",3,"RepSwalwell"
"WomensMarch",3,"RepSwalwell"
"ABetterDeal",2,"RepSwalwell"
"ACAworks",2,"RepSwalwell"
"AltonSterling",2,"RepSwalwell"
"Atlanta",2,"RepSwalwell"
"BastilleDay",2,"RepSwalwell"
"BatonRouge",2,"RepSwalwell"
"BayAreaProud",2,"RepSwalwell"
"Berlin",2,"RepSwalwell"
"ca15",2,"RepSwalwell"
"CarterPage",2,"RepSwalwell"
"CastroValley",2,"RepSwalwell"
"CBO",2,"RepSwalwell"
"Charlottesville",2,"RepSwalwell"
"CloseTheLoophole",2,"RepSwalwell"
