"Mention","Frequency","screen_name"
"POTUS",78,"RepTedLieu"
"realDonaldTrump",78,"RepTedLieu"
"HouseGOP",51,"RepTedLieu"
"RepTedLieu",39,"RepTedLieu"
"HouseDemocrats",30,"RepTedLieu"
"MSNBC",23,"RepTedLieu"
"OversightDems",20,"RepTedLieu"
"RepRubenGallego",18,"RepTedLieu"
"UCLA",17,"RepTedLieu"
"Participant",16,"RepTedLieu"
"GOPoversight",15,"RepTedLieu"
"thehill",15,"RepTedLieu"
"HouseJudiciary",14,"RepTedLieu"
"SpeakerRyan",14,"RepTedLieu"
"PPFA",12,"RepTedLieu"
"TheFostersTV",12,"RepTedLieu"
"EPA",11,"RepTedLieu"
"FreeformTV",11,"RepTedLieu"
"allinwithchris",10,"RepTedLieu"
"CNN",10,"RepTedLieu"
"DeptVetAffairs",10,"RepTedLieu"
"LGBTEqCaucus",10,"RepTedLieu"
"HouseJudDems",9,"RepTedLieu"
"HRC",8,"RepTedLieu"
"NancyPelosi",8,"RepTedLieu"
"SenWhitehouse",8,"RepTedLieu"
"CAPAC",7,"RepTedLieu"
"Pontifex",7,"RepTedLieu"
"santamonicacity",7,"RepTedLieu"
"SenMarkey",7,"RepTedLieu"
"chrislhayes",6,"RepTedLieu"
"exxonmobil",6,"RepTedLieu"
"GOP",6,"RepTedLieu"
"HouseForeign",6,"RepTedLieu"
"NOAA",6,"RepTedLieu"
"RepJeffries",6,"RepTedLieu"
"SecretaryZinke",6,"RepTedLieu"
"SEEC",6,"RepTedLieu"
"StateDept",6,"RepTedLieu"
"usairforce",6,"RepTedLieu"
"USProgressives",6,"RepTedLieu"
"60Minutes",5,"RepTedLieu"
"CAincline",5,"RepTedLieu"
"CaucusOnClimate",5,"RepTedLieu"
"CFPB",5,"RepTedLieu"
"CoveredCA",5,"RepTedLieu"
"cspanwj",5,"RepTedLieu"
"DrugPolicyOrg",5,"RepTedLieu"
"HFACDemocrats",5,"RepTedLieu"
"HouseBudgetDems",5,"RepTedLieu"
"JohnBerman",5,"RepTedLieu"
"merchantsdoubt",5,"RepTedLieu"
"pivot",5,"RepTedLieu"
"RepEdRoyce",5,"RepTedLieu"
"RepRaskin",5,"RepTedLieu"
"SalamNeighbor",5,"RepTedLieu"
"TheJusticeDept",5,"RepTedLieu"
"DeptofDefense",4,"RepTedLieu"
"FBI",4,"RepTedLieu"
"FosterShareKevi",4,"RepTedLieu"
"HumaneSociety",4,"RepTedLieu"
"JudgeTedPoe",4,"RepTedLieu"
"KevinMcKeownSM",4,"RepTedLieu"
"latimes",4,"RepTedLieu"
"NaomiOreskes",4,"RepTedLieu"
"NatlParkService",4,"RepTedLieu"
"nytimes",4,"RepTedLieu"
"PattyMurray",4,"RepTedLieu"
"PPact",4,"RepTedLieu"
"RepCicilline",4,"RepTedLieu"
"RepDonBeyer",4,"RepTedLieu"
"RepEliotEngel",4,"RepTedLieu"
"RepJerryNadler",4,"RepTedLieu"
"RepTomMarino",4,"RepTedLieu"
"RepZoeLofgren",4,"RepTedLieu"
"SierraClub",4,"RepTedLieu"
"TakePart",4,"RepTedLieu"
"WhiteHouse",4,"RepTedLieu"
"1gregdotson",3,"RepTedLieu"
"AAAJ_LA",3,"RepTedLieu"
"AF_Academy",3,"RepTedLieu"
"AGSchneiderman",3,"RepTedLieu"
"algore",3,"RepTedLieu"
"AliVelshi",3,"RepTedLieu"
"ametsoc",3,"RepTedLieu"
"amprog",3,"RepTedLieu"
"BetsyDeVos",3,"RepTedLieu"
"bobinglis",3,"RepTedLieu"
"CNBC",3,"RepTedLieu"
"cnni",3,"RepTedLieu"
"CNNnewsroom",3,"RepTedLieu"
"CWLAofficial",3,"RepTedLieu"
"DHSgov",3,"RepTedLieu"
"Dodgers",3,"RepTedLieu"
"FCC",3,"RepTedLieu"
"GlblCtzn",3,"RepTedLieu"
"Google",3,"RepTedLieu"
"Lexie_Gruber",3,"RepTedLieu"
"LosAngelesVA",3,"RepTedLieu"
"NavalAcademy",3,"RepTedLieu"
"NEAarts",3,"RepTedLieu"
"NFYInstitute",3,"RepTedLieu"
"NLADA",3,"RepTedLieu"
"PeterWelch",3,"RepTedLieu"
"PoppyHarlowCNN",3,"RepTedLieu"
"Pretrial",3,"RepTedLieu"
"Refugees",3,"RepTedLieu"
"RepBonnie",3,"RepTedLieu"
"RepCummings",3,"RepTedLieu"
"RepJohnConyers",3,"RepTedLieu"
"RepLawrence",3,"RepTedLieu"
"RepMaloney",3,"RepTedLieu"
"RepMikeHonda",3,"RepTedLieu"
"RepTomPrice",3,"RepTedLieu"
"RosLehtinen",3,"RepTedLieu"
"sacbee_news",3,"RepTedLieu"
"SantaMonicaMtns",3,"RepTedLieu"
"SenateGOP",3,"RepTedLieu"
"SenFeinstein",3,"RepTedLieu"
"Snapchat",3,"RepTedLieu"
"splcenter",3,"RepTedLieu"
"StaceyPlaskett",3,"RepTedLieu"
"theActorsGang",3,"RepTedLieu"
"USCBO",3,"RepTedLieu"
"USCIS",3,"RepTedLieu"
"usedgov",3,"RepTedLieu"
"washingtonpost",3,"RepTedLieu"
"WestPoint_USMA",3,"RepTedLieu"
"WhipHoyer",3,"RepTedLieu"
"1001_MEDIA",2,"RepTedLieu"
"ACLU",2,"RepTedLieu"
"aitruthfilm",2,"RepTedLieu"
"AP",2,"RepTedLieu"
"BarackObama",2,"RepTedLieu"
"BillNye",2,"RepTedLieu"
"Boeing",2,"RepTedLieu"
"CalPERS",2,"RepTedLieu"
"CAPenergypolicy",2,"RepTedLieu"
"CBSNews",2,"RepTedLieu"
"CDCgov",2,"RepTedLieu"
"ChrisMurphyCT",2,"RepTedLieu"
"Christemple8",2,"RepTedLieu"
"CongressionalAC",2,"RepTedLieu"
"CoryBooker",2,"RepTedLieu"
