"Hashtag","Frequency","screen_name"
"Trumpcare",38,"RepValDemings"
"BlackHistoryMonth",27,"RepValDemings"
"ACA",22,"RepValDemings"
"GOPTaxScam",21,"RepValDemings"
"HurricaneIrma",18,"RepValDemings"
"GetCovered",15,"RepValDemings"
"ProtectOurCare",14,"RepValDemings"
"TrumpCare",14,"RepValDemings"
"DREAMers",13,"RepValDemings"
"OrlandoUnited",12,"RepValDemings"
"PayMoreForLess",12,"RepValDemings"
"Irma",10,"RepValDemings"
"Pulse",10,"RepValDemings"
"SOTU",10,"RepValDemings"
"NoBanNoWall",9,"RepValDemings"
"InternationalWomensDay",8,"RepValDemings"
"OrlandoUnitedDay",8,"RepValDemings"
"Florida",7,"RepValDemings"
"TrumpShutdown",7,"RepValDemings"
"WrongChoiceAct",7,"RepValDemings"
"OTD",6,"RepValDemings"
"WomensHistoryMonth",6,"RepValDemings"
"Flynn",5,"RepValDemings"
"Medicare",5,"RepValDemings"
"Orlando",5,"RepValDemings"
"PuertoRico",5,"RepValDemings"
"SaveTPS",5,"RepValDemings"
"Trump",5,"RepValDemings"
"ActOnClimate",4,"RepValDemings"
"BlackWomensEqualPay",4,"RepValDemings"
"DoYourJob",4,"RepValDemings"
"ENDALZ",4,"RepValDemings"
"FlaPol",4,"RepValDemings"
"GunReformNow",4,"RepValDemings"
"JointSession",4,"RepValDemings"
"NetNeutrality",4,"RepValDemings"
"NeverAgain",4,"RepValDemings"
"ProtectDREAMers",4,"RepValDemings"
"ProtectOurDemocracy",4,"RepValDemings"
"Russia",4,"RepValDemings"
"TownHall",4,"RepValDemings"
"Trump100Days",4,"RepValDemings"
"TrumpBudget",4,"RepValDemings"
"TrumpRussia",4,"RepValDemings"
"USSGabrielleGiffords",4,"RepValDemings"
"WhiteHouse",4,"RepValDemings"
"WomensMarch",4,"RepValDemings"
"ACARepeal",3,"RepValDemings"
"AHCA",3,"RepValDemings"
"BringBackOurGirls",3,"RepValDemings"
"DefendDACA",3,"RepValDemings"
"DisarmHate",3,"RepValDemings"
"DREAMAct",3,"RepValDemings"
"EqualPayDay",3,"RepValDemings"
"FL",3,"RepValDemings"
"GVRO",3,"RepValDemings"
"Jointsession",3,"RepValDemings"
"Medicaid",3,"RepValDemings"
"MemorialDay",3,"RepValDemings"
"MothersDay",3,"RepValDemings"
"NationalPoliceWeek",3,"RepValDemings"
"OrlandoStrong",3,"RepValDemings"
"ParisAgreement",3,"RepValDemings"
"ParklandStudentsSpeak",3,"RepValDemings"
"POTUS",3,"RepValDemings"
"RestoreTheVote",3,"RepValDemings"
"SanctuaryCities",3,"RepValDemings"
"sayfie",3,"RepValDemings"
"Selma52",3,"RepValDemings"
"shutdown",3,"RepValDemings"
"StateOfTheUnion",3,"RepValDemings"
"StayWoke",3,"RepValDemings"
"TBT",3,"RepValDemings"
"TrumpCuts",3,"RepValDemings"
"veterans",3,"RepValDemings"
"VoteNoAHCA",3,"RepValDemings"
"WearOrange",3,"RepValDemings"
"woke100",3,"RepValDemings"
"ABetterDeal",2,"RepValDemings"
"bipartisan",2,"RepValDemings"
"BREAKING",2,"RepValDemings"
"BrokenPromises",2,"RepValDemings"
"CensureTrump",2,"RepValDemings"
