"Hashtag","Frequency","screen_name"
"TX33",373,"RepVeasey"
"MMB",237,"RepVeasey"
"FortWorth",80,"RepVeasey"
"DFW",70,"RepVeasey"
"OTD",52,"RepVeasey"
"Dallas",48,"RepVeasey"
"ACA",46,"RepVeasey"
"COYC",40,"RepVeasey"
"GetCovered",38,"RepVeasey"
"CIR",37,"RepVeasey"
"SCOTUS",21,"RepVeasey"
"Texas",20,"RepVeasey"
"BHM2015",19,"RepVeasey"
"VeaseyJobFair",18,"RepVeasey"
"VRA",18,"RepVeasey"
"DACA",15,"RepVeasey"
"Irving",15,"RepVeasey"
"MarcMeansBusiness",15,"RepVeasey"
"DYK",14,"RepVeasey"
"jobs",14,"RepVeasey"
"OakCliff",13,"RepVeasey"
"OdomsBBQ",13,"RepVeasey"
"SNAP",13,"RepVeasey"
"RestoreTheVRA",12,"RepVeasey"
"TimeIsNow",12,"RepVeasey"
"BHM",11,"RepVeasey"
"CVRC",11,"RepVeasey"
"DREAMers",11,"RepVeasey"
"Latism",11,"RepVeasey"
"votingrights",11,"RepVeasey"
"WestDallas",11,"RepVeasey"
"RaiseTheWage",10,"RepVeasey"
"timeisnow",10,"RepVeasey"
"TX",10,"RepVeasey"
"Umatter",10,"RepVeasey"
"VRA1982",10,"RepVeasey"
"BlackWomenEqualPay",9,"RepVeasey"
"CD33",9,"RepVeasey"
"CoffeeWithYourCongressman",9,"RepVeasey"
"CongressOnYourCorner",9,"RepVeasey"
"GOPBudget",9,"RepVeasey"
"HHM",9,"RepVeasey"
"Trumpcare",9,"RepVeasey"
"DC",8,"RepVeasey"
"Education",8,"RepVeasey"
"GOPTaxScam",8,"RepVeasey"
"ProtectDREAMers",8,"RepVeasey"
"SOTU",8,"RepVeasey"
"DisarmHate",7,"RepVeasey"
"EqualPay",7,"RepVeasey"
"GiveUsTheBallot",7,"RepVeasey"
"LetsMove",7,"RepVeasey"
"Medicaid",7,"RepVeasey"
"Niger",7,"RepVeasey"
"STEM",7,"RepVeasey"
"thankSAll",7,"RepVeasey"
"TrumpCare",7,"RepVeasey"
"ABetterDeal",6,"RepVeasey"
"AskDems",6,"RepVeasey"
"CommunityFitnessDay",6,"RepVeasey"
"Dreamers",6,"RepVeasey"
"EvansPlaza",6,"RepVeasey"
"ImmigrationReform",6,"RepVeasey"
"Juneteenth",6,"RepVeasey"
"LGBT",6,"RepVeasey"
"Medicare",6,"RepVeasey"
"Metroplex",6,"RepVeasey"
"MiddleClassFirst",6,"RepVeasey"
"SBAForum",6,"RepVeasey"
"TrumpShutdown",6,"RepVeasey"
"Veterans",6,"RepVeasey"
"VotingRights",6,"RepVeasey"
"BearCreek",5,"RepVeasey"
"CBCtalks",5,"RepVeasey"
"Congress",5,"RepVeasey"
"CongressOnYourCommute",5,"RepVeasey"
"DallasStrong",5,"RepVeasey"
"DefendDACA",5,"RepVeasey"
"DREAM",5,"RepVeasey"
"economy",5,"RepVeasey"
"EqualPayDay",5,"RepVeasey"
"FutureForum",5,"RepVeasey"
"HealthFit15",5,"RepVeasey"
"ImmigrantHeritageMonth",5,"RepVeasey"
"IStandWithPP",5,"RepVeasey"
"MedicareMedicaid50",5,"RepVeasey"
"OpenEnrollment",5,"RepVeasey"
"RestoretheVRA",5,"RepVeasey"
"TBT",5,"RepVeasey"
"veterans",5,"RepVeasey"
"VeteransDay",5,"RepVeasey"
"VoterID",5,"RepVeasey"
"welcomeus",5,"RepVeasey"
"AlconEyecare",4,"RepVeasey"
"America",4,"RepVeasey"
"Asegúrate",4,"RepVeasey"
"BlackWomensEqualPay",4,"RepVeasey"
"budget",4,"RepVeasey"
"CoachHughes",4,"RepVeasey"
"CommunityOfficeHours",4,"RepVeasey"
"CongressionalArtCompetition",4,"RepVeasey"
"CVRCLaunch",4,"RepVeasey"
"DemandAVote",4,"RepVeasey"
"DoYourJob",4,"RepVeasey"
"equalpay",4,"RepVeasey"
"FW",4,"RepVeasey"
"GrandPrairie",4,"RepVeasey"
"HHM2014",4,"RepVeasey"
"immigration",4,"RepVeasey"
"lunch",4,"RepVeasey"
"MemorialDay",4,"RepVeasey"
"MIHAFM17",4,"RepVeasey"
"MoveInMay",4,"RepVeasey"
"NeverForget",4,"RepVeasey"
"NigerAmbush",4,"RepVeasey"
"NoBanNoWall",4,"RepVeasey"
"NoFlyNoBuy",4,"RepVeasey"
"PeopleNotPolitics",4,"RepVeasey"
"ProtectOurCare",4,"RepVeasey"
"RenewUI",4,"RepVeasey"
"SaveTPS",4,"RepVeasey"
"SmallBiz",4,"RepVeasey"
"snapchallenge",4,"RepVeasey"
"SNAPChallenge",4,"RepVeasey"
"SocialSecurity",4,"RepVeasey"
"StandWithPP",4,"RepVeasey"
"TeenSummit",4,"RepVeasey"
"Thanksgiving",4,"RepVeasey"
"Veteran",4,"RepVeasey"
"American",3,"RepVeasey"
"AmericanHopeAct",3,"RepVeasey"
"AskRepVeasey",3,"RepVeasey"
"AYearOfTrump",3,"RepVeasey"
"CHIP",3,"RepVeasey"
"CincoDeMayo",3,"RepVeasey"
"CookingwithyourCongressman",3,"RepVeasey"
"CookingWithYourCongressman",3,"RepVeasey"
"DontShutDownOurSecurity",3,"RepVeasey"
"DREAMAct",3,"RepVeasey"
"education",3,"RepVeasey"
"EqualPayCantWait",3,"RepVeasey"
"Exchange",3,"RepVeasey"
"ExchangeAssoc",3,"RepVeasey"
"F35",3,"RepVeasey"
"FarmBill",3,"RepVeasey"
"FarmersMarket",3,"RepVeasey"
"frightfest",3,"RepVeasey"
"FutureForumDFW",3,"RepVeasey"
"FWISD",3,"RepVeasey"
"GetCoveredNow",3,"RepVeasey"
"GOPshutdown",3,"RepVeasey"
"HB2",3,"RepVeasey"
"Health",3,"RepVeasey"
"HoldAVote",3,"RepVeasey"
