"Hashtag","Frequency","screen_name"
"BrooklynResists",150,"RepYvetteClarke"
"Trumpcare",119,"RepYvetteClarke"
"MuslimBan",71,"RepYvetteClarke"
"ACA",42,"RepYvetteClarke"
"BlackHistoryMonth",24,"RepYvetteClarke"
"Sessions",20,"RepYvetteClarke"
"TrumpCare",20,"RepYvetteClarke"
"SaveTPS",18,"RepYvetteClarke"
"Brooklyn",16,"RepYvetteClarke"
"TrumpCuts",15,"RepYvetteClarke"
"GOPTaxScam",13,"RepYvetteClarke"
"LGBT",13,"RepYvetteClarke"
"PayMoreForLess",13,"RepYvetteClarke"
"WomensMarch",12,"RepYvetteClarke"
"NoBanNoWallNoRaids",11,"RepYvetteClarke"
"DACA",10,"RepYvetteClarke"
"SOTU",10,"RepYvetteClarke"
"BHM",9,"RepYvetteClarke"
"BlackWomensEqualPay",9,"RepYvetteClarke"
"DefendDACA",9,"RepYvetteClarke"
"DREAMers",9,"RepYvetteClarke"
"MuslimBan2",9,"RepYvetteClarke"
"Trump100Days",9,"RepYvetteClarke"
"ACA7",8,"RepYvetteClarke"
"AHCA",8,"RepYvetteClarke"
"boycotttheinauguration",8,"RepYvetteClarke"
"ProtectOurCare",8,"RepYvetteClarke"
"StayWoke",8,"RepYvetteClarke"
"ASPIRETPS",7,"RepYvetteClarke"
"BlackWomenAtWorkBK",7,"RepYvetteClarke"
"NetNeutrality",7,"RepYvetteClarke"
"BlackLivesMatter",6,"RepYvetteClarke"
"climatechange",6,"RepYvetteClarke"
"NeilGorsuch",6,"RepYvetteClarke"
"Putin",6,"RepYvetteClarke"
"StandWithPP",6,"RepYvetteClarke"
"WrongChoiceAct",6,"RepYvetteClarke"
"BlackWomenLead",5,"RepYvetteClarke"
"boycotttrump",5,"RepYvetteClarke"
"BrooklynStandUp",5,"RepYvetteClarke"
"ConsumersFirst",5,"RepYvetteClarke"
"FollowTheFacts",5,"RepYvetteClarke"
"NYC",5,"RepYvetteClarke"
"SayHisName",5,"RepYvetteClarke"
"SCOTUS",5,"RepYvetteClarke"
"WomensHistoryMonth",5,"RepYvetteClarke"
"Bannon",4,"RepYvetteClarke"
"Charlottesville",4,"RepYvetteClarke"
"ComeyHearing",4,"RepYvetteClarke"
"GetCovered",4,"RepYvetteClarke"
"Gorsuch",4,"RepYvetteClarke"
"imageawards",4,"RepYvetteClarke"
"MakeAmericaSickAgain",4,"RepYvetteClarke"
"Medicaid",4,"RepYvetteClarke"
"NotTheEnemy",4,"RepYvetteClarke"
"NY09",4,"RepYvetteClarke"
"NY9TaxScamTeachIn",4,"RepYvetteClarke"
"Oscars",4,"RepYvetteClarke"
"ParisAgreement",4,"RepYvetteClarke"
"RootOutRacism",4,"RepYvetteClarke"
"SallyYates",4,"RepYvetteClarke"
"StudentsDemandAction",4,"RepYvetteClarke"
"TPS",4,"RepYvetteClarke"
"ActonClimate",3,"RepYvetteClarke"
"alternativefacts",3,"RepYvetteClarke"
