"Hashtag","Frequency","screen_name"
"copolitics",74,"jaredpolis"
"lgbt",34,"jaredpolis"
"fracking",30,"jaredpolis"
"boulder",23,"jaredpolis"
"Boulder",23,"jaredpolis"
"marijuana",23,"jaredpolis"
"colorado",19,"jaredpolis"
"LGBT",19,"jaredpolis"
"coleg",18,"jaredpolis"
"Colorado",18,"jaredpolis"
"baseball",16,"jaredpolis"
"edreform",16,"jaredpolis"
"CNBCGOPDebate",13,"jaredpolis"
"quotes",13,"jaredpolis"
"immigration",11,"jaredpolis"
"DACA",10,"jaredpolis"
"hemp",10,"jaredpolis"
"coloradoflood",9,"jaredpolis"
"GOPDebate",9,"jaredpolis"
"bitcoin",8,"jaredpolis"
"LGBTQ",8,"jaredpolis"
"FortCollins",7,"jaredpolis"
"NetNeutrality",7,"jaredpolis"
"publiclands",7,"jaredpolis"
"StartupDay",7,"jaredpolis"
"CO",6,"jaredpolis"
"Orlando",6,"jaredpolis"
"ENDA",5,"jaredpolis"
"ESEA",5,"jaredpolis"
"jewish",5,"jaredpolis"
"Rockies",5,"jaredpolis"
"shutdown",5,"jaredpolis"
"TPP",5,"jaredpolis"
"boulderflood",4,"jaredpolis"
"Broncos",4,"jaredpolis"
"fortcollins",4,"jaredpolis"
"Hemp",4,"jaredpolis"
"innovation",4,"jaredpolis"
"Jewish",4,"jaredpolis"
"NSA",4,"jaredpolis"
"RefugeesWelcome",4,"jaredpolis"
"SCOTUS",4,"jaredpolis"
"timeisnow",4,"jaredpolis"
"AmericaWelcomes",3,"jaredpolis"
"Bitcoin",3,"jaredpolis"
"broncos",3,"jaredpolis"
"CIR",3,"jaredpolis"
"climatechange",3,"jaredpolis"
"COpolitics",3,"jaredpolis"
"COPolitics",3,"jaredpolis"
"CUBoulder",3,"jaredpolis"
"DAPA",3,"jaredpolis"
"debatenight",3,"jaredpolis"
"demandavote",3,"jaredpolis"
"Denver",3,"jaredpolis"
"DNCinPHL",3,"jaredpolis"
"edcolo",3,"jaredpolis"
"ESSA",3,"jaredpolis"
"FDA",3,"jaredpolis"
"FoCo",3,"jaredpolis"
"Fracking",3,"jaredpolis"
"FTC",3,"jaredpolis"
"kombucha",3,"jaredpolis"
"LiftMyLamp",3,"jaredpolis"
"Loveland",3,"jaredpolis"
"LoveWins",3,"jaredpolis"
"NSAhaiku",3,"jaredpolis"
"PassENDA",3,"jaredpolis"
"refugees",3,"jaredpolis"
"startup",3,"jaredpolis"
"THANKYOU",3,"jaredpolis"
"ArapahoeHigh",2,"jaredpolis"
"askjared",2,"jaredpolis"
"brooklyn",2,"jaredpolis"
"broomfield",2,"jaredpolis"
"charterschools",2,"jaredpolis"
"christmasspirit",2,"jaredpolis"
"clearcreek",2,"jaredpolis"
"CoContinentalDivide",2,"jaredpolis"
"coessa",2,"jaredpolis"
"coflood",2,"jaredpolis"
"cofloods",2,"jaredpolis"
"COGov",2,"jaredpolis"
"COleg",2,"jaredpolis"
"congress",2,"jaredpolis"
"Congress",2,"jaredpolis"
"copols",2,"jaredpolis"
"DAPL",2,"jaredpolis"
"debates",2,"jaredpolis"
"Debates2016",2,"jaredpolis"
"DREAMer",2,"jaredpolis"
"dreamers",2,"jaredpolis"
"EarthDay",2,"jaredpolis"
"entrepreneurship",2,"jaredpolis"
"ff",2,"jaredpolis"
"gaydar",2,"jaredpolis"
"Gia",2,"jaredpolis"
"GMO",2,"jaredpolis"
"GoOpen",2,"jaredpolis"
"GOP",2,"jaredpolis"
"GOPshutdown",2,"jaredpolis"
"GOPShutdown",2,"jaredpolis"
"grammar",2,"jaredpolis"
"HempOnTheHill",2,"jaredpolis"
"Iamwithher",2,"jaredpolis"
"IfTheyGunnedMeDown",2,"jaredpolis"
"Immigration",2,"jaredpolis"
"ImmigrationReform",2,"jaredpolis"
"ImWithHer",2,"jaredpolis"
"INDfbn",2,"jaredpolis"
"jaredcaucus",2,"jaredpolis"
"jaredpolisquote",2,"jaredpolis"
"jaredpolisquotes",2,"jaredpolis"
"jeffco",2,"jaredpolis"
"JeffCoSchoolBoardHistory",2,"jaredpolis"
"JewishNewYear",2,"jaredpolis"
"JointAddress",2,"jaredpolis"
"loveland",2,"jaredpolis"
"MailedIt",2,"jaredpolis"
"NationalPuppyDay",2,"jaredpolis"
"NDAA",2,"jaredpolis"
"NoBanNoWall",2,"jaredpolis"
"OER",2,"jaredpolis"
"Olympics2014",2,"jaredpolis"
"orlando",2,"jaredpolis"
"ParentsSay",2,"jaredpolis"
"PBCDEN",2,"jaredpolis"
"Pennsylvania",2,"jaredpolis"
"Periscope",2,"jaredpolis"
"privacy",2,"jaredpolis"
"QuoteOfTheDay",2,"jaredpolis"
"Quotes",2,"jaredpolis"
"science",2,"jaredpolis"
"SOTU",2,"jaredpolis"
"spill",2,"jaredpolis"
"ssdedu",2,"jaredpolis"
"startups",2,"jaredpolis"
"strawman",2,"jaredpolis"
"StudentDataPrivacy",2,"jaredpolis"
"TakeItDown",2,"jaredpolis"
