"Hashtag","Frequency","screen_name"
"DemsTour",16,"keithellison"
"GOPTaxScam",11,"keithellison"
"DreamActNow",7,"keithellison"
"NetNeutrality",6,"keithellison"
"SKOL",5,"keithellison"
"TrumpCare",4,"keithellison"
"ResistanceSummer",3,"keithellison"
"ResistenceSummer",3,"keithellison"
"STL",3,"keithellison"
"WhoDatNation",3,"keithellison"
"ACA",2,"keithellison"
"BlackHistoryMonth",2,"keithellison"
"Fightfor15",2,"keithellison"
"GetCovered",2,"keithellison"
"GetCoveredNow",2,"keithellison"
"JemeleWasRight",2,"keithellison"
"LaborDay2017",2,"keithellison"
"LiarInChief",2,"keithellison"
"MuslimBan",2,"keithellison"
"refugees",2,"keithellison"
"SOTU",2,"keithellison"
"TheResistance",2,"keithellison"
"Trumpcare",2,"keithellison"
"WomensMarch2018",2,"keithellison"
"WRD2017",2,"keithellison"
"BringBackOurGirls",1,"keithellison"
"CAPIdeas",1,"keithellison"
"CBCFALC2017",1,"keithellison"
"ChristianNHstrike",1,"keithellison"
"CleanDreamAct",1,"keithellison"
"CleanDreamActNOW",1,"keithellison"
"CleanPowerPlan",1,"keithellison"
"COP23",1,"keithellison"
"DACA",1,"keithellison"
"DefendDACA",1,"keithellison"
"DefendDreamers",1,"keithellison"
"democratslive",1,"keithellison"
"demtour",1,"keithellison"
"doddfrankrepeal",1,"keithellison"
"DreamAct",1,"keithellison"
"ElectionDay",1,"keithellison"
"ENDALZ",1,"keithellison"
"EqualPayDay",1,"keithellison"
"EricaGarner",1,"keithellison"
"fastagainsttheslow",1,"keithellison"
"FightFamine",1,"keithellison"
"FilibusterGorsuch",1,"keithellison"
"FinancialCHOICEAct",1,"keithellison"
"flintmovie",1,"keithellison"
"FlintWaterCrisis",1,"keithellison"
"GOPTaxBill",1,"keithellison"
"GOTV",1,"keithellison"
"GrahamCasiddy",1,"keithellison"
"GrahamCassidy",1,"keithellison"
"Heather",1,"keithellison"
"HereToStay",1,"keithellison"
"HR38",1,"keithellison"
"immigration",1,"keithellison"
"interfaith",1,"keithellison"
"IStandWithWorkers",1,"keithellison"
"KeepKeithDancing",1,"keithellison"
"MAGA",1,"keithellison"
"MayoGreed",1,"keithellison"
"Minneapolis",1,"keithellison"
"MLK",1,"keithellison"
"MNVikings",1,"keithellison"
"MomsDemandAction",1,"keithellison"
"NationalComingOutDay",1,"keithellison"
"NN17",1,"keithellison"
"NoNuclearOption",1,"keithellison"
"OffshoreNoMore",1,"keithellison"
"OpenEnrollment",1,"keithellison"
"OurFellowAmericans",1,"keithellison"
"OurHomesOurVoices",1,"keithellison"
"paddleshare",1,"keithellison"
"PaddleShare",1,"keithellison"
"PamosPuebloCarajo",1,"keithellison"
"PoorPeoplesCampaign",1,"keithellison"
"ProtectOurCare",1,"keithellison"
"PulseNightclub",1,"keithellison"
"QuelaPazNoNosMate",1,"keithellison"
"raisethewage",1,"keithellison"
"RaisetheWage",1,"keithellison"
"RefugeesWelcome",1,"keithellison"
"ReleaseTheMemo",1,"keithellison"
"Resist",1,"keithellison"
"Rise",1,"keithellison"
"riseandorganize",1,"keithellison"
"RiseAndOrganize",1,"keithellison"
"risesandorganize",1,"keithellison"
"SaveTheArts",1,"keithellison"
"SinglePayer",1,"keithellison"
"Skol",1,"keithellison"
"Somos11Millones",1,"keithellison"
"standupforscience",1,"keithellison"
"StillIn",1,"keithellison"
"stl",1,"keithellison"
"TBT",1,"keithellison"
"TDOR",1,"keithellison"
"TipTheft",1,"keithellison"
"trumpbudget",1,"keithellison"
"trumpcare2",1,"keithellison"
"trumpcorruption",1,"keithellison"
"turnpablue",1,"keithellison"
"vikings",1,"keithellison"
"VoterSuppression",1,"keithellison"
"VotingRightsMonth",1,"keithellison"
"VRM17",1,"keithellison"
"WhoDat",1,"keithellison"
"WrongChoiceAct",1,"keithellison"
"zerowaste",1,"keithellison"
