"Hashtag","Frequency","screen_name"
"TeamTitus",107,"repdinatitus"
"OnlyInDistrict1",98,"repdinatitus"
"NV01",43,"repdinatitus"
"LasVegas",22,"repdinatitus"
"AAPI",21,"repdinatitus"
"BasinAndRange",21,"repdinatitus"
"DTLV",21,"repdinatitus"
"HomeMeansNV",21,"repdinatitus"
"DACA",20,"repdinatitus"
"Trumpcare",20,"repdinatitus"
"TrumpBudget",19,"repdinatitus"
"LGBT",17,"repdinatitus"
"NV",16,"repdinatitus"
"NVed",16,"repdinatitus"
"ProtectOurCare",16,"repdinatitus"
"GetCovered",14,"repdinatitus"
"Trump",14,"repdinatitus"
"Nevada",13,"repdinatitus"
"DREAMers",12,"repdinatitus"
"GoldButte",11,"repdinatitus"
"NoBanNoWall",11,"repdinatitus"
"NotAWasteland",11,"repdinatitus"
"OnlyinDistrict1",11,"repdinatitus"
"Bad4NV",10,"repdinatitus"
"GrahamCassidyHeller",10,"repdinatitus"
"1October",9,"repdinatitus"
"Budget",9,"repdinatitus"
"GoRebels",9,"repdinatitus"
"Vegas",9,"repdinatitus"
"VegasStrong",9,"repdinatitus"
"PollutingPruitt",8,"repdinatitus"
"smallbiz",8,"repdinatitus"
"KeepFamiliesTogether",7,"repdinatitus"
"MedicareForAll",7,"repdinatitus"
"ATC",6,"repdinatitus"
"ConstantContact",6,"repdinatitus"
"dontprivatizeourskies",6,"repdinatitus"
"DreamAct",6,"repdinatitus"
"LVfoodies",6,"repdinatitus"
"MonumentsForAll",6,"repdinatitus"
"OTD",6,"repdinatitus"
"ProtectDREAMers",6,"repdinatitus"
"SaveACA",6,"repdinatitus"
"SaveRedRock",6,"repdinatitus"
"YuccaMountain",6,"repdinatitus"
"CD1",5,"repdinatitus"
"Equifax",5,"repdinatitus"
"LoveIsLove",5,"repdinatitus"
"ProtectDACA",5,"repdinatitus"
"publiclands",5,"repdinatitus"
"TBT",5,"repdinatitus"
"TrumpShutdown",5,"repdinatitus"
"Veterans",5,"repdinatitus"
"VeteransDay",5,"repdinatitus"
"DreamActNow",4,"repdinatitus"
"equality",4,"repdinatitus"
"GrahamCassidy",4,"repdinatitus"
"InvestinAmerica",4,"repdinatitus"
"KeepItPublic",4,"repdinatitus"
"NevadaDay",4,"repdinatitus"
"nvleg",4,"repdinatitus"
"PassAppealsModNow",4,"repdinatitus"
"SCOTUS",4,"repdinatitus"
"trans",4,"repdinatitus"
"UNLV",4,"repdinatitus"
"WomensMarch2018",4,"repdinatitus"
"1u",3,"repdinatitus"
"BlackHistoryMonth",3,"repdinatitus"
"CareNotChaos",3,"repdinatitus"
"ChineseNewYear",3,"repdinatitus"
"CNY",3,"repdinatitus"
"community",3,"repdinatitus"
"DefendDACA",3,"repdinatitus"
"DefendScience",3,"repdinatitus"
"District1",3,"repdinatitus"
"GiveBack",3,"repdinatitus"
"grandopening",3,"repdinatitus"
"HR3697",3,"repdinatitus"
"HurricaneHarvey",3,"repdinatitus"
"immigration",3,"repdinatitus"
"InternationalWomensDay",3,"repdinatitus"
"KhizrKhan",3,"repdinatitus"
"marijuana",3,"repdinatitus"
"MemorialDay",3,"repdinatitus"
"NevadaNewsmakers",3,"repdinatitus"
"NeverForget",3,"repdinatitus"
"PinkTax",3,"repdinatitus"
"PublicLands",3,"repdinatitus"
"ResistAndPersist",3,"repdinatitus"
"RestoreTheVRA",3,"repdinatitus"
"RTCBikeShare",3,"repdinatitus"
"ThankAVet",3,"repdinatitus"
"trumpcare2",3,"repdinatitus"
"UNLV60",3,"repdinatitus"
"WearOrange",3,"repdinatitus"
"YearoftheRooster",3,"repdinatitus"
"ACA",2,"repdinatitus"
"ActOnClimate",2,"repdinatitus"
"ADA27",2,"repdinatitus"
"APPEX16",2,"repdinatitus"
"art",2,"repdinatitus"
"BasinandRange",2,"repdinatitus"
"BattleBorn",2,"repdinatitus"
"broadbandprivacy",2,"repdinatitus"
"BrokenPromises",2,"repdinatitus"
"Burros",2,"repdinatitus"
"CloseTheGap",2,"repdinatitus"
"ConcealedCarryReciprocity",2,"repdinatitus"
"DACAstory",2,"repdinatitus"
"DACAversary",2,"repdinatitus"
"DAPA",2,"repdinatitus"
"DHS",2,"repdinatitus"
"DistrictOne",2,"repdinatitus"
"Diwali",2,"repdinatitus"
"DontPrivatizeOurSkies",2,"repdinatitus"
"DoYourJob",2,"repdinatitus"
"DREAMERs",2,"repdinatitus"
"drone",2,"repdinatitus"
"EarthDay",2,"repdinatitus"
"EdHero2017",2,"repdinatitus"
"EndGunViolence",2,"repdinatitus"
"Equality",2,"repdinatitus"
"EqualityAct",2,"repdinatitus"
"EqualPay",2,"repdinatitus"
"FestivalofLights",2,"repdinatitus"
"FindYourPark",2,"repdinatitus"
"FlamingoRdOpening",2,"repdinatitus"
"FollowTheFacts",2,"repdinatitus"
"GetMoneyOut",2,"repdinatitus"
"giveback",2,"repdinatitus"
"GlobalGag",2,"repdinatitus"
"Gorsuch",2,"repdinatitus"
"groundbreaking",2,"repdinatitus"
"GunViolence",2,"repdinatitus"
"HappyBirthday",2,"repdinatitus"
"HispanicStudentUnion",2,"repdinatitus"
"HonorThem",2,"repdinatitus"
"HonorWithAction",2,"repdinatitus"
"HouseAppChallenge",2,"repdinatitus"
"IBEW357",2,"repdinatitus"
"Ilocano",2,"repdinatitus"
"Infrastructure",2,"repdinatitus"
"KnowYourRights",2,"repdinatitus"
"LGBTequality",2,"repdinatitus"
"LGBTQ",2,"repdinatitus"
"LVVBF17",2,"repdinatitus"
"medicaltourism",2,"repdinatitus"
"Medicare",2,"repdinatitus"
"MexicanIndependenceDay",2,"repdinatitus"
"MMJ",2,"repdinatitus"
"NationalCatDay",2,"repdinatitus"
"NationalGunViolenceAwarenessDay",2,"repdinatitus"
"NationalMonument",2,"repdinatitus"
"NationalMonuments",2,"repdinatitus"
"NoPlaceForHate",2,"repdinatitus"
"NVLeg",2,"repdinatitus"
"OnlyDistrict1",2,"repdinatitus"
"OnlyInDistrictOne",2,"repdinatitus"
"OpenEnrollment",2,"repdinatitus"
"OpenToAll",2,"repdinatitus"
"Parks101",2,"repdinatitus"
"passappealsmodnow",2,"repdinatitus"
"paygap",2,"repdinatitus"
"PoliticsNow",2,"repdinatitus"
"ProtectGoldButte",2,"repdinatitus"
"ProtectHealthCare",2,"repdinatitus"
"ProtectOurDemocracy",2,"repdinatitus"
"RedRock",2,"repdinatitus"
"RejectMnuchin",2,"repdinatitus"
"resist",2,"repdinatitus"
"ROTC",2,"repdinatitus"
"SandyHook",2,"repdinatitus"
"saveDACA",2,"repdinatitus"
"ScrewNevada",2,"repdinatitus"
"Sessions",2,"repdinatitus"
"ShanahTovah",2,"repdinatitus"
"shoplocal",2,"repdinatitus"
"ShopSmall",2,"repdinatitus"
"SmallBiz",2,"repdinatitus"
"SmallBusinessSaturday",2,"repdinatitus"
"SNPLMA",2,"repdinatitus"
"SNV",2,"repdinatitus"
"StandWithBearsEars",2,"repdinatitus"
"StandWithGavin",2,"repdinatitus"
"StateOfNevada",2,"repdinatitus"
"StateofVegas",2,"repdinatitus"
"STEM",2,"repdinatitus"
"StillIn",2,"repdinatitus"
"StopSessions",2,"repdinatitus"
"StrongerTogether",2,"repdinatitus"
"TDOR",2,"repdinatitus"
"Tourism",2,"repdinatitus"
"TPSElSalvador",2,"repdinatitus"
"TransAwarenessWeek",2,"repdinatitus"
"Transportation",2,"repdinatitus"
"TransRightsAreHumanRights",2,"repdinatitus"
"trumpbudget",2,"repdinatitus"
"UAS",2,"repdinatitus"
"UASI",2,"repdinatitus"
"veterans",2,"repdinatitus"
"WalkForWater",2,"repdinatitus"
"WeNeedNine",2,"repdinatitus"
"WildHorses",2,"repdinatitus"
"WomensMarch",2,"repdinatitus"
"YomKippur",2,"repdinatitus"
"100YearsStrong",1,"repdinatitus"
"115thCongress",1,"repdinatitus"
"153YearsStrong",1,"repdinatitus"
"241NavyBday",1,"repdinatitus"
"30YearReunion",1,"repdinatitus"
"3A",1,"repdinatitus"
"419YouthGroup",1,"repdinatitus"
"7thAndCarson",1,"repdinatitus"
"88FundICON",1,"repdinatitus"
"88Funds",1,"repdinatitus"
"AAG",1,"repdinatitus"
"AAPIEqualPay",1,"repdinatitus"
"AAPIMonth",1,"repdinatitus"
"aapiyps",1,"repdinatitus"
"ACC",1,"repdinatitus"
"Accountability",1,"repdinatitus"
"ActionClimate",1,"repdinatitus"
"ActionsSpeakLouder",1,"repdinatitus"
"ActiveLiving",1,"repdinatitus"
"ADA",1,"repdinatitus"
"Adopt",1,"repdinatitus"
"affordablehousing",1,"repdinatitus"
"AFGE1224",1,"repdinatitus"
"AFGE1978",1,"repdinatitus"
"africanamericanhistorymonth",1,"repdinatitus"
"AgeWellExpo",1,"repdinatitus"
"AHCA",1,"repdinatitus"
"airquality",1,"repdinatitus"
"AirTrafficControl",1,"repdinatitus"
"AkiMatsuri",1,"repdinatitus"
"alternativefacts",1,"repdinatitus"
"AlumniDinner",1,"repdinatitus"
"AmericanMilitaryRetireesAssoc",1,"repdinatitus"
"AmericanPromiseAct",1,"repdinatitus"
"AmericansWithDisabilities",1,"repdinatitus"
"AmericasBestIdea",1,"repdinatitus"
"animaltesting",1,"repdinatitus"
"AntiquitiesAct",1,"repdinatitus"
"ApothecaryShoppe",1,"repdinatitus"
"appeals",1,"repdinatitus"
"ArborDay",1,"repdinatitus"
"Arizona",1,"repdinatitus"
"ArmedForcesDay",1,"repdinatitus"
"Armenian",1,"repdinatitus"
