"Mention","Frequency","screen_name"
"POTUS",41,"repdinatitus"
"goldbutte",36,"repdinatitus"
"GOP",35,"repdinatitus"
"unlv",35,"repdinatitus"
"reviewjournal",20,"repdinatitus"
"LasVegasSun",19,"repdinatitus"
"NVHealthLink",17,"repdinatitus"
"UNLVLaw",16,"repdinatitus"
"ClarkCountySch",14,"repdinatitus"
"DeptVetAffairs",14,"repdinatitus"
"Transport",14,"repdinatitus"
"CityOfLasVegas",11,"repdinatitus"
"LGBTEqCaucus",11,"repdinatitus"
"realDonaldTrump",11,"repdinatitus"
"RTCSNV",11,"repdinatitus"
"SecretaryZinke",11,"repdinatitus"
"TransportDems",11,"repdinatitus"
"KNPRnews",10,"repdinatitus"
"LASairport",10,"repdinatitus"
"LVCVA",10,"repdinatitus"
"WhiteCoatWaste",10,"repdinatitus"
"lvchamber",9,"repdinatitus"
"SpeakerRyan",9,"repdinatitus"
"HouseDemocrats",8,"repdinatitus"
"lvlcc",8,"repdinatitus"
"LVMPD",8,"repdinatitus"
"YvannaCancela",8,"repdinatitus"
"AlexWitt",7,"repdinatitus"
"HealthCareGov",7,"repdinatitus"
"HouseGOP",7,"repdinatitus"
"HouseVetAffairs",7,"repdinatitus"
"MSNBC",7,"repdinatitus"
"CSNCoyote",6,"repdinatitus"
"Culinary226",6,"repdinatitus"
"PLANevada",6,"repdinatitus"
"8NewsNow",5,"repdinatitus"
"ClarkCountyNV",5,"repdinatitus"
"crgvaldez",5,"repdinatitus"
"HFACDemocrats",5,"repdinatitus"
"HouseCommerce",5,"repdinatitus"
"HRC",5,"repdinatitus"
"MiFamiliaVota",5,"repdinatitus"
"MomsDemand",5,"repdinatitus"
"politico",5,"repdinatitus"
"RepKihuen",5,"repdinatitus"
"SpringsPreserve",5,"repdinatitus"
"TheBoulevardLV",5,"repdinatitus"
"UNLVmedicine",5,"repdinatitus"
"AmericanLegion",4,"repdinatitus"
"APWATWEETS",4,"repdinatitus"
"Astrid_NV",4,"repdinatitus"
"BattleBornProg",4,"repdinatitus"
"BrandUSA",4,"repdinatitus"
"ClarkChargers",4,"repdinatitus"
"DemsAbroad",4,"repdinatitus"
"HouseForeign",4,"repdinatitus"
"isaacbarron",4,"repdinatitus"
"JoeBiden",4,"repdinatitus"
"LegalAidSNV",4,"repdinatitus"
"mayoroflasvegas",4,"repdinatitus"
"NatlParkService",4,"repdinatitus"
"repdinatitus",4,"repdinatitus"
"repjohnlewis",4,"repdinatitus"
"SecretaryPerry",4,"repdinatitus"
"SteveSebelius",4,"repdinatitus"
"VegasPBS",4,"repdinatitus"
"VetsVillageLV",4,"repdinatitus"
"ABC",3,"repdinatitus"
"ACDCNV",3,"repdinatitus"
"ACLUNV",3,"repdinatitus"
"ADL_Nevada",3,"repdinatitus"
"AILANational",3,"repdinatitus"
"ANCA_DC",3,"repdinatitus"
"ArtsDistrictLV",3,"repdinatitus"
"ASPCA",3,"repdinatitus"
"CaesarsEnt",3,"repdinatitus"
"CathCharitiesLV",3,"repdinatitus"
"CFPB",3,"repdinatitus"
"Cirque",3,"repdinatitus"
"CNN",3,"repdinatitus"
"ConservationLF",3,"repdinatitus"
"DHSgov",3,"repdinatitus"
"FAANews",3,"repdinatitus"
"FOX5Vegas",3,"repdinatitus"
"GoldButteNV",3,"repdinatitus"
"GoldenKnights",3,"repdinatitus"
"GovSandoval",3,"repdinatitus"
"HouseGVP",3,"repdinatitus"
"JewishNevada",3,"repdinatitus"
"JohnBerman",3,"repdinatitus"
"lakemeadnps",3,"repdinatitus"
"lenjessup",3,"repdinatitus"
"NBCNews",3,"repdinatitus"
"NCIAorg",3,"repdinatitus"
"NellisAFB",3,"repdinatitus"
"News3LV",3,"repdinatitus"
"NPCA",3,"repdinatitus"
"NVconservation",3,"repdinatitus"
"NVHumanities",3,"repdinatitus"
"OppVillageLV",3,"repdinatitus"
"RAIDERS",3,"repdinatitus"
"repblumenauer",3,"repdinatitus"
"RepCicilline",3,"repdinatitus"
"RepJackyRosen",3,"repdinatitus"
"RepShimkus",3,"repdinatitus"
"SierraClub",3,"repdinatitus"
"SmithCenterLV",3,"repdinatitus"
"SUPERNAP",3,"repdinatitus"
"the_USO",3,"repdinatitus"
"TSA",3,"repdinatitus"
"usairforce",3,"repdinatitus"
"USDA",3,"repdinatitus"
"USVETSLV",3,"repdinatitus"
"VALasVegas",3,"repdinatitus"
"WhipHoyer",3,"repdinatitus"
"WhiteHouse",3,"repdinatitus"
"8NEWS",2,"repdinatitus"
"AAUWPolicy",2,"repdinatitus"
"AmericasVoice",2,"repdinatitus"
"ARAMAC_DC",2,"repdinatitus"
"ASCETweets",2,"repdinatitus"
"AtomicMuseum",2,"repdinatitus"
"BarackObama",2,"repdinatitus"
"BasinRange",2,"repdinatitus"
"BasinRangers",2,"repdinatitus"
"BillNoonaniii",2,"repdinatitus"
"BlackMtnInst",2,"repdinatitus"
"blmnv",2,"repdinatitus"
"cancilleriasv",2,"repdinatitus"
"CatherineForNV",2,"repdinatitus"
"CCSD",2,"repdinatitus"
"Change",2,"repdinatitus"
"cityofhenderson",2,"repdinatitus"
"CNLV",2,"repdinatitus"
"Coffin4Council",2,"repdinatitus"
"Cosmopolitan_LV",2,"repdinatitus"
"CPBmedia",2,"repdinatitus"
"D_Copperfield",2,"repdinatitus"
"DefendOurFuture",2,"repdinatitus"
"DevinNunes",2,"repdinatitus"
"DTContainerPark",2,"repdinatitus"
"EdMBernstein",2,"repdinatitus"
"EPA",2,"repdinatitus"
"finallybrenduhh",2,"repdinatitus"
"girlscoutsnv",2,"repdinatitus"
"glossit",2,"repdinatitus"
"HainanAirlines",2,"repdinatitus"
"HomeDepot",2,"repdinatitus"
"HUDgov",2,"repdinatitus"
"HuffPostPol",2,"repdinatitus"
"HumaneSociety",2,"repdinatitus"
"JECDems",2,"repdinatitus"
"JerryBrownGov",2,"repdinatitus"
"jgillanNews3LV",2,"repdinatitus"
"JuhlLV",2,"repdinatitus"
"LasVegasACC",2,"repdinatitus"
"lifeisbeautiful",2,"repdinatitus"
"lionsclubs",2,"repdinatitus"
"LVGEA",2,"repdinatitus"
"MadonnaLong",2,"repdinatitus"
"Morning_Joe",2,"repdinatitus"
"MrAMHawkins",2,"repdinatitus"
