"Hashtag","Frequency","screen_name"
"Queens",166,"repjoecrowley"
"Bronx",126,"repjoecrowley"
"GOPTaxScam",96,"repjoecrowley"
"DREAMers",80,"repjoecrowley"
"Trumpcare",69,"repjoecrowley"
"PuertoRico",62,"repjoecrowley"
"ProtectOurCare",54,"repjoecrowley"
"NYC",45,"repjoecrowley"
"TrumpCare",42,"repjoecrowley"
"DoYourJob",41,"repjoecrowley"
"NoBillNoBreak",41,"repjoecrowley"
"Zika",41,"repjoecrowley"
"DACA",38,"repjoecrowley"
"DisarmHate",38,"repjoecrowley"
"ACA",34,"repjoecrowley"
"FollowTheFacts",29,"repjoecrowley"
"ABetterDeal",27,"repjoecrowley"
"DREAMAct",24,"repjoecrowley"
"EndGunViolence",24,"repjoecrowley"
"LGBT",24,"repjoecrowley"
"NY14",24,"repjoecrowley"
"ProtectDREAMers",21,"repjoecrowley"
"TrumpRussia",21,"repjoecrowley"
"budget",20,"repjoecrowley"
"GrahamCassidy",20,"repjoecrowley"
"NoMoreSilence",20,"repjoecrowley"
"Astoria",18,"repjoecrowley"
"GetCoveredNYC",18,"repjoecrowley"
"NetNeutrality",18,"repjoecrowley"
"NewYork",18,"repjoecrowley"
"FightingForAll",17,"repjoecrowley"
"GetCovered",17,"repjoecrowley"
"immigration",17,"repjoecrowley"
"PayMoreForLess",16,"repjoecrowley"
"TrumpBudget",16,"repjoecrowley"
"immigrants",15,"repjoecrowley"
"JacksonHeights",15,"repjoecrowley"
"SaveTPS",15,"repjoecrowley"
"SOTU",15,"repjoecrowley"
"Charlottesville",13,"repjoecrowley"
"CHIP",13,"repjoecrowley"
"MuslimBan",13,"repjoecrowley"
"NewYorkers",13,"repjoecrowley"
"BuildingBetterSavings",12,"repjoecrowley"
"Burma",12,"repjoecrowley"
"endFGM",12,"repjoecrowley"
"Flint",12,"repjoecrowley"
"NoBanNoWall",12,"repjoecrowley"
"DefendDACA",11,"repjoecrowley"
"Medicaid",11,"repjoecrowley"
"NY",11,"repjoecrowley"
"TalkGunSense",11,"repjoecrowley"
"TPS",11,"repjoecrowley"
"TrumpShutdown",11,"repjoecrowley"
"Corona",10,"repjoecrowley"
"DreamActNow",10,"repjoecrowley"
"Enough",10,"repjoecrowley"
"gunviolence",10,"repjoecrowley"
"InvestInKids",10,"repjoecrowley"
"NoFlyNoBuy",10,"repjoecrowley"
"RentReliefAct",10,"repjoecrowley"
"USVI",10,"repjoecrowley"
"BetterDeal",9,"repjoecrowley"
"DistrictLines",9,"repjoecrowley"
"Dreamers",9,"repjoecrowley"
"EndFGM",9,"repjoecrowley"
"FlintWaterCrisis",9,"repjoecrowley"
"Harvey",9,"repjoecrowley"
"ImmigrantHeritageMonth",9,"repjoecrowley"
"IStandWithRavi",9,"repjoecrowley"
"JaxHts",9,"repjoecrowley"
"LetThemPlay",9,"repjoecrowley"
"NYers",9,"repjoecrowley"
"ParisAgreement",9,"repjoecrowley"
"RecklessRecess",9,"repjoecrowley"
"trans",9,"repjoecrowley"
"Woodside",9,"repjoecrowley"
"FightForFamilies",8,"repjoecrowley"
"GOPBudget",8,"repjoecrowley"
"health",8,"repjoecrowley"
"MakeAmericaSickAgain",8,"repjoecrowley"
"ProtectDreamers",8,"repjoecrowley"
"resist",8,"repjoecrowley"
"Sikhs",8,"repjoecrowley"
"TBT",8,"repjoecrowley"
"Trump",8,"repjoecrowley"
"VeteransDay",8,"repjoecrowley"
"ActOnClimate",7,"repjoecrowley"
"BillionairesFirst",7,"repjoecrowley"
"BlackHistoryMonth",7,"repjoecrowley"
"DREAMer",7,"repjoecrowley"
"FGM",7,"repjoecrowley"
"GRAMMYsOnTheHill",7,"repjoecrowley"
"HandsOff",7,"repjoecrowley"
"HispanicHeritageMonth",7,"repjoecrowley"
"LGBTQ",7,"repjoecrowley"
"Russia",7,"repjoecrowley"
"sepsis",7,"repjoecrowley"
"Sikh",7,"repjoecrowley"
"Trump100Days",7,"repjoecrowley"
"ACAworks",6,"repjoecrowley"
"GOP",6,"repjoecrowley"
"GOPbudget",6,"repjoecrowley"
"ICYMI",6,"repjoecrowley"
"LGM",6,"repjoecrowley"
"LightingTheWay",6,"repjoecrowley"
"NeverForget",6,"repjoecrowley"
"ProtectOurDemocracy",6,"repjoecrowley"
"RefugeesWelcome",6,"repjoecrowley"
"Sessions",6,"repjoecrowley"
"StrongerAmerica",6,"repjoecrowley"
"SupportMusic",6,"repjoecrowley"
"TrumpCuts",6,"repjoecrowley"
"WrongWay",6,"repjoecrowley"
"100days",5,"repjoecrowley"
"AskDems",5,"repjoecrowley"
"ASW2016",5,"repjoecrowley"
"BHM2016",5,"repjoecrowley"
"EarthDay",5,"repjoecrowley"
"EcuadorEarthquake",5,"repjoecrowley"
"equality",5,"repjoecrowley"
"EqualPay",5,"repjoecrowley"
"GunViolence",5,"repjoecrowley"
"HeretoStay",5,"repjoecrowley"
"HR38",5,"repjoecrowley"
"HurricaneMaria",5,"repjoecrowley"
"immigrant",5,"repjoecrowley"
"LasVegas",5,"repjoecrowley"
"Medicare",5,"repjoecrowley"
"NotOnePenny",5,"repjoecrowley"
"OpioidEpidemic",5,"repjoecrowley"
"RememberOakCreek",5,"repjoecrowley"
"RestoreTheVRA",5,"repjoecrowley"
"retirementsecurity",5,"repjoecrowley"
"RikersIsland",5,"repjoecrowley"
"Rohingya",5,"repjoecrowley"
"SCOTUS",5,"repjoecrowley"
"shameful",5,"repjoecrowley"
"SocialSecurity",5,"repjoecrowley"
"Syria",5,"repjoecrowley"
"WeAreWithYou",5,"repjoecrowley"
"WomensEqualityDay",5,"repjoecrowley"
"BHM",4,"repjoecrowley"
"brokenpromises",4,"repjoecrowley"
"ChildrenFirstAct",4,"repjoecrowley"
"disarmhate",4,"repjoecrowley"
"doyourjob",4,"repjoecrowley"
"DREAMActNow",4,"repjoecrowley"
"EqualPayDay",4,"repjoecrowley"
"FlynnResignation",4,"repjoecrowley"
"GOPshutdown",4,"repjoecrowley"
"GunVote",4,"repjoecrowley"
"holdthefloor",4,"repjoecrowley"
"JobsForAmerica",4,"repjoecrowley"
"JointAddress",4,"repjoecrowley"
"KaliefBrowder",4,"repjoecrowley"
"LetSikhsServe",4,"repjoecrowley"
"MedalofFreedom",4,"repjoecrowley"
"MemorialDay",4,"repjoecrowley"
"NYPD",4,"repjoecrowley"
"RaiseTheWage",4,"repjoecrowley"
"recklessrecess",4,"repjoecrowley"
"retirement",4,"repjoecrowley"
"RoshHashanah",4,"repjoecrowley"
"shame",4,"repjoecrowley"
"Sunnyside",4,"repjoecrowley"
"transgender",4,"repjoecrowley"
"WHM2016",4,"repjoecrowley"
"WrongChoiceAct",4,"repjoecrowley"
"ACA7",3,"repjoecrowley"
"ActionAfterSilence",3,"repjoecrowley"
"alternativefacts",3,"repjoecrowley"
"AmericanHopeAct",3,"repjoecrowley"
"askHouseDems",3,"repjoecrowley"
"Bannon",3,"repjoecrowley"
"Barcelona",3,"repjoecrowley"
"CBOscore",3,"repjoecrowley"
"ChildCareNow",3,"repjoecrowley"
"CloseTheLoophole",3,"repjoecrowley"
"Comey",3,"repjoecrowley"
"CongressionalArtCompetition",3,"repjoecrowley"
"Diwali",3,"repjoecrowley"
"DoddFrank",3,"repjoecrowley"
"DPRK",3,"repjoecrowley"
"DreamAct",3,"repjoecrowley"
"EastElmhurst",3,"repjoecrowley"
"EITC",3,"repjoecrowley"
"equalpay",3,"repjoecrowley"
"EqualPayAct",3,"repjoecrowley"
"gmemonth",3,"repjoecrowley"
"goodtrouble",3,"repjoecrowley"
"HeatherHeyer",3,"repjoecrowley"
"HonorWithAction",3,"repjoecrowley"
"HurricaneSandy",3,"repjoecrowley"
"Immigrants",3,"repjoecrowley"
"Irma",3,"repjoecrowley"
"IStandWithImmigrants",3,"repjoecrowley"
"JFK",3,"repjoecrowley"
"jobs",3,"repjoecrowley"
"jobsreport",3,"repjoecrowley"
"LaborDay",3,"repjoecrowley"
"LetsGoMets",3,"repjoecrowley"
"LGA",3,"repjoecrowley"
"London",3,"repjoecrowley"
"LongIslandCity",3,"repjoecrowley"
"MLKDay",3,"repjoecrowley"
"MomsEqualPay",3,"repjoecrowley"
"NationalVoterRegistrationDay",3,"repjoecrowley"
"NoBanNoWallNoRaids",3,"repjoecrowley"
"OTD",3,"repjoecrowley"
"PPAat10",3,"repjoecrowley"
"renewalawards",3,"repjoecrowley"
"SCOTUSnominee",3,"repjoecrowley"
"StopCCR",3,"repjoecrowley"
"StPatricksDay",3,"repjoecrowley"
"SutherlandSprings",3,"repjoecrowley"
"tax",3,"repjoecrowley"
"ThroggsNeck",3,"repjoecrowley"
"Trans",3,"repjoecrowley"
"Trump100days",3,"repjoecrowley"
"TrumpTaxes",3,"repjoecrowley"
"USvTexas",3,"repjoecrowley"
"VotingRightsAct",3,"repjoecrowley"
"WomensHistoryMonth",3,"repjoecrowley"
"100Days",2,"repjoecrowley"
"20MillionStrong",2,"repjoecrowley"
"acaworks",2,"repjoecrowley"
"ADayWithoutImmigrants",2,"repjoecrowley"
"agetax",2,"repjoecrowley"
"aimhigher",2,"repjoecrowley"
"Arpaio",2,"repjoecrowley"
"BackToSchool",2,"repjoecrowley"
"BearsEars",2,"repjoecrowley"
"BombCyclone",2,"repjoecrowley"
"BreastCancerAwarenessMonth",2,"repjoecrowley"
"BrokenPromises",2,"repjoecrowley"
"CareerDay",2,"repjoecrowley"
"Chechnya",2,"repjoecrowley"
"Christmas",2,"repjoecrowley"
"CitizenshipNOW",2,"repjoecrowley"
"CitizensUnited",2,"repjoecrowley"
"CityIsland",2,"repjoecrowley"
"ClimateChange",2,"repjoecrowley"
"CollegePoint",2,"repjoecrowley"
"communityeligibility",2,"repjoecrowley"
"CongressCanRequest",2,"repjoecrowley"
"ConsumersFirst",2,"repjoecrowley"
"CWSG",2,"repjoecrowley"
"DADT",2,"repjoecrowley"
"Dallas",2,"repjoecrowley"
"DAPA",2,"repjoecrowley"
"DemandAVote",2,"repjoecrowley"
"DemocracyForAll",2,"repjoecrowley"
"DenyNAI",2,"repjoecrowley"
"diabetes",2,"repjoecrowley"
"Diwali2016",2,"repjoecrowley"
"docshortage",2,"repjoecrowley"
"DoYourJobHouseGOP",2,"repjoecrowley"
"Easter",2,"repjoecrowley"
"EndHomeFires",2,"repjoecrowley"
"EqualityAct",2,"repjoecrowley"
"ExtendCHIP",2,"repjoecrowley"
"EyesonChechnya",2,"repjoecrowley"
"FairPlayFairPay",2,"repjoecrowley"
"FamiliasUnidas",2,"repjoecrowley"
"FightFamine",2,"repjoecrowley"
"FindYourPark",2,"repjoecrowley"
"FMLA",2,"repjoecrowley"
"FosterYouthVoices",2,"repjoecrowley"
"FundFlint",2,"repjoecrowley"
"GME",2,"repjoecrowley"
