"Hashtag","Frequency","screen_name"
"MA6",160,"teammoulton"
"mapoli",149,"teammoulton"
"ma6",90,"teammoulton"
"IraqPlan",29,"teammoulton"
"FasterCareforVets",26,"teammoulton"
"MApoli",22,"teammoulton"
"NoBillNoBreak",22,"teammoulton"
"SmallBizinMA6",22,"teammoulton"
"MuslimBan",16,"teammoulton"
"ACA",15,"teammoulton"
"ActionNotSilence",14,"teammoulton"
"NDAA17",14,"teammoulton"
"Salem",13,"teammoulton"
"LynnMA",12,"teammoulton"
"Orlando",12,"teammoulton"
"TuesdayTrivia",12,"teammoulton"
"Lynn",11,"teammoulton"
"ACStrategy",10,"teammoulton"
"NationalDayofAction",10,"teammoulton"
"Russia",10,"teammoulton"
"TeamMoulton",10,"teammoulton"
"townhall",10,"teammoulton"
"EndGunViolence",9,"teammoulton"
"fastercareforvets",9,"teammoulton"
"VetsTownHall",9,"teammoulton"
"bipartisanship",8,"teammoulton"
"DefendTheGIBill",8,"teammoulton"
"GomesServiceAwardFinalist",8,"teammoulton"
"SOTU",8,"teammoulton"
"ComeyFiring",7,"teammoulton"
"Enough",7,"teammoulton"
"ForeignPolicy",7,"teammoulton"
"Gloucester",7,"teammoulton"
"gunreform",7,"teammoulton"
"NoFlyNoBuy",7,"teammoulton"
"NoMoreSilence",7,"teammoulton"
"refugeeswelcome",7,"teammoulton"
"service",7,"teammoulton"
"veterans",7,"teammoulton"
"CAC2016",6,"teammoulton"
"DisarmHate",6,"teammoulton"
"FasterCareForVets",6,"teammoulton"
"gunviolence",6,"teammoulton"
"HouseofCode",6,"teammoulton"
"sethmoultonvisits",6,"teammoulton"
"tbt",6,"teammoulton"
"AhmadinDC",5,"teammoulton"
"CubaVisit",5,"teammoulton"
"Fairness4Vets",5,"teammoulton"
"HonorWithAction",5,"teammoulton"
"innovation",5,"teammoulton"
"Iraq",5,"teammoulton"
"ServewithSeth",5,"teammoulton"
"ServiceNation",5,"teammoulton"
"StrikeOutALS",5,"teammoulton"
"BostonStrong",4,"teammoulton"
"budget",4,"teammoulton"
"CNN",4,"teammoulton"
"commonsense",4,"teammoulton"
"CongressionalAppChallenge",4,"teammoulton"
"Cuba",4,"teammoulton"
"GetCovered",4,"teammoulton"
"GOPTaxScam",4,"teammoulton"
