"Mention","Frequency","screen_name"
"HouseAppropsGOP",14,"CongMikeSimpson"
"INL",12,"CongMikeSimpson"
"POTUS",4,"CongMikeSimpson"
"DOE_SC_NSB",3,"CongMikeSimpson"
"ENERGY",3,"CongMikeSimpson"
"SecretaryZinke",3,"CongMikeSimpson"
"DeptVetAffairs",2,"CongMikeSimpson"
"FoxNews",2,"CongMikeSimpson"
"HouseGOP",2,"CongMikeSimpson"
"SpeakerRyan",2,"CongMikeSimpson"
"usairforce",2,"CongMikeSimpson"
"USArmy",2,"CongMikeSimpson"
"BOBSLEDR",1,"CongMikeSimpson"
"boisestatelive",1,"CongMikeSimpson"
"ButchOtter",1,"CongMikeSimpson"
"CapitolPolice",1,"CongMikeSimpson"
"CasperForMayor",1,"CongMikeSimpson"
"ChipotleTweets",1,"CongMikeSimpson"
"Cigna",1,"CongMikeSimpson"
"DeptofDefense",1,"CongMikeSimpson"
"ECA",1,"CongMikeSimpson"
"EnergyGOP",1,"CongMikeSimpson"
"FarmBureau",1,"CongMikeSimpson"
"FixtheDebt",1,"CongMikeSimpson"
"fschief",1,"CongMikeSimpson"
"GovernorPerry",1,"CongMikeSimpson"
"HilaryKnight",1,"CongMikeSimpson"
"HouseCommerce",1,"CongMikeSimpson"
"IdahoFallsFire",1,"CongMikeSimpson"
"idahoffa",1,"CongMikeSimpson"
"IdahoGives",1,"CongMikeSimpson"
"IdahoGrain",1,"CongMikeSimpson"
"IdahoMedAssn",1,"CongMikeSimpson"
"IdahoStatesman",1,"CongMikeSimpson"
"IdahoWalkBike",1,"CongMikeSimpson"
"IFDA",1,"CongMikeSimpson"
"Interior",1,"CongMikeSimpson"
"jessika_jenson",1,"CongMikeSimpson"
"KPVI",1,"CongMikeSimpson"
"Lowes",1,"CongMikeSimpson"
"MicronTech",1,"CongMikeSimpson"
"MikeCrapo",1,"CongMikeSimpson"
"MilitaryOfficer",1,"CongMikeSimpson"
"msnbctv",1,"CongMikeSimpson"
"NATCA",1,"CongMikeSimpson"
"NationalGuard",1,"CongMikeSimpson"
"NatResources",1,"CongMikeSimpson"
"NewHorizons2015",1,"CongMikeSimpson"
"NIH",1,"CongMikeSimpson"
"NRFnews",1,"CongMikeSimpson"
"NSSF",1,"CongMikeSimpson"
"peregrinefund",1,"CongMikeSimpson"
"PostRegister",1,"CongMikeSimpson"
"repgregwalden",1,"CongMikeSimpson"
"RepKevinYoder",1,"CongMikeSimpson"
"RepRyanZinke",1,"CongMikeSimpson"
"RyanZinke",1,"CongMikeSimpson"
"sammichener",1,"CongMikeSimpson"
"SenateYouth",1,"CongMikeSimpson"
"simihamilton",1,"CongMikeSimpson"
"SpecialOlympics",1,"CongMikeSimpson"
"SteveScalise",1,"CongMikeSimpson"
"theIOM",1,"CongMikeSimpson"
"theNCI",1,"CongMikeSimpson"
"thermosci",1,"CongMikeSimpson"
"thumbtack",1,"CongMikeSimpson"
"ToddBlackinton",1,"CongMikeSimpson"
"uidaho",1,"CongMikeSimpson"
"UPS",1,"CongMikeSimpson"
"USDOL",1,"CongMikeSimpson"
"usedgov",1,"CongMikeSimpson"
"USMC",1,"CongMikeSimpson"
"USNationalGuard",1,"CongMikeSimpson"
"WyakinWarrior",1,"CongMikeSimpson"
