"Mention","Frequency","screen_name"
"CongMikeSimpson",42,"CongMikeSimpson"
"HouseAppropsGOP",42,"CongMikeSimpson"
"INL",20,"CongMikeSimpson"
"ENERGY",8,"CongMikeSimpson"
"DOE_SC_NSB",6,"CongMikeSimpson"
"KenCalvert",5,"CongMikeSimpson"
"POTUS",5,"CongMikeSimpson"
"ButchOtter",4,"CongMikeSimpson"
"ErnestMoniz",4,"CongMikeSimpson"
"MikeCrapo",4,"CongMikeSimpson"
"SecretaryZinke",4,"CongMikeSimpson"
"boisestatelive",3,"CongMikeSimpson"
"RepHalRogers",3,"CongMikeSimpson"
"DeptVetAffairs",2,"CongMikeSimpson"
"FoxNews",2,"CongMikeSimpson"
"FoxNewsSunday",2,"CongMikeSimpson"
"HilaryKnight",2,"CongMikeSimpson"
"HouseGOP",2,"CongMikeSimpson"
"KevinRichert",2,"CongMikeSimpson"
"MilitaryOfficer",2,"CongMikeSimpson"
"NatResources",2,"CongMikeSimpson"
"SpeakerBoehner",2,"CongMikeSimpson"
"SpeakerRyan",2,"CongMikeSimpson"
"USACEHQ",2,"CongMikeSimpson"
"usairforce",2,"CongMikeSimpson"
"USArmy",2,"CongMikeSimpson"
"USRepRodney",2,"CongMikeSimpson"
"AARPIdaho",1,"CongMikeSimpson"
"ADEAAGR",1,"CongMikeSimpson"
"AFGELocal1273",1,"CongMikeSimpson"
"afinland",1,"CongMikeSimpson"
"AmericanCancer",1,"CongMikeSimpson"
"BabcockWilcox",1,"CongMikeSimpson"
"Battelle",1,"CongMikeSimpson"
"beckyelder22",1,"CongMikeSimpson"
"BLMNational",1,"CongMikeSimpson"
"BOBSLEDR",1,"CongMikeSimpson"
"BSDEducation",1,"CongMikeSimpson"
"CapitolPolice",1,"CongMikeSimpson"
"CasperForMayor",1,"CongMikeSimpson"
"cathymcmorris",1,"CongMikeSimpson"
"ChipotleTweets",1,"CongMikeSimpson"
"Cigna",1,"CongMikeSimpson"
"DeptofDefense",1,"CongMikeSimpson"
"ECA",1,"CongMikeSimpson"
"EnergyGOP",1,"CongMikeSimpson"
"EnergyLeif",1,"CongMikeSimpson"
"EnergySec",1,"CongMikeSimpson"
"FarmBureau",1,"CongMikeSimpson"
"FixtheDebt",1,"CongMikeSimpson"
"forestservice",1,"CongMikeSimpson"
"fschief",1,"CongMikeSimpson"
"GovernorPerry",1,"CongMikeSimpson"
"HealthInFocus",1,"CongMikeSimpson"
"HomesForOurTrps",1,"CongMikeSimpson"
"HouseCommerce",1,"CongMikeSimpson"
"IdahoFallsFire",1,"CongMikeSimpson"
"idahoffa",1,"CongMikeSimpson"
"IdahoGives",1,"CongMikeSimpson"
"IdahoGrain",1,"CongMikeSimpson"
"IdahoMedAssn",1,"CongMikeSimpson"
"IdahoRuralWater",1,"CongMikeSimpson"
"IdahoStatesman",1,"CongMikeSimpson"
"IdahoStateU",1,"CongMikeSimpson"
"IdahoWalkBike",1,"CongMikeSimpson"
"IDMethProject",1,"CongMikeSimpson"
