"Hashtag","Frequency","screen_name"
"TN04",681,"DesJarlaisTN04"
"Obamacare",155,"DesJarlaisTN04"
"ObamaCare",145,"DesJarlaisTN04"
"IRS",141,"DesJarlaisTN04"
"Benghazi",134,"DesJarlaisTN04"
"tcot",80,"DesJarlaisTN04"
"SOTU",46,"DesJarlaisTN04"
"PJNET",31,"DesJarlaisTN04"
"Syria",27,"DesJarlaisTN04"
"GOP",24,"DesJarlaisTN04"
"TN",24,"DesJarlaisTN04"
"KeystoneXL",23,"DesJarlaisTN04"
"TCOT",23,"DesJarlaisTN04"
"4jobs",20,"DesJarlaisTN04"
"budget",20,"DesJarlaisTN04"
"Tennessee",19,"DesJarlaisTN04"
"ObamaBudget",18,"DesJarlaisTN04"
"IranDeal",17,"DesJarlaisTN04"
"immigration",16,"DesJarlaisTN04"
"BrokenPromises",15,"DesJarlaisTN04"
"pjnet",15,"DesJarlaisTN04"
"TaxReform",14,"DesJarlaisTN04"
"TimeToBuild",12,"DesJarlaisTN04"
"AP",11,"DesJarlaisTN04"
"FastandFurious",11,"DesJarlaisTN04"
"ObamaFlightDelays",10,"DesJarlaisTN04"
"4Jobs",9,"DesJarlaisTN04"
"Obamaquester",9,"DesJarlaisTN04"
"TNPolitics",9,"DesJarlaisTN04"
"trainwreck",9,"DesJarlaisTN04"
"FY18NDAA",8,"DesJarlaisTN04"
"gop",8,"DesJarlaisTN04"
"healthcare",8,"DesJarlaisTN04"
"SenateMustAct",8,"DesJarlaisTN04"
"sequester",8,"DesJarlaisTN04"
"jobs",7,"DesJarlaisTN04"
"oversight",7,"DesJarlaisTN04"
"smallbiz",7,"DesJarlaisTN04"
"SmallBiz",7,"DesJarlaisTN04"
"taxreform",7,"DesJarlaisTN04"
"TBT",7,"DesJarlaisTN04"
"Clinton",6,"DesJarlaisTN04"
"CutWaste",6,"DesJarlaisTN04"
"DDay",6,"DesJarlaisTN04"
"FAA",6,"DesJarlaisTN04"
"FarmBill",6,"DesJarlaisTN04"
"FBI",6,"DesJarlaisTN04"
"fiscalcliff",6,"DesJarlaisTN04"
"Immigration",6,"DesJarlaisTN04"
"ISIS",6,"DesJarlaisTN04"
"SCOTUS",6,"DesJarlaisTN04"
"TaxDay",6,"DesJarlaisTN04"
"WOTUS",6,"DesJarlaisTN04"
"ACA",5,"DesJarlaisTN04"
"AHCA",5,"DesJarlaisTN04"
"BostonMarathon",5,"DesJarlaisTN04"
"CHA",5,"DesJarlaisTN04"
"CommonCore",5,"DesJarlaisTN04"
"FairnessForAll",5,"DesJarlaisTN04"
"FARRM",5,"DesJarlaisTN04"
"FF",5,"DesJarlaisTN04"
"Gitmo",5,"DesJarlaisTN04"
"HASC",5,"DesJarlaisTN04"
"MemorialDay",5,"DesJarlaisTN04"
"MTSU",5,"DesJarlaisTN04"
"NeverForget",5,"DesJarlaisTN04"
"NoNuclearIran",5,"DesJarlaisTN04"
"PoliceWeek",5,"DesJarlaisTN04"
"PrayForBoston",5,"DesJarlaisTN04"
"PrayForOklahoma",5,"DesJarlaisTN04"
"RequireAPlan",5,"DesJarlaisTN04"
"SecondAmendment",5,"DesJarlaisTN04"
"StopGovtAbuse",5,"DesJarlaisTN04"
"TeamScalise",5,"DesJarlaisTN04"
"veterans",5,"DesJarlaisTN04"
"VoteNow",5,"DesJarlaisTN04"
"AskSebelius",4,"DesJarlaisTN04"
"Boston",4,"DesJarlaisTN04"
"BrokenPromise",4,"DesJarlaisTN04"
"Chattanooga",4,"DesJarlaisTN04"
"FastAndFurious",4,"DesJarlaisTN04"
"Holder",4,"DesJarlaisTN04"
"IRSCommissioner",4,"DesJarlaisTN04"
"KeepYourHealthPlan",4,"DesJarlaisTN04"
"LouDobbsTonight",4,"DesJarlaisTN04"
"MAGA",4,"DesJarlaisTN04"
"NDAA",4,"DesJarlaisTN04"
"offeringsolutions",4,"DesJarlaisTN04"
"PearlHarbor",4,"DesJarlaisTN04"
"ProChat",4,"DesJarlaisTN04"
"RateShock",4,"DesJarlaisTN04"
"ReleaseTheMemo",4,"DesJarlaisTN04"
"shutdown",4,"DesJarlaisTN04"
"SOTU2013",4,"DesJarlaisTN04"
"spending",4,"DesJarlaisTN04"
"tn04",4,"DesJarlaisTN04"
"tngop",4,"DesJarlaisTN04"
"YouCut",4,"DesJarlaisTN04"
"2A",3,"DesJarlaisTN04"
"ArmedForcesDay",3,"DesJarlaisTN04"
"benghazi",3,"DesJarlaisTN04"
"BREAKING",3,"DesJarlaisTN04"
"ConstitutionDay",3,"DesJarlaisTN04"
"Cromnibus",3,"DesJarlaisTN04"
"education",3,"DesJarlaisTN04"
"farmbill",3,"DesJarlaisTN04"
"FBIDirectorComey",3,"DesJarlaisTN04"
"FOIA",3,"DesJarlaisTN04"
"govtwaste",3,"DesJarlaisTN04"
"HBD",3,"DesJarlaisTN04"
"HouseAg",3,"DesJarlaisTN04"
"IRStargeting",3,"DesJarlaisTN04"
"Keystone",3,"DesJarlaisTN04"
"LastSOTU",3,"DesJarlaisTN04"
"Lerner",3,"DesJarlaisTN04"
"Murfreesboro",3,"DesJarlaisTN04"
"NorthKorea",3,"DesJarlaisTN04"
"Obama",3,"DesJarlaisTN04"
"Oversight",3,"DesJarlaisTN04"
"RepealObamacare",3,"DesJarlaisTN04"
"SignTheBill",3,"DesJarlaisTN04"
"SKILLSAct",3,"DesJarlaisTN04"
"StuckInTheSenate",3,"DesJarlaisTN04"
"tax",3,"DesJarlaisTN04"
"time4solutions",3,"DesJarlaisTN04"
"VA",3,"DesJarlaisTN04"
"VAAccountability",3,"DesJarlaisTN04"
"WRRDA",3,"DesJarlaisTN04"
"agday2014",2,"DesJarlaisTN04"
"AgDay2016",2,"DesJarlaisTN04"
"AmericasNewCongress",2,"DesJarlaisTN04"
"Beef",2,"DesJarlaisTN04"
"BetterLateThanNever",2,"DesJarlaisTN04"
"Budget",2,"DesJarlaisTN04"
"CHOICEAct",2,"DesJarlaisTN04"
"Christmas",2,"DesJarlaisTN04"
"closethegap",2,"DesJarlaisTN04"
"CloseTheGap",2,"DesJarlaisTN04"
"ComeyHearing",2,"DesJarlaisTN04"
"Congress",2,"DesJarlaisTN04"
"CR",2,"DesJarlaisTN04"
"DDay70",2,"DesJarlaisTN04"
"DOJ",2,"DesJarlaisTN04"
"Education",2,"DesJarlaisTN04"
"EndTrafficking",2,"DesJarlaisTN04"
"ESEA",2,"DesJarlaisTN04"
"FairTax",2,"DesJarlaisTN04"
"FakeNews",2,"DesJarlaisTN04"
"FBAdvocacy",2,"DesJarlaisTN04"
"FiscalCliff",2,"DesJarlaisTN04"
"FlagDay",2,"DesJarlaisTN04"
"ForeverGIBill",2,"DesJarlaisTN04"
"goldenstethoscope",2,"DesJarlaisTN04"
"GOPRetreat",2,"DesJarlaisTN04"
"Gruber",2,"DesJarlaisTN04"
"Halloween",2,"DesJarlaisTN04"
"HappyVeteransDay",2,"DesJarlaisTN04"
"HarveyRelief",2,"DesJarlaisTN04"
"HolderResignation",2,"DesJarlaisTN04"
"HonorThem",2,"DesJarlaisTN04"
"hr36",2,"DesJarlaisTN04"
"infrastructure",2,"DesJarlaisTN04"
"Irma",2,"DesJarlaisTN04"
"Israel",2,"DesJarlaisTN04"
"Jobs",2,"DesJarlaisTN04"
"LaborDay",2,"DesJarlaisTN04"
"MarchMadness",2,"DesJarlaisTN04"
"MedicareAdvantage",2,"DesJarlaisTN04"
"MerryChristmas",2,"DesJarlaisTN04"
"military",2,"DesJarlaisTN04"
"MSM",2,"DesJarlaisTN04"
"Nashville",2,"DesJarlaisTN04"
"NationalPoliceWeek",2,"DesJarlaisTN04"
"NavyYardShooting",2,"DesJarlaisTN04"
"neverforget",2,"DesJarlaisTN04"
"NewNormal",2,"DesJarlaisTN04"
"ObamaCareinThreeWords",2,"DesJarlaisTN04"
"ObamaCareInThreeWords",2,"DesJarlaisTN04"
"obamaquester",2,"DesJarlaisTN04"
"Ocare",2,"DesJarlaisTN04"
"OpportunityEconomy",2,"DesJarlaisTN04"
"PeaceOfficersMemorialDay",2,"DesJarlaisTN04"
"PermanentDelay",2,"DesJarlaisTN04"
"PhotoOfTheMonth",2,"DesJarlaisTN04"
"POTUS",2,"DesJarlaisTN04"
"PrioritiesUSA",2,"DesJarlaisTN04"
"ShopSmall",2,"DesJarlaisTN04"
"SmallBizSat",2,"DesJarlaisTN04"
"sotu",2,"DesJarlaisTN04"
"SpeechesDontHire",2,"DesJarlaisTN04"
"SpendingIsTheProblem",2,"DesJarlaisTN04"
"StopTheIRS",2,"DesJarlaisTN04"
"StudentSuccessAct",2,"DesJarlaisTN04"
"TaxCutsandJobsAct",2,"DesJarlaisTN04"
"TBAOnTheRoad",2,"DesJarlaisTN04"
"tbt",2,"DesJarlaisTN04"
"TeaParty",2,"DesJarlaisTN04"
"Thanksgiving",2,"DesJarlaisTN04"
"ThreeWords",2,"DesJarlaisTN04"
"Time4Solutions",2,"DesJarlaisTN04"
"TNGOP",2,"DesJarlaisTN04"
"tnmAGicmoments",2,"DesJarlaisTN04"
"Trainwreck",2,"DesJarlaisTN04"
"TrainWreck",2,"DesJarlaisTN04"
"Transition2017",2,"DesJarlaisTN04"
"Veterans",2,"DesJarlaisTN04"
"VeteransDay",2,"DesJarlaisTN04"
"Yes2Energy",2,"DesJarlaisTN04"
"YourTime",2,"DesJarlaisTN04"
"YTDC",2,"DesJarlaisTN04"
"15YearsAfter911",1,"DesJarlaisTN04"
"241NavyBday",1,"DesJarlaisTN04"
"2ndAmendment",1,"DesJarlaisTN04"
"3peat",1,"DesJarlaisTN04"
"4thOfJuly",1,"DesJarlaisTN04"
"4thOfJuly2017",1,"DesJarlaisTN04"
"5pts4jobs",1,"DesJarlaisTN04"
"99days",1,"DesJarlaisTN04"
"AAUWLobbyDay",1,"DesJarlaisTN04"
"ABetterWay",1,"DesJarlaisTN04"
"accountability",1,"DesJarlaisTN04"
"ACECAnnual2017",1,"DesJarlaisTN04"
"Advocates",1,"DesJarlaisTN04"
"AFBday",1,"DesJarlaisTN04"
"AffordableCareAct",1,"DesJarlaisTN04"
"ag",1,"DesJarlaisTN04"
"Ag",1,"DesJarlaisTN04"
"agday",1,"DesJarlaisTN04"
"AgDay",1,"DesJarlaisTN04"
"AgDay2014",1,"DesJarlaisTN04"
"Agriculture",1,"DesJarlaisTN04"
"AirForceOne",1,"DesJarlaisTN04"
"Airmen",1,"DesJarlaisTN04"
"airport",1,"DesJarlaisTN04"
"AlwaysRemember",1,"DesJarlaisTN04"
"alzforum",1,"DesJarlaisTN04"
"Alzheimers",1,"DesJarlaisTN04"
"AlzheimersAwareness",1,"DesJarlaisTN04"
"AmericaFirst",1,"DesJarlaisTN04"
"AmericanEagleDay",1,"DesJarlaisTN04"
"AmericanMade",1,"DesJarlaisTN04"
"Americans",1,"DesJarlaisTN04"
"AmericasVets",1,"DesJarlaisTN04"
"ar2",1,"DesJarlaisTN04"
"ArlingtonNationalCemetery",1,"DesJarlaisTN04"
"AutismSpeaks",1,"DesJarlaisTN04"
"BacktheBadge",1,"DesJarlaisTN04"
"BackTheBlue",1,"DesJarlaisTN04"
"balancedbudget",1,"DesJarlaisTN04"
"BatonRouge",1,"DesJarlaisTN04"
"BillofRights",1,"DesJarlaisTN04"
"BillofRightsDay",1,"DesJarlaisTN04"
"bipartisan",1,"DesJarlaisTN04"
"BleachBit",1,"DesJarlaisTN04"
"BlueRaiderNation",1,"DesJarlaisTN04"
"BlueRaiders",1,"DesJarlaisTN04"
"BoldToughReady",1,"DesJarlaisTN04"
"Breaking",1,"DesJarlaisTN04"
