"Hashtag","Frequency","screen_name"
"Obamacare",39,"DrPhilRoe"
"IPAB",35,"DrPhilRoe"
"NLRB",25,"DrPhilRoe"
"BetterWay",20,"DrPhilRoe"
"ObamaCare",19,"DrPhilRoe"
"healthcare",12,"DrPhilRoe"
"ABetterWay",11,"DrPhilRoe"
"FWRoundtable",10,"DrPhilRoe"
"smallbiz",10,"DrPhilRoe"
"tbt",9,"DrPhilRoe"
"PreAM16",8,"DrPhilRoe"
"SOTU",8,"DrPhilRoe"
"veterans",8,"DrPhilRoe"
"AHCA",7,"DrPhilRoe"
"ForeverGIBill",7,"DrPhilRoe"
"GOP",7,"DrPhilRoe"
"ProLife",7,"DrPhilRoe"
"AHCRA",6,"DrPhilRoe"
"fiduciaryrule",6,"DrPhilRoe"
"JointAddress",6,"DrPhilRoe"
"RSC",6,"DrPhilRoe"
"tcot",6,"DrPhilRoe"
"VA",6,"DrPhilRoe"
"ESEA",5,"DrPhilRoe"
"FF",5,"DrPhilRoe"
"FindYourPark",5,"DrPhilRoe"
"hcr",5,"DrPhilRoe"
"prolife",5,"DrPhilRoe"
"taxreform",5,"DrPhilRoe"
"AskSebelius",4,"DrPhilRoe"
"jobs",4,"DrPhilRoe"
"Medicare",4,"DrPhilRoe"
"NCLB",4,"DrPhilRoe"
"NDAA",4,"DrPhilRoe"
"VAAccountability",4,"DrPhilRoe"
"VeteransDay",4,"DrPhilRoe"
"CuresNow",3,"DrPhilRoe"
"Ebola",3,"DrPhilRoe"
"edreform",3,"DrPhilRoe"
"FacebookLive",3,"DrPhilRoe"
"Fiduciary",3,"DrPhilRoe"
"FiduciaryRule",3,"DrPhilRoe"
"gop",3,"DrPhilRoe"
"Gosnell",3,"DrPhilRoe"
"handsoff",3,"DrPhilRoe"
"hc",3,"DrPhilRoe"
"HR1120",3,"DrPhilRoe"
"immigration",3,"DrPhilRoe"
"IRS",3,"DrPhilRoe"
"Keystone",3,"DrPhilRoe"
"PassTheBill",3,"DrPhilRoe"
"SCOTUS",3,"DrPhilRoe"
"SGR",3,"DrPhilRoe"
"SKILLSAct",3,"DrPhilRoe"
"SmallBiz",3,"DrPhilRoe"
"TaxDay",3,"DrPhilRoe"
"TimeToBuild",3,"DrPhilRoe"
"TN",3,"DrPhilRoe"
"TN01",3,"DrPhilRoe"
"Trainwreck",3,"DrPhilRoe"
"VAaccountability",3,"DrPhilRoe"
"ACAturns3",2,"DrPhilRoe"
"ALS",2,"DrPhilRoe"
"ASMChat",2,"DrPhilRoe"
"BeaconBreakfast",2,"DrPhilRoe"
"bipartisanroadtrip",2,"DrPhilRoe"
"CheckYourCheck",2,"DrPhilRoe"
"communitypharmacy",2,"DrPhilRoe"
"DCShadowDay",2,"DrPhilRoe"
"DontDoubleMyRate",2,"DrPhilRoe"
"energy",2,"DrPhilRoe"
"Epinephrine",2,"DrPhilRoe"
"FairnessForAll",2,"DrPhilRoe"
"fiduciary",2,"DrPhilRoe"
"FlagDay",2,"DrPhilRoe"
"FollowFriday",2,"DrPhilRoe"
"FriendofFarmBureau",2,"DrPhilRoe"
"FWroundtable",2,"DrPhilRoe"
"HR3121",2,"DrPhilRoe"
"IPABRepeal",2,"DrPhilRoe"
"jointemployer",2,"DrPhilRoe"
"KingvBurwell",2,"DrPhilRoe"
"KnowYourHeart",2,"DrPhilRoe"
"LetsTalk",2,"DrPhilRoe"
"LouDobbsTonight",2,"DrPhilRoe"
"manufacturing",2,"DrPhilRoe"
"MarchforLife",2,"DrPhilRoe"
"MemorialDay",2,"DrPhilRoe"
"NationalPoliceWeek",2,"DrPhilRoe"
