"Hashtag","Frequency","screen_name"
"Obamacare",103,"GOPLeader"
"Iran",74,"GOPLeader"
"IranDeal",69,"GOPLeader"
"VA",54,"GOPLeader"
"ForeverGIBill",43,"GOPLeader"
"veterans",40,"GOPLeader"
"MAGA",39,"GOPLeader"
"PlannedParenthood",35,"GOPLeader"
"AHCA",33,"GOPLeader"
"ISIS",29,"GOPLeader"
"BetterWay",28,"GOPLeader"
"Cures2015",23,"GOPLeader"
"TaxReform",21,"GOPLeader"
"smallbiz",20,"GOPLeader"
"EPA",18,"GOPLeader"
"VAaccountability",17,"GOPLeader"
"InnovationInitiative",16,"GOPLeader"
"OTD",16,"GOPLeader"
"FY16NDAA",15,"GOPLeader"
"trade",15,"GOPLeader"
"i2Forum",14,"GOPLeader"
"SchumerShutdown",14,"GOPLeader"
"FY17NDAA",13,"GOPLeader"
"Israel",13,"GOPLeader"
"LastSOTU",13,"GOPLeader"
"TPA",13,"GOPLeader"
"water",13,"GOPLeader"
"IRS",12,"GOPLeader"
"SOTU",12,"GOPLeader"
"taxreform",12,"GOPLeader"
"CRA",11,"GOPLeader"
"NorthKorea",11,"GOPLeader"
"RepealAndReplace",10,"GOPLeader"
"SignTheBill",10,"GOPLeader"
"TaxCutsandJobsAct",10,"GOPLeader"
"California",9,"GOPLeader"
"HurricaneHarvey",9,"GOPLeader"
"NDAA",9,"GOPLeader"
"Yes2Energy",9,"GOPLeader"
"i2forum",8,"GOPLeader"
"KatesLaw",8,"GOPLeader"
"VeteransDay",8,"GOPLeader"
"Afghanistan",7,"GOPLeader"
"BREAKING",7,"GOPLeader"
"ICYMI",7,"GOPLeader"
"PoliceWeek",7,"GOPLeader"
"ProLife",7,"GOPLeader"
"SmallBiz",7,"GOPLeader"
"StudentSuccessAct",7,"GOPLeader"
"TeamScalise",7,"GOPLeader"
"TexasStrong",7,"GOPLeader"
"ValleyFever",7,"GOPLeader"
"WOTUS",7,"GOPLeader"
"2A",6,"GOPLeader"
"MGTAct",6,"GOPLeader"
"NoNuclearIran",6,"GOPLeader"
"PopeInDC",6,"GOPLeader"
"REINSact",6,"GOPLeader"
"Syria",6,"GOPLeader"
"DoddFrank",5,"GOPLeader"
"drought",5,"GOPLeader"
"FF",5,"GOPLeader"
"ISIL",5,"GOPLeader"
"NoVeto",5,"GOPLeader"
"PopeFrancis",5,"GOPLeader"
"Water",5,"GOPLeader"
"WWII",5,"GOPLeader"
"202Live",4,"GOPLeader"
"CAFires",4,"GOPLeader"
"CAHSR",4,"GOPLeader"
"Christmas",4,"GOPLeader"
"CoalAsh",4,"GOPLeader"
"Constitution",4,"GOPLeader"
"CuresNow",4,"GOPLeader"
"cybersecurity",4,"GOPLeader"
"energy",4,"GOPLeader"
"GROWAct",4,"GOPLeader"
"Guantanamo",4,"GOPLeader"
"HackWeTrust",4,"GOPLeader"
"HR5",4,"GOPLeader"
"HR8",4,"GOPLeader"
"humantrafficking",4,"GOPLeader"
"Iraq",4,"GOPLeader"
"KeystoneXL",4,"GOPLeader"
"Medicaid",4,"GOPLeader"
"ObamaCare",4,"GOPLeader"
"PainCapable",4,"GOPLeader"
"Paris",4,"GOPLeader"
"PearlHarbor",4,"GOPLeader"
"prolife",4,"GOPLeader"
"SaveLocalBiz",4,"GOPLeader"
"TaxDay",4,"GOPLeader"
"TPA4USjobs",4,"GOPLeader"
"transportation",4,"GOPLeader"
"Veterans",4,"GOPLeader"
"WomensHistoryMonth",4,"GOPLeader"
"Zika",4,"GOPLeader"
"4jobs",3,"GOPLeader"
"CHOICEAct",3,"GOPLeader"
"Congress",3,"GOPLeader"
"CuresIn4Words",3,"GOPLeader"
"DDay",3,"GOPLeader"
"ESEA",3,"GOPLeader"
"FY18NDAA",3,"GOPLeader"
"Harvey",3,"GOPLeader"
"HASC",3,"GOPLeader"
"HR2898",3,"GOPLeader"
"Internet",3,"GOPLeader"
"IT",3,"GOPLeader"
"JOBSAct",3,"GOPLeader"
"LiftTheBan",3,"GOPLeader"
"MemorialDay",3,"GOPLeader"
"mentalhealth",3,"GOPLeader"
"MicahsLaw",3,"GOPLeader"
"NASA",3,"GOPLeader"
"OnThisDay",3,"GOPLeader"
"OPENAct",3,"GOPLeader"
"opioid",3,"GOPLeader"
"OPM",3,"GOPLeader"
"PassTheBill",3,"GOPLeader"
"ReadTheBill",3,"GOPLeader"
"RoomToGrow",3,"GOPLeader"
"SAFEact",3,"GOPLeader"
"SchoolChoiceWeek",3,"GOPLeader"
"SCW",3,"GOPLeader"
"SHAREAct",3,"GOPLeader"
"ShopSmall",3,"GOPLeader"
"SmallBizSat",3,"GOPLeader"
"startups",3,"GOPLeader"
"TALENTact",3,"GOPLeader"
"TBT",3,"GOPLeader"
"Thanksgiving",3,"GOPLeader"
"trafficking",3,"GOPLeader"
"VA10",3,"GOPLeader"
"veteran",3,"GOPLeader"
"VietnamVeteransDay",3,"GOPLeader"
"WhyWeMarch",3,"GOPLeader"
"WKPSummit2015",3,"GOPLeader"
"YearInSpace",3,"GOPLeader"
"4thofJuly",2,"GOPLeader"
"AllRunners",2,"GOPLeader"
"BalancedBudget",2,"GOPLeader"
"budget",2,"GOPLeader"
"CA23",2,"GOPLeader"
"CapitolChristmasTree",2,"GOPLeader"
"Charleston",2,"GOPLeader"
"Chattanooga",2,"GOPLeader"
"CJS",2,"GOPLeader"
"CongressionalGoldMedal",2,"GOPLeader"
"COP21",2,"GOPLeader"
"CTE",2,"GOPLeader"
"cyberattacks",2,"GOPLeader"
"DefundPP",2,"GOPLeader"
"DHS",2,"GOPLeader"
"EmailPrivacyAct",2,"GOPLeader"
"EnergyDominance",2,"GOPLeader"
"ExIm",2,"GOPLeader"
"FaithNation",2,"GOPLeader"
"Falcon9",2,"GOPLeader"
"FamilyFirstAct",2,"GOPLeader"
"FISA",2,"GOPLeader"
"ForeverGIBIll",2,"GOPLeader"
"GOP",2,"GOPLeader"
"Hannity",2,"GOPLeader"
"healthcare",2,"GOPLeader"
"HHSReport",2,"GOPLeader"
"HireMoreHeroes",2,"GOPLeader"
"HonorThem",2,"GOPLeader"
"House",2,"GOPLeader"
"HR4361",2,"GOPLeader"
"HSR",2,"GOPLeader"
"HumanTrafficking",2,"GOPLeader"
"immigration",2,"GOPLeader"
"IndependenceDay",2,"GOPLeader"
"innovation",2,"GOPLeader"
"IPAB",2,"GOPLeader"
"jobs",2,"GOPLeader"
"Jordan",2,"GOPLeader"
"LA2024",2,"GOPLeader"
"LoveSavesLives",2,"GOPLeader"
"MarchforLife",2,"GOPLeader"
"MarchForLife",2,"GOPLeader"
"NE03",2,"GOPLeader"
"NeverForget",2,"GOPLeader"
"NoSanctuaryForCriminalsAct",2,"GOPLeader"
"notCOOL",2,"GOPLeader"
"NoWhiteFlags",2,"GOPLeader"
"opengov",2,"GOPLeader"
"OSHA",2,"GOPLeader"
"OverrideTheVeto",2,"GOPLeader"
"PITFA",2,"GOPLeader"
"POTUS",2,"GOPLeader"
"POWMIA",2,"GOPLeader"
"PPAccountability",2,"GOPLeader"
"PurpleHeartDay",2,"GOPLeader"
"reboot",2,"GOPLeader"
"RebootCongress2017",2,"GOPLeader"
"REINSAct",2,"GOPLeader"
"repealandreplace",2,"GOPLeader"
"Republicans",2,"GOPLeader"
"Russia",2,"GOPLeader"
"SecretSideDeals",2,"GOPLeader"
"SHARE",2,"GOPLeader"
"SmallBizWeek2016",2,"GOPLeader"
"SmallBusinessWeek",2,"GOPLeader"
"SOARAct",2,"GOPLeader"
"SOPRA",2,"GOPLeader"
"STEM",2,"GOPLeader"
"SundayTODAY",2,"GOPLeader"
"TakingCareOfSmallBusiness",2,"GOPLeader"
"TALENTAct",2,"GOPLeader"
"ThomasFire",2,"GOPLeader"
"Trade",2,"GOPLeader"
"TSA",2,"GOPLeader"
"USSJohnSMcCain",2,"GOPLeader"
"VAAccountability",2,"GOPLeader"
"VAChoice",2,"GOPLeader"
"valleyfever",2,"GOPLeader"
"vets",2,"GOPLeader"
"VisaWaiver",2,"GOPLeader"
"whyCTE",2,"GOPLeader"
"WorldSeries",2,"GOPLeader"
"100days",1,"GOPLeader"
"115thCongress",1,"GOPLeader"
"13thAmendment",1,"GOPLeader"
"202live",1,"GOPLeader"
"213years",1,"GOPLeader"
"240NavyBday",1,"GOPLeader"
"240NavyBDay",1,"GOPLeader"
"242NavyBday",1,"GOPLeader"
"43turns71",1,"GOPLeader"
"ACA",1,"GOPLeader"
"AdvocacyMatters",1,"GOPLeader"
"AFBDAY2015",1,"GOPLeader"
"AIPAC2016",1,"GOPLeader"
"allrunners",1,"GOPLeader"
"ALS",1,"GOPLeader"
"AmericanEnergy",1,"GOPLeader"
"AmericanHeartMonth",1,"GOPLeader"
"Apollo11",1,"GOPLeader"
"appropriations",1,"GOPLeader"
"ArmyBDay",1,"GOPLeader"
"art",1,"GOPLeader"
"ArticleI",1,"GOPLeader"
"ATTDCForum",1,"GOPLeader"
"BackTheBlue",1,"GOPLeader"
"Bakersfield",1,"GOPLeader"
"BatonRouge",1,"GOPLeader"
"BBN",1,"GOPLeader"
"BELIEVE",1,"GOPLeader"
