"Mention","Frequency","screen_name"
"JeffFortenberry",192,"JeffFortenberry"
"POTUS",46,"JeffFortenberry"
"OWHnews",25,"JeffFortenberry"
"PT_US_Congress",25,"JeffFortenberry"
"realDonaldTrump",25,"JeffFortenberry"
"RepAdrianSmith",21,"JeffFortenberry"
"Offutt_AFB",18,"JeffFortenberry"
"JournalStarNews",17,"JeffFortenberry"
"SenatorFischer",13,"JeffFortenberry"
"Huskers",12,"JeffFortenberry"
"nothingbutnets",10,"JeffFortenberry"
"StateDept",10,"JeffFortenberry"
"BoysTown",8,"JeffFortenberry"
"RepDonBacon",8,"JeffFortenberry"
"SenSasse",8,"JeffFortenberry"
"FoxNews",7,"JeffFortenberry"
"HARRISFAULKNER",7,"JeffFortenberry"
"repjoecrowley",7,"JeffFortenberry"
"BioNebraska",6,"JeffFortenberry"
"HouseAppropsGOP",6,"JeffFortenberry"
"Mike_Johanns",6,"JeffFortenberry"
"unmc",6,"JeffFortenberry"
"HFACrepublicans",5,"JeffFortenberry"
"LEETERRYNE",5,"JeffFortenberry"
"NEFarmBureau",5,"JeffFortenberry"
"NukeSecurityWG",5,"JeffFortenberry"
"RepDianeBlack",5,"JeffFortenberry"
"saltdogsball",5,"JeffFortenberry"
"SpeakerRyan",5,"JeffFortenberry"
"SteveScalise",5,"JeffFortenberry"
"theaward",5,"JeffFortenberry"
"TheICCFGroup",5,"JeffFortenberry"
"US_Stratcom",5,"JeffFortenberry"
"USAID",5,"JeffFortenberry"
"3cordspublisher",4,"JeffFortenberry"
"ALLMEP_usa",4,"JeffFortenberry"
"brad2737",4,"JeffFortenberry"
"DarrellIssa",4,"JeffFortenberry"
"LPSorg",4,"JeffFortenberry"
"NPR",4,"JeffFortenberry"
"RepAnnaEshoo",4,"JeffFortenberry"
"TarynVanderford",4,"JeffFortenberry"
"TbirdEMPIRE",4,"JeffFortenberry"
"USDA",4,"JeffFortenberry"
"VP",4,"JeffFortenberry"
"1011_News",3,"JeffFortenberry"
"ADPotratz",3,"JeffFortenberry"
"AlsisiOfficial",3,"JeffFortenberry"
"alzassociation",3,"JeffFortenberry"
"andrew_stretch",3,"JeffFortenberry"
"arborday",3,"JeffFortenberry"
"Chick0531",3,"JeffFortenberry"
"chrissommerich",3,"JeffFortenberry"
"CityofBlair",3,"JeffFortenberry"
"Coach_Riley",3,"JeffFortenberry"
"cspan",3,"JeffFortenberry"
"firefighter89",3,"JeffFortenberry"
"GOPWhip",3,"JeffFortenberry"
"GovRicketts",3,"JeffFortenberry"
"greathousetweet",3,"JeffFortenberry"
"HumanitiesNe",3,"JeffFortenberry"
"JonVanderford",3,"JeffFortenberry"
"KellieMeyerNews",3,"JeffFortenberry"
"KLINRadio",3,"JeffFortenberry"
"Ladaktusson",3,"JeffFortenberry"
"LincolnZoo",3,"JeffFortenberry"
"MalariaNoMore",3,"JeffFortenberry"
"maxperrymueller",3,"JeffFortenberry"
"Merchavim",3,"JeffFortenberry"
"MortonOWH",3,"JeffFortenberry"
"NEAgLobbyDC",3,"JeffFortenberry"
"nebroadcasters",3,"JeffFortenberry"
"nikkihaley",3,"JeffFortenberry"
"NPRinskeep",3,"JeffFortenberry"
"NTI_WMD",3,"JeffFortenberry"
"rajshah",3,"JeffFortenberry"
"RepFleming",3,"JeffFortenberry"
"RepMikeRogersAL",3,"JeffFortenberry"
"sampittskiefer",3,"JeffFortenberry"
"TeamCavuto",3,"JeffFortenberry"
"TheNSWG",3,"JeffFortenberry"
"UNLincoln",3,"JeffFortenberry"
"usairforce",3,"JeffFortenberry"
"11bSIV",2,"JeffFortenberry"
"ADL_National",2,"JeffFortenberry"
"AmbassadorGreen",2,"JeffFortenberry"
"AmbassadorLI",2,"JeffFortenberry"
"AmericanLegion",2,"JeffFortenberry"
"ASUN_UNL",2,"JeffFortenberry"
"BellevueU",2,"JeffFortenberry"
"BenSasse",2,"JeffFortenberry"
"BishopAngaelos",2,"JeffFortenberry"
"boblatta",2,"JeffFortenberry"
"CaseyGeraldo",2,"JeffFortenberry"
"chadcrgreene",2,"JeffFortenberry"
"Channel8ABC",2,"JeffFortenberry"
"CityOfLincoln",2,"JeffFortenberry"
"CNN",2,"JeffFortenberry"
"coach_frost",2,"JeffFortenberry"
"CoachKriv",2,"JeffFortenberry"
"Col_Telegram",2,"JeffFortenberry"
"DeptVetAffairs",2,"JeffFortenberry"
"DiscovererPride",2,"JeffFortenberry"
"DonJBacon",2,"JeffFortenberry"
"DonStenberg",2,"JeffFortenberry"
"ELFAOnline",2,"JeffFortenberry"
"ENDAlzheimer",2,"JeffFortenberry"
"FeedtheFuture",2,"JeffFortenberry"
"ForeignAffGOP",2,"JeffFortenberry"
"FremontTribune",2,"JeffFortenberry"
"GCHScougars",2,"JeffFortenberry"
"girlscouts",2,"JeffFortenberry"
"GitRDoneLarry",2,"JeffFortenberry"
"GovSamBrownback",2,"JeffFortenberry"
"GregoryMeeks",2,"JeffFortenberry"
"HCANebraska",2,"JeffFortenberry"
"Heritage",2,"JeffFortenberry"
"HHSGov",2,"JeffFortenberry"
"HouseAgNews",2,"JeffFortenberry"
"HouseFloor",2,"JeffFortenberry"
"HyVee",2,"JeffFortenberry"
"IAmBiotech",2,"JeffFortenberry"
"Jim_Jordan",2,"JeffFortenberry"
"JoanRohlfing",2,"JeffFortenberry"
"joanryanEnfield",2,"JeffFortenberry"
"ktivnews",2,"JeffFortenberry"
"LIBAlincoln",2,"JeffFortenberry"
"librarycongress",2,"JeffFortenberry"
"LiedLodge",2,"JeffFortenberry"
"LJSdon",2,"JeffFortenberry"
"malariapolicy",2,"JeffFortenberry"
"MikePenceVP",2,"JeffFortenberry"
"MJGerson",2,"JeffFortenberry"
"NeCattlemen",2,"JeffFortenberry"
"negameandparks",2,"JeffFortenberry"
"NETNebraska",2,"JeffFortenberry"
"NorfolkAreaCC",2,"JeffFortenberry"
"NorfolkCatholic",2,"JeffFortenberry"
"norris160",2,"JeffFortenberry"
"nsea_org",2,"JeffFortenberry"
"OrangeCrush72",2,"JeffFortenberry"
"OrionBioSci",2,"JeffFortenberry"
"PatrickMcHenry",2,"JeffFortenberry"
"PaulHammelOWH",2,"JeffFortenberry"
"PeterRoskam",2,"JeffFortenberry"
"Pontifex",2,"JeffFortenberry"
"PopeTawadros",2,"JeffFortenberry"
"RareCandace",2,"JeffFortenberry"
"repaaronschock",2,"JeffFortenberry"
"RepBillJohnson",2,"JeffFortenberry"
"RepChuck",2,"JeffFortenberry"
"RepDennisRoss",2,"JeffFortenberry"
"RepGusBilirakis",2,"JeffFortenberry"
"repjohnkline",2,"JeffFortenberry"
"RepKenMarchant",2,"JeffFortenberry"
"RepKevinYoder",2,"JeffFortenberry"
"replouiegohmert",2,"JeffFortenberry"
"RepRonPaul",2,"JeffFortenberry"
"RepSteveChabot",2,"JeffFortenberry"
"RepTimGriffin",2,"JeffFortenberry"
"reptoddakin",2,"JeffFortenberry"
"RepVisclosky",2,"JeffFortenberry"
"RepWestmoreland",2,"JeffFortenberry"
"RFInstitute",2,"JeffFortenberry"
"RHCJO",2,"JeffFortenberry"
"Robert_Aderholt",2,"JeffFortenberry"
"rptrpn",2,"JeffFortenberry"
"RuralRadioNet",2,"JeffFortenberry"
"SarestBearest",2,"JeffFortenberry"
"SecretaryPerry",2,"JeffFortenberry"
"SecShulkin",2,"JeffFortenberry"
"SenatorLankford",2,"JeffFortenberry"
"ServeNE",2,"JeffFortenberry"
"sheilareports",2,"JeffFortenberry"
"SpeakerBoehner",2,"JeffFortenberry"
"SteveKingIA",2,"JeffFortenberry"
"the_USO",2,"JeffFortenberry"
"TomLatham",2,"JeffFortenberry"
"uscapitol",2,"JeffFortenberry"
"USTreasury",2,"JeffFortenberry"
"WOWT6News",2,"JeffFortenberry"
"XiJinpingOffic",2,"JeffFortenberry"
"5sahandful",1,"JeffFortenberry"
"AACNPolicy",1,"JeffFortenberry"
"AACNursing",1,"JeffFortenberry"
"AAHPM",1,"JeffFortenberry"
"AANP_NEWS",1,"JeffFortenberry"
"AaronDHastings",1,"JeffFortenberry"
"AARPNE",1,"JeffFortenberry"
"ABlomenberg",1,"JeffFortenberry"
"aclem311",1,"JeffFortenberry"
"ACloserLookShow",1,"JeffFortenberry"
"afpne",1,"JeffFortenberry"
"Agitatex3",1,"JeffFortenberry"
"AllAboutOmaha",1,"JeffFortenberry"
"Allstate",1,"JeffFortenberry"
"ALZNebraska",1,"JeffFortenberry"
"ALZReadiness",1,"JeffFortenberry"
"AmbKawar",1,"JeffFortenberry"
"AmbMacNaughton",1,"JeffFortenberry"
"AmbSzemerkenyi",1,"JeffFortenberry"
"AnderCrenshaw",1,"JeffFortenberry"
"andersoncooper",1,"JeffFortenberry"
"AndreaWeslien",1,"JeffFortenberry"
"AndrewSea",1,"JeffFortenberry"
"AquaAfrica",1,"JeffFortenberry"
"AquinasNation",1,"JeffFortenberry"
"Astro_Clay",1,"JeffFortenberry"
"ATFHQ",1,"JeffFortenberry"
"auctnr1",1,"JeffFortenberry"
"avocane",1,"JeffFortenberry"
"BachusAL06",1,"JeffFortenberry"
"BBCWorld",1,"JeffFortenberry"
"BBCYaldaHakim",1,"JeffFortenberry"
"BellevueLeader",1,"JeffFortenberry"
"Ben_Sessions",1,"JeffFortenberry"
"bettnet",1,"JeffFortenberry"
"BGOV",1,"JeffFortenberry"
"BillCassidy",1,"JeffFortenberry"
"BLENDeth",1,"JeffFortenberry"
"bmowinkel",1,"JeffFortenberry"
"BosporusReport",1,"JeffFortenberry"
"braner",1,"JeffFortenberry"
"braunold",1,"JeffFortenberry"
"BuckMcKeon",1,"JeffFortenberry"
"CAHutzler",1,"JeffFortenberry"
"CandiceMiller",1,"JeffFortenberry"
"CapitalOneBowl",1,"JeffFortenberry"
"caring_provider",1,"JeffFortenberry"
"CarolineTydings",1,"JeffFortenberry"
"CassieTheWilson",1,"JeffFortenberry"
"CFFNebraska",1,"JeffFortenberry"
"cfra",1,"JeffFortenberry"
"Chandler_View",1,"JeffFortenberry"
"ChicagoCouncil",1,"JeffFortenberry"
"china",1,"JeffFortenberry"
"ChrisCoons",1,"JeffFortenberry"
"ChrisDunkerLJS",1,"JeffFortenberry"
"CindyhM1",1,"JeffFortenberry"
"citizensclimate",1,"JeffFortenberry"
"civilwartrust",1,"JeffFortenberry"
"CloseUp_DC",1,"JeffFortenberry"
"CoachGudgel",1,"JeffFortenberry"
"CobyMach",1,"JeffFortenberry"
"colnechamber",1,"JeffFortenberry"
"congbillposey",1,"JeffFortenberry"
"CongCulberson",1,"JeffFortenberry"
"CongHuelskamp",1,"JeffFortenberry"
"congjeffmiller",1,"JeffFortenberry"
"CongJoeWilson",1,"JeffFortenberry"
"CongPalazzo",1,"JeffFortenberry"
"congressdotgov",1,"JeffFortenberry"
"CongressmanGT",1,"JeffFortenberry"
"conniebenjamin",1,"JeffFortenberry"
"ConservAmerica",1,"JeffFortenberry"
"CornhuskerBSA",1,"JeffFortenberry"
"ctomasevicz",1,"JeffFortenberry"
"CTR_SAIS",1,"JeffFortenberry"
"CU_Susie",1,"JeffFortenberry"
"CynthiaLummis",1,"JeffFortenberry"
"DanaBashCNN",1,"JeffFortenberry"
"dennyrehberg",1,"JeffFortenberry"
"DeptofDefense",1,"JeffFortenberry"
"derekwillis",1,"JeffFortenberry"
"dgvaladao",1,"JeffFortenberry"
"DOE_SC_NSB",1,"JeffFortenberry"
"DuckDynastyAE",1,"JeffFortenberry"
"DuncanAviation",1,"JeffFortenberry"
"EgyptEmbassyUSA",1,"JeffFortenberry"
"EPAScottPruitt",1,"JeffFortenberry"
"erindyer",1,"JeffFortenberry"
"EveryLifeOrg",1,"JeffFortenberry"
"EzekielElliott",1,"JeffFortenberry"
"faithkeepersmov",1,"JeffFortenberry"
"farenthold",1,"JeffFortenberry"
"FarmPolicy",1,"JeffFortenberry"
"FLCBlair",1,"JeffFortenberry"
"Forbes",1,"JeffFortenberry"
"Fr_Thomlison",1,"JeffFortenberry"
"FrancisXRocca",1,"JeffFortenberry"
"FRCdc",1,"JeffFortenberry"
"frjoshthomas",1,"JeffFortenberry"
"Georgetown",1,"JeffFortenberry"
"GeorgetownWBB",1,"JeffFortenberry"
"GERONIMO__GF",1,"JeffFortenberry"
"GOPLeader",1,"JeffFortenberry"
"Gov_Heineman",1,"JeffFortenberry"
"GreggHarper",1,"JeffFortenberry"
"greta",1,"JeffFortenberry"
"GrossCatholicFB",1,"JeffFortenberry"
"GUberkleycenter",1,"JeffFortenberry"
"gwalklin",1,"JeffFortenberry"
"HaileyStolze",1,"JeffFortenberry"
"HarrisonFordLA",1,"JeffFortenberry"
"HeatonJennifer",1,"JeffFortenberry"
"HerreraBeutler",1,"JeffFortenberry"
"higginsdday",1,"JeffFortenberry"
"HKCung",1,"JeffFortenberry"
"HoChunkNationPR",1,"JeffFortenberry"
"HuffPostPol",1,"JeffFortenberry"
"Husker_555",1,"JeffFortenberry"
"Husker_Baseball",1,"JeffFortenberry"
"HuskerHoops",1,"JeffFortenberry"
"Huskervball",1,"JeffFortenberry"
"iaeaorg",1,"JeffFortenberry"
"InterActionOrg",1,"JeffFortenberry"
"Interior",1,"JeffFortenberry"
"iraqschristians",1,"JeffFortenberry"
"JackKingston",1,"JeffFortenberry"
"jaketapper",1,"JeffFortenberry"
"janariess",1,"JeffFortenberry"
"jasoninthehouse",1,"JeffFortenberry"
"jddoerr",1,"JeffFortenberry"
"jdgreenblatt45",1,"JeffFortenberry"
"jeanformayor",1,"JeffFortenberry"
"JeffFlake",1,"JeffFortenberry"
"jeffreypgold",1,"JeffFortenberry"
"jengawash",1,"JeffFortenberry"
"jepsen_eric",1,"JeffFortenberry"
"jerrycostello",1,"JeffFortenberry"
"JessErinGreen",1,"JeffFortenberry"
"JGaiashkibos",1,"JeffFortenberry"
"jjgp716",1,"JeffFortenberry"
"jmostrowicki",1,"JeffFortenberry"
"joejzach",1,"JeffFortenberry"
"joelschafer",1,"JeffFortenberry"
"JohnBerman",1,"JeffFortenberry"
"JohnsHopkins",1,"JeffFortenberry"
"joyconnery",1,"JeffFortenberry"
"jpabsalon",1,"JeffFortenberry"
"jrussell_5",1,"JeffFortenberry"
"jtwiddifield1",1,"JeffFortenberry"
"KarenLBowling",1,"JeffFortenberry"
"karinchu",1,"JeffFortenberry"
"kathrynlopez",1,"JeffFortenberry"
"KelseyMurphyTV8",1,"JeffFortenberry"
"KenBurns",1,"JeffFortenberry"
"KenCalvert",1,"JeffFortenberry"
"kevinforch",1,"JeffFortenberry"
"KevinThomasLNK",1,"JeffFortenberry"
"Kids4Peace",1,"JeffFortenberry"
"Kiwanis",1,"JeffFortenberry"
"LamarSmithTX21",1,"JeffFortenberry"
"lancegould",1,"JeffFortenberry"
"LaurenAshburn",1,"JeffFortenberry"
"LeoDiCaprio",1,"JeffFortenberry"
"lharrisonwest",1,"JeffFortenberry"
"LiedCenter",1,"JeffFortenberry"
"Lincoln_Police",1,"JeffFortenberry"
"LincolnChamber",1,"JeffFortenberry"
"LincolnPolice",1,"JeffFortenberry"
"LincolnZooGuru",1,"JeffFortenberry"
"LittlePriestTC",1,"JeffFortenberry"
"LivForLiberty",1,"JeffFortenberry"
"LJSNebraskaNews",1,"JeffFortenberry"
"LnkParksRec",1,"JeffFortenberry"
"LNKToday",1,"JeffFortenberry"
"lnshigh",1,"JeffFortenberry"
"LoganViewAD",1,"JeffFortenberry"
"lsehs",1,"JeffFortenberry"
"lukasmandl",1,"JeffFortenberry"
"LWCFCOALITION",1,"JeffFortenberry"
"Madonnarehab",1,"JeffFortenberry"
"MarcusKinney3",1,"JeffFortenberry"
"MarioDB",1,"JeffFortenberry"
"MarshaBlackburn",1,"JeffFortenberry"
"MaryQtweets",1,"JeffFortenberry"
"McCaulPressShop",1,"JeffFortenberry"
"MicheleBachmann",1,"JeffFortenberry"
"mike_pence",1,"JeffFortenberry"
"mikepence",1,"JeffFortenberry"
"MorningEdition",1,"JeffFortenberry"
"MS_CourtneyDawn",1,"JeffFortenberry"
"NASA",1,"JeffFortenberry"
"NASSP",1,"JeffFortenberry"
"NationalGuard",1,"JeffFortenberry"
"NatlParkService",1,"JeffFortenberry"
"NatResources",1,"JeffFortenberry"
"ndaajustice",1,"JeffFortenberry"
"NE_Rural_Health",1,"JeffFortenberry"
"neappleseed",1,"JeffFortenberry"
"NEB_PSC",1,"JeffFortenberry"
"nebankers",1,"JeffFortenberry"
"NebraskaChamber",1,"JeffFortenberry"
"NebraskaHistory",1,"JeffFortenberry"
"nebraskaWSC10",1,"JeffFortenberry"
"NEColumbus",1,"JeffFortenberry"
"NECornBoard",1,"JeffFortenberry"
"NeDeptAg",1,"JeffFortenberry"
"NEHgov",1,"JeffFortenberry"
"NENationalGuard",1,"JeffFortenberry"
"NermienRiad",1,"JeffFortenberry"
"NESecJGale",1,"JeffFortenberry"
"NeumannCavs",1,"JeffFortenberry"
"NEWesleyan",1,"JeffFortenberry"
"NFUDC",1,"JeffFortenberry"
"NHS_Titans",1,"JeffFortenberry"
"nickjames48",1,"JeffFortenberry"
"NorfolkNE",1,"JeffFortenberry"
"NWF",1,"JeffFortenberry"
"OffutAFB",1,"JeffFortenberry"
"OmahaPolitics",1,"JeffFortenberry"
"OPDOfcAlcantara",1,"JeffFortenberry"
"OxfamAmerica",1,"JeffFortenberry"
"PatwLincoln",1,"JeffFortenberry"
"Payne10thNJ",1,"JeffFortenberry"
"PeaceCorps",1,"JeffFortenberry"
"PeaceCorpsNow",1,"JeffFortenberry"
"PeteOlson",1,"JeffFortenberry"
"PeterWelch",1,"JeffFortenberry"
"pitterpatter4",1,"JeffFortenberry"
"PoetryOutLoud",1,"JeffFortenberry"
"PowellJohnW",1,"JeffFortenberry"
"prospect_uk",1,"JeffFortenberry"
"QusayMuhyaldeen",1,"JeffFortenberry"
"Randy_Forbes",1,"JeffFortenberry"
"RandyNeugebauer",1,"JeffFortenberry"
"Raul_Labrador",1,"JeffFortenberry"
"realtoriewalenz",1,"JeffFortenberry"
"relevantradio",1,"JeffFortenberry"
"Rep_Southerland",1,"JeffFortenberry"
"rep_stevewomack",1,"JeffFortenberry"
"RepAndyHarrisMD",1,"JeffFortenberry"
"RepBillFlores",1,"JeffFortenberry"
"RepBillShuster",1,"JeffFortenberry"
"RepCanseco",1,"JeffFortenberry"
"RepCharlieDent",1,"JeffFortenberry"
"RepChipCravaack",1,"JeffFortenberry"
"RepChrisSmith",1,"JeffFortenberry"
"RepCloakroom",1,"JeffFortenberry"
"repdanburton",1,"JeffFortenberry"
"RepDavid",1,"JeffFortenberry"
"RepDavidEPrice",1,"JeffFortenberry"
"RepDebDingell",1,"JeffFortenberry"
"RepDonBeyer",1,"JeffFortenberry"
"RepFredUpton",1,"JeffFortenberry"
"RepGeoffDavis",1,"JeffFortenberry"
"RepGoodlatte",1,"JeffFortenberry"
"RepGosar",1,"JeffFortenberry"
"RepHartzler",1,"JeffFortenberry"
"RepHuffman",1,"JeffFortenberry"
"RepHuizenga",1,"JeffFortenberry"
"RepHultgren",1,"JeffFortenberry"
"repjasonaltmire",1,"JeffFortenberry"
"RepJeffDuncan",1,"JeffFortenberry"
"RepJenniffer",1,"JeffFortenberry"
"RepJerryLewis",1,"JeffFortenberry"
"RepJimRenacci",1,"JeffFortenberry"
"repjobonner",1,"JeffFortenberry"
"RepJoeBarton",1,"JeffFortenberry"
"RepJoeWalsh",1,"JeffFortenberry"
"RepJohnDuncanJr",1,"JeffFortenberry"
"RepJohnYarmuth",1,"JeffFortenberry"
"repjustinamash",1,"JeffFortenberry"
"RepKevinBrady",1,"JeffFortenberry"
"RepKinzinger",1,"JeffFortenberry"
"RepKristiNoem",1,"JeffFortenberry"
"RepLankford",1,"JeffFortenberry"
"RepLouBarletta",1,"JeffFortenberry"
"RepLynnJenkins",1,"JeffFortenberry"
"RepMarthaRoby",1,"JeffFortenberry"
"RepMcClintock",1,"JeffFortenberry"
"RepMeehan",1,"JeffFortenberry"
"RepMGriffith",1,"JeffFortenberry"
"RepMikeCoffman",1,"JeffFortenberry"
"RepMikeMcIntyre",1,"JeffFortenberry"
"RepMikePence",1,"JeffFortenberry"
"RepMikeTurner",1,"JeffFortenberry"
"RepMoBrooks",1,"JeffFortenberry"
"RepPaulBrounMD",1,"JeffFortenberry"
"RepPhilGingrey",1,"JeffFortenberry"
"RepRibble",1,"JeffFortenberry"
"RepRickBerg",1,"JeffFortenberry"
"RepRivera",1,"JeffFortenberry"
"RepSandyAdams",1,"JeffFortenberry"
"RepScottRigell",1,"JeffFortenberry"
"RepSeanDuffy",1,"JeffFortenberry"
"RepSteveStivers",1,"JeffFortenberry"
"RepTimJohnson",1,"JeffFortenberry"
"reptimscott",1,"JeffFortenberry"
"RepTomMarino",1,"JeffFortenberry"
"RepTomPrice",1,"JeffFortenberry"
"RepTomReed",1,"JeffFortenberry"
"RepWalberg",1,"JeffFortenberry"
"RepWalterJones",1,"JeffFortenberry"
"romadowney",1,"JeffFortenberry"
"RosLehtinen",1,"JeffFortenberry"
"rustywx",1,"JeffFortenberry"
"SAISHopkins",1,"JeffFortenberry"
"SalvationArmyUS",1,"JeffFortenberry"
"SarahElzeini",1,"JeffFortenberry"
"SashaToperich",1,"JeffFortenberry"
"SBAgov",1,"JeffFortenberry"
"SBPublicAffairs",1,"JeffFortenberry"
"scott_thayer",1,"JeffFortenberry"
"SecAFOfficial",1,"JeffFortenberry"
"SecretaryZinke",1,"JeffFortenberry"
"SenatorWicker",1,"JeffFortenberry"
"SenBenNelson",1,"JeffFortenberry"
"SenBobCorker",1,"JeffFortenberry"
"SorghumGrowers",1,"JeffFortenberry"
"SpeakerPelosi",1,"JeffFortenberry"
"SpecialOlympics",1,"JeffFortenberry"
"srwell",1,"JeffFortenberry"
"starsandstripes",1,"JeffFortenberry"
"SteptoeFinServ",1,"JeffFortenberry"
"SteveAustria",1,"JeffFortenberry"
"StrategicHS",1,"JeffFortenberry"
"SuellaFernandes",1,"JeffFortenberry"
"SueMyrick",1,"JeffFortenberry"
"susanramsett",1,"JeffFortenberry"
"sustainableag",1,"JeffFortenberry"
"tada5453",1,"JeffFortenberry"
"TEDTalks",1,"JeffFortenberry"
"TGowdySC",1,"JeffFortenberry"
"ThadMcCotter",1,"JeffFortenberry"
"thehill",1,"JeffFortenberry"
"TheMandyMoore",1,"JeffFortenberry"
"theresa_may",1,"JeffFortenberry"
"ToddRokita",1,"JeffFortenberry"
"toendhunger",1,"JeffFortenberry"
"TomColeOK04",1,"JeffFortenberry"
"TomRooney",1,"JeffFortenberry"
"TonyBlairOffice",1,"JeffFortenberry"
"u_nebraska",1,"JeffFortenberry"
"UNICEF",1,"JeffFortenberry"
"USAIDGH",1,"JeffFortenberry"
"USArmy",1,"JeffFortenberry"
"USATODAY",1,"JeffFortenberry"
"USCIRF",1,"JeffFortenberry"
"USCongress",1,"JeffFortenberry"
"USGLC",1,"JeffFortenberry"
"USMC",1,"JeffFortenberry"
"USNavy",1,"JeffFortenberry"
"USOPM",1,"JeffFortenberry"
"USPacificFleet",1,"JeffFortenberry"
"usvirginislands",1,"JeffFortenberry"
"VernBuchanan",1,"JeffFortenberry"
"VickiMrsbi",1,"JeffFortenberry"
"virginiafoxx",1,"JeffFortenberry"
"washingtonpost",1,"JeffFortenberry"
"waterforfood",1,"JeffFortenberry"
"waynestcollege",1,"JeffFortenberry"
"weepingwaterhs",1,"JeffFortenberry"
"WestPoint_USMA",1,"JeffFortenberry"
"WhiteHouse",1,"JeffFortenberry"
"williebosshog",1,"JeffFortenberry"
"WinnebagoTribe",1,"JeffFortenberry"
"WisnerPilger",1,"JeffFortenberry"
"WorldBank",1,"JeffFortenberry"
"YazdaOrg",1,"JeffFortenberry"
"YouTube",1,"JeffFortenberry"
"zachami",1,"JeffFortenberry"
