"Hashtag","Frequency","screen_name"
"WI05",84,"JimPressOffice"
"townhall",35,"JimPressOffice"
"TownHall",32,"JimPressOffice"
"SAFEJustice",25,"JimPressOffice"
"COARA",21,"JimPressOffice"
"CommonSens",14,"JimPressOffice"
"USAFREEDOMAct",12,"JimPressOffice"
"USAFreedomAct",11,"JimPressOffice"
"AHCA",10,"JimPressOffice"
"BetterWay",10,"JimPressOffice"
"PROMESA",10,"JimPressOffice"
"SecondChance",7,"JimPressOffice"
"USAFREEDOM",6,"JimPressOffice"
"FF",4,"JimPressOffice"
"SAFEJusticeAct",4,"JimPressOffice"
"TaxReform",4,"JimPressOffice"
"VRA",4,"JimPressOffice"
"Wisconsin",4,"JimPressOffice"
"FollowFriday",3,"JimPressOffice"
"JudicialRedressAct",3,"JimPressOffice"
"MarchforLife",3,"JimPressOffice"
"Obamacare",3,"JimPressOffice"
"townhall2017",3,"JimPressOffice"
"TownHalls",3,"JimPressOffice"
"VRAA",3,"JimPressOffice"
"cjreform",2,"JimPressOffice"
"CJReform",2,"JimPressOffice"
"CleanPowerPlan",2,"JimPressOffice"
"HouseJudiciary",2,"JimPressOffice"
"IRS",2,"JimPressOffice"
"NeverForget",2,"JimPressOffice"
"RapidDNA",2,"JimPressOffice"
"safejusticeact",2,"JimPressOffice"
"SOTU",2,"JimPressOffice"
"SpeakerRyan",2,"JimPressOffice"
"TaxCutsAndJobsAct",2,"JimPressOffice"
"TaxReformWorks",2,"JimPressOffice"
"USAFreedom",2,"JimPressOffice"
"113th",1,"JimPressOffice"
"115congress",1,"JimPressOffice"
"1182more",1,"JimPressOffice"
"4Jobs",1,"JimPressOffice"
"BalancedBudget",1,"JimPressOffice"
"CARA",1,"JimPressOffice"
"CJreform",1,"JimPressOffice"
"climatechange",1,"JimPressOffice"
"ConfidentAmerica",1,"JimPressOffice"
"Congress",1,"JimPressOffice"
"criminaljustice",1,"JimPressOffice"
"DidYouKnow",1,"JimPressOffice"
"E15",1,"JimPressOffice"
"Ebola",1,"JimPressOffice"
"encyclical",1,"JimPressOffice"
"endbulkcollection",1,"JimPressOffice"
"EPA",1,"JimPressOffice"
"Falklands",1,"JimPressOffice"
"FISAMemo",1,"JimPressOffice"
"FixNICS",1,"JimPressOffice"
"Flint",1,"JimPressOffice"
"FlintWaterCrisis",1,"JimPressOffice"
"follow",1,"JimPressOffice"
"FourthofJulyWeekend",1,"JimPressOffice"
"fullrepeal",1,"JimPressOffice"
"GBvsATL",1,"JimPressOffice"
"GBvsDAL",1,"JimPressOffice"
"GoPackGo",1,"JimPressOffice"
"haltE15",1,"JimPressOffice"
"Holder",1,"JimPressOffice"
"HurricaneHarvey",1,"JimPressOffice"
"Inauguration",1,"JimPressOffice"
"Instagram",1,"JimPressOffice"
"internships",1,"JimPressOffice"
"ISS",1,"JimPressOffice"
"Job",1,"JimPressOffice"
"jobs",1,"JimPressOffice"
"LIVEfromSpace",1,"JimPressOffice"
"LoveSavesLives",1,"JimPressOffice"
"MarchForLife",1,"JimPressOffice"
"MLK",1,"JimPressOffice"
"MLKday2017",1,"JimPressOffice"
"NASA",1,"JimPressOffice"
"NationalSanctityofHumanLifeDay",1,"JimPressOffice"
"NDAA",1,"JimPressOffice"
"NeverForget911",1,"JimPressOffice"
"ObamaFlightDelays",1,"JimPressOffice"
"OnWisconsin",1,"JimPressOffice"
"OrangeBowl",1,"JimPressOffice"
"oversight",1,"JimPressOffice"
"PearlHarbor",1,"JimPressOffice"
"PoliceWeek",1,"JimPressOffice"
"PoliceWeek2017",1,"JimPressOffice"
"PrayForBoston",1,"JimPressOffice"
"prolife",1,"JimPressOffice"
"Referendum",1,"JimPressOffice"
"REINSAct",1,"JimPressOffice"
"ReleaseTheMemo",1,"JimPressOffice"
"ReligiousFreedomDay",1,"JimPressOffice"
"RFS",1,"JimPressOffice"
"Rio2016",1,"JimPressOffice"
"SchumerShutdown",1,"JimPressOffice"
"SOTU2016",1,"JimPressOffice"
"spendingistheproblem",1,"JimPressOffice"
"TaxCutsandJobsAct",1,"JimPressOffice"
"tbt",1,"JimPressOffice"
"TBT",1,"JimPressOffice"
"TeamAdam",1,"JimPressOffice"
"Thanksgiving",1,"JimPressOffice"
"thevoice",1,"JimPressOffice"
"TownHallMeeting",1,"JimPressOffice"
"townhalls",1,"JimPressOffice"
"TrustTheExperts",1,"JimPressOffice"
"Veterans",1,"JimPressOffice"
"VoicePlayoffs",1,"JimPressOffice"
"VotingRightsAct",1,"JimPressOffice"
"washingtonDC",1,"JimPressOffice"
"WashingtonDC",1,"JimPressOffice"
"WhyWeMarch",1,"JimPressOffice"
"wi05",1,"JimPressOffice"
"WI05TownHall",1,"JimPressOffice"
"WisGOP",1,"JimPressOffice"
