"Hashtag","Frequency","screen_name"
"tcot",146,"Jim_Jordan"
"IRS",68,"Jim_Jordan"
"Obamacare",64,"Jim_Jordan"
"OH04",61,"Jim_Jordan"
"Benghazi",48,"Jim_Jordan"
"FF",42,"Jim_Jordan"
"IRSscandal",36,"Jim_Jordan"
"gop",34,"Jim_Jordan"
"PlannedParenthood",32,"Jim_Jordan"
"IRStargeting",24,"Jim_Jordan"
"Ohio",23,"Jim_Jordan"
"ExIm",21,"Jim_Jordan"
"cutcapbalance",20,"Jim_Jordan"
"CutCapBalance",20,"Jim_Jordan"
"hcr",18,"Jim_Jordan"
"EndExIm",16,"Jim_Jordan"
"GOP",16,"Jim_Jordan"
"healthcare",14,"Jim_Jordan"
"DHS",12,"Jim_Jordan"
"Congress",11,"Jim_Jordan"
"ExImBank",11,"Jim_Jordan"
"immigration",11,"Jim_Jordan"
"jobs",11,"Jim_Jordan"
"prolife",11,"Jim_Jordan"
"SCOTUS",11,"Jim_Jordan"
"BenghaziReport",9,"Jim_Jordan"
"DOJ",9,"Jim_Jordan"
"Gruber",9,"Jim_Jordan"
"Obama",9,"Jim_Jordan"
"IRSTargeting",8,"Jim_Jordan"
"Lima",8,"Jim_Jordan"
"LoisLerner",8,"Jim_Jordan"
"SOTU",8,"Jim_Jordan"
"4jobs",7,"Jim_Jordan"
"Ebola",7,"Jim_Jordan"
"fb",7,"Jim_Jordan"
"Bucyrus",6,"Jim_Jordan"
"CWC114",6,"Jim_Jordan"
"impeach",6,"Jim_Jordan"
"KeystoneXL",6,"Jim_Jordan"
"Marysville",6,"Jim_Jordan"
"Opp4All",6,"Jim_Jordan"
"ProLife",6,"Jim_Jordan"
"StoriesFromOhio",6,"Jim_Jordan"
"veterans",6,"Jim_Jordan"
"wheresthebudget",6,"Jim_Jordan"
"bba",5,"Jim_Jordan"
"marriage",5,"Jim_Jordan"
"ObamaCare",5,"Jim_Jordan"
"Oversight",5,"Jim_Jordan"
"repeal",5,"Jim_Jordan"
"taxreform",5,"Jim_Jordan"
"teaparty",5,"Jim_Jordan"
"WWII",5,"Jim_Jordan"
"1stAmendment",4,"Jim_Jordan"
"BBA",4,"Jim_Jordan"
"BenghaziAnswers",4,"Jim_Jordan"
"BREAKING",4,"Jim_Jordan"
"cutspending",4,"Jim_Jordan"
"DC",4,"Jim_Jordan"
"history",4,"Jim_Jordan"
"IranDeal",4,"Jim_Jordan"
"IRSAbuse",4,"Jim_Jordan"
"IRSScandal",4,"Jim_Jordan"
"NationalDayofPrayer",4,"Jim_Jordan"
"Norwalk",4,"Jim_Jordan"
"ohio",4,"Jim_Jordan"
"rsc",4,"Jim_Jordan"
"Sidney",4,"Jim_Jordan"
"smallbiz",4,"Jim_Jordan"
"StandWithIsrael",4,"Jim_Jordan"
"stimulus",4,"Jim_Jordan"
"TCOT",4,"Jim_Jordan"
"WhyWeMarch",4,"Jim_Jordan"
"A1P",3,"Jim_Jordan"
"America",3,"Jim_Jordan"
"AmericaSpeakingOut",3,"Jim_Jordan"
"askrsc",3,"Jim_Jordan"
"budget",3,"Jim_Jordan"
"CWC",3,"Jim_Jordan"
"debt",3,"Jim_Jordan"
"DefundPP",3,"Jim_Jordan"
"energy",3,"Jim_Jordan"
"FirstAmendment",3,"Jim_Jordan"
"FNS",3,"Jim_Jordan"
"GreatestGeneration",3,"Jim_Jordan"
"Hannity",3,"Jim_Jordan"
"HJC114",3,"Jim_Jordan"
"HR7",3,"Jim_Jordan"
"IndependenceDay",3,"Jim_Jordan"
"liberty",3,"Jim_Jordan"
"MarchforLife",3,"Jim_Jordan"
"MemoDay",3,"Jim_Jordan"
"NeverForget",3,"Jim_Jordan"
"NunesMemo",3,"Jim_Jordan"
"PopeInDC",3,"Jim_Jordan"
"POTUS",3,"Jim_Jordan"
"rebuild",3,"Jim_Jordan"
"regulation",3,"Jim_Jordan"
"RoevWade",3,"Jim_Jordan"
"RSC",3,"Jim_Jordan"
"Senate",3,"Jim_Jordan"
"spending",3,"Jim_Jordan"
"tax",3,"Jim_Jordan"
"taxday",3,"Jim_Jordan"
"techGOP",3,"Jim_Jordan"
"TimeToBuild",3,"Jim_Jordan"
"whywemarch",3,"Jim_Jordan"
"2A",2,"Jim_Jordan"
"2ndAmendment",2,"Jim_Jordan"
"4thofJuly",2,"Jim_Jordan"
"AHCA",2,"Jim_Jordan"
"AskObama",2,"Jim_Jordan"
"AskRSC",2,"Jim_Jordan"
"beer",2,"Jim_Jordan"
"Benghazihearing",2,"Jim_Jordan"
"BenghaziHearing",2,"Jim_Jordan"
"Brussels",2,"Jim_Jordan"
"CBO",2,"Jim_Jordan"
"Conservatives",2,"Jim_Jordan"
"Constitution",2,"Jim_Jordan"
"CPAC2016",2,"Jim_Jordan"
"CWC115",2,"Jim_Jordan"
"DACA",2,"Jim_Jordan"
"DDay",2,"Jim_Jordan"
"deficit",2,"Jim_Jordan"
"Dobbs",2,"Jim_Jordan"
"ECPA",2,"Jim_Jordan"
"emailprivacy",2,"Jim_Jordan"
