"Hashtag","Frequency","screen_name"
"HASC",58,"MacTXPress"
"FY16NDAA",31,"MacTXPress"
"FY17NDAA",31,"MacTXPress"
"NDAA",22,"MacTXPress"
"FY18NDAA",17,"MacTXPress"
"SOTU",11,"MacTXPress"
"cybersecurity",10,"MacTXPress"
"cyber",9,"MacTXPress"
"defense",9,"MacTXPress"
"DefOneSummit2015",9,"MacTXPress"
"GOP",9,"MacTXPress"
"4jobs",8,"MacTXPress"
"FPIForum",8,"MacTXPress"
"Afghanistan",7,"MacTXPress"
"military",7,"MacTXPress"
"BGOVInSite",6,"MacTXPress"
"SOPA",6,"MacTXPress"
"Defense",5,"MacTXPress"
"npclive",5,"MacTXPress"
"BetterWay",4,"MacTXPress"
"csislive",4,"MacTXPress"
"Facebook",4,"MacTXPress"
"House",4,"MacTXPress"
"IranDeal",4,"MacTXPress"
"ISIS",4,"MacTXPress"
"jobs",4,"MacTXPress"
"Obama",4,"MacTXPress"
"Pentagon",4,"MacTXPress"
"PIPA",4,"MacTXPress"
"Republicans",4,"MacTXPress"
"Russia",4,"MacTXPress"
"SecDef",4,"MacTXPress"
"tcot",4,"MacTXPress"
"Amarillo",3,"MacTXPress"
"bgovinsite",3,"MacTXPress"
"budget",3,"MacTXPress"
"CSISLive",3,"MacTXPress"
"detainment",3,"MacTXPress"
"DOD",3,"MacTXPress"
"DoDReform",3,"MacTXPress"
"EPA",3,"MacTXPress"
"gasprices",3,"MacTXPress"
"Gitmo",3,"MacTXPress"
"Like",3,"MacTXPress"
"POTUS",3,"MacTXPress"
"RNDF",3,"MacTXPress"
"SignTheBill",3,"MacTXPress"
"Texas",3,"MacTXPress"
"3rdDistrictDay",2,"MacTXPress"
"ACStrategy",2,"MacTXPress"
"AHCA",2,"MacTXPress"
"Bill",2,"MacTXPress"
"Cybersecurity",2,"MacTXPress"
"energy",2,"MacTXPress"
"FB",2,"MacTXPress"
"FF",2,"MacTXPress"
"FPIforum",2,"MacTXPress"
"GTMO",2,"MacTXPress"
"KellyFile",2,"MacTXPress"
"MemorialDay",2,"MacTXPress"
"MissileDefense",2,"MacTXPress"
"NDAA16",2,"MacTXPress"
"NoVeto",2,"MacTXPress"
"NPCLive",2,"MacTXPress"
"nuclear",2,"MacTXPress"
"Obamacare",2,"MacTXPress"
"ParisAttacks",2,"MacTXPress"
"POLITICO50",2,"MacTXPress"
"Readiness",2,"MacTXPress"
"READINESS",2,"MacTXPress"
"RedRiver",2,"MacTXPress"
"RedRiverLandDispute",2,"MacTXPress"
"reductions",2,"MacTXPress"
