"Hashtag","Frequency","screen_name"
"TX32",437,"PeteSessions"
"ObamaCare",94,"PeteSessions"
"TX",85,"PeteSessions"
"TPA",24,"PeteSessions"
"ABLEAct",23,"PeteSessions"
"SOTU",23,"PeteSessions"
"jobs",22,"PeteSessions"
"NDAA",17,"PeteSessions"
"IRS",11,"PeteSessions"
"POTUS",11,"PeteSessions"
"Obamacare",10,"PeteSessions"
"Benghazi",9,"PeteSessions"
"SCOTUS",9,"PeteSessions"
"BrokenPromises",8,"PeteSessions"
"DallasPoliceShooting",8,"PeteSessions"
"KeystoneXL",8,"PeteSessions"
"SchumerShutdown",8,"PeteSessions"
"TimeToBuild",8,"PeteSessions"
"Yes2Energy",8,"PeteSessions"
"CongressionalArtCompetition",7,"PeteSessions"
"PlannedParenthood",7,"PeteSessions"
"CHIP",6,"PeteSessions"
"HurricaneHarvey",6,"PeteSessions"
"PonyUp",6,"PeteSessions"
"SignTheBill",6,"PeteSessions"
"budget",5,"PeteSessions"
"ConservativesforTPA",5,"PeteSessions"
"FiduciaryRule",5,"PeteSessions"
"Harvey",5,"PeteSessions"
"MilConVA",5,"PeteSessions"
"PoliceWeek",5,"PeteSessions"
"PSLGP",5,"PeteSessions"
"TPA4USjobs",5,"PeteSessions"
"WhereAreTheJobs",5,"PeteSessions"
"4jobs",4,"PeteSessions"
"AHCA",4,"PeteSessions"
"DDay",4,"PeteSessions"
"DHS",4,"PeteSessions"
"LastSOTU",4,"PeteSessions"
"SecureOurBorders",4,"PeteSessions"
"trainwreck",4,"PeteSessions"
"Tx32",4,"PeteSessions"
"VA",4,"PeteSessions"
"VeteransDay",4,"PeteSessions"
"Wylie",4,"PeteSessions"
"115thCongress",3,"PeteSessions"
"4Jobs",3,"PeteSessions"
"4thofJuly",3,"PeteSessions"
"ABLE",3,"PeteSessions"
"DallasPoliceShootings",3,"PeteSessions"
"EPA",3,"PeteSessions"
"GoScots",3,"PeteSessions"
"HookEm",3,"PeteSessions"
"KeepYourHealthPlan",3,"PeteSessions"
"LiftTheBan",3,"PeteSessions"
"MemorialDay",3,"PeteSessions"
"MLKDay",3,"PeteSessions"
"NeverForget",3,"PeteSessions"
"PearlHarbor",3,"PeteSessions"
"SBW2014",3,"PeteSessions"
"SmallBizWeek2016",3,"PeteSessions"
"StopGovtAbuse",3,"PeteSessions"
"VAaccountability",3,"PeteSessions"
"WillToWin",3,"PeteSessions"
"WRRDA",3,"PeteSessions"
"AmericanHealthCareAct",2,"PeteSessions"
"CarryTheLoad",2,"PeteSessions"
"CharterSchools",2,"PeteSessions"
"Chattanooga",2,"PeteSessions"
"CHIA",2,"PeteSessions"
"CHOICEAct",2,"PeteSessions"
"Dallas",2,"PeteSessions"
"DeathTax",2,"PeteSessions"
"Ebola",2,"PeteSessions"
"FlagDay",2,"PeteSessions"
"GOP",2,"PeteSessions"
"HALOS",2,"PeteSessions"
"HispanicHeritageMonth",2,"PeteSessions"
"HLCExpo",2,"PeteSessions"
"HR36",2,"PeteSessions"
"job",2,"PeteSessions"
"KeystoneXLPipeline",2,"PeteSessions"
"MedicareAdvantage",2,"PeteSessions"
"NationalDayofPrayer",2,"PeteSessions"
"NationalPoliceWeek",2,"PeteSessions"
"NeverEverQuit",2,"PeteSessions"
"NoVeto",2,"PeteSessions"
"OneNationOneTeam",2,"PeteSessions"
"OperationChokePoint",2,"PeteSessions"
"OperationRedWings",2,"PeteSessions"
"OTD",2,"PeteSessions"
"PassTheBill",2,"PeteSessions"
"PeaceOfficersMemorialDay",2,"PeteSessions"
"RepealAndReplace",2,"PeteSessions"
"smallbiz",2,"PeteSessions"
"StudentSuccessAct",2,"PeteSessions"
"TBT",2,"PeteSessions"
"Texas",2,"PeteSessions"
"TPA4jobs",2,"PeteSessions"
"TPA4USJobs",2,"PeteSessions"
"Trainwreck",2,"PeteSessions"
"USAFreedomAct",2,"PeteSessions"
"veterans",2,"PeteSessions"
"VoteNow",2,"PeteSessions"
"WalkToEndAlzheimer",2,"PeteSessions"
"WOTUS",2,"PeteSessions"
"Zika",2,"PeteSessions"
"110KJobsMission",1,"PeteSessions"
"2014DFWSummit",1,"PeteSessions"
"2015WorldCup",1,"PeteSessions"
"241NavyBday",1,"PeteSessions"
"2A",1,"PeteSessions"
"43turns70",1,"PeteSessions"
"ACURatings",1,"PeteSessions"
"ADA",1,"PeteSessions"
"AdaptiveTrainingFoundation",1,"PeteSessions"
"AgDay",1,"PeteSessions"
